benchmark,method,arm,parents,native_successes,alarms,true_positives,false_positives,precision,recall,false_positive_rate,eligible_states,failed_states,successful_states,terminal_alarms,rescue_successes,failed_parent_branches,harm_failures,successful_parent_branches,rescue_rate,harm_rate,alarm_state_success_rate,policy_success_rate,policy_delta_vs_random,base_task_clusters,policy_delta_cluster_ci_low,policy_delta_cluster_ci_high,mean_deployment_queries
all,knn20,swap1,115,62,59,51,8,0.864406779661017,0.9622641509433962,0.12903225806451613,59,51,8,0,1,204,1,32,0.004901960784313725,0.03125,0.13559322033898305,0.5391304347826087,-0.002173913043478261,10,-0.00663716814159292,0.0,37.22608695652174
all,knn_euclidean_OR_cosine,random,115,62,60,51,9,0.85,0.9622641509433962,0.14516129032258066,60,51,9,0,1,204,0,36,0.004901960784313725,0.0,0.15416666666666667,0.5413043478260869,0.0,10,,,37.1695652173913
all,knn_euclidean_OR_cosine,short_chunk,115,62,60,51,9,0.85,0.9622641509433962,0.14516129032258066,60,51,9,0,1,204,0,36,0.004901960784313725,0.0,0.15416666666666667,0.5413043478260869,0.0,10,,,37.63260869565217
all,knn_euclidean_OR_cosine,edge_noise,115,62,60,51,9,0.85,0.9622641509433962,0.14516129032258066,60,51,9,0,2,204,1,36,0.00980392156862745,0.027777777777777776,0.15416666666666667,0.5413043478260869,0.0,10,-0.006578947368421052,0.00641025641025641,38.745652173913044
all,knn_euclidean_OR_cosine,swap1,115,62,60,51,9,0.85,0.9622641509433962,0.14516129032258066,60,51,9,0,1,204,1,36,0.004901960784313725,0.027777777777777776,0.15,0.5391304347826087,-0.002173913043478261,10,-0.00663716814159292,0.0,37.22608695652174
pro,v7_frozen,random,45,13,25,24,1,0.96,0.75,0.07692307692307693,25,24,1,0,0,96,0,4,0.0,0.0,0.04,0.28888888888888886,0.0,10,,,44.17777777777778
pro,v7_frozen,short_chunk,45,13,25,24,1,0.96,0.75,0.07692307692307693,25,24,1,0,0,96,0,4,0.0,0.0,0.04,0.28888888888888886,0.0,10,,,44.727777777777774
pro,v7_frozen,edge_noise,45,13,25,24,1,0.96,0.75,0.07692307692307693,25,24,1,0,0,96,0,4,0.0,0.0,0.04,0.28888888888888886,0.0,10,,,45.84444444444444
pro,v7_frozen,swap1,45,13,25,24,1,0.96,0.75,0.07692307692307693,25,24,1,0,0,96,0,4,0.0,0.0,0.04,0.28888888888888886,0.0,10,,,44.17777777777778
pro,v8_frozen,random,45,13,28,27,1,0.9642857142857143,0.84375,0.07692307692307693,28,27,1,0,0,108,0,4,0.0,0.0,0.03571428571428571,0.28888888888888886,0.0,10,,,44.17777777777778
pro,v8_frozen,short_chunk,45,13,28,27,1,0.9642857142857143,0.84375,0.07692307692307693,28,27,1,0,0,108,0,4,0.0,0.0,0.03571428571428571,0.28888888888888886,0.0,10,,,44.794444444444444
pro,v8_frozen,edge_noise,45,13,28,27,1,0.9642857142857143,0.84375,0.07692307692307693,28,27,1,0,0,108,0,4,0.0,0.0,0.03571428571428571,0.28888888888888886,0.0,10,,,46.044444444444444
pro,v8_frozen,swap1,45,13,28,27,1,0.9642857142857143,0.84375,0.07692307692307693,28,27,1,0,0,108,0,4,0.0,0.0,0.03571428571428571,0.28888888888888886,0.0,10,,,44.17777777777778
pro,knn20,random,45,13,33,31,2,0.9393939393939394,0.96875,0.15384615384615385,33,31,2,0,0,124,0,8,0.0,0.0,0.06060606060606061,0.28888888888888886,0.0,10,,,44.18888888888889
pro,knn20,short_chunk,45,13,33,31,2,0.9393939393939394,0.96875,0.15384615384615385,33,31,2,0,0,124,0,8,0.0,0.0,0.06060606060606061,0.28888888888888886,0.0,10,,,44.888888888888886
pro,knn20,edge_noise,45,13,33,31,2,0.9393939393939394,0.96875,0.15384615384615385,33,31,2,0,0,124,0,8,0.0,0.0,0.06060606060606061,0.28888888888888886,0.0,10,,,46.38333333333333
pro,knn20,swap1,45,13,33,31,2,0.9393939393939394,0.96875,0.15384615384615385,33,31,2,0,0,124,0,8,0.0,0.0,0.06060606060606061,0.28888888888888886,0.0,10,,,44.172222222222224
pro,knn_euclidean_OR_cosine,random,45,13,34,31,3,0.9117647058823529,0.96875,0.23076923076923078,34,31,3,0,0,124,0,12,0.0,0.0,0.08823529411764706,0.28888888888888886,0.0,10,,,44.18888888888889
pro,knn_euclidean_OR_cosine,short_chunk,45,13,34,31,3,0.9117647058823529,0.96875,0.23076923076923078,34,31,3,0,0,124,0,12,0.0,0.0,0.08823529411764706,0.28888888888888886,0.0,10,,,44.90555555555556
pro,knn_euclidean_OR_cosine,edge_noise,45,13,34,31,3,0.9117647058823529,0.96875,0.23076923076923078,34,31,3,0,0,124,0,12,0.0,0.0,0.08823529411764706,0.28888888888888886,0.0,10,,,46.45
pro,knn_euclidean_OR_cosine,swap1,45,13,34,31,3,0.9117647058823529,0.96875,0.23076923076923078,34,31,3,0,0,124,0,12,0.0,0.0,0.08823529411764706,0.28888888888888886,0.0,10,,,44.172222222222224
plus,v7_frozen,random,70,49,13,12,1,0.9230769230769231,0.5714285714285714,0.02040816326530612,13,12,1,0,0,48,0,4,0.0,0.0,0.07692307692307693,0.7,0.0,10,,,32.72857142857143
plus,v7_frozen,short_chunk,70,49,13,12,1,0.9230769230769231,0.5714285714285714,0.02040816326530612,13,12,1,0,0,48,0,4,0.0,0.0,0.07692307692307693,0.7,0.0,10,,,32.91428571428571
plus,v7_frozen,edge_noise,70,49,13,12,1,0.9230769230769231,0.5714285714285714,0.02040816326530612,13,12,1,0,0,48,0,4,0.0,0.0,0.07692307692307693,0.7,0.0,10,,,33.28928571428571
plus,v7_frozen,swap1,70,49,13,12,1,0.9230769230769231,0.5714285714285714,0.02040816326530612,13,12,1,0,0,48,0,4,0.0,0.0,0.07692307692307693,0.7,0.0,10,,,32.725
plus,v8_frozen,random,70,49,13,12,1,0.9230769230769231,0.5714285714285714,0.02040816326530612,13,12,1,0,0,48,0,4,0.0,0.0,0.07692307692307693,0.7,0.0,10,,,32.72857142857143
plus,v8_frozen,short_chunk,70,49,13,12,1,0.9230769230769231,0.5714285714285714,0.02040816326530612,13,12,1,0,0,48,0,4,0.0,0.0,0.07692307692307693,0.7,0.0,10,,,32.91428571428571
plus,v8_frozen,edge_noise,70,49,13,12,1,0.9230769230769231,0.5714285714285714,0.02040816326530612,13,12,1,0,0,48,0,4,0.0,0.0,0.07692307692307693,0.7,0.0,10,,,33.28928571428571
plus,v8_frozen,swap1,70,49,13,12,1,0.9230769230769231,0.5714285714285714,0.02040816326530612,13,12,1,0,0,48,0,4,0.0,0.0,0.07692307692307693,0.7,0.0,10,,,32.725
plus,knn20,random,70,49,26,20,6,0.7692307692307693,0.9523809523809523,0.12244897959183673,26,20,6,0,1,80,0,24,0.0125,0.0,0.2403846153846154,0.7035714285714286,0.0,10,,,32.65714285714286
plus,knn20,short_chunk,70,49,26,20,6,0.7692307692307693,0.9523809523809523,0.12244897959183673,26,20,6,0,1,80,0,24,0.0125,0.0,0.2403846153846154,0.7035714285714286,0.0,10,,,32.957142857142856
plus,knn20,edge_noise,70,49,26,20,6,0.7692307692307693,0.9523809523809523,0.12244897959183673,26,20,6,0,2,80,1,24,0.025,0.041666666666666664,0.2403846153846154,0.7035714285714286,0.0,10,-0.010714285714285714,0.010714285714285714,33.792857142857144
plus,knn20,swap1,70,49,26,20,6,0.7692307692307693,0.9523809523809523,0.12244897959183673,26,20,6,0,1,80,1,24,0.0125,0.041666666666666664,0.23076923076923078,0.7,-0.0035714285714285713,10,-0.010714285714285714,0.0,32.760714285714286
plus,knn_euclidean_OR_cosine,random,70,49,26,20,6,0.7692307692307693,0.9523809523809523,0.12244897959183673,26,20,6,0,1,80,0,24,0.0125,0.0,0.2403846153846154,0.7035714285714286,0.0,10,,,32.65714285714286
plus,knn_euclidean_OR_cosine,short_chunk,70,49,26,20,6,0.7692307692307693,0.9523809523809523,0.12244897959183673,26,20,6,0,1,80,0,24,0.0125,0.0,0.2403846153846154,0.7035714285714286,0.0,10,,,32.957142857142856
plus,knn_euclidean_OR_cosine,edge_noise,70,49,26,20,6,0.7692307692307693,0.9523809523809523,0.12244897959183673,26,20,6,0,2,80,1,24,0.025,0.041666666666666664,0.2403846153846154,0.7035714285714286,0.0,10,-0.010714285714285714,0.010714285714285714,33.792857142857144
plus,knn_euclidean_OR_cosine,swap1,70,49,26,20,6,0.7692307692307693,0.9523809523809523,0.12244897959183673,26,20,6,0,1,80,1,24,0.0125,0.041666666666666664,0.23076923076923078,0.7,-0.0035714285714285713,10,-0.010714285714285714,0.0,32.760714285714286
