episode,init_state_id,flow_noise_seed,success,failure,stratum
86,7,1022,True,False,i7
87,7,1023,True,False,i7
88,7,1024,True,False,i7
89,7,1025,True,False,i7
90,7,1026,True,False,i7
91,7,1027,True,False,i7
92,7,1028,True,False,i7
93,7,1029,True,False,i7
94,7,1030,True,False,i7
95,7,1031,True,False,i7
96,10,1000,False,True,i10
97,10,1001,False,True,i10
98,10,1002,False,True,i10
99,10,1003,False,True,i10
100,10,1004,True,False,i10
101,10,1005,False,True,i10
102,10,1006,False,True,i10
103,10,1007,True,False,i10
104,10,1008,True,False,i10
105,10,1009,False,True,i10
106,10,1010,False,True,i10
107,10,1011,False,True,i10
108,10,1012,True,False,i10
109,10,1013,False,True,i10
110,10,1014,False,True,i10
111,10,1015,True,False,i10
112,10,1016,True,False,i10
113,10,1017,False,True,i10
114,10,1018,False,True,i10
115,10,1019,True,False,i10
116,10,1020,False,True,i10
117,10,1021,False,True,i10
118,10,1022,False,True,i10
119,10,1023,False,True,i10
120,10,1024,True,False,i10
121,10,1025,False,True,i10
122,10,1026,False,True,i10
123,10,1027,True,False,i10
124,10,1028,False,True,i10
125,10,1029,False,True,i10
126,10,1030,False,True,i10
127,10,1031,False,True,i10
128,13,1000,True,False,i13
129,13,1001,False,True,i13
130,13,1002,False,True,i13
131,13,1003,False,True,i13
132,13,1004,False,True,i13
133,13,1005,False,True,i13
134,13,1006,True,False,i13
135,13,1007,False,True,i13
136,13,1008,True,False,i13
137,13,1009,False,True,i13
138,13,1010,False,True,i13
139,13,1011,True,False,i13
140,13,1012,False,True,i13
141,13,1013,False,True,i13
142,13,1014,False,True,i13
143,13,1015,False,True,i13
144,13,1016,False,True,i13
145,13,1017,False,True,i13
146,13,1018,False,True,i13
147,13,1019,False,True,i13
148,13,1020,True,False,i13
149,13,1021,True,False,i13
150,13,1022,False,True,i13
151,13,1023,True,False,i13
152,13,1024,False,True,i13
153,13,1025,False,True,i13
154,13,1026,False,True,i13
155,13,1027,False,True,i13
156,13,1028,True,False,i13
157,13,1029,True,False,i13
158,13,1030,False,True,i13
159,13,1031,False,True,i13
160,16,1000,True,False,i16
161,16,1001,False,True,i16
162,16,1002,True,False,i16
163,16,1003,True,False,i16
164,16,1004,True,False,i16
165,16,1005,True,False,i16
166,16,1006,True,False,i16
167,16,1007,False,True,i16
168,16,1008,True,False,i16
169,16,1009,True,False,i16
170,16,1010,True,False,i16
171,16,1011,True,False,i16
172,16,1012,False,True,i16
173,16,1013,True,False,i16
174,16,1014,True,False,i16
175,16,1015,True,False,i16
176,16,1016,True,False,i16
177,16,1017,False,True,i16
178,16,1018,True,False,i16
179,16,1019,True,False,i16
180,16,1020,True,False,i16
181,16,1021,True,False,i16
182,16,1022,True,False,i16
183,16,1023,True,False,i16
184,16,1024,True,False,i16
185,16,1025,True,False,i16
186,16,1026,True,False,i16
187,16,1027,True,False,i16
188,16,1028,True,False,i16
189,16,1029,True,False,i16
190,16,1030,True,False,i16
191,16,1031,True,False,i16
192,20,1000,True,False,i20
193,20,1001,True,False,i20
194,20,1002,True,False,i20
195,20,1003,True,False,i20
196,20,1004,True,False,i20
197,20,1005,True,False,i20
198,20,1006,False,True,i20
199,20,1007,True,False,i20
200,20,1008,True,False,i20
201,20,1009,False,True,i20
202,20,1010,True,False,i20
203,20,1011,False,True,i20
204,20,1012,False,True,i20
205,20,1013,True,False,i20
206,20,1014,True,False,i20
207,20,1015,True,False,i20
208,20,1016,True,False,i20
209,20,1017,True,False,i20
210,20,1018,True,False,i20
211,20,1019,False,True,i20
212,20,1020,True,False,i20
213,20,1021,False,True,i20
214,20,1022,True,False,i20
215,20,1023,True,False,i20
216,20,1024,True,False,i20
217,20,1025,True,False,i20
218,20,1026,False,True,i20
219,20,1027,True,False,i20
220,20,1028,False,True,i20
221,20,1029,False,True,i20
222,20,1030,True,False,i20
223,20,1031,True,False,i20
224,23,1000,True,False,i23
225,23,1001,True,False,i23
226,23,1002,False,True,i23
227,23,1003,True,False,i23
228,23,1004,True,False,i23
229,23,1005,True,False,i23
230,23,1006,True,False,i23
231,23,1007,True,False,i23
232,23,1008,True,False,i23
233,23,1009,True,False,i23
234,23,1010,True,False,i23
235,23,1011,True,False,i23
236,23,1012,True,False,i23
237,23,1013,True,False,i23
238,23,1014,True,False,i23
239,23,1015,True,False,i23
240,23,1016,False,True,i23
241,23,1017,True,False,i23
242,23,1018,True,False,i23
243,23,1019,False,True,i23
244,23,1020,True,False,i23
245,23,1021,True,False,i23
246,23,1022,True,False,i23
247,23,1023,True,False,i23
248,23,1024,True,False,i23
249,23,1025,True,False,i23
250,23,1026,True,False,i23
251,23,1027,True,False,i23
252,23,1028,True,False,i23
253,23,1029,True,False,i23
254,23,1030,True,False,i23
255,23,1031,True,False,i23
256,26,1000,True,False,i26
257,26,1001,False,True,i26
258,26,1002,False,True,i26
259,26,1003,False,True,i26
260,26,1004,False,True,i26
261,26,1005,False,True,i26
262,26,1006,False,True,i26
263,26,1007,True,False,i26
264,26,1008,True,False,i26
265,26,1009,True,False,i26
266,26,1010,False,True,i26
267,26,1011,True,False,i26
268,26,1012,False,True,i26
269,26,1013,False,True,i26
270,26,1014,False,True,i26
271,26,1015,False,True,i26
272,26,1016,True,False,i26
273,26,1017,False,True,i26
274,26,1018,False,True,i26
275,26,1019,False,True,i26
276,26,1020,True,False,i26
277,26,1021,False,True,i26
278,26,1022,False,True,i26
279,26,1023,True,False,i26
280,26,1024,False,True,i26
281,26,1025,False,True,i26
282,26,1026,False,True,i26
283,26,1027,False,True,i26
284,26,1028,False,True,i26
285,26,1029,True,False,i26
286,26,1030,False,True,i26
287,26,1031,False,True,i26
288,29,1000,True,False,i29
289,29,1001,True,False,i29
290,29,1002,True,False,i29
291,29,1003,False,True,i29
