calibration,alpha,method,scope,tp,fp,failures,successes,recall,fpr,precision,median_failure_q,median_failure_cap_percent,tp_by_cap_50,fp_by_cap_50,tp_by_cap_60,fp_by_cap_60,recall_lo,recall_hi,fpr_lo,fpr_hi
original,,v82_frozen,libero_goal/put_the_wine_bottle_on_top_of_the_cabinet,1,0,1,399,1.0,0.0,1.0,15.0,50.0,1,0,1,0,,,,
original,,v82_frozen,libero_goal/turn_on_the_stove,0,0,0,400,,0.0,,,,0,0,0,0,,,,
original,,v82_frozen,libero_long/KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,4,0,4,396,1.0,0.0,1.0,38.0,-52.95384615384616,0,0,0,0,,,,
original,,v82_frozen,libero_long/KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,1,3,1,399,1.0,0.007518796992481203,0.25,29.0,55.76923076923077,0,3,1,3,,,,
original,,v82_frozen,libero_long/KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,1,15,1,399,1.0,0.03759398496240601,0.0625,41.0,-47.184615384615384,0,14,0,14,,,,
original,,v82_frozen,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,123,14,151,249,0.8145695364238411,0.05622489959839357,0.8978102189781022,33.0,-43.33846153846154,0,0,22,5,,,,
original,,v82_frozen,libero_long/LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket,29,5,30,370,0.9666666666666667,0.013513513513513514,0.8529411764705882,14.0,15.384615384615385,21,5,21,5,,,,
original,,v82_frozen,libero_long/LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,8,1,10,390,0.8,0.002564102564102564,0.8888888888888888,10.0,19.23076923076923,8,0,8,1,,,,
original,,v82_frozen,libero_long/LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket,3,6,4,396,0.75,0.015151515151515152,0.3333333333333333,31.0,59.61538461538461,1,3,2,6,,,,
original,,v82_frozen,libero_long/LIVING_ROOM_SCENE5_put_the_white_mug_on_the_left_plate_and_put_the_yellow_and_white_mug_on_the_right_plate,17,5,20,380,0.85,0.013157894736842105,0.7727272727272727,30.0,57.69230769230769,3,4,15,4,,,,
original,,v82_frozen,libero_long/LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate,47,8,47,353,1.0,0.0226628895184136,0.8545454545454545,31.0,53.84615384615385,7,5,31,8,,,,
original,,v82_frozen,libero_long/STUDY_SCENE1_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy,6,20,6,394,1.0,0.050761421319796954,0.23076923076923078,25.5,49.03846153846154,4,20,6,20,,,,
original,,v82_frozen,libero_object/pick_up_the_alphabet_soup_and_place_it_in_the_basket,2,1,3,397,0.6666666666666666,0.0025188916876574307,0.6666666666666666,21.5,76.78571428571428,0,0,0,0,,,,
original,,v82_frozen,libero_object/pick_up_the_bbq_sauce_and_place_it_in_the_basket,9,0,10,390,0.9,0.0,1.0,20.0,71.42857142857143,0,0,1,0,,,,
original,,v82_frozen,libero_object/pick_up_the_butter_and_place_it_in_the_basket,0,2,0,400,,0.005,0.0,,,0,2,0,2,,,,
original,,v82_frozen,libero_object/pick_up_the_chocolate_pudding_and_place_it_in_the_basket,0,1,0,400,,0.0025,0.0,,,0,1,0,1,,,,
original,,v82_frozen,libero_object/pick_up_the_cream_cheese_and_place_it_in_the_basket,5,1,7,393,0.7142857142857143,0.002544529262086514,0.8333333333333334,24.0,85.71428571428571,0,0,0,0,,,,
original,,v82_frozen,libero_object/pick_up_the_ketchup_and_place_it_in_the_basket,1,0,1,399,1.0,0.0,1.0,21.0,75.0,0,0,0,0,,,,
original,,v82_frozen,libero_object/pick_up_the_milk_and_place_it_in_the_basket,6,1,7,393,0.8571428571428571,0.002544529262086514,0.8571428571428571,19.0,67.85714285714286,0,0,0,0,,,,
original,,v82_frozen,libero_object/pick_up_the_orange_juice_and_place_it_in_the_basket,1,2,5,395,0.2,0.005063291139240506,0.3333333333333333,15.0,53.57142857142857,0,0,1,0,,,,
original,,v82_frozen,libero_object/pick_up_the_salad_dressing_and_place_it_in_the_basket,3,0,4,396,0.75,0.0,1.0,22.0,78.57142857142857,0,0,1,0,,,,
original,,v82_frozen,libero_object/pick_up_the_tomato_sauce_and_place_it_in_the_basket,3,0,7,393,0.42857142857142855,0.0,1.0,17.0,60.714285714285715,1,0,1,0,,,,
original,,v82_frozen,libero_spatial/pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,0,1,1,399,0.0,0.002506265664160401,0.0,,,0,0,0,0,,,,
original,,v82_frozen,libero_spatial/pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,3,0,3,397,1.0,0.0,1.0,18.0,81.81818181818181,0,0,0,0,,,,
original,,v82_frozen,libero_spatial/pick_up_the_black_bowl_in_the_top_drawer_of_the_wooden_cabinet_and_place_it_on_the_plate,10,0,14,386,0.7142857142857143,0.0,1.0,19.0,86.36363636363636,0,0,0,0,,,,
original,,v82_frozen,libero_spatial/pick_up_the_black_bowl_next_to_the_cookie_box_and_place_it_on_the_plate,1,0,3,397,0.3333333333333333,0.0,1.0,19.0,86.36363636363636,0,0,0,0,,,,
original,,v82_frozen,libero_spatial/pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate,18,2,24,376,0.75,0.005319148936170213,0.9,20.0,90.9090909090909,2,1,2,1,,,,
original,,v82_frozen,libero_spatial/pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate,7,0,8,392,0.875,0.0,1.0,19.0,86.36363636363636,0,0,1,0,,,,
original,,v82_frozen,libero_spatial/pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate,13,1,13,387,1.0,0.002583979328165375,0.9285714285714286,16.0,72.72727272727273,0,0,0,0,,,,
original,,v82_frozen,libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,10,0,12,388,0.8333333333333334,0.0,1.0,17.0,77.27272727272727,2,0,2,0,,,,
original,,v82_frozen,libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,38,0,41,359,0.926829268292683,0.0,1.0,19.0,86.36363636363636,0,0,1,0,,,,
original,,v82_frozen,libero_spatial/pick_up_the_black_bowl_on_the_wooden_cabinet_and_place_it_on_the_plate,19,0,21,379,0.9047619047619048,0.0,1.0,18.0,81.81818181818181,0,0,0,0,,,,
episode,0.005,v82_reference,all,392,76,564,15436,0.6950354609929078,0.004923555325213786,0.8376068376068376,25.0,59.61538461538461,52,53,115,61,0.6220366035326665,0.7652878205630931,0.002674538862298516,0.007816360274356384
episode,0.005,v82_reference,libero_goal,83,6,106,3894,0.7830188679245284,0.0015408320493066256,0.9325842696629213,24.0,80.0,17,4,26,5,,,,
episode,0.005,v82_reference,libero_long,201,54,274,3726,0.7335766423357665,0.014492753623188406,0.788235294117647,32.0,21.153846153846153,33,39,84,46,,,,
episode,0.005,v82_reference,libero_object,20,14,44,3956,0.45454545454545453,0.003538928210313448,0.5882352941176471,20.0,71.42857142857143,1,10,4,10,,,,
episode,0.005,v82_reference,libero_spatial,88,2,140,3860,0.6285714285714286,0.0005181347150259067,0.9777777777777777,19.0,86.36363636363636,1,0,1,0,,,,
episode,0.005,v82_reference,libero_goal/open_the_middle_drawer_of_the_cabinet,0,0,0,400,,0.0,,,,0,0,0,0,,,,
episode,0.005,v82_reference,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,42,1,51,349,0.8235294117647058,0.0028653295128939827,0.9767441860465116,25.0,83.33333333333333,0,0,1,0,,,,
episode,0.005,v82_reference,libero_goal/push_the_plate_to_the_front_of_the_stove,1,2,1,399,1.0,0.005012531328320802,0.3333333333333333,17.0,56.666666666666664,0,1,1,2,,,,
episode,0.005,v82_reference,libero_goal/put_the_bowl_on_the_plate,5,0,18,382,0.2777777777777778,0.0,1.0,17.0,56.666666666666664,0,0,3,0,,,,
episode,0.005,v82_reference,libero_goal/put_the_bowl_on_the_stove,8,0,9,391,0.8888888888888888,0.0,1.0,19.0,63.333333333333336,0,0,3,0,,,,
episode,0.005,v82_reference,libero_goal/put_the_bowl_on_top_of_the_cabinet,16,0,16,384,1.0,0.0,1.0,14.0,46.666666666666664,15,0,16,0,,,,
episode,0.005,v82_reference,libero_goal/put_the_cream_cheese_in_the_bowl,9,3,9,391,1.0,0.0076726342710997444,0.75,23.0,76.66666666666667,1,3,1,3,,,,
episode,0.005,v82_reference,libero_goal/put_the_wine_bottle_on_the_rack,1,0,1,399,1.0,0.0,1.0,22.0,73.33333333333333,0,0,0,0,,,,
episode,0.005,v82_reference,libero_goal/put_the_wine_bottle_on_top_of_the_cabinet,1,0,1,399,1.0,0.0,1.0,15.0,50.0,1,0,1,0,,,,
episode,0.005,v82_reference,libero_goal/turn_on_the_stove,0,0,0,400,,0.0,,,,0,0,0,0,,,,
episode,0.005,v82_reference,libero_long/KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,4,0,4,396,1.0,0.0,1.0,37.5,-53.91538461538462,0,0,0,0,,,,
episode,0.005,v82_reference,libero_long/KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,1,3,1,399,1.0,0.007518796992481203,0.25,29.0,55.76923076923077,0,3,1,3,,,,
episode,0.005,v82_reference,libero_long/KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,1,7,1,399,1.0,0.017543859649122806,0.125,41.0,-47.184615384615384,0,7,0,7,,,,
episode,0.005,v82_reference,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,105,12,151,249,0.695364238410596,0.04819277108433735,0.8974358974358975,32.0,57.69230769230769,0,0,26,5,,,,
episode,0.005,v82_reference,libero_long/LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket,27,2,30,370,0.9,0.005405405405405406,0.9310344827586207,15.0,15.384615384615385,19,2,19,2,,,,
episode,0.005,v82_reference,libero_long/LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,8,1,10,390,0.8,0.002564102564102564,0.8888888888888888,9.5,18.269230769230766,8,0,8,1,,,,
episode,0.005,v82_reference,libero_long/LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket,2,2,4,396,0.5,0.005050505050505051,0.5,27.0,51.92307692307692,1,2,1,2,,,,
episode,0.005,v82_reference,libero_long/LIVING_ROOM_SCENE5_put_the_white_mug_on_the_left_plate_and_put_the_yellow_and_white_mug_on_the_right_plate,14,2,20,380,0.7,0.005263157894736842,0.875,30.0,57.69230769230769,0,1,11,1,,,,
episode,0.005,v82_reference,libero_long/LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate,33,5,47,353,0.7021276595744681,0.014164305949008499,0.868421052631579,34.0,-37.56923076923077,1,4,12,5,,,,
episode,0.005,v82_reference,libero_long/STUDY_SCENE1_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy,6,20,6,394,1.0,0.050761421319796954,0.23076923076923078,25.5,49.03846153846154,4,20,6,20,,,,
episode,0.005,v82_reference,libero_object/pick_up_the_alphabet_soup_and_place_it_in_the_basket,2,1,3,397,0.6666666666666666,0.0025188916876574307,0.6666666666666666,21.5,76.78571428571428,0,0,0,0,,,,
episode,0.005,v82_reference,libero_object/pick_up_the_bbq_sauce_and_place_it_in_the_basket,5,0,10,390,0.5,0.0,1.0,25.0,89.28571428571429,0,0,0,0,,,,
episode,0.005,v82_reference,libero_object/pick_up_the_butter_and_place_it_in_the_basket,0,8,0,400,,0.02,0.0,,,0,8,0,8,,,,
episode,0.005,v82_reference,libero_object/pick_up_the_chocolate_pudding_and_place_it_in_the_basket,0,2,0,400,,0.005,0.0,,,0,2,0,2,,,,
episode,0.005,v82_reference,libero_object/pick_up_the_cream_cheese_and_place_it_in_the_basket,0,0,7,393,0.0,0.0,,,,0,0,0,0,,,,
episode,0.005,v82_reference,libero_object/pick_up_the_ketchup_and_place_it_in_the_basket,1,0,1,399,1.0,0.0,1.0,20.0,71.42857142857143,0,0,0,0,,,,
episode,0.005,v82_reference,libero_object/pick_up_the_milk_and_place_it_in_the_basket,5,1,7,393,0.7142857142857143,0.002544529262086514,0.8333333333333334,18.0,64.28571428571429,0,0,1,0,,,,
episode,0.005,v82_reference,libero_object/pick_up_the_orange_juice_and_place_it_in_the_basket,1,2,5,395,0.2,0.005063291139240506,0.3333333333333333,15.0,53.57142857142857,0,0,1,0,,,,
episode,0.005,v82_reference,libero_object/pick_up_the_salad_dressing_and_place_it_in_the_basket,3,0,4,396,0.75,0.0,1.0,22.0,78.57142857142857,0,0,1,0,,,,
episode,0.005,v82_reference,libero_object/pick_up_the_tomato_sauce_and_place_it_in_the_basket,3,0,7,393,0.42857142857142855,0.0,1.0,17.0,60.714285714285715,1,0,1,0,,,,
episode,0.005,v82_reference,libero_spatial/pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,0,0,1,399,0.0,0.0,,,,0,0,0,0,,,,
episode,0.005,v82_reference,libero_spatial/pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,3,0,3,397,1.0,0.0,1.0,20.0,90.9090909090909,0,0,0,0,,,,
episode,0.005,v82_reference,libero_spatial/pick_up_the_black_bowl_in_the_top_drawer_of_the_wooden_cabinet_and_place_it_on_the_plate,9,0,14,386,0.6428571428571429,0.0,1.0,19.0,86.36363636363636,0,0,0,0,,,,
episode,0.005,v82_reference,libero_spatial/pick_up_the_black_bowl_next_to_the_cookie_box_and_place_it_on_the_plate,0,0,3,397,0.0,0.0,,,,0,0,0,0,,,,
episode,0.005,v82_reference,libero_spatial/pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate,5,1,24,376,0.20833333333333334,0.0026595744680851063,0.8333333333333334,19.0,86.36363636363636,0,0,0,0,,,,
episode,0.005,v82_reference,libero_spatial/pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate,5,0,8,392,0.625,0.0,1.0,20.0,90.9090909090909,0,0,0,0,,,,
episode,0.005,v82_reference,libero_spatial/pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate,11,1,13,387,0.8461538461538461,0.002583979328165375,0.9166666666666666,16.0,72.72727272727273,0,0,0,0,,,,
episode,0.005,v82_reference,libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,9,0,12,388,0.75,0.0,1.0,17.0,77.27272727272727,1,0,1,0,,,,
episode,0.005,v82_reference,libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,33,0,41,359,0.8048780487804879,0.0,1.0,19.0,86.36363636363636,0,0,0,0,,,,
episode,0.005,v82_reference,libero_spatial/pick_up_the_black_bowl_on_the_wooden_cabinet_and_place_it_on_the_plate,13,0,21,379,0.6190476190476191,0.0,1.0,20.0,90.9090909090909,0,0,0,0,,,,
episode,0.005,dynamics_only,all,122,60,564,15436,0.21631205673758866,0.0038870173620108835,0.6703296703296703,24.0,54.1958041958042,20,48,36,56,0.10564781502281502,0.393446982908964,0.0021375750086197113,0.005646866441811901
episode,0.005,dynamics_only,libero_goal,19,1,106,3894,0.1792452830188679,0.00025680534155110427,0.95,21.0,70.0,0,1,1,1,,,,
episode,0.005,dynamics_only,libero_long,70,54,274,3726,0.25547445255474455,0.014492753623188406,0.5645161290322581,32.0,22.115384615384613,20,46,32,52,,,,
episode,0.005,dynamics_only,libero_object,5,4,44,3956,0.11363636363636363,0.0010111223458038423,0.5555555555555556,19.0,67.85714285714286,0,1,0,3,,,,
episode,0.005,dynamics_only,libero_spatial,28,1,140,3860,0.2,0.00025906735751295336,0.9655172413793104,18.0,81.81818181818181,0,0,3,0,,,,
episode,0.005,dynamics_only,libero_goal/open_the_middle_drawer_of_the_cabinet,0,0,0,400,,0.0,,,,0,0,0,0,,,,
episode,0.005,dynamics_only,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,1,1,51,349,0.0196078431372549,0.0028653295128939827,0.5,23.0,76.66666666666667,0,1,0,1,,,,
episode,0.005,dynamics_only,libero_goal/push_the_plate_to_the_front_of_the_stove,1,0,1,399,1.0,0.0,1.0,28.0,93.33333333333333,0,0,0,0,,,,
episode,0.005,dynamics_only,libero_goal/put_the_bowl_on_the_plate,1,0,18,382,0.05555555555555555,0.0,1.0,29.0,96.66666666666667,0,0,0,0,,,,
episode,0.005,dynamics_only,libero_goal/put_the_bowl_on_the_stove,9,0,9,391,1.0,0.0,1.0,21.0,70.0,0,0,1,0,,,,
episode,0.005,dynamics_only,libero_goal/put_the_bowl_on_top_of_the_cabinet,0,0,16,384,0.0,0.0,,,,0,0,0,0,,,,
episode,0.005,dynamics_only,libero_goal/put_the_cream_cheese_in_the_bowl,7,0,9,391,0.7777777777777778,0.0,1.0,21.0,70.0,0,0,0,0,,,,
episode,0.005,dynamics_only,libero_goal/put_the_wine_bottle_on_the_rack,0,0,1,399,0.0,0.0,,,,0,0,0,0,,,,
episode,0.005,dynamics_only,libero_goal/put_the_wine_bottle_on_top_of_the_cabinet,0,0,1,399,0.0,0.0,,,,0,0,0,0,,,,
episode,0.005,dynamics_only,libero_goal/turn_on_the_stove,0,0,0,400,,0.0,,,,0,0,0,0,,,,
episode,0.005,dynamics_only,libero_long/KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,1,0,4,396,0.25,0.0,1.0,24.0,46.15384615384615,1,0,1,0,,,,
episode,0.005,dynamics_only,libero_long/KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,0,10,1,399,0.0,0.02506265664160401,0.0,,,0,10,0,10,,,,
episode,0.005,dynamics_only,libero_long/KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,0,11,1,399,0.0,0.02756892230576441,0.0,,,0,11,0,11,,,,
episode,0.005,dynamics_only,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,4,1,151,249,0.026490066225165563,0.004016064257028112,0.8,39.0,-51.03076923076923,0,0,0,0,,,,
episode,0.005,dynamics_only,libero_long/LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket,14,4,30,370,0.4666666666666667,0.010810810810810811,0.7777777777777778,27.0,23.076923076923077,7,4,9,4,,,,
episode,0.005,dynamics_only,libero_long/LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,1,2,10,390,0.1,0.005128205128205128,0.3333333333333333,39.0,-51.03076923076923,0,1,0,2,,,,
episode,0.005,dynamics_only,libero_long/LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket,2,6,4,396,0.5,0.015151515151515152,0.25,31.5,-2.4384615384615387,1,2,1,6,,,,
episode,0.005,dynamics_only,libero_long/LIVING_ROOM_SCENE5_put_the_white_mug_on_the_left_plate_and_put_the_yellow_and_white_mug_on_the_right_plate,7,0,20,380,0.35,0.0,1.0,49.0,-31.8,0,0,0,0,,,,
episode,0.005,dynamics_only,libero_long/LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate,35,11,47,353,0.7446808510638298,0.031161473087818695,0.7608695652173914,32.0,46.15384615384615,7,9,15,10,,,,
episode,0.005,dynamics_only,libero_long/STUDY_SCENE1_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy,6,9,6,394,1.0,0.02284263959390863,0.4,25.5,49.03846153846154,4,9,6,9,,,,
episode,0.005,dynamics_only,libero_object/pick_up_the_alphabet_soup_and_place_it_in_the_basket,0,3,3,397,0.0,0.007556675062972292,0.0,,,0,0,0,2,,,,
episode,0.005,dynamics_only,libero_object/pick_up_the_bbq_sauce_and_place_it_in_the_basket,0,0,10,390,0.0,0.0,,,,0,0,0,0,,,,
episode,0.005,dynamics_only,libero_object/pick_up_the_butter_and_place_it_in_the_basket,0,0,0,400,,0.0,,,,0,0,0,0,,,,
episode,0.005,dynamics_only,libero_object/pick_up_the_chocolate_pudding_and_place_it_in_the_basket,0,0,0,400,,0.0,,,,0,0,0,0,,,,
episode,0.005,dynamics_only,libero_object/pick_up_the_cream_cheese_and_place_it_in_the_basket,1,1,7,393,0.14285714285714285,0.002544529262086514,0.5,17.0,60.714285714285715,0,1,0,1,,,,
episode,0.005,dynamics_only,libero_object/pick_up_the_ketchup_and_place_it_in_the_basket,0,0,1,399,0.0,0.0,,,,0,0,0,0,,,,
episode,0.005,dynamics_only,libero_object/pick_up_the_milk_and_place_it_in_the_basket,3,0,7,393,0.42857142857142855,0.0,1.0,19.0,67.85714285714286,0,0,0,0,,,,
episode,0.005,dynamics_only,libero_object/pick_up_the_orange_juice_and_place_it_in_the_basket,0,0,5,395,0.0,0.0,,,,0,0,0,0,,,,
episode,0.005,dynamics_only,libero_object/pick_up_the_salad_dressing_and_place_it_in_the_basket,0,0,4,396,0.0,0.0,,,,0,0,0,0,,,,
episode,0.005,dynamics_only,libero_object/pick_up_the_tomato_sauce_and_place_it_in_the_basket,1,0,7,393,0.14285714285714285,0.0,1.0,20.0,71.42857142857143,0,0,0,0,,,,
episode,0.005,dynamics_only,libero_spatial/pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,0,0,1,399,0.0,0.0,,,,0,0,0,0,,,,
episode,0.005,dynamics_only,libero_spatial/pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,1,0,3,397,0.3333333333333333,0.0,1.0,21.0,95.45454545454545,0,0,0,0,,,,
episode,0.005,dynamics_only,libero_spatial/pick_up_the_black_bowl_in_the_top_drawer_of_the_wooden_cabinet_and_place_it_on_the_plate,2,0,14,386,0.14285714285714285,0.0,1.0,18.0,81.81818181818181,0,0,0,0,,,,
episode,0.005,dynamics_only,libero_spatial/pick_up_the_black_bowl_next_to_the_cookie_box_and_place_it_on_the_plate,0,0,3,397,0.0,0.0,,,,0,0,0,0,,,,
episode,0.005,dynamics_only,libero_spatial/pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate,7,1,24,376,0.2916666666666667,0.0026595744680851063,0.875,19.0,86.36363636363636,0,0,1,0,,,,
episode,0.005,dynamics_only,libero_spatial/pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate,2,0,8,392,0.25,0.0,1.0,14.0,63.63636363636364,0,0,1,0,,,,
episode,0.005,dynamics_only,libero_spatial/pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate,2,0,13,387,0.15384615384615385,0.0,1.0,16.0,72.72727272727272,0,0,0,0,,,,
episode,0.005,dynamics_only,libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,4,0,12,388,0.3333333333333333,0.0,1.0,20.0,90.9090909090909,0,0,1,0,,,,
episode,0.005,dynamics_only,libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,5,0,41,359,0.12195121951219512,0.0,1.0,18.0,81.81818181818181,0,0,0,0,,,,
episode,0.005,dynamics_only,libero_spatial/pick_up_the_black_bowl_on_the_wooden_cabinet_and_place_it_on_the_plate,5,0,21,379,0.23809523809523808,0.0,1.0,21.0,95.45454545454545,0,0,0,0,,,,
episode,0.005,v82_integrated,all,345,68,564,15436,0.6117021276595744,0.004405286343612335,0.8353510895883777,26.0,54.54545454545455,53,51,94,57,0.527427900180976,0.710612156625916,0.002473459136682992,0.006370286830216397
episode,0.005,v82_integrated,libero_goal,62,1,106,3894,0.5849056603773585,0.00025680534155110427,0.9841269841269841,21.5,71.66666666666666,15,1,20,1,,,,
episode,0.005,v82_integrated,libero_long,199,62,274,3726,0.7262773722627737,0.016639828234031134,0.7624521072796935,33.0,-35.646153846153844,38,50,70,55,,,,
episode,0.005,v82_integrated,libero_object,18,3,44,3956,0.4090909090909091,0.0007583417593528817,0.8571428571428571,21.0,75.0,0,0,2,1,,,,
episode,0.005,v82_integrated,libero_spatial,66,2,140,3860,0.4714285714285714,0.0005181347150259067,0.9705882352941176,20.0,90.9090909090909,0,0,2,0,,,,
episode,0.005,v82_integrated,libero_goal/open_the_middle_drawer_of_the_cabinet,0,0,0,400,,0.0,,,,0,0,0,0,,,,
episode,0.005,v82_integrated,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,25,1,51,349,0.49019607843137253,0.0028653295128939827,0.9615384615384616,26.0,86.66666666666667,0,1,1,1,,,,
episode,0.005,v82_integrated,libero_goal/push_the_plate_to_the_front_of_the_stove,1,0,1,399,1.0,0.0,1.0,18.0,60.0,0,0,1,0,,,,
episode,0.005,v82_integrated,libero_goal/put_the_bowl_on_the_plate,1,0,18,382,0.05555555555555555,0.0,1.0,19.0,63.333333333333336,0,0,0,0,,,,
episode,0.005,v82_integrated,libero_goal/put_the_bowl_on_the_stove,9,0,9,391,1.0,0.0,1.0,21.0,70.0,0,0,1,0,,,,
episode,0.005,v82_integrated,libero_goal/put_the_bowl_on_top_of_the_cabinet,16,0,16,384,1.0,0.0,1.0,15.0,50.0,15,0,16,0,,,,
