corpus,from_state,to_state,count,probability
B,4,2,3,0.046875
B,4,3,0,0.0
B,4,4,3,0.046875
B,4,5,18,0.28125
B,4,6,0,0.0
B,4,7,1,0.015625
B,4,8,0,0.0
B,4,9,1,0.015625
B,4,10,0,0.0
B,4,11,0,0.0
B,4,12,1,0.015625
B,4,13,34,0.53125
B,4,14,1,0.015625
B,4,15,1,0.015625
B,5,0,8,0.007554296506137866
B,5,1,4,0.003777148253068933
B,5,2,10,0.009442870632672332
B,5,3,22,0.02077431539187913
B,5,4,2,0.0018885741265344666
B,5,5,175,0.1652502360717658
B,5,6,1,0.0009442870632672333
B,5,7,7,0.0066100094428706326
B,5,8,4,0.003777148253068933
B,5,9,35,0.033050047214353166
B,5,10,0,0.0
B,5,11,41,0.03871576959395656
B,5,12,11,0.010387157695939566
B,5,13,652,0.615675165250236
B,5,14,1,0.0009442870632672333
B,5,15,86,0.08120868744098206
B,6,0,0,0.0
B,6,1,1,0.022222222222222223
B,6,2,13,0.28888888888888886
B,6,3,3,0.06666666666666667
B,6,4,0,0.0
B,6,5,13,0.28888888888888886
B,6,6,0,0.0
B,6,7,1,0.022222222222222223
B,6,8,0,0.0
B,6,9,0,0.0
B,6,10,0,0.0
B,6,11,0,0.0
B,6,12,0,0.0
B,6,13,13,0.28888888888888886
B,6,14,1,0.022222222222222223
B,6,15,0,0.0
B,7,0,0,0.0
B,7,1,5,0.0641025641025641
B,7,2,19,0.24358974358974358
B,7,3,3,0.038461538461538464
B,7,4,0,0.0
B,7,5,18,0.23076923076923078
B,7,6,0,0.0
B,7,7,2,0.02564102564102564
B,7,8,0,0.0
B,7,9,0,0.0
B,7,10,0,0.0
B,7,11,5,0.0641025641025641
B,7,12,0,0.0
B,7,13,21,0.2692307692307692
B,7,14,0,0.0
B,7,15,5,0.0641025641025641
B,8,0,10,0.029498525073746312
B,8,1,5,0.014749262536873156
B,8,2,18,0.05309734513274336
B,8,3,6,0.017699115044247787
B,8,4,1,0.0029498525073746312
B,8,5,56,0.16519174041297935
B,8,6,1,0.0029498525073746312
B,8,7,0,0.0
B,8,8,117,0.34513274336283184
B,8,9,13,0.038348082595870206
B,8,10,63,0.18584070796460178
B,8,11,9,0.02654867256637168
B,8,12,6,0.017699115044247787
B,8,13,34,0.10029498525073746
B,8,14,0,0.0
B,8,15,0,0.0
B,9,0,5,0.008680555555555556
B,9,1,8,0.013888888888888888
B,9,2,43,0.07465277777777778
B,9,3,26,0.04513888888888889
B,9,4,0,0.0
B,9,5,45,0.078125
B,9,6,4,0.006944444444444444
B,9,7,3,0.005208333333333333
B,9,8,66,0.11458333333333333
B,9,9,60,0.10416666666666667
B,9,10,51,0.08854166666666667
B,9,11,193,0.3350694444444444
B,9,12,6,0.010416666666666666
B,9,13,56,0.09722222222222222
B,9,14,3,0.005208333333333333
B,9,15,7,0.012152777777777778
B,10,0,18,0.009438909281594127
B,10,1,29,0.015207131620346093
B,10,2,187,0.09805977975878342
B,10,3,24,0.012585212375458836
B,10,4,3,0.0015731515469323545
B,10,5,102,0.053487152595700055
B,10,6,2,0.001048767697954903
B,10,7,5,0.0026219192448872575
B,10,8,111,0.058206607236497114
B,10,9,104,0.054535920293654956
B,10,10,912,0.47823807026743576
B,10,11,189,0.09910854745673833
B,10,12,25,0.013109596224436287
B,10,13,174,0.09124278972207656
B,10,14,10,0.005243838489774515
B,10,15,12,0.006292606187729418
B,11,0,5,0.0030599755201958386
B,11,1,0,0.0
B,11,2,77,0.047123623011015914
B,11,3,30,0.01835985312117503
B,11,4,2,0.0012239902080783353
B,11,5,25,0.015299877600979192
