cohort,offset,layer,n,late_n,auc_high_means_late,average_precision
development_main,+8,L4,198,10,0.6021276595744681,0.0646736834906885
development_main,+8,L5,198,10,0.6170212765957447,0.07641793574492922
development_main,+8,all_mean,198,10,0.6505319148936171,0.08086173680868199
development_main,+8,back_mean,198,10,0.6063829787234043,0.07161180852357323
development_main,+8,back_minus_front,198,10,0.39574468085106385,0.04581145758883134
development_main,+8,front_mean,198,10,0.6941489361702128,0.08879245435672486
development_main,terminal,L12,372,20,0.740625,0.23413700069612378
development_main,terminal,L13,372,20,0.7183238636363636,0.20995463644823018
development_main,terminal,L14,372,20,0.7353693181818182,0.25512963162280927
development_main,terminal,L15,372,20,0.6249289772727272,0.11306585147458381
development_main,terminal,L2,372,20,0.6610795454545454,0.12368696961796555
development_main,terminal,L3,372,20,0.6447443181818181,0.14269059713830218
development_main,terminal,L4,372,20,0.7565340909090907,0.18873694066754243
development_main,terminal,L5,372,20,0.7095880681818182,0.2237558326145119
development_main,terminal,all_mean,372,20,0.7216619318181818,0.2692102776808001
development_main,terminal,back_mean,372,20,0.7196022727272727,0.25737535160160196
development_main,terminal,back_minus_front,372,20,0.5235795454545455,0.05616868939718595
development_main,terminal,front_mean,372,20,0.7191761363636364,0.21394463130230676
external_8b,+1,L12,390,27,0.4667485164722734,0.06983592553978153
external_8b,+1,L13,390,27,0.3886331082463679,0.05626102008637608
external_8b,+1,L14,390,27,0.5184673623900143,0.07127561373099588
external_8b,+1,L15,390,27,0.44244935543278086,0.05997769785877738
external_8b,+1,L2,390,27,0.43099038264784123,0.07048751941240916
external_8b,+1,L3,390,27,0.4428074483323102,0.06479857479520912
external_8b,+1,L4,390,27,0.5004604051565378,0.08935171158596997
external_8b,+1,L5,390,27,0.38489871086556166,0.06320394074477187
external_8b,+1,all_mean,390,27,0.3802946593001842,0.06407544868505244
external_8b,+1,back_mean,390,27,0.4016779210149376,0.06081867926576948
external_8b,+1,back_minus_front,390,27,0.5498260691630856,0.1046112384515986
external_8b,+1,front_mean,390,27,0.38070390832821777,0.08264751008128018
external_8b,+2,L12,364,26,0.5005135813741155,0.07123877727700086
external_8b,+2,L13,364,26,0.437514266149281,0.069737997680825
external_8b,+2,L14,364,26,0.47700296735905046,0.06940899633102071
external_8b,+2,L15,364,26,0.4417941109335768,0.06323470644139367
external_8b,+2,L2,364,26,0.5380050216845469,0.08882622435525532
external_8b,+2,L3,364,26,0.40829719242182144,0.06545567277518959
external_8b,+2,L4,364,26,0.5748116868294909,0.08484586941030002
external_8b,+2,L5,364,26,0.42393289203378215,0.09927439724764825
external_8b,+2,all_mean,364,26,0.41497375028532296,0.07311272843941352
external_8b,+2,back_mean,364,26,0.42513124857338513,0.072033574395298
external_8b,+2,back_minus_front,364,26,0.5234535494179411,0.08073078298578074
external_8b,+2,front_mean,364,26,0.44493266377539376,0.09614261039320485
external_8b,+4,L12,330,25,0.4614473684210526,0.07680516467777763
external_8b,+4,L13,330,25,0.36894736842105263,0.1036161652028196
external_8b,+4,L14,330,25,0.5006578947368421,0.08004872082110595
external_8b,+4,L15,330,25,0.38592105263157894,0.06374833040736999
external_8b,+4,L2,330,25,0.5188815789473684,0.1159531297611277
external_8b,+4,L3,330,25,0.4484868421052632,0.0754866779057691
external_8b,+4,L4,330,25,0.5359868421052632,0.07934164081932266
external_8b,+4,L5,330,25,0.4169078947368421,0.06379211580709522
external_8b,+4,all_mean,330,25,0.40256578947368427,0.07336633405704633
external_8b,+4,back_mean,330,25,0.38125000000000003,0.07431172226513752
external_8b,+4,back_minus_front,330,25,0.4441447368421052,0.06660610644233655
external_8b,+4,front_mean,330,25,0.4507894736842105,0.07418262634167438
external_8b,+8,L12,229,15,0.48909657320872274,0.09735008423899069
external_8b,+8,L13,229,15,0.5037383177570093,0.12164177816060445
external_8b,+8,L14,229,15,0.5925233644859813,0.11851811320688077
external_8b,+8,L15,229,15,0.46137071651090344,0.07260235623840272
external_8b,+8,L2,229,15,0.5769470404984424,0.1690767266229306
external_8b,+8,L3,229,15,0.4819314641744548,0.08424819593858407
external_8b,+8,L4,229,15,0.5264797507788161,0.0915429505209268
external_8b,+8,L5,229,15,0.516822429906542,0.08407585576325452
external_8b,+8,all_mean,229,15,0.5143302180685357,0.12028363339452239
external_8b,+8,back_mean,229,15,0.511214953271028,0.14093523967897828
external_8b,+8,back_minus_front,229,15,0.4822429906542056,0.06162635047433599
external_8b,+8,front_mean,229,15,0.5236760124610592,0.13127195589126256
external_8b,terminal,L12,410,27,0.6603160752375412,0.16146237567786706
external_8b,terminal,L13,410,27,0.571747139809967,0.10180299208994818
external_8b,terminal,L14,410,27,0.6730657358929611,0.1417339802912503
external_8b,terminal,L15,410,27,0.6050029086678301,0.10062356483016996
external_8b,terminal,L2,410,27,0.6527535388791933,0.1768646297673009
external_8b,terminal,L3,410,27,0.5949195268566997,0.11195318792229053
external_8b,terminal,L4,410,27,0.6912933876284661,0.1654517636223704
external_8b,terminal,L5,410,27,0.5873085127011828,0.13841717710259427
external_8b,terminal,all_mean,410,27,0.6573589296102385,0.16796978978602514
external_8b,terminal,back_mean,410,27,0.6360286988559241,0.13788958990425573
external_8b,terminal,back_minus_front,410,27,0.5063021136319565,0.07382583687587188
external_8b,terminal,front_mean,410,27,0.6593949970913322,0.16574478088655603
