corpus,event,horizon,feature_block,metric,value,n_pos,n_neg
B2sup,disp2,4,tier1+routing_perm,grouped_auc,0.9926007882865207,5244,15591
B2sup,disp2,4,tier2,grouped_auc,0.9935669180225969,5244,15591
B2sup,grip,4,phase,grouped_auc,0.8574293623354714,4855,15980
B2sup,grip,4,tier1,grouped_auc,0.955911821885782,4855,15980
B2sup,grip,4,routing,grouped_auc,0.9424336463360313,4855,15980
B2sup,grip,4,routing_shufchunk,grouped_auc,0.5163811655162457,4855,15980
B2sup,grip,4,tier1+routing,grouped_auc,0.9562195799152341,4855,15980
B2sup,grip,4,tier1+routing_perm,grouped_auc,0.9517180281599147,4855,15980
B2sup,grip,4,tier2,grouped_auc,0.9563813149453496,4855,15980
B2sup,tilt2,1,phase,grouped_auc,0.7209355706822859,45,22326
B2sup,tilt2,1,tier1,grouped_auc,0.939987335760646,45,22326
B2sup,tilt2,1,routing,grouped_auc,0.8942852619914516,45,22326
B2sup,tilt2,1,routing_shufchunk,grouped_auc,0.5388792148171601,45,22326
B2sup,tilt2,1,tier1+routing,grouped_auc,0.9200411587779009,45,22326
B2sup,tilt2,1,tier1+routing_perm,grouped_auc,0.9237296184897894,45,22326
B2sup,tilt2,1,tier2,grouped_auc,0.9593003007756846,45,22326
B2sup,tilt1,1,phase,grouped_auc,0.7942487216775344,59,22312
B2sup,tilt1,1,tier1,grouped_auc,0.9348055542524746,59,22312
B2sup,tilt1,1,routing,grouped_auc,0.8785593657644134,59,22312
B2sup,tilt1,1,routing_shufchunk,grouped_auc,0.54137542806211,59,22312
B2sup,tilt1,1,tier1+routing,grouped_auc,0.9372683773514097,59,22312
B2sup,tilt1,1,tier1+routing_perm,grouped_auc,0.8955763006051508,59,22312
B2sup,tilt1,1,tier2,grouped_auc,0.9428507763756626,59,22312
