corpus,event,stratum,n,n_pos,base_rate,auc_tier1,auc_routing
A2,grip_m2,sel_on_routing_x0.75-1.33,455,60,0.13096292547134,0.7708240864033141,0.5539280958721704
A2,grip_m2,sel_on_routing_x0.5-2.0,1135,145,0.13096292547134,0.7764339569233937,0.6541777103008157
A2,grip_m4,sel_on_tier1_x0.75-1.33,963,252,0.27102370546947424,0.5444635085369935,0.5966270505523937
A2,grip_m4,sel_on_tier1_x0.5-2.0,2654,680,0.27102370546947424,0.6251583421136748,0.5991192034947732
A2,grip_m4,sel_on_routing_x0.75-1.33,1515,336,0.27102370546947424,0.7810160682782625,0.5995208124731798
A2,grip_m4,sel_on_routing_x0.5-2.0,3649,891,0.27102370546947424,0.7754814676019286,0.603685515992646
A2,tilt1_m4,sel_on_tier1_x0.75-1.33,757,42,0.026089259700701892,0.5162448979591837,0.5735510204081633
A2,tilt1_m4,sel_on_tier1_x0.5-2.0,1670,97,0.026089259700701892,0.5823858982340028,0.5927066609875168
A2,tilt1_m4,sel_on_routing_x0.75-1.33,868,47,0.026089259700701892,0.6529219006007646,0.5114691425450574
A2,tilt1_m4,sel_on_routing_x0.5-2.0,2056,97,0.026089259700701892,0.6704982996543098,0.5454034456592002
A2,tilt2_m2,sel_on_tier1_x0.75-1.33,1139,38,0.01657598380361888,0.5290248022046404,0.6800604498177616
A2,tilt2_m2,sel_on_tier1_x0.5-2.0,2848,76,0.01657598380361888,0.5610807922756936,0.6756859901537992
A2,tilt2_m2,sel_on_routing_x0.5-2.0,3179,75,0.01657598380361888,0.6930005906674542,0.5603746519281073
A2,tilt2_m4,sel_on_tier1_x0.75-1.33,1449,60,0.03290954840418488,0.5015556938394523,0.5912115264946628
A2,tilt2_m4,sel_on_tier1_x0.5-2.0,3597,150,0.03290954840418488,0.5923249587984817,0.6015347099487685
A2,tilt2_m4,sel_on_routing_x0.75-1.33,1702,69,0.03290954840418488,0.7168056937323027,0.589308946200352
A2,tilt2_m4,sel_on_routing_x0.5-2.0,3998,163,0.03290954840418488,0.7286477220280873,0.5932023472011604
A2,whichpot_m1,sel_on_routing_x0.5-2.0,1859,1827,0.6225210084033613,0.9862513548975983,0.951594500541959
A2,whichpot_m2,sel_on_routing_x0.5-2.0,2327,2280,0.6339779005524862,0.9892259347142949,0.9659141922657603
A2,whichpot_m4,sel_on_tier1_x0.5-2.0,3232,3181,0.6827807486631016,0.9495736643281165,0.9684187803561791
A2,whichpot_m4,sel_on_routing_x0.75-1.33,191,159,0.6827807486631016,1.0,0.6517985611510791
A2,whichpot_m4,sel_on_routing_x0.5-2.0,3227,3164,0.6827807486631016,0.9846174537262747,0.9694198342383538
