dataset,snapshot,layer_group,view,flow,median_dispersion,mean_dispersion,candidates
rolling_star_k16,worker0_snapshot000,front,token_gram,6,0.0019717279355973005,0.0019853366538882256,16
rolling_star_k16,worker0_snapshot000,front,token_gram,7,0.0018278727075085044,0.001797393779270351,16
rolling_star_k16,worker0_snapshot000,front,token_gram,8,0.0015578916063532233,0.0015850681811571121,16
rolling_star_k16,worker0_snapshot000,front,token_gram,9,0.0013995326589792967,0.001400793087668717,16
rolling_star_k16,worker0_snapshot000,front,expert_load,0,0.009106866084039211,0.009264912456274033,16
rolling_star_k16,worker0_snapshot000,front,expert_load,1,0.008796586655080318,0.008817669004201889,16
rolling_star_k16,worker0_snapshot000,front,expert_load,2,0.008418047800660133,0.008454355411231518,16
rolling_star_k16,worker0_snapshot000,front,expert_load,3,0.008362919092178345,0.008280852809548378,16
rolling_star_k16,worker0_snapshot000,front,expert_load,4,0.00814719870686531,0.00818848516792059,16
rolling_star_k16,worker0_snapshot000,front,expert_load,5,0.008261466398835182,0.008245318196713924,16
rolling_star_k16,worker0_snapshot000,front,expert_load,6,0.008280654437839985,0.008341660723090172,16
rolling_star_k16,worker0_snapshot000,front,expert_load,7,0.00821411982178688,0.008256674744188786,16
rolling_star_k16,worker0_snapshot000,front,expert_load,8,0.007945802062749863,0.00797650869935751,16
rolling_star_k16,worker0_snapshot000,front,expert_load,9,0.007695968262851238,0.0077415816485881805,16
rolling_star_k16,worker0_snapshot000,front,spectrum,0,0.004539684858173132,0.0046041677705943584,16
rolling_star_k16,worker0_snapshot000,front,spectrum,1,0.004460114985704422,0.004559308756142855,16
rolling_star_k16,worker0_snapshot000,front,spectrum,2,0.004459902178496122,0.004580332897603512,16
rolling_star_k16,worker0_snapshot000,front,spectrum,3,0.0044815377332270145,0.0046232896856963634,16
rolling_star_k16,worker0_snapshot000,front,spectrum,4,0.004625285975635052,0.0047289165668189526,16
rolling_star_k16,worker0_snapshot000,front,spectrum,5,0.00467784283682704,0.004728699568659067,16
rolling_star_k16,worker0_snapshot000,front,spectrum,6,0.004391954280436039,0.004512111656367779,16
rolling_star_k16,worker0_snapshot000,front,spectrum,7,0.00405364204198122,0.004105692729353905,16
rolling_star_k16,worker0_snapshot000,front,spectrum,8,0.003422289388254285,0.0035781951155513525,16
rolling_star_k16,worker0_snapshot000,front,spectrum,9,0.003162642475217581,0.003316801507025957,16
rolling_star_k16,worker0_snapshot000,back,edge_action,0,0.02070976421236992,0.020741749554872513,16
rolling_star_k16,worker0_snapshot000,back,edge_action,1,0.020192671567201614,0.020325561985373497,16
rolling_star_k16,worker0_snapshot000,back,edge_action,2,0.020156197249889374,0.02033698931336403,16
rolling_star_k16,worker0_snapshot000,back,edge_action,3,0.02030342072248459,0.020489435642957687,16
