dataset,layer_group,view,snapshots,median_ratio_d9_d0,bootstrap_95_low,bootstrap_95_high,contracting_snapshots,fraction_contracting,sign_test_p_contraction,wilcoxon_p_d9_less_d0,median_d0,median_d9,median_log_slope
rolling_star_k16,all,spectrum,22,0.7452987297007623,0.7115535858033747,0.771013200226724,22,1.0,2.384185791015625e-07,2.384185791015625e-07,0.0034160277573391795,0.002450267318636179,-0.032271707869140326
rolling_star_k16,all,token_gram,22,0.5753692023245849,0.5091354870700677,0.6493631301086638,22,1.0,2.384185791015625e-07,2.384185791015625e-07,0.001683812472037971,0.0009482984023634344,-0.06089816185919161
rolling_star_k16,back,edge_action,22,0.8860530853336895,0.8677879784367422,0.9053208887466144,22,1.0,2.384185791015625e-07,2.384185791015625e-07,0.019306685775518417,0.016978692263364792,-0.013506379538217511
rolling_star_k16,back,edge_state,22,0.0,0.0,0.8023777409226516,19,0.8636363636363636,0.0004277229309082031,0.00018355862408633026,0.000860158383147791,0.0,-0.9577115340792479
rolling_star_k16,back,expert_load,22,0.9277784951674638,0.8896364689278178,0.9478159088095586,20,0.9090909090909091,6.0558319091796875e-05,0.00010657310485839844,0.005528228357434273,0.00501674972474575,-0.002129771382127981
rolling_star_k16,back,spectrum,22,0.9795304579709739,0.9138263351283866,1.026649715960933,13,0.5909090909090909,0.2617335319519043,0.029345035552978516,0.0023561232956126332,0.0022935395827516913,0.00046408319738904837
rolling_star_k16,back,token_gram,22,1.2319760026687259,1.199514786207937,1.2786641414544913,0,0.0,1.0,1.0,0.0004540157096926123,0.000542384572327137,0.024536975134167218
rolling_star_k16,front,edge_action,22,0.5495551657493432,0.521231849455275,0.5908385226201255,22,1.0,2.384185791015625e-07,2.384185791015625e-07,0.037666041404008865,0.020341333001852036,-0.06518618309884061
rolling_star_k16,front,edge_state,22,0.0,0.0,0.0,21,0.9545454545454546,5.4836273193359375e-06,0.00021888859728733177,0.00026334464200772345,0.0,-1.122034960252485
rolling_star_k16,front,expert_load,22,0.6786097762394612,0.6544113420229871,0.744439277758301,22,1.0,2.384185791015625e-07,2.384185791015625e-07,0.008902199566364288,0.0059929166454821825,-0.04082328897528026
rolling_star_k16,front,spectrum,22,0.6360753880574934,0.6116220924217302,0.6910181400407907,22,1.0,2.384185791015625e-07,2.384185791015625e-07,0.004148159641772509,0.002568547264672816,-0.04988254822551928
rolling_star_k16,front,token_gram,22,0.5416895801938992,0.47107757934959077,0.5797375532501894,22,1.0,2.384185791015625e-07,2.384185791015625e-07,0.0023487507132813334,0.001249599561560899,-0.06597569649275015
