suite,chunk,series,auc,direction,n_risk,n_safe,deadline,tp@fp10,fp@fp10,tp@fp20,fp@fp20,tp@fp40,fp@fp40,degenerate,gauss_tp@fp20,floor_auc,floor_tp,auc_margin,tp_margin
libero_goal,6,tok_effrank_all,0.5143982541118859,low,102,3898,True,1,11,1,21,3,41,False,0.6056320933223719,0.10145313248522914,4.0,-0.08705487837334325,-3.0
libero_goal,6,tok_effrank_fbr,0.5260552509714164,high,102,3898,True,0,11,1,21,1,41,False,0.6805411957337388,0.10145313248522914,4.0,-0.07539788151381277,-3.0
libero_goal,6,state_action_back,0.5207324213551924,high,102,3898,True,8,11,8,21,8,41,False,0.6453617500372425,0.10145313248522914,4.0,-0.08072071113003676,4.0
libero_goal,6,state_action_all,0.6039814765529355,high,102,3898,True,0,11,1,21,2,41,False,1.4399904475083594,0.10145313248522914,4.0,0.0025283440677064117,-3.0
libero_goal,6,state_action_fbr,0.6213072869537446,high,102,3898,True,0,11,0,21,0,41,False,1.6917038316010222,0.10145313248522914,4.0,0.01985415446851546,-4.0
libero_goal,6,load_top4mass_back,0.6660057486559855,high,102,3898,True,4,11,6,21,9,41,False,2.54791451276528,0.10145313248522914,4.0,0.06455261617075636,2.0
libero_goal,6,load_top4mass_all,0.6729387342311174,high,102,3898,True,8,11,8,21,8,41,False,2.7134322508839657,0.10145313248522914,4.0,0.07148560174588825,4.0
libero_goal,6,load_top4mass_fbr,0.6073082450630756,low,102,3898,True,0,11,0,21,1,41,False,1.4854147518524674,0.10145313248522914,4.0,0.005855112577846433,-4.0
libero_goal,6,load_pr_back,0.6902113163357642,low,102,3898,True,0,11,0,21,0,41,False,3.1726872955147263,0.10145313248522914,4.0,0.08875818385053502,-4.0
libero_goal,6,load_pr_all,0.7098259434715495,low,102,3898,True,0,11,0,21,1,41,False,3.787331027708942,0.10145313248522914,4.0,0.10837281098632034,-4.0
libero_goal,6,load_pr_fbr,0.6137754830467876,high,102,3898,True,0,11,0,21,0,41,False,1.5775874846431488,0.10145313248522914,4.0,0.012322350561558504,-4.0
libero_goal,6,step_endpoint_back,0.652685367541385,high,102,3898,True,1,11,3,21,9,41,False,2.2568737647900874,0.10145313248522914,4.0,0.05123223505615582,-1.0
