suite,chunk,risk_alive,safe_alive,prior
libero_long,22,712,4696,0.13165680473372782
libero_long,23,712,3882,0.15498476273400086
libero_long,24,712,2981,0.19279718386135933
libero_long,25,712,2002,0.262343404568902
libero_long,26,712,1454,0.32871652816251157
libero_long,27,712,1172,0.37791932059447986
libero_long,28,712,1031,0.408491107286288
libero_long,29,712,978,0.421301775147929
libero_long,30,712,947,0.42917420132610007
libero_long,31,712,912,0.43842364532019706
libero_long,32,712,884,0.44611528822055135
libero_long,33,712,871,0.4497789008212255
libero_long,34,712,865,0.4514901712111604
libero_long,35,712,851,0.45553422904670504
libero_long,36,712,819,0.465055519268452
libero_long,37,712,741,0.49002064693737096
libero_long,38,712,582,0.5502318392581144
libero_long,39,712,308,0.6980392156862745
libero_long,40,712,150,0.8259860788863109
libero_long,41,712,88,0.89
libero_long,42,712,62,0.9198966408268734
libero_long,43,712,51,0.9331585845347313
libero_long,44,712,36,0.9518716577540107
libero_long,45,712,31,0.9582772543741588
libero_long,46,712,25,0.966078697421981
libero_long,47,712,18,0.9753424657534246
libero_long,48,712,10,0.9861495844875346
libero_long,49,712,8,0.9888888888888889
libero_long,50,712,5,0.99302649930265
libero_long,51,712,1,0.9985974754558204
libero_long,52,0,0,0.0
libero_object,0,81,7519,0.010657894736842106
libero_object,1,81,7519,0.010657894736842106
libero_object,2,81,7519,0.010657894736842106
libero_object,3,81,7519,0.010657894736842106
libero_object,4,81,7519,0.010657894736842106
libero_object,5,81,7519,0.010657894736842106
libero_object,6,81,7519,0.010657894736842106
libero_object,7,81,7519,0.010657894736842106
libero_object,8,81,7519,0.010657894736842106
libero_object,9,81,7519,0.010657894736842106
libero_object,10,81,7519,0.010657894736842106
libero_object,11,81,7467,0.010731319554848967
libero_object,12,81,6327,0.012640449438202247
libero_object,13,81,3751,0.021137787056367433
libero_object,14,81,2188,0.035698545614808286
libero_object,15,81,861,0.08598726114649681
libero_object,16,81,371,0.17920353982300885
libero_object,17,81,159,0.3375
libero_object,18,81,79,0.50625
libero_object,19,81,47,0.6328125
libero_object,20,81,34,0.7043478260869566
libero_object,21,81,18,0.8181818181818182
libero_object,22,81,12,0.8709677419354839
libero_object,23,81,8,0.9101123595505618
libero_object,24,81,6,0.9310344827586207
libero_object,25,81,4,0.9529411764705882
libero_object,26,81,2,0.9759036144578314
libero_object,27,81,1,0.9878048780487805
libero_object,28,0,0,0.0
libero_spatial,0,315,8709,0.03490691489361702
libero_spatial,1,315,8709,0.03490691489361702
libero_spatial,2,315,8709,0.03490691489361702
libero_spatial,3,315,8709,0.03490691489361702
libero_spatial,4,315,8709,0.03490691489361702
libero_spatial,5,315,8709,0.03490691489361702
libero_spatial,6,315,8709,0.03490691489361702
libero_spatial,7,315,8679,0.03502334889926618
libero_spatial,8,315,8057,0.03762541806020067
libero_spatial,9,315,6440,0.046632124352331605
libero_spatial,10,315,4367,0.0672789406236651
libero_spatial,11,315,3222,0.089058524173028
libero_spatial,12,315,1514,0.1722252597047567
libero_spatial,13,315,439,0.4177718832891247
libero_spatial,14,315,47,0.8701657458563536
libero_spatial,15,315,15,0.9545454545454546
libero_spatial,16,315,12,0.963302752293578
libero_spatial,17,315,8,0.9752321981424149
libero_spatial,18,315,8,0.9752321981424149
libero_spatial,19,315,5,0.984375
libero_spatial,20,315,3,0.9905660377358491
libero_spatial,21,315,3,0.9905660377358491
libero_spatial,22,0,0,0.0
