feature,best_reference,best_abs_spearman,degenerate,rho_flow_path,rho_flow_settling_log_ratio,rho_flow_endpoint,rho_action_consensus,rho_state_action_alignment,rho_conditional_energy,rho_conditional_effective_rank,rho_partial_edge_std,rho_expert_load_effective_rank,rho_conditional_query_d1,rho_partial_query_d1,rho_mobility
res_mean,conditional_energy,0.9983652881026193,False,-0.5721061627073868,0.6979035880589755,-0.15080685449339706,-0.022994976161175473,0.9983602966655549,-0.9983652881026193,0.8652609950590125,0.855364151174405,-0.3110832589817916,-0.7388391675426191,0.7032729901005591,0.3299518703506223
res_cv,partial_edge_std,0.8407256208879281,False,-0.1851600707967755,0.6910965263869433,0.22425912890346042,-0.4249188867066913,0.7158824978283664,-0.7159366586987044,0.835847608024688,0.8407256208879281,-0.4778320006391248,-0.4949254696209719,0.7172149350416819,0.5606424152174516
res_end2end,conditional_energy,0.9961610657135299,False,-0.562422264752553,0.702220863112535,-0.13739491458261477,-0.038524498240150716,0.9961552372373427,-0.9961610657135299,0.8718875497714922,0.8641248402035429,-0.3213422418938266,-0.7358437009516721,0.7102078468232137,0.3421780568614358
res_chain_series,conditional_energy,0.9986817739328896,False,-0.5747969144443942,0.6966713321199044,-0.15437804182849418,-0.018780505773474496,0.9986771221662704,-0.9986817739328896,0.8631455112259988,0.8530130251324718,-0.308683601266189,-0.7395675894370127,0.7012706374155493,0.32681656034543216
res_shortcut,partial_edge_std,0.56209088236643,False,0.07601997435102649,-0.4372248114323832,-0.2030036008255938,0.3394981421629448,-0.4075946921445287,0.4076101603708102,-0.5245856249845475,-0.56209088236643,0.3719358633660761,0.28368177967238645,-0.4632011563402627,-0.41837844526414875
res_adjacent_mean,conditional_energy,0.9986817739613543,False,-0.5747969145383146,0.6966713319095452,-0.15437804201207442,-0.018780505527451526,0.9986771221947774,-0.9986817739613543,0.863145511080291,0.8530130250074439,-0.3086836011755014,-0.7395675894128011,0.7012706372401794,0.32681656021005656
th_mean,conditional_energy,0.9881732312089917,False,-0.5637680685818572,0.6979665374886683,-0.14434121263864816,-0.0321251120931394,0.9881680072813818,-0.9881732312089917,0.8580885798137319,0.8481671520029831,-0.315081964116817,-0.7333825438178501,0.6992933526698323,0.33584930229025517
th_max,conditional_energy,0.9845038787909215,False,-0.5441703656463943,0.7071490994008957,-0.11919609626236045,-0.060817437955143286,0.9844944123545234,-0.9845038787909215,0.8711332295673894,0.863522958599668,-0.3314437027692285,-0.7272893564675895,0.7129048103755417,0.3563938094954814
th_min,conditional_energy,0.988643583576768,False,-0.5728920744188666,0.6931369841823253,-0.15618632563522714,-0.018326324358666095,0.9886409866958407,-0.988643583576768,0.8509249344438469,0.8409519055778695,-0.3078508058434416,-0.7357096559029643,0.6927195227671122,0.32629972163875337
th_cv,action_consensus,0.5465313607879585,False,0.185771649585136,0.3905283384185967,0.41774390592977273,-0.5465313607879585,0.2669086069902947,-0.2669696236006882,0.5259477129516991,0.5447799936508844,-0.39430404780060124,-0.1502894513930651,0.4699572298756887,0.5039680081926515
th_first,conditional_energy,0.9846034688371899,False,-0.5512167841711252,0.7024187021509639,-0.12784524861758298,-0.05185780833489845,0.9845958496412124,-0.9846034688371899,0.8661634380768246,0.8580484739416508,-0.3259976132004452,-0.7291942303115159,0.7074800025541613,0.3503724226669047
th_last,conditional_energy,0.9856467378108128,False,-0.5559646272958899,0.701551212482082,-0.13386269587254793,-0.042948368343402425,0.9856424675550577,-0.9856467378108128,0.8622653632560281,0.8540666904965304,-0.32426054658254305,-0.7309672844204069,0.7036436203927746,0.34501959799333
th_slope,partial_edge_std,0.08945971117483094,False,0.006098580405115068,-0.029961699869085076,-0.020368079952833018,0.05229814097001683,-0.06709154932070846,0.06711675572658564,-0.08674475648406586,-0.08945971117483094,0.007692147689625929,0.03489020674588477,-0.07211611251407117,-0.03936272303333426
ground_leak_mean,conditional_energy,0.9999999999966538,False,-0.5974344460969965,0.6856641477844866,-0.18269456332066644,0.013992494680428801,0.9999999779263921,-0.9999999999966538,0.8452729514749895,0.835636725403399,-0.2923303097993688,-0.7447895753960443,0.6854635129730461,0.3046986001805851
ground_leak_cv,state_action_alignment,0.8027264618907564,False,0.6554444188952852,-0.42518534665438085,0.3790630933358225,-0.302956577638205,-0.8027264618907564,0.8026627465837805,-0.5417504529425683,-0.5385351201596351,0.08431465076906469,0.640792568368785,-0.42689309803095893,-0.05674866781596273
thalt_mean,conditional_energy,0.999641760035241,False,-0.5861093561699514,0.6912703162948916,-0.16837940112941302,-0.002631831928617273,0.9996390693282939,-0.999641760035241,0.8544453256451748,0.8446813715701013,-0.30067891068289615,-0.7421956268939658,0.6936378337408406,0.3159683396577623
thalt_cv,conditional_effective_rank,0.8170741199175289,False,-0.18716380246440328,0.6754477762864027,0.2105952682012125,-0.40632641457900454,0.7064705045710411,-0.7065310917417831,0.8170741199175289,0.8133736044738082,-0.45664366101841886,-0.48777515369932983,0.6970324322661854,0.5386643594636774
foster_residual,partial_edge_std,0.0061087945094705255,False,-0.0016945878699170783,0.003572626004584686,0.0005183236714849162,-0.002077554267305351,0.005062967996451511,-0.005062966744220982,0.005567173266013394,0.0061087945094705255,-0.002242447902093983,-0.004808213932921668,0.003599029419292218,0.002570091326438388
neg_count,partial_edge_std,0.01989234610795385,False,0.00978541536288571,0.017371972975753606,0.016671289229134998,-0.019118240871126704,0.011780303324053493,-0.01183848502331543,0.019728111213507725,0.01989234610795385,-0.010679754648637024,0.00043117237575873973,0.019879091520349824,0.015436322430841
neg_mass,partial_edge_std,0.019892346080727628,False,0.009785475178358578,0.017372001193108718,0.016671319187606285,-0.019118251235216644,0.01178027745239215,-0.0118384603885813,0.019728115666174575,0.019892346080727628,-0.010679784866780964,0.000431192496242493,0.019879091458114114,0.015436342531956268
dd_deficit,conditional_effective_rank,0.9988904926022643,False,0.21466883108918539,-0.821448685581136,-0.2619820395426762,0.4973405419885011,-0.8443513619279691,0.8443845926800972,-0.9988904926022643,-0.9909679787539738,0.5614652730142712,0.6006695379165238,-0.8376435224732109,-0.6548086990971137
