task,physical_pattern,n,mixed_initial_states,cross_init_status,family,feature,effect_sigma
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,return_to_completed_pot2_proxy,39,9,estimable,denoise_hard_switch,action_hard_switch|back_12_15|denoise_mean|late_minus_mid,-1.2203611590941121
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,return_to_completed_pot2_proxy,39,9,estimable,denoise_soft_motion,action_denoise_motion|back_12_15|denoise_mean|phase_slope,2.3570566123121264
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,return_to_completed_pot2_proxy,39,9,estimable,query_persistence,soft_denoise_spread|back_12_15|adjacent_delta,2.120287117393953
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,return_to_completed_pot2_proxy,39,9,estimable,query_recurrence,soft_route|front_2_5|return_advantage_mean,-1.5776273769911962
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,return_to_completed_pot2_proxy,39,9,estimable,state_action_mismatch,state_action_gap_at_d|front_2_5|d9|phase_slope,3.537368135329199
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,return_to_completed_pot2_proxy,39,9,estimable,state_confidence,state_entropy|front_2_5|denoise_mean|phase_late,-4.187787250370952
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,return_to_completed_pot2_proxy,39,9,estimable,token_disagreement,action_token_dispersion|back_12_15|denoise_slope|phase_slope,3.0434781079050635
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,stalled_at_unfinished_pot1,109,9,estimable,action_confidence,action_top4_at_d|back_12_15|d5|phase_std,-3.796047647838536
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,stalled_at_unfinished_pot1,109,9,estimable,denoise_hard_switch,action_hard_switch|back_12_15|denoise_mean|phase_late,1.405479103790141
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,stalled_at_unfinished_pot1,109,9,estimable,denoise_soft_motion,action_denoise_motion|back_12_15|denoise_mean|phase_std,-3.095269601578492
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,stalled_at_unfinished_pot1,109,9,estimable,query_persistence,soft_denoise_spread|back_12_15|adjacent_late,-3.725310871848667
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,stalled_at_unfinished_pot1,109,9,estimable,query_recurrence,soft_denoise_spread|back_12_15|return_advantage_max,-1.8141301990928533
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,stalled_at_unfinished_pot1,109,9,estimable,state_action_mismatch,state_action_gap|back_12_15|denoise_std|query_change,-2.6141642178346522
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,stalled_at_unfinished_pot1,109,9,estimable,state_confidence,state_top1|front_2_5|denoise_mean|phase_std,-2.667761357725149
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,stalled_at_unfinished_pot1,109,9,estimable,token_disagreement,action_token_dispersion_at_d|back_12_15|d8|phase_std,-3.269116790124504
libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,bowl_transport_loss_proxy,1,1,descriptive_only,action_confidence,action_top4_at_d|back_12_15|d4|phase_mean,225.08079624363907
libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,bowl_transport_loss_proxy,1,1,descriptive_only,denoise_hard_switch,action_hard_switch|back_12_15|denoise_max|phase_mean,-32.08387978386768
libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,bowl_transport_loss_proxy,1,1,descriptive_only,denoise_soft_motion,action_denoise_motion|back_12_15|denoise_std|phase_slope,63.67391262079189
libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,bowl_transport_loss_proxy,1,1,descriptive_only,query_persistence,soft_route|back_12_15|adjacent_late,31.579472135430795
