task,episode,full_invariant,nontrap_only,trap_only,init_state_id,primary_behavior,primary_physical_pattern,coverage_status,nontrap_coverage_status
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,24,True,True,False,0,other,return_to_completed_pot2_proxy,full_only,nontrap_only
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,27,True,True,True,0,stagnation,stalled_at_unfinished_pot1,both,both
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,28,True,True,False,0,other,active_at_unfinished_pot1,full_only,nontrap_only
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,30,True,True,False,0,other,return_to_completed_pot2_proxy,full_only,nontrap_only
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,31,True,True,True,0,stagnation,active_at_unfinished_pot1,both,both
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,32,True,True,True,3,stagnation,stalled_at_unfinished_pot1,both,both
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,33,True,True,True,3,stagnation,stalled_at_unfinished_pot1,both,both
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,34,True,True,False,3,other,return_to_completed_pot2_proxy,full_only,nontrap_only
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,35,True,True,True,3,stagnation,stalled_at_unfinished_pot1,both,both
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,36,True,True,False,3,other,return_to_completed_pot2_proxy,full_only,nontrap_only
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,37,True,True,True,3,stagnation,stalled_at_unfinished_pot1,both,both
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,38,True,True,True,3,stagnation,stalled_at_unfinished_pot1,both,both
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,40,True,True,False,3,other,return_to_completed_pot2_proxy,full_only,nontrap_only
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,41,True,True,True,3,stagnation,stalled_at_unfinished_pot1,both,both
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,42,True,True,True,3,stagnation,stalled_at_unfinished_pot1,both,both
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,44,True,True,False,3,other,active_at_unfinished_pot1,full_only,nontrap_only
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,45,True,True,True,3,stagnation,stalled_at_unfinished_pot1,both,both
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,46,True,True,False,3,other,return_to_completed_pot2_proxy,full_only,nontrap_only
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,48,True,False,True,3,other,active_at_unfinished_pot1,both,trap_only
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,49,True,True,True,3,stagnation,stalled_at_unfinished_pot1,both,both
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,50,True,True,False,3,gripper_cycling,return_to_completed_pot2_proxy,full_only,nontrap_only
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,52,True,True,True,3,stagnation,stalled_at_unfinished_pot1,both,both
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,53,True,True,True,3,stagnation,stalled_at_unfinished_pot1,both,both
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,54,True,True,True,3,stagnation,active_at_unfinished_pot1,both,both
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,55,True,True,False,3,other,return_to_completed_pot2_proxy,full_only,nontrap_only
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,56,True,True,True,3,stagnation,active_at_unfinished_pot1,both,both
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,57,True,True,False,3,other,return_to_completed_pot2_proxy,full_only,nontrap_only
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,58,True,True,True,3,stagnation,stalled_at_unfinished_pot1,both,both
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,60,True,True,True,3,stagnation,stalled_at_unfinished_pot1,both,both
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,61,True,True,True,3,stagnation,stalled_at_unfinished_pot1,both,both
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,62,True,True,False,3,other,active_at_unfinished_pot1,full_only,nontrap_only
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,63,True,True,True,3,stagnation,stalled_at_unfinished_pot1,both,both
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,66,False,True,True,7,regrasp_or_drop,active_at_unfinished_pot1,trap_only,both
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,69,True,True,False,7,stagnation,return_to_completed_pot2_proxy,full_only,nontrap_only
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,74,True,True,False,7,goal_approach_leave,placed_object_goal_loss,full_only,nontrap_only
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,96,True,True,False,10,other,active_at_unfinished_pot1,full_only,nontrap_only
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,97,True,True,False,10,stagnation,return_to_completed_pot2_proxy,full_only,nontrap_only
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,98,True,True,False,10,other,active_at_unfinished_pot1,full_only,nontrap_only
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,99,True,True,True,10,other,active_at_unfinished_pot1,both,both
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,101,True,True,True,10,stagnation,return_to_completed_pot2_proxy,both,both
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,102,True,True,True,10,stagnation,return_to_completed_pot2_proxy,both,both
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,105,True,True,False,10,other,active_at_unfinished_pot1,full_only,nontrap_only
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,106,False,False,False,10,subtask_undo,placed_object_goal_loss,uncovered,uncovered
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,107,True,True,True,10,other,active_at_unfinished_pot1,both,both
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,109,True,True,False,10,other,active_at_unfinished_pot1,full_only,nontrap_only
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,110,True,True,True,10,other,active_at_unfinished_pot1,both,both
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,113,True,True,True,10,stagnation,return_to_completed_pot2_proxy,both,both
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,114,True,True,False,10,other,active_at_unfinished_pot1,full_only,nontrap_only
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,116,True,True,True,10,stagnation,return_to_completed_pot2_proxy,both,both
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,117,True,True,False,10,other,active_at_unfinished_pot1,full_only,nontrap_only
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,118,True,True,False,10,other,active_at_unfinished_pot1,full_only,nontrap_only
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,119,True,True,False,10,other,active_at_unfinished_pot1,full_only,nontrap_only
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,121,True,True,False,10,other,active_at_unfinished_pot1,full_only,nontrap_only
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,122,True,True,False,10,other,active_at_unfinished_pot1,full_only,nontrap_only
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,124,True,True,False,10,stagnation,return_to_completed_pot2_proxy,full_only,nontrap_only
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,125,True,True,False,10,other,active_at_unfinished_pot1,full_only,nontrap_only
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,126,True,True,False,10,other,active_at_unfinished_pot1,full_only,nontrap_only
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,127,False,False,False,10,subtask_undo,placed_object_goal_loss,uncovered,uncovered
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,152,True,True,True,13,stagnation,return_to_completed_pot2_proxy,both,both
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,161,True,True,True,16,stagnation,active_at_unfinished_pot1,both,both
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,167,True,True,True,16,stagnation,stalled_at_unfinished_pot1,both,both
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,172,True,True,True,16,stagnation,stalled_at_unfinished_pot1,both,both
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,177,False,True,False,16,other,other_long_incomplete,uncovered,nontrap_only
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,198,False,False,False,20,subtask_undo,other_long_incomplete,uncovered,uncovered
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,201,True,False,False,20,other,other_long_incomplete,full_only,uncovered
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,203,False,False,False,20,subtask_undo,placed_object_goal_loss,uncovered,uncovered
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,204,False,False,False,20,regrasp_or_drop,active_at_unfinished_pot1,uncovered,uncovered
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,211,False,False,False,20,other,other_long_incomplete,uncovered,uncovered
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,213,False,False,False,20,other,other_long_incomplete,uncovered,uncovered
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,218,True,True,True,20,goal_approach_leave,placed_object_goal_loss,both,both
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,220,False,True,False,20,subtask_undo,placed_object_goal_loss,uncovered,nontrap_only
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,221,True,True,False,20,goal_approach_leave,placed_object_goal_loss,full_only,nontrap_only
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,226,True,True,False,23,other,return_to_completed_pot2_proxy,full_only,nontrap_only
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,243,True,True,False,23,other,return_to_completed_pot2_proxy,full_only,nontrap_only
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,257,True,True,False,26,other,return_to_completed_pot2_proxy,full_only,nontrap_only
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,258,True,True,True,26,stagnation,stalled_at_unfinished_pot1,both,both
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,259,True,True,True,26,stagnation,stalled_at_unfinished_pot1,both,both
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,260,True,True,True,26,stagnation,stalled_at_unfinished_pot1,both,both
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,261,True,True,False,26,other,return_to_completed_pot2_proxy,full_only,nontrap_only
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,262,True,True,True,26,stagnation,stalled_at_unfinished_pot1,both,both
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,266,True,True,True,26,stagnation,active_at_unfinished_pot1,both,both
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,268,True,True,True,26,stagnation,stalled_at_unfinished_pot1,both,both
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,269,True,True,True,26,stagnation,stalled_at_unfinished_pot1,both,both
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,270,True,True,True,26,stagnation,stalled_at_unfinished_pot1,both,both
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,271,True,True,True,26,stagnation,active_at_unfinished_pot1,both,both
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,273,True,True,True,26,stagnation,stalled_at_unfinished_pot1,both,both
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,274,False,False,False,26,subtask_undo,other_long_incomplete,uncovered,uncovered
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,275,True,True,True,26,stagnation,stalled_at_unfinished_pot1,both,both
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,277,True,True,True,26,stagnation,stalled_at_unfinished_pot1,both,both
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,278,True,True,True,26,stagnation,stalled_at_unfinished_pot1,both,both
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,280,True,True,True,26,stagnation,active_at_unfinished_pot1,both,both
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,281,True,True,False,26,other,active_at_unfinished_pot1,full_only,nontrap_only
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,282,True,True,True,26,stagnation,stalled_at_unfinished_pot1,both,both
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,283,True,True,True,26,stagnation,stalled_at_unfinished_pot1,both,both
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,284,False,False,False,26,other,other_long_incomplete,uncovered,uncovered
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,286,True,True,False,26,subtask_undo,placed_object_goal_loss,full_only,nontrap_only
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,287,True,True,True,26,stagnation,stalled_at_unfinished_pot1,both,both
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,291,True,True,True,29,stagnation,stalled_at_unfinished_pot1,both,both
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,293,True,True,False,29,other,other_long_incomplete,full_only,nontrap_only
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,314,True,True,False,29,other,other_long_incomplete,full_only,nontrap_only
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,315,True,True,True,29,stagnation,stalled_at_unfinished_pot1,both,both
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,384,True,True,True,39,stagnation,active_at_unfinished_pot1,both,both
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,386,True,True,True,39,stagnation,stalled_at_unfinished_pot1,both,both
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,387,True,True,True,39,stagnation,stalled_at_unfinished_pot1,both,both
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,388,True,True,True,39,stagnation,stalled_at_unfinished_pot1,both,both
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,389,True,True,True,39,stagnation,return_to_completed_pot2_proxy,both,both
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,390,True,True,True,39,stagnation,stalled_at_unfinished_pot1,both,both
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,391,True,True,False,39,other,return_to_completed_pot2_proxy,full_only,nontrap_only
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,392,True,True,True,39,stagnation,active_at_unfinished_pot1,both,both
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,393,True,True,True,39,stagnation,stalled_at_unfinished_pot1,both,both
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,394,True,True,False,39,other,return_to_completed_pot2_proxy,full_only,nontrap_only
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,395,True,True,True,39,stagnation,stalled_at_unfinished_pot1,both,both
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,396,True,True,True,39,stagnation,stalled_at_unfinished_pot1,both,both
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,399,True,True,False,39,other,return_to_completed_pot2_proxy,full_only,nontrap_only
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,400,True,True,True,39,stagnation,stalled_at_unfinished_pot1,both,both
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,401,True,True,True,39,stagnation,stalled_at_unfinished_pot1,both,both
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,403,True,True,True,39,stagnation,stalled_at_unfinished_pot1,both,both
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,404,True,True,False,39,other,active_at_unfinished_pot1,full_only,nontrap_only
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,405,True,True,True,39,other,return_to_completed_pot2_proxy,both,both
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,406,True,True,True,39,stagnation,stalled_at_unfinished_pot1,both,both
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,407,True,True,True,39,stagnation,stalled_at_unfinished_pot1,both,both
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,408,True,True,True,39,stagnation,return_to_completed_pot2_proxy,both,both
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,409,True,True,False,39,other,return_to_completed_pot2_proxy,full_only,nontrap_only
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,410,True,True,False,39,stagnation,return_to_completed_pot2_proxy,full_only,nontrap_only
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,411,True,True,False,39,gripper_cycling,return_to_completed_pot2_proxy,full_only,nontrap_only
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,412,True,True,False,39,other,return_to_completed_pot2_proxy,full_only,nontrap_only
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,413,True,True,True,39,stagnation,stalled_at_unfinished_pot1,both,both
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,414,True,True,True,39,other,return_to_completed_pot2_proxy,both,both
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,415,True,True,True,39,stagnation,stalled_at_unfinished_pot1,both,both
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,416,True,True,False,42,other,active_at_unfinished_pot1,full_only,nontrap_only
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,422,True,True,True,42,stagnation,stalled_at_unfinished_pot1,both,both
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,423,True,True,True,42,stagnation,stalled_at_unfinished_pot1,both,both
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,425,False,False,False,42,other,other_long_incomplete,uncovered,uncovered
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,427,True,True,True,42,stagnation,stalled_at_unfinished_pot1,both,both
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,428,True,True,True,42,stagnation,stalled_at_unfinished_pot1,both,both
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,430,False,False,False,42,other,other_long_incomplete,uncovered,uncovered
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,431,True,True,False,42,other,active_at_unfinished_pot1,full_only,nontrap_only
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,432,True,True,False,42,other,active_at_unfinished_pot1,full_only,nontrap_only
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,433,True,True,False,42,other,return_to_completed_pot2_proxy,full_only,nontrap_only
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,434,True,True,False,42,other,active_at_unfinished_pot1,full_only,nontrap_only
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,435,True,True,True,42,stagnation,return_to_completed_pot2_proxy,both,both
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,436,True,True,False,42,other,active_at_unfinished_pot1,full_only,nontrap_only
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,439,True,True,True,42,subtask_undo,placed_object_goal_loss,both,both
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,441,True,True,False,42,other,active_at_unfinished_pot1,full_only,nontrap_only
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,442,True,True,False,42,other,active_at_unfinished_pot1,full_only,nontrap_only
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,443,False,False,False,42,other,other_long_incomplete,uncovered,uncovered
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,444,True,True,True,42,stagnation,stalled_at_unfinished_pot1,both,both
libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,183,True,True,True,16,other,ramekin_displacement_interference_proxy,both,both
libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,448,True,True,True,46,other,ramekin_displacement_interference_proxy,both,both
libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,449,True,True,True,46,regrasp_or_drop,bowl_transport_loss_proxy,both,both
libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,455,True,True,True,46,other,ramekin_displacement_interference_proxy,both,both
libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,478,True,True,False,46,other,ramekin_displacement_interference_proxy,full_only,nontrap_only
libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,226,False,False,False,23,stagnation,bowl_never_transported,uncovered,uncovered
libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,249,False,False,False,23,other,bowl_never_transported,uncovered,uncovered
libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,304,False,False,False,29,other,bowl_never_transported,uncovered,uncovered
libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,318,False,False,False,29,stagnation,bowl_never_transported,uncovered,uncovered
libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,320,False,False,False,33,stagnation,bowl_never_transported,uncovered,uncovered
