design,scope,layer,token_role,relative_query,metric,n_strata,n_pairs,n_tasks,auc,auc_lo,auc_hi,auc_abs,null_auc,null_lo,null_hi,null_abs_mean,n_strata_null,delta_abs,delta_abs_lo,delta_abs_hi,p_boot,exceeds_null_paired,exceeds_null_disjoint,q_bh,exceeds_null_bh
wide,seed1008_1015,L4,action,5,gate_entropy,104,491,10,0.2762820512820513,0.21504467604506208,0.40654761904761905,0.2237179487179487,0.49931182398644014,0.38458333333333333,0.6145871074879226,0.04417879010546526,99,0.17953915861248343,-0.014248393173758794,0.26365906116090115,0.0315,False,False,0.12907317073170732,False
wide,seed1008_1015,L5,state,-1,gate_entropy,109,508,10,0.6978593272171254,0.4394970324612403,0.7868240000783484,0.1978593272171254,0.5003809523809524,0.39676995798319326,0.6034233424927782,0.04065197681610374,105,0.15720735040102166,-0.06204572770979027,0.2670975379414471,0.107,False,False,0.2306086956521739,False
wide,seed1008_1015,L5,state,0,gate_entropy,109,508,10,0.25061162079510707,0.11074450084602369,0.5937812499999998,0.24938837920489293,0.49910873015873014,0.3977272727272727,0.6000386313465781,0.04012851000747105,105,0.20925986919742187,-0.05214391252955076,0.36790187902193305,0.1015,False,False,0.2306086956521739,False
wide,seed1008_1015,L5,state,1,gate_entropy,109,508,10,0.2579510703363914,0.061762707800511504,0.7356516656925771,0.24204892966360858,0.5000801587301587,0.3973882850241546,0.6,0.03938523757653978,105,0.2026636920870688,-0.051607368028412905,0.41819330563012846,0.0885,False,False,0.2305116279069767,False
wide,seed1008_1015,L5,state,2,gate_entropy,109,508,10,0.3149847094801223,0.1536218944099379,0.7036911764705874,0.1850152905198777,0.5000285714285715,0.39418675364882794,0.6047324542284219,0.040804760438127134,105,0.14421053008175055,-0.05563899455548379,0.3218295451571981,0.102,False,False,0.2306086956521739,False
wide,seed1008_1015,L5,state,3,gate_entropy,109,508,10,0.29847094801223245,0.17505845323741007,0.5901294065149486,0.20152905198776755,0.5007511904761904,0.39848753829016986,0.6082438394938393,0.04045455952343895,105,0.1610744924643286,-0.049238709677419355,0.30203430308293516,0.098,False,False,0.2306086956521739,False
wide,seed1008_1015,L5,state,4,gate_entropy,107,498,10,0.31510903426791287,0.21574768133997785,0.4325775193798449,0.18489096573208713,0.49972738698869884,0.391640625,0.6111204954954955,0.04181137429568106,101,0.14307959143640608,-0.004981873428758812,0.24949218749999996,0.0275,False,False,0.12821052631578947,False
wide,seed1008_1015,L5,state,5,gate_entropy,104,491,10,0.20064102564102565,0.1298665785350568,0.30353679337231954,0.29935897435897435,0.49999880291773413,0.39188626126126125,0.6083449074074073,0.04274108233372702,99,0.2566178920252473,0.1025639546290439,0.3408533088763652,0.01,True,True,0.08,False
wide,seed1008_1015,L5,action,-1,gate_entropy,109,508,10,0.3966360856269113,0.27019731201061287,0.7037649456521738,0.10336391437308867,0.4991349206349206,0.3951612903225806,0.6054757094109195,0.03974836094757052,105,0.06361555342551815,-0.057111261817385565,0.20710060735494537,0.135,False,False,0.25245901639344265,False
wide,seed1008_1015,L5,action,0,gate_entropy,109,508,10,0.4055045871559633,0.2871691228070176,0.665424390991267,0.09449541284403667,0.4993519841269841,0.3999922839506173,0.6036667882704467,0.03945889748730734,105,0.055036515356729335,-0.06278078723827525,0.18964190405908732,0.17,False,False,0.2564601769911504,False
