paired_record_index,candidate,outcome,relative_query,previous_query,current_query,base_mae_u8,base_rmse_u8,base_changed_pixel_fraction,base_changed_gt8_fraction,wrist_mae_u8,wrist_rmse_u8,wrist_changed_pixel_fraction,wrist_changed_gt8_fraction,policy_state_delta_l2,eef_position_delta_m,gripper_state_delta
73,12,success,-2,33,34,6.3601789474487305,29.22181510925293,0.09881218112244898,0.07818478954081633,14.286816596984863,38.51155090332031,0.7590082908163265,0.19943797831632654,0.11585763096809387,0.0644085556268692,2.4952416424639523e-05
74,12,success,-1,34,35,5.143820285797119,25.185258865356445,0.11312181122448979,0.07459741709183673,5.181434631347656,16.94863510131836,0.7116151147959183,0.11662946428571429,0.033309247344732285,0.0318441316485405,0.0003208784619346261
75,12,success,0,35,36,3.430046319961548,18.217668533325195,0.10220025510204081,0.06758211096938775,6.048303127288818,21.73467254638672,0.6760004783163265,0.09528459821428571,0.03024998866021633,0.01433605793863535,0.008312053047120571
76,12,success,1,36,37,2.567349672317505,14.414291381835938,0.09327168367346939,0.056162308673469385,9.684165000915527,32.48647689819336,0.6553730867346939,0.12107382015306123,0.03909123316407204,0.005627273581922054,0.03620324656367302
77,12,success,2,37,38,8.34766960144043,32.97583770751953,0.13392857142857142,0.10799984056122448,8.856823921203613,24.61572265625,0.7499202806122449,0.20081313775510204,0.07145863771438599,0.057046689093112946,0.006660031154751778
85,13,success,-2,30,31,8.810972213745117,35.375831604003906,0.11599170918367346,0.09586256377551021,11.20705795288086,33.98894500732422,0.754264987244898,0.15443638392857142,0.06900859624147415,0.05534227192401886,1.9783123207162134e-05
86,13,success,-1,31,32,5.635130882263184,25.15921401977539,0.11987802933673469,0.08647560586734694,7.408575057983398,25.930694580078125,0.7290138711734694,0.13141741071428573,0.05351950600743294,0.021164141595363617,2.8182268579257652e-05
87,13,success,0,32,33,3.4564931392669678,16.60879135131836,0.10375478316326531,0.07358099489795919,9.242951393127441,28.763334274291992,0.7369858099489796,0.1574657206632653,0.04559767246246338,0.015740644186735153,0.008487334474921227
88,13,success,1,33,34,3.250113010406494,17.02191925048828,0.10592713647959184,0.06702407525510204,12.382832527160645,38.44766616821289,0.6758609693877551,0.14299665178571427,0.03967041149735451,0.007748738396912813,0.0342605896294117
89,13,success,2,34,35,10.06057357788086,36.87459945678711,0.142578125,0.11967873086734694,4.338056564331055,13.695525169372559,0.7462930484693877,0.12709263392857142,0.06447906047105789,0.05617828294634819,0.004180482588708401
