task,suite,episodes,failures,failure_rate,failure_rate_wilson_low,failure_rate_wilson_high,seed_1000_1003_failure_rate,seed_1004_1007_failure_rate,even_init_failure_rate,odd_init_failure_rate,mean_episode_queries
libero_object/pick_up_the_orange_juice_and_place_it_in_the_basket,libero_object,400,3,0.0075,0.0025538891952499396,0.021815720724032123,0.005,0.01,0.01,0.005,12.9225
libero_object/pick_up_the_alphabet_soup_and_place_it_in_the_basket,libero_object,400,3,0.0075,0.0025538891952499396,0.021815720724032123,0.005,0.01,0.005,0.01,14.4075
libero_goal/push_the_plate_to_the_front_of_the_stove,libero_goal,400,2,0.005,0.0013722529547103846,0.018044918436243156,0.005,0.005,0.005,0.005,13.955
libero_goal/put_the_wine_bottle_on_top_of_the_cabinet,libero_goal,400,2,0.005,0.0013722529547103846,0.018044918436243156,0.005,0.005,0.01,0.0,9.55
libero_object/pick_up_the_butter_and_place_it_in_the_basket,libero_object,400,2,0.005,0.0013722529547103846,0.018044918436243156,0.005,0.005,0.0,0.01,15.3575
libero_object/pick_up_the_salad_dressing_and_place_it_in_the_basket,libero_object,400,1,0.0025,0.0004414477868016362,0.01402328507582339,0.0,0.005,0.005,0.0,12.625
libero_goal/open_the_middle_drawer_of_the_cabinet,libero_goal,400,0,0.0,8.673617379884035e-19,0.009512294334296508,0.0,0.0,0.0,0.0,12.66
libero_object/pick_up_the_chocolate_pudding_and_place_it_in_the_basket,libero_object,400,0,0.0,8.673617379884035e-19,0.009512294334296508,0.0,0.0,0.0,0.0,15.13
libero_goal/turn_on_the_stove,libero_goal,400,0,0.0,8.673617379884035e-19,0.009512294334296508,0.0,0.0,0.0,0.0,7.8225
libero_spatial/pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,libero_spatial,400,0,0.0,8.673617379884035e-19,0.009512294334296508,0.0,0.0,0.0,0.0,8.275
libero_object/pick_up_the_ketchup_and_place_it_in_the_basket,libero_object,400,0,0.0,8.673617379884035e-19,0.009512294334296508,0.0,0.0,0.0,0.0,14.3475
