section,corpus,detector,variant,peak_auc,alpha_nominal,n_succ,fa,n_fa,n_pop,det,n_det,phase_mean,phase_p10,phase_p25,phase_p50,phase_p75,phase_p90,t_mean,t_p10,t_p25,t_p50,t_p75,t_p90,t_nmodes,t_dip,hist_8_12,hist_12_16,hist_16_20,hist_20_24,hist_24_28,hist_28_32,hist_32_35,n_delay,delay_mean,frac_early,frac_late,delay_p10,delay_p25,delay_p50,delay_p75,delay_p90,arl0,arl0_expo,arl1,arl1_expo,arl0_mean_alarm_t,arl1_mean_alarm_t,frac_fail_below_succ_median
sentinel2,A,seq_sprt,shuffle13,0.7719058983975452,0.12,117.0,0.11965811965811966,14.0,235,0.5106382978723404,120.0,0.2603768823814304,0.1568627450980392,0.16326530612244897,0.1875,0.3128063725490196,0.4583333333333333,12.966666666666667,8.0,8.0,9.0,16.0,22.10000000000001,3.0,0.08063506977336776,73.0,16.0,11.0,11.0,1.0,1.0,7.0,68.0,-10.75,0.8382352941176471,0.14705882352941177,-27.0,-14.25,-11.0,-6.5,3.3000000000000043,202.5,2835.0,31.841666666666665,3821.0,11.357142857142858,12.966666666666667,
sentinel2,A,seq_xcorpus,shuffle13,0.6413228775997273,0.005,117.0,0.13675213675213677,16.0,235,0.18723404255319148,44.0,0.5307570766738476,0.4346530920060332,0.4611538461538462,0.5204166666666667,0.5928137212331741,0.6475274725274726,26.431818181818183,22.0,23.0,26.0,29.0,32.7,1.0,,0.0,0.0,0.0,13.0,14.0,11.0,6.0,15.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,-21.599999999999998,-2.0,5.0,8.5,11.0,189.0625,3025.0,136.63636363636363,6012.0,26.125,26.431818181818183,
sentinel2,A,seq_bestinsample,shuffle13,0.6573474258438459,0.07,117.0,0.1794871794871795,21.0,235,0.4,94.0,0.46847859896474525,0.33741496598639453,0.38193877551020405,0.43875,0.5376530612244899,0.6512605042016807,23.29787234042553,17.0,19.0,22.0,27.0,31.700000000000003,2.0,0.2364219430675225,0.0,0.0,28.0,27.0,16.0,13.0,10.0,50.0,0.78,0.4,0.56,-9.299999999999999,-3.75,2.0,8.0,12.0,143.76190476190476,3019.0,56.797872340425535,5339.0,27.666666666666668,23.29787234042553,
sentinel2,A,fixed_W8K3,shuffle13,0.6375724514149335,0.07,117.0,0.11965811965811966,14.0,235,0.3021276595744681,71.0,0.33107962795085527,0.19607843137254902,0.2062074829931973,0.3076923076923077,0.4256862745098039,0.5306122448979592,16.3943661971831,10.0,10.0,15.0,21.0,26.0,3.0,0.1515383381938067,29.0,7.0,12.0,10.0,8.0,1.0,4.0,34.0,-1.6764705882352942,0.5882352941176471,0.4117647058823529,-9.7,-8.0,-3.5,5.0,10.0,214.0,2996.0,71.7605633802817,5095.0,22.714285714285715,16.3943661971831,
sentinel2,A,seq_cusum,clock,0.5,0.005,117.0,0.0,0.0,235,0.0,0.0,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,inf,3150.0,inf,6345.0,,,
sentinel2,A,seq_sprt,clock,0.5,0.005,117.0,0.0,0.0,235,0.0,0.0,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,inf,3150.0,inf,6345.0,,,
sentinel2,A,seq_xcorpus,clock,0.5,0.005,117.0,0.0,0.0,235,0.0,0.0,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,inf,3150.0,inf,6345.0,,,
sentinel2,A,seq_bestinsample,clock,0.5,0.005,117.0,0.0,0.0,235,0.0,0.0,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,inf,3150.0,inf,6345.0,,,
sentinel2,A,fixed_W8K3,clock,0.5,0.005,117.0,0.0,0.0,235,0.0,0.0,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,inf,3150.0,inf,6345.0,,,
breadth,A,W8,t25,0.6345039209001023,,,,,235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.451063829787234
breadth,A,W8,t30,0.7988407773610637,,,,,235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.42127659574468085
breadth,A,W1,t25,0.6068871462666212,,,,,235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.42127659574468085
breadth,A,W1,t30,0.713944766450733,,,,,235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3404255319148936
sentinel2,B,seq_cusum,real,0.7559760956175299,0.04,296.0,0.05067567567567568,15.0,216,0.4861111111111111,105.0,0.6177655677655678,0.5961538461538461,0.6153846153846154,0.6153846153846154,0.6346153846153846,0.6538461538461539,32.12380952380953,31.0,32.0,32.0,33.0,34.0,1.0,,0.0,0.0,0.0,0.0,0.0,26.0,79.0,0.0,,,,,,,,,528.5333333333333,7928.0,53.666666666666664,5635.0,29.733333333333334,32.12380952380953,
sentinel2,B,seq_sprt,real,0.7654382470119522,0.045,296.0,0.05405405405405406,16.0,216,0.5092592592592593,110.0,0.6024475524475523,0.5576923076923077,0.5769230769230769,0.5961538461538461,0.6346153846153846,0.6538461538461539,31.327272727272728,29.0,30.0,31.0,33.0,34.0,1.0,,0.0,0.0,0.0,0.0,0.0,63.0,47.0,0.0,,,,,,,,,495.3125,7925.0,50.345454545454544,5538.0,29.8125,31.327272727272728,
sentinel2,B,seq_xcorpus,real,0.7410358565737052,0.045,296.0,0.0472972972972973,14.0,216,0.3472222222222222,75.0,0.5694871794871794,0.5,0.5384615384615384,0.5576923076923077,0.6153846153846154,0.6538461538461539,29.613333333333333,26.0,28.0,29.0,32.0,34.0,1.0,,0.0,0.0,0.0,2.0,16.0,34.0,23.0,0.0,,,,,,,,,563.0,7882.0,73.37333333333333,5503.0,26.142857142857142,29.613333333333333,
sentinel2,B,seq_bestinsample,real,0.7539840637450199,0.05,296.0,0.05067567567567568,15.0,216,0.75,162.0,0.5902184235517569,0.5576923076923077,0.5576923076923077,0.5961538461538461,0.6153846153846154,0.6153846153846154,30.691358024691358,29.0,29.0,31.0,32.0,32.0,1.0,,0.0,0.0,0.0,0.0,1.0,106.0,55.0,0.0,,,,,,,,,529.5333333333333,7943.0,32.69135802469136,5296.0,30.733333333333334,30.691358024691358,
sentinel2,B,fixed_W8K3,real,0.7315737051792829,0.045,296.0,0.04391891891891892,13.0,216,0.7175925925925926,155.0,0.5787841191066997,0.5576923076923077,0.5769230769230769,0.6153846153846154,0.6346153846153846,0.6346153846153846,30.096774193548388,29.0,30.0,32.0,33.0,33.0,3.0,0.9992110815548372,0.0,11.0,2.0,0.0,0.0,52.0,90.0,0.0,,,,,,,,,608.4615384615385,7910.0,33.72258064516129,5227.0,27.692307692307693,30.096774193548388,
sentinel2,B,seq_cusum,shuffle11,0.7843625498007968,0.05,296.0,0.05067567567567568,15.0,216,0.6388888888888888,138.0,0.25125418060200666,0.15384615384615385,0.15384615384615385,0.21153846153846154,0.3076923076923077,0.4423076923076923,13.065217391304348,8.0,8.0,11.0,16.0,23.0,3.0,0.1258968208371477,77.0,23.0,17.0,8.0,9.0,3.0,1.0,0.0,,,,,,,,,517.7333333333333,7766.0,21.32608695652174,2943.0,18.933333333333334,13.065217391304348,
sentinel2,B,seq_sprt,shuffle11,0.773406374501992,0.045,296.0,0.05067567567567568,15.0,216,0.6759259259259259,146.0,0.21008956796628028,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.25,0.33653846153846156,10.924657534246576,8.0,8.0,8.0,13.0,17.5,2.0,0.06369671633039864,106.0,16.0,11.0,7.0,4.0,1.0,1.0,0.0,,,,,,,,,511.1333333333333,7667.0,16.86986301369863,2463.0,12.333333333333334,10.924657534246576,
sentinel2,B,seq_xcorpus,shuffle11,0.7318227091633466,0.05,296.0,0.05405405405405406,16.0,216,0.5879629629629629,127.0,0.4314052089642641,0.3269230769230769,0.34615384615384615,0.40384615384615385,0.4807692307692308,0.5769230769230769,22.433070866141733,17.0,18.0,21.0,25.0,30.0,2.0,0.04872193004879122,0.0,0.0,44.0,36.0,28.0,9.0,10.0,0.0,,,,,,,,,489.75,7836.0,34.354330708661415,4363.0,24.25,22.433070866141733,
sentinel2,B,seq_bestinsample,shuffle11,0.7173804780876494,0.05,296.0,0.05405405405405406,16.0,216,0.5787037037037037,125.0,0.4596923076923078,0.38461538461538464,0.38461538461538464,0.4423076923076923,0.5,0.5769230769230769,23.904,20.0,20.0,23.0,26.0,30.0,1.0,,0.0,0.0,0.0,71.0,31.0,15.0,8.0,0.0,,,,,,,,,491.625,7866.0,36.56,4570.0,26.125,23.904,
sentinel2,B,fixed_W8K3,shuffle11,0.6180278884462151,0.05,296.0,0.05405405405405406,16.0,216,0.5601851851851852,121.0,0.2949777495232041,0.19230769230769232,0.19230769230769232,0.25,0.36538461538461536,0.4807692307692308,15.338842975206612,10.0,10.0,13.0,19.0,25.0,2.0,0.04292395917826153,52.0,21.0,20.0,11.0,7.0,7.0,3.0,0.0,,,,,,,,,483.75,7740.0,29.537190082644628,3574.0,18.25,15.338842975206612,
sentinel2,B,seq_cusum,shuffle12,0.7920816733067729,0.045,296.0,0.05067567567567568,15.0,216,0.6990740740740741,151.0,0.24707080998471723,0.15384615384615385,0.15384615384615385,0.17307692307692307,0.2980769230769231,0.4807692307692308,12.847682119205299,8.0,8.0,9.0,15.5,25.0,3.0,0.4262460002535292,100.0,13.0,13.0,6.0,6.0,7.0,6.0,0.0,,,,,,,,,517.8666666666667,7768.0,17.47019867549669,2638.0,19.066666666666666,12.847682119205299,
sentinel2,B,seq_sprt,shuffle12,0.7549800796812749,0.05,296.0,0.05067567567567568,15.0,216,0.6851851851851852,148.0,0.21309771309771305,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.21153846153846154,0.40384615384615385,11.08108108108108,8.0,8.0,8.0,11.0,21.0,4.0,0.43163628577194924,118.0,9.0,3.0,6.0,6.0,3.0,3.0,0.0,,,,,,,,,508.53333333333336,7628.0,16.486486486486488,2440.0,9.733333333333333,11.08108108108108,
sentinel2,B,seq_xcorpus,shuffle12,0.7776394422310757,0.05,296.0,0.05067567567567568,15.0,216,0.6481481481481481,140.0,0.4251373626373627,0.3076923076923077,0.3269230769230769,0.40384615384615385,0.5048076923076923,0.578846153846154,22.107142857142858,16.0,17.0,21.0,26.25,30.10000000000001,2.0,0.21453692445715522,0.0,0.0,61.0,32.0,16.0,21.0,10.0,0.0,,,,,,,,,523.0666666666667,7846.0,29.764285714285716,4167.0,24.266666666666666,22.107142857142858,
sentinel2,B,seq_bestinsample,shuffle12,0.7537350597609562,0.055,296.0,0.05405405405405406,16.0,216,0.6157407407407407,133.0,0.4771544245228455,0.38461538461538464,0.40384615384615385,0.4423076923076923,0.5576923076923077,0.5961538461538461,24.81203007518797,20.0,21.0,23.0,29.0,31.0,2.0,0.038385954520569476,0.0,0.0,0.0,68.0,26.0,29.0,10.0,0.0,,,,,,,,,490.8125,7853.0,34.661654135338345,4610.0,25.3125,24.81203007518797,
sentinel2,B,fixed_W8K3,shuffle12,0.647410358565737,0.045,296.0,0.05067567567567568,15.0,216,0.5787037037037037,125.0,0.28215384615384625,0.19230769230769232,0.19230769230769232,0.23076923076923078,0.3269230769230769,0.453846153846154,14.672,10.0,10.0,12.0,17.0,23.60000000000001,3.0,0.06794014909691803,62.0,22.0,15.0,13.0,5.0,2.0,6.0,0.0,,,,,,,,,519.2666666666667,7789.0,27.328,3416.0,20.466666666666665,14.672,
sentinel2,B,seq_cusum,shuffle13,0.7898406374501992,0.045,296.0,0.0472972972972973,14.0,216,0.6527777777777778,141.0,0.24713584288052368,0.15384615384615385,0.15384615384615385,0.21153846153846154,0.3076923076923077,0.40384615384615385,12.851063829787234,8.0,8.0,11.0,16.0,21.0,2.0,0.30935006131043974,76.0,28.0,19.0,8.0,4.0,5.0,1.0,0.0,,,,,,,,,558.7857142857143,7823.0,20.21276595744681,2850.0,21.928571428571427,12.851063829787234,
sentinel2,B,seq_sprt,shuffle13,0.7793824701195219,0.045,296.0,0.05067567567567568,15.0,216,0.6805555555555556,147.0,0.20630559916274196,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.22115384615384615,0.3346153846153847,10.727891156462585,8.0,8.0,8.0,11.5,17.400000000000006,3.0,0.0574419526731208,110.0,17.0,10.0,3.0,4.0,2.0,1.0,0.0,,,,,,,,,512.1333333333333,7682.0,16.401360544217688,2411.0,13.333333333333334,10.727891156462585,
sentinel2,B,seq_xcorpus,shuffle13,0.7544820717131474,0.045,296.0,0.05067567567567568,15.0,216,0.5601851851851852,121.0,0.4299109980928163,0.3269230769230769,0.34615384615384615,0.4230769230769231,0.5,0.5769230769230769,22.355371900826448,17.0,18.0,22.0,26.0,30.0,1.0,,0.0,0.0,41.0,38.0,22.0,12.0,8.0,0.0,,,,,,,,,523.4666666666667,7852.0,36.553719008264466,4423.0,24.666666666666668,22.355371900826448,
sentinel2,B,seq_bestinsample,shuffle13,0.7587151394422311,0.05,296.0,0.05067567567567568,15.0,216,0.5601851851851852,121.0,0.46948506039415133,0.38461538461538464,0.40384615384615385,0.46153846153846156,0.5192307692307693,0.5961538461538461,24.41322314049587,20.0,21.0,24.0,27.0,31.0,1.0,,0.0,0.0,0.0,59.0,37.0,16.0,9.0,0.0,,,,,,,,,525.6666666666666,7885.0,38.611570247933884,4672.0,26.866666666666667,24.41322314049587,
sentinel2,B,fixed_W8K3,shuffle13,0.6424302788844621,0.05,296.0,0.05067567567567568,15.0,216,0.5879629629629629,127.0,0.2672622652937614,0.19230769230769232,0.19230769230769232,0.21153846153846154,0.3076923076923077,0.40384615384615385,13.89763779527559,10.0,10.0,11.0,16.0,21.0,2.0,0.5691584843372401,64.0,27.0,18.0,9.0,2.0,4.0,3.0,0.0,,,,,,,,,517.8666666666667,7768.0,25.818897637795274,3279.0,19.066666666666666,13.89763779527559,
sentinel2,B,seq_cusum,clock,0.5,0.005,296.0,0.0,0.0,216,0.0,0.0,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,inf,7992.0,inf,5832.0,,,
sentinel2,B,seq_sprt,clock,0.5,0.005,296.0,0.0,0.0,216,0.0,0.0,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,inf,7992.0,inf,5832.0,,,
sentinel2,B,seq_xcorpus,clock,0.5,0.005,296.0,0.0,0.0,216,0.0,0.0,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,inf,7992.0,inf,5832.0,,,
sentinel2,B,seq_bestinsample,clock,0.5,0.005,296.0,0.0,0.0,216,0.0,0.0,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,inf,7992.0,inf,5832.0,,,
sentinel2,B,fixed_W8K3,clock,0.5,0.005,296.0,0.0,0.0,216,0.0,0.0,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,inf,7992.0,inf,5832.0,,,
breadth,B,W8,t25,0.5249003984063745,,,,,216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4722222222222222
breadth,B,W8,t30,0.750996015936255,,,,,216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7083333333333334
breadth,B,W1,t25,0.5189243027888446,,,,,216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4861111111111111
breadth,B,W1,t30,0.772410358565737,,,,,216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7407407407407407
