section,corpus,method,W,rule,dens,whiten,tstd,phi,peak_auc,alpha_nominal,pop,bound_med,n_succ,fa,n_fa,n_pop,det,n_det,phase_mean,phase_p10,phase_p25,phase_p50,phase_p75,phase_p90,t_mean,t_p10,t_p25,t_p50,t_p75,t_p90,t_nmodes,t_dip,hist_8_12,hist_12_16,hist_16_20,hist_20_24,hist_24_28,hist_28_32,hist_32_35,n_delay,delay_mean,frac_early,frac_late,delay_p10,delay_p25,delay_p50,delay_p75,delay_p90,arl0,arl0_expo,arl1,arl1_expo,arl0_mean_alarm_t,arl1_mean_alarm_t
seq_sweep,A,sequential,1,cusum,gauss,none,True,0.0,0.6604159563586771,0.08,cls_loop,3.12329276887527,117,0.18803418803418803,22,150,0.38,57,0.3172893855621325,0.17608510638297872,0.2,0.2549019607843137,0.40425531914893614,0.5138823529411765,15.912280701754385,8.600000000000001,10.0,13.0,20.0,26.0,3,0.3008748643587056,17,18,6,7,4,2,3,57,-7.12280701754386,0.7543859649122807,0.24561403508771928,-14.399999999999999,-13.0,-11.0,-4.0,5.0,120.77272727272727,2657.0,52.96491228070175,3019.0,11.590909090909092,15.912280701754385
seq_sweep,A,sequential,1,cusum,gauss,none,True,0.0,0.6604159563586771,0.08,cls_other,3.12329276887527,117,0.18803418803418803,22,36,0.8055555555555556,29,0.3947694500227993,0.17861538461538462,0.21153846153846154,0.3877551020408163,0.5319148936170213,0.6577708006279435,19.517241379310345,9.0,11.0,19.0,25.0,33.2,3,0.5543577759410788,9,2,4,5,2,3,4,2,-28.5,1.0,0.0,-28.9,-28.75,-28.5,-28.25,-28.1,120.77272727272727,2657.0,19.03448275862069,552.0,11.590909090909092,19.517241379310345
seq_sweep,A,sequential,1,cusum,gauss,none,True,0.0,0.6604159563586771,0.09,all_fail,2.9295434399817295,117,0.19658119658119658,23,235,0.5659574468085107,133,0.35659547203693753,0.1673758865248227,0.19607843137254902,0.34615384615384615,0.4489795918367347,0.6342229199372056,17.774436090225564,8.0,10.0,18.0,22.0,31.0,3,0.566760375037271,43,20,18,22,4,13,13,76,-8.407894736842104,0.7763157894736842,0.2236842105263158,-15.0,-13.0,-11.0,-5.0,4.0,114.1304347826087,2625.0,31.481203007518797,4187.0,11.173913043478262,17.774436090225564
seq_sweep,A,sequential,1,cusum,gauss,none,True,0.0,0.6604159563586771,0.09,cls_stagnation,2.9295434399817295,117,0.19658119658119658,23,49,0.8775510204081632,43,0.43042640692709916,0.18039215686274512,0.3737745098039216,0.40816326530612246,0.59375,0.6446666666666667,21.348837209302324,9.2,18.0,20.0,29.5,31.800000000000004,3,0.7263164941595158,9,0,6,13,2,8,5,14,-7.5,0.7142857142857143,0.2857142857142857,-13.7,-12.0,-11.0,0.25,2.700000000000001,114.1304347826087,2625.0,18.11627906976744,779.0,11.173913043478262,21.348837209302324
seq_sweep,A,sequential,1,cusum,gauss,none,True,0.0,0.6604159563586771,0.09,cls_loop,2.9295434399817295,117,0.19658119658119658,23,150,0.4,60,0.3027362647732306,0.1698581560283688,0.19607843137254902,0.2549019607843137,0.38074468085106383,0.5581730769230769,15.216666666666667,8.0,10.0,13.0,19.0,27.200000000000003,4,0.32297584132027246,23,17,8,4,2,2,4,60,-7.9,0.7833333333333333,0.21666666666666667,-14.1,-13.0,-11.0,-5.0,4.200000000000003,114.1304347826087,2625.0,48.71666666666667,2923.0,11.173913043478262,15.216666666666667
seq_sweep,A,sequential,1,cusum,gauss,none,True,0.0,0.6604159563586771,0.09,cls_other,2.9295434399817295,117,0.19658119658119658,23,36,0.8333333333333334,30,0.35848954655511955,0.16666666666666666,0.18,0.33307692307692305,0.46043882978723405,0.6371538461538462,17.766666666666666,8.0,9.0,16.5,21.75,33.0,3,0.39315124531267187,11,3,4,5,0,3,4,2,-30.0,1.0,0.0,-30.8,-30.5,-30.0,-29.5,-29.2,114.1304347826087,2625.0,16.166666666666668,485.0,11.173913043478262,17.766666666666666
seq_sweep,A,sequential,1,cusum,gauss,none,True,0.0,0.6604159563586771,0.1,all_fail,2.7746629425548464,117,0.20512820512820512,24,235,0.5829787234042553,137,0.35683556219625484,0.16879432624113475,0.19607843137254902,0.34615384615384615,0.4489795918367347,0.628061224489796,17.773722627737225,8.0,10.0,17.0,22.0,31.0,3,0.5432637581241362,43,21,19,23,4,14,13,79,-8.278481012658228,0.7848101265822784,0.21518987341772153,-15.0,-13.0,-11.0,-5.0,4.0,109.16666666666667,2620.0,30.087591240875913,4122.0,11.916666666666666,17.773722627737225
seq_sweep,A,sequential,1,cusum,gauss,none,True,0.0,0.6604159563586771,0.1,cls_stagnation,2.7746629425548464,117,0.20512820512820512,24,49,0.8775510204081632,43,0.426635586484432,0.18039215686274512,0.36335784313725494,0.40816326530612246,0.5833333333333334,0.6370000000000001,21.162790697674417,9.2,17.5,20.0,28.5,31.800000000000004,3,0.6501206293949935,9,0,7,12,2,8,5,14,-7.571428571428571,0.7142857142857143,0.2857142857142857,-13.7,-12.0,-11.0,0.0,2.700000000000001,109.16666666666667,2620.0,17.930232558139537,771.0,11.916666666666666,21.162790697674417
seq_sweep,A,sequential,1,cusum,gauss,none,True,0.0,0.6604159563586771,0.1,cls_loop,2.7746629425548464,117,0.20512820512820512,24,150,0.42,63,0.30402968978618394,0.1702127659574468,0.19607843137254902,0.2549019607843137,0.38379705400982,0.5540000000000002,15.253968253968255,8.0,10.0,13.0,19.0,26.800000000000004,4,0.0008061414162939817,23,18,8,6,2,3,3,63,-7.746031746031746,0.7936507936507936,0.20634920634920634,-14.0,-13.0,-11.0,-5.0,4.800000000000004,109.16666666666667,2620.0,45.53968253968254,2869.0,11.916666666666666,15.253968253968255
seq_sweep,A,sequential,1,cusum,gauss,none,True,0.0,0.6604159563586771,0.1,cls_other,2.7746629425548464,117,0.20512820512820512,24,36,0.8611111111111112,31,0.3673313337266695,0.16666666666666666,0.18,0.34615384615384615,0.5240425531914894,0.6530612244897959,18.193548387096776,8.0,9.0,17.0,25.5,33.0,3,0.4131231669081492,11,3,4,5,0,3,5,2,-30.0,1.0,0.0,-30.8,-30.5,-30.0,-29.5,-29.2,109.16666666666667,2620.0,15.548387096774194,482.0,11.916666666666666,18.193548387096776
