section,corpus,stat,t,auc,n_pair,mean_total_llr,med_total_llr,frac_positive,p90_share
accum,A,sprt,20,0.47834981247869074,2933,,,,
accum,A,cummean,20,0.39277190589839756,2933,,,,
accum,A,fixed_W8,21,0.478690760313672,2933,,,,
accum,A,cusum,21,0.4522673031026253,2933,,,,
accum,A,sprt,21,0.44459597681554724,2933,,,,
accum,A,cummean,21,0.40368223661779745,2933,,,,
accum,A,fixed_W8,22,0.5642686668939653,2933,,,,
accum,A,cusum,22,0.4261847937265598,2933,,,,
accum,A,sprt,22,0.4265257415615411,2933,,,,
accum,A,cummean,22,0.43845891578588475,2933,,,,
accum,A,fixed_W8,23,0.5809751108080464,2933,,,,
accum,A,cusum,23,0.39856801909307876,2933,,,,
accum,A,sprt,23,0.3995908625980225,2933,,,,
accum,A,cummean,23,0.46539379474940334,2933,,,,
accum,A,fixed_W8,24,0.5819979543129901,2933,,,,
accum,A,cusum,24,0.4132287759972724,2933,,,,
accum,A,sprt,24,0.4142516195022162,2933,,,,
accum,A,cummean,24,0.4991476304125469,2933,,,,
accum,A,fixed_W8,25,0.6345039209001023,2933,,,,
accum,A,cusum,25,0.38782816229116945,2933,,,,
accum,A,sprt,25,0.40572792362768495,2933,,,,
accum,A,cummean,25,0.5202863961813843,2933,,,,
accum,A,fixed_W8,26,0.6648482782134334,2933,,,,
accum,A,cusum,26,0.41936583702693486,2933,,,,
accum,A,sprt,26,0.4231162632117286,2933,,,,
accum,A,cummean,26,0.5536992840095465,2933,,,,
accum,A,fixed_W8,27,0.6880327309921582,2933,,,,
accum,A,cusum,27,0.46420047732696895,2933,,,,
accum,A,sprt,27,0.4602795772246846,2933,,,,
accum,A,cummean,27,0.5857483804977839,2933,,,,
accum,A,fixed_W8,28,0.7436072280941016,2933,,,,
accum,A,cusum,28,0.5601772928741903,2933,,,,
accum,A,sprt,28,0.5407432662802591,2933,,,,
accum,A,cummean,28,0.6406409819297647,2933,,,,
accum,A,fixed_W8,29,0.7787248550971702,2933,,,,
accum,A,cusum,29,0.5949539720422775,2933,,,,
accum,A,sprt,29,0.594272076372315,2933,,,,
accum,A,cummean,29,0.6911012615069895,2933,,,,
accum,A,fixed_W8,30,0.7988407773610637,2933,,,,
accum,A,cusum,30,0.6043300375042618,2933,,,,
accum,A,sprt,30,0.6133651551312649,2933,,,,
accum,A,cummean,30,0.7101943402659393,2933,,,,
accum,A,fixed_W8,31,0.8186157517899761,2933,,,,
accum,A,cusum,31,0.6624616433685646,2933,,,,
accum,A,sprt,31,0.6532560518240709,2933,,,,
accum,A,cummean,31,0.7333787930446641,2933,,,,
accum,A,fixed_W8,32,0.8070235254006137,2933,,,,
accum,A,cusum,32,0.5976815547221275,2933,,,,
accum,A,sprt,32,0.6215479031708149,2933,,,,
accum,A,cummean,32,0.7422434367541766,2933,,,,
accum,A,fixed_W8,33,0.8012995896032832,2924,,,,
accum,A,cusum,33,0.6060191518467852,2924,,,,
accum,A,sprt,33,0.6313269493844049,2924,,,,
accum,A,cummean,33,0.7503419972640218,2924,,,,
accum,A,fixed_W8,34,0.787836420831877,2861,,,,
accum,A,cusum,34,0.6371897937783991,2861,,,,
accum,A,sprt,34,0.6392869626004893,2861,,,,
accum,A,cummean,34,0.7602236980076896,2861,,,,
accum_concentration,A,all_fail,-1,,235,2.0406390042894746,1.9496159003244358,0.7148936170212766,0.39877651943065884
accum_concentration,A,success,-1,,117,-1.1235235271160546,-1.5624330225968168,0.2222222222222222,52982894146.02935
accum_concentration,A,cls_stagnation,-1,,49,4.310296383599454,3.505079012010695,1.0,0.16553947686236087
accum_concentration,A,cls_loop,-1,,150,1.0865959872077777,0.7513773235950949,0.6,0.5954237870044407
accum_concentration,A,cls_other,-1,,36,2.9265623647357404,2.3164079074997037,0.8055555555555556,0.32135266993483724
accum,B,fixed_W8,8,0.449203187250996,2008,,,,
accum,B,cusum,8,0.46065737051792827,2008,,,,
accum,B,sprt,8,0.4153386454183267,2008,,,,
accum,B,cummean,8,0.43725099601593626,2008,,,,
accum,B,fixed_W8,9,0.4407370517928287,2008,,,,
accum,B,cusum,9,0.42654382470119523,2008,,,,
accum,B,sprt,9,0.3929282868525896,2008,,,,
accum,B,cummean,9,0.4292828685258964,2008,,,,
accum,B,fixed_W8,10,0.426792828685259,2008,,,,
accum,B,cusum,10,0.46439243027888444,2008,,,,
accum,B,sprt,10,0.4218127490039841,2008,,,,
accum,B,cummean,10,0.4168326693227092,2008,,,,
accum,B,fixed_W8,11,0.450199203187251,2008,,,,
accum,B,cusum,11,0.4750996015936255,2008,,,,
accum,B,sprt,11,0.43276892430278885,2008,,,,
accum,B,cummean,11,0.44123505976095617,2008,,,,
accum,B,fixed_W8,12,0.5209163346613546,2008,,,,
accum,B,cusum,12,0.4686254980079681,2008,,,,
accum,B,sprt,12,0.43376494023904383,2008,,,,
accum,B,cummean,12,0.5114541832669323,2008,,,,
accum,B,fixed_W8,13,0.5871513944223108,2008,,,,
accum,B,cusum,13,0.4716135458167331,2008,,,,
accum,B,sprt,13,0.45219123505976094,2008,,,,
accum,B,cummean,13,0.5537848605577689,2008,,,,
accum,B,fixed_W8,14,0.6643426294820717,2008,,,,
accum,B,cusum,14,0.4833167330677291,2008,,,,
accum,B,sprt,14,0.4646414342629482,2008,,,,
accum,B,cummean,14,0.5806772908366534,2008,,,,
accum,B,fixed_W8,15,0.6394422310756972,2008,,,,
accum,B,cusum,15,0.5191733067729084,2008,,,,
accum,B,sprt,15,0.4915338645418327,2008,,,,
accum,B,cummean,15,0.5687250996015937,2008,,,,
accum,B,fixed_W8,16,0.6065737051792829,2008,,,,
accum,B,cusum,16,0.5493027888446215,2008,,,,
accum,B,sprt,16,0.5084661354581673,2008,,,,
accum,B,cummean,16,0.5313745019920318,2008,,,,
accum,B,fixed_W8,17,0.6075697211155379,2008,,,,
accum,B,cusum,17,0.5510458167330677,2008,,,,
accum,B,sprt,17,0.5004980079681275,2008,,,,
accum,B,cummean,17,0.5249003984063745,2008,,,,
accum,B,fixed_W8,18,0.6439243027888446,2008,,,,
accum,B,cusum,18,0.5933764940239044,2008,,,,
accum,B,sprt,18,0.5164342629482072,2008,,,,
accum,B,cummean,18,0.5353585657370518,2008,,,,
accum,B,fixed_W8,19,0.6872509960159362,2008,,,,
accum,B,cusum,19,0.5806772908366534,2008,,,,
accum,B,sprt,19,0.525398406374502,2008,,,,
accum,B,cummean,19,0.5732071713147411,2008,,,,
accum,B,fixed_W8,20,0.6444223107569721,2008,,,,
accum,B,cusum,20,0.5916334661354582,2008,,,,
accum,B,sprt,20,0.5428286852589641,2008,,,,
accum,B,cummean,20,0.6070717131474104,2008,,,,
accum,B,fixed_W8,21,0.5328685258964143,2008,,,,
accum,B,cusum,21,0.5293824701195219,2008,,,,
accum,B,sprt,21,0.5099601593625498,2008,,,,
accum,B,cummean,21,0.5677290836653387,2008,,,,
accum,B,fixed_W8,22,0.4820717131474104,2008,,,,
accum,B,cusum,22,0.5433266932270916,2008,,,,
accum,B,sprt,22,0.4965139442231076,2008,,,,
accum,B,cummean,22,0.5413346613545816,2008,,,,
accum,B,fixed_W8,23,0.5084661354581673,2008,,,,
accum,B,cusum,23,0.4860557768924303,2008,,,,
accum,B,sprt,23,0.46912350597609564,2008,,,,
accum,B,cummean,23,0.5199203187250996,2008,,,,
accum,B,fixed_W8,24,0.5239043824701195,2008,,,,
accum,B,cusum,24,0.5209163346613546,2008,,,,
accum,B,sprt,24,0.4995019920318725,2008,,,,
accum,B,cummean,24,0.5293824701195219,2008,,,,
accum,B,fixed_W8,25,0.5249003984063745,2008,,,,
accum,B,cusum,25,0.5311254980079682,2008,,,,
accum,B,sprt,25,0.49203187250996017,2008,,,,
accum,B,cummean,25,0.5368525896414342,2008,,,,
accum,B,fixed_W8,26,0.5229083665338645,2008,,,,
accum,B,cusum,26,0.5072211155378487,2008,,,,
accum,B,sprt,26,0.4945219123505976,2008,,,,
accum,B,cummean,26,0.5368525896414342,2008,,,,
accum,B,fixed_W8,27,0.5049800796812749,2008,,,,
accum,B,cusum,27,0.5134462151394422,2008,,,,
accum,B,sprt,27,0.4995019920318725,2008,,,,
accum,B,cummean,27,0.546812749003984,2008,,,,
accum,B,fixed_W8,28,0.5104581673306773,2008,,,,
accum,B,cusum,28,0.5871513944223108,2008,,,,
accum,B,sprt,28,0.5936254980079682,2008,,,,
accum,B,cummean,28,0.5816733067729084,2008,,,,
accum,B,fixed_W8,29,0.6289840637450199,2008,,,,
accum,B,cusum,29,0.6875,2008,,,,
accum,B,sprt,29,0.6982071713147411,2008,,,,
accum,B,cummean,29,0.6344621513944223,2008,,,,
accum,B,fixed_W8,30,0.750996015936255,2008,,,,
accum,B,cusum,30,0.7631972111553785,2008,,,,
accum,B,sprt,30,0.7654382470119522,2008,,,,
accum,B,cummean,30,0.6912350597609562,2008,,,,
accum,B,fixed_W8,31,0.7694223107569721,2008,,,,
accum,B,cusum,31,0.7402888446215139,2008,,,,
accum,B,sprt,31,0.7569721115537849,2008,,,,
accum,B,cummean,31,0.7166334661354582,2008,,,,
accum,B,fixed_W8,32,0.7579681274900398,2008,,,,
accum,B,cusum,32,0.7158864541832669,2008,,,,
accum,B,sprt,32,0.7514940239043825,2008,,,,
accum,B,cummean,32,0.7365537848605578,2008,,,,
accum,B,fixed_W8,33,0.7415338645418327,2008,,,,
accum,B,cusum,33,0.7320717131474104,2008,,,,
accum,B,sprt,33,0.74800796812749,2008,,,,
accum,B,cummean,33,0.7529880478087649,2008,,,,
accum,B,fixed_W8,34,0.7016932270916335,2008,,,,
accum,B,cusum,34,0.7348107569721115,2008,,,,
accum,B,sprt,34,0.7156374501992032,2008,,,,
accum,B,cummean,34,0.7485059760956175,2008,,,,
accum_concentration,B,all_fail,-1,,216,4.653084192660871,6.635483415540696,0.7083333333333334,0.2716603250206305
accum_concentration,B,success,-1,,296,-3.5097261192864373,-4.092751386165613,0.08783783783783784,136249600949.03311
