detector,gate,group,threshold,tp,fp,risk_n,timely_n,recall,precision,timely_fpr,median_lead_chunks
published,budget,libero_object,5.0,16,7,44,3556,0.36363636363636365,0.6956521739130435,0.001968503937007874,7.5
published,budget,libero_object,6.0,14,6,44,3556,0.3181818181818182,0.7,0.001687289088863892,8.0
published,budget,libero_object,7.0,9,6,44,3556,0.20454545454545456,0.6,0.001687289088863892,10.0
published,budget,libero_object,8.0,8,5,44,3556,0.18181818181818182,0.6153846153846154,0.00140607424071991,10.0
published,budget,libero_object,9.0,6,5,44,3556,0.13636363636363635,0.5454545454545454,0.00140607424071991,11.0
published,budget,libero_object,10.0,5,3,44,3556,0.11363636363636363,0.625,0.000843644544431946,12.0
published,budget,libero_object,11.0,3,2,44,3556,0.06818181818181818,0.6,0.0005624296962879641,12.0
published,budget,libero_object,12.0,3,2,44,3556,0.06818181818181818,0.6,0.0005624296962879641,12.0
published,budget,libero_object,13.0,1,2,44,3556,0.022727272727272728,0.3333333333333333,0.0005624296962879641,13.0
published,budget,libero_object,14.0,0,2,44,3556,0.0,0.0,0.0005624296962879641,
published,budget,libero_object,15.0,0,1,44,3556,0.0,0.0,0.00028121484814398203,
published,budget,libero_object,16.0,0,0,44,3556,0.0,,0.0,
published,budget,libero_object,17.0,0,0,44,3556,0.0,,0.0,
published,budget,libero_object,18.0,0,0,44,3556,0.0,,0.0,
published,budget,libero_object,19.0,0,0,44,3556,0.0,,0.0,
published,budget,libero_object,20.0,0,0,44,3556,0.0,,0.0,
published,budget,libero_object,21.0,0,0,44,3556,0.0,,0.0,
published,budget,libero_object,22.0,0,0,44,3556,0.0,,0.0,
published,budget,libero_object,23.0,0,0,44,3556,0.0,,0.0,
published,budget,libero_object,24.0,0,0,44,3556,0.0,,0.0,
published,phase,libero_object,0.0,22,7,44,3556,0.5,0.7586206896551724,0.001968503937007874,6.0
published,phase,libero_object,0.05,19,4,44,3556,0.4318181818181818,0.8260869565217391,0.0011248593925759281,6.0
published,phase,libero_object,0.1,18,4,44,3556,0.4090909090909091,0.8181818181818182,0.0011248593925759281,6.5
published,phase,libero_object,0.15,16,2,44,3556,0.36363636363636365,0.8888888888888888,0.0005624296962879641,7.5
published,phase,libero_object,0.2,14,1,44,3556,0.3181818181818182,0.9333333333333333,0.00028121484814398203,8.0
published,phase,libero_object,0.25,9,0,44,3556,0.20454545454545456,1.0,0.0,10.0
published,phase,libero_object,0.3,6,0,44,3556,0.13636363636363635,1.0,0.0,11.0
published,phase,libero_object,0.4,3,0,44,3556,0.06818181818181818,1.0,0.0,12.0
published,phase,libero_object,0.5,0,0,44,3556,0.0,,0.0,
published,phase,libero_object,0.6,0,0,44,3556,0.0,,0.0,
published,budget,libero_spatial,0.0,108,3,140,3860,0.7714285714285715,0.972972972972973,0.0007772020725388601,2.0
published,budget,libero_spatial,1.0,86,3,140,3860,0.6142857142857143,0.9662921348314607,0.0007772020725388601,2.0
published,budget,libero_spatial,2.0,62,3,140,3860,0.44285714285714284,0.9538461538461539,0.0007772020725388601,3.0
published,budget,libero_spatial,3.0,32,3,140,3860,0.22857142857142856,0.9142857142857143,0.0007772020725388601,4.0
published,budget,libero_spatial,4.0,22,2,140,3860,0.15714285714285714,0.9166666666666666,0.0005181347150259067,5.0
published,budget,libero_spatial,5.0,12,1,140,3860,0.08571428571428572,0.9230769230769231,0.00025906735751295336,5.0
published,budget,libero_spatial,6.0,3,1,140,3860,0.02142857142857143,0.75,0.00025906735751295336,6.0
published,budget,libero_spatial,7.0,1,1,140,3860,0.007142857142857143,0.5,0.00025906735751295336,7.0
published,budget,libero_spatial,8.0,0,0,140,3860,0.0,,0.0,
published,budget,libero_spatial,9.0,0,0,140,3860,0.0,,0.0,
published,budget,libero_spatial,10.0,0,0,140,3860,0.0,,0.0,
published,budget,libero_spatial,11.0,0,0,140,3860,0.0,,0.0,
published,budget,libero_spatial,12.0,0,0,140,3860,0.0,,0.0,
published,budget,libero_spatial,13.0,0,0,140,3860,0.0,,0.0,
published,budget,libero_spatial,14.0,0,0,140,3860,0.0,,0.0,
published,budget,libero_spatial,15.0,0,0,140,3860,0.0,,0.0,
published,budget,libero_spatial,16.0,0,0,140,3860,0.0,,0.0,
published,budget,libero_spatial,17.0,0,0,140,3860,0.0,,0.0,
published,budget,libero_spatial,18.0,0,0,140,3860,0.0,,0.0,
published,budget,libero_spatial,19.0,0,0,140,3860,0.0,,0.0,
published,budget,libero_spatial,20.0,0,0,140,3860,0.0,,0.0,
published,budget,libero_spatial,21.0,0,0,140,3860,0.0,,0.0,
published,budget,libero_spatial,22.0,0,0,140,3860,0.0,,0.0,
published,budget,libero_spatial,23.0,0,0,140,3860,0.0,,0.0,
published,budget,libero_spatial,24.0,0,0,140,3860,0.0,,0.0,
published,phase,libero_spatial,0.0,108,3,140,3860,0.7714285714285715,0.972972972972973,0.0007772020725388601,2.0
published,phase,libero_spatial,0.05,62,3,140,3860,0.44285714285714284,0.9538461538461539,0.0007772020725388601,3.0
published,phase,libero_spatial,0.1,32,3,140,3860,0.22857142857142856,0.9142857142857143,0.0007772020725388601,4.0
published,phase,libero_spatial,0.15,22,2,140,3860,0.15714285714285714,0.9166666666666666,0.0005181347150259067,5.0
published,phase,libero_spatial,0.2,12,1,140,3860,0.08571428571428572,0.9230769230769231,0.00025906735751295336,5.0
published,phase,libero_spatial,0.25,3,1,140,3860,0.02142857142857143,0.75,0.00025906735751295336,6.0
published,phase,libero_spatial,0.3,1,0,140,3860,0.007142857142857143,1.0,0.0,7.0
published,phase,libero_spatial,0.4,0,0,140,3860,0.0,,0.0,
published,phase,libero_spatial,0.5,0,0,140,3860,0.0,,0.0,
published,phase,libero_spatial,0.6,0,0,140,3860,0.0,,0.0,
loso_l2,budget,all,0.0,414,115,564,15036,0.7340425531914894,0.782608695652174,0.007648310720936419,15.0
loso_l2,budget,all,1.0,384,115,564,15036,0.6808510638297872,0.7695390781563126,0.007648310720936419,16.0
loso_l2,budget,all,2.0,353,115,564,15036,0.625886524822695,0.7542735042735043,0.007648310720936419,17.0
loso_l2,budget,all,3.0,340,115,564,15036,0.6028368794326241,0.7472527472527473,0.007648310720936419,18.0
loso_l2,budget,all,4.0,325,114,564,15036,0.5762411347517731,0.7403189066059226,0.007581803671189146,18.0
loso_l2,budget,all,5.0,299,113,564,15036,0.5301418439716312,0.7257281553398058,0.007515296621441873,19.0
loso_l2,budget,all,6.0,282,112,564,15036,0.5,0.7157360406091371,0.0074487895716946,19.0
loso_l2,budget,all,7.0,275,111,564,15036,0.4875886524822695,0.7124352331606217,0.007382282521947326,19.0
loso_l2,budget,all,8.0,267,111,564,15036,0.4734042553191489,0.7063492063492064,0.007382282521947326,19.0
loso_l2,budget,all,9.0,262,111,564,15036,0.4645390070921986,0.7024128686327078,0.007382282521947326,19.0
loso_l2,budget,all,10.0,257,109,564,15036,0.45567375886524825,0.7021857923497268,0.00724926842245278,19.0
loso_l2,budget,all,11.0,250,109,564,15036,0.4432624113475177,0.6963788300835655,0.00724926842245278,19.0
loso_l2,budget,all,12.0,241,108,564,15036,0.42730496453900707,0.6905444126074498,0.007182761372705506,20.0
loso_l2,budget,all,13.0,232,102,564,15036,0.41134751773049644,0.6946107784431138,0.006783719074221868,20.0
loso_l2,budget,all,14.0,224,96,564,15036,0.3971631205673759,0.7,0.006384676775738229,20.0
loso_l2,budget,all,15.0,210,93,564,15036,0.3723404255319149,0.693069306930693,0.006185155626496409,20.0
loso_l2,budget,all,16.0,198,92,564,15036,0.35106382978723405,0.6827586206896552,0.006118648576749135,20.0
loso_l2,budget,all,17.0,186,90,564,15036,0.32978723404255317,0.6739130434782609,0.005985634477254589,20.0
loso_l2,budget,all,18.0,173,90,564,15036,0.3067375886524823,0.6577946768060836,0.005985634477254589,21.0
loso_l2,budget,all,19.0,154,88,564,15036,0.2730496453900709,0.6363636363636364,0.005852620377760042,21.0
loso_l2,budget,all,20.0,123,86,564,15036,0.21808510638297873,0.5885167464114832,0.005719606278265496,22.0
loso_l2,budget,all,21.0,92,80,564,15036,0.16312056737588654,0.5348837209302325,0.005320563979781857,26.0
loso_l2,budget,all,22.0,68,76,564,15036,0.12056737588652482,0.4722222222222222,0.005054535780792764,26.5
loso_l2,budget,all,23.0,61,73,564,15036,0.10815602836879433,0.4552238805970149,0.004855014631550945,27.0
loso_l2,budget,all,24.0,57,71,564,15036,0.10106382978723404,0.4453125,0.004722000532056398,29.0
loso_l2,phase,all,0.0,414,115,564,15036,0.7340425531914894,0.782608695652174,0.007648310720936419,15.0
loso_l2,phase,all,0.05,352,86,564,15036,0.624113475177305,0.8036529680365296,0.005719606278265496,17.0
loso_l2,phase,all,0.1,332,69,564,15036,0.5886524822695035,0.827930174563591,0.0045889864325618515,18.0
loso_l2,phase,all,0.15,302,64,564,15036,0.5354609929078015,0.825136612021858,0.004256451183825486,19.0
loso_l2,phase,all,0.2,274,60,564,15036,0.4858156028368794,0.8203592814371258,0.0039904229848363925,19.0
loso_l2,phase,all,0.25,244,48,564,15036,0.4326241134751773,0.8356164383561644,0.0031923383878691143,20.0
loso_l2,phase,all,0.3,221,31,564,15036,0.39184397163120566,0.876984126984127,0.0020617185421654693,20.0
loso_l2,phase,all,0.4,112,18,564,15036,0.19858156028368795,0.8615384615384616,0.0011971268954509178,24.0
loso_l2,phase,all,0.5,54,8,564,15036,0.09574468085106383,0.8709677419354839,0.0005320563979781857,35.0
loso_l2,phase,all,0.6,28,2,564,15036,0.04964539007092199,0.9333333333333333,0.00013301409949454643,40.5
loso_l2,budget,libero_goal,0.0,63,1,106,3894,0.5943396226415094,0.984375,0.00025680534155110427,5.0
loso_l2,budget,libero_goal,1.0,56,1,106,3894,0.5283018867924528,0.9824561403508771,0.00025680534155110427,6.0
loso_l2,budget,libero_goal,2.0,55,1,106,3894,0.5188679245283019,0.9821428571428571,0.00025680534155110427,6.0
loso_l2,budget,libero_goal,3.0,54,1,106,3894,0.5094339622641509,0.9818181818181818,0.00025680534155110427,6.0
loso_l2,budget,libero_goal,4.0,46,1,106,3894,0.4339622641509434,0.9787234042553191,0.00025680534155110427,7.0
loso_l2,budget,libero_goal,5.0,33,0,106,3894,0.3113207547169811,1.0,0.0,13.0
loso_l2,budget,libero_goal,6.0,29,0,106,3894,0.27358490566037735,1.0,0.0,13.0
loso_l2,budget,libero_goal,7.0,26,0,106,3894,0.24528301886792453,1.0,0.0,14.0
loso_l2,budget,libero_goal,8.0,21,0,106,3894,0.19811320754716982,1.0,0.0,14.0
loso_l2,budget,libero_goal,9.0,19,0,106,3894,0.1792452830188679,1.0,0.0,14.0
loso_l2,budget,libero_goal,10.0,19,0,106,3894,0.1792452830188679,1.0,0.0,14.0
loso_l2,budget,libero_goal,11.0,18,0,106,3894,0.16981132075471697,1.0,0.0,14.0
loso_l2,budget,libero_goal,12.0,17,0,106,3894,0.16037735849056603,1.0,0.0,14.0
loso_l2,budget,libero_goal,13.0,17,0,106,3894,0.16037735849056603,1.0,0.0,14.0
loso_l2,budget,libero_goal,14.0,14,0,106,3894,0.1320754716981132,1.0,0.0,14.0
loso_l2,budget,libero_goal,15.0,5,0,106,3894,0.04716981132075472,1.0,0.0,15.0
loso_l2,budget,libero_goal,16.0,2,0,106,3894,0.018867924528301886,1.0,0.0,16.0
loso_l2,budget,libero_goal,17.0,0,0,106,3894,0.0,,0.0,
loso_l2,budget,libero_goal,18.0,0,0,106,3894,0.0,,0.0,
loso_l2,budget,libero_goal,19.0,0,0,106,3894,0.0,,0.0,
loso_l2,budget,libero_goal,20.0,0,0,106,3894,0.0,,0.0,
loso_l2,budget,libero_goal,21.0,0,0,106,3894,0.0,,0.0,
loso_l2,budget,libero_goal,22.0,0,0,106,3894,0.0,,0.0,
loso_l2,budget,libero_goal,23.0,0,0,106,3894,0.0,,0.0,
loso_l2,budget,libero_goal,24.0,0,0,106,3894,0.0,,0.0,
loso_l2,phase,libero_goal,0.0,63,1,106,3894,0.5943396226415094,0.984375,0.00025680534155110427,5.0
loso_l2,phase,libero_goal,0.05,55,1,106,3894,0.5188679245283019,0.9821428571428571,0.00025680534155110427,6.0
loso_l2,phase,libero_goal,0.1,54,1,106,3894,0.5094339622641509,0.9818181818181818,0.00025680534155110427,6.0
loso_l2,phase,libero_goal,0.15,33,0,106,3894,0.3113207547169811,1.0,0.0,13.0
loso_l2,phase,libero_goal,0.2,29,0,106,3894,0.27358490566037735,1.0,0.0,13.0
loso_l2,phase,libero_goal,0.25,21,0,106,3894,0.19811320754716982,1.0,0.0,14.0
loso_l2,phase,libero_goal,0.3,19,0,106,3894,0.1792452830188679,1.0,0.0,14.0
loso_l2,phase,libero_goal,0.4,17,0,106,3894,0.16037735849056603,1.0,0.0,14.0
loso_l2,phase,libero_goal,0.5,5,0,106,3894,0.04716981132075472,1.0,0.0,15.0
loso_l2,phase,libero_goal,0.6,0,0,106,3894,0.0,,0.0,
loso_l2,budget,libero_long,0.0,252,109,274,3726,0.9197080291970803,0.6980609418282548,0.029253891572732154,19.0
loso_l2,budget,libero_long,1.0,252,109,274,3726,0.9197080291970803,0.6980609418282548,0.029253891572732154,19.0
loso_l2,budget,libero_long,2.0,251,109,274,3726,0.916058394160584,0.6972222222222222,0.029253891572732154,19.0
loso_l2,budget,libero_long,3.0,250,109,274,3726,0.9124087591240876,0.6963788300835655,0.029253891572732154,19.0
loso_l2,budget,libero_long,4.0,248,109,274,3726,0.9051094890510949,0.6946778711484594,0.029253891572732154,19.0
loso_l2,budget,libero_long,5.0,245,109,274,3726,0.8941605839416058,0.692090395480226,0.029253891572732154,20.0
loso_l2,budget,libero_long,6.0,242,109,274,3726,0.8832116788321168,0.6894586894586895,0.029253891572732154,20.0
loso_l2,budget,libero_long,7.0,241,109,274,3726,0.8795620437956204,0.6885714285714286,0.029253891572732154,20.0
loso_l2,budget,libero_long,8.0,239,109,274,3726,0.8722627737226277,0.6867816091954023,0.029253891572732154,20.0
loso_l2,budget,libero_long,9.0,237,109,274,3726,0.864963503649635,0.684971098265896,0.029253891572732154,20.0
loso_l2,budget,libero_long,10.0,234,109,274,3726,0.8540145985401459,0.6822157434402333,0.029253891572732154,20.0
loso_l2,budget,libero_long,11.0,229,109,274,3726,0.8357664233576643,0.6775147928994083,0.029253891572732154,20.0
loso_l2,budget,libero_long,12.0,221,108,274,3726,0.8065693430656934,0.6717325227963525,0.028985507246376812,20.0
loso_l2,budget,libero_long,13.0,214,102,274,3726,0.781021897810219,0.6772151898734177,0.027375201288244767,20.0
loso_l2,budget,libero_long,14.0,210,96,274,3726,0.7664233576642335,0.6862745098039216,0.02576489533011272,20.0
loso_l2,budget,libero_long,15.0,205,93,274,3726,0.7481751824817519,0.6879194630872483,0.0249597423510467,20.0
loso_l2,budget,libero_long,16.0,196,92,274,3726,0.7153284671532847,0.6805555555555556,0.024691358024691357,20.0
loso_l2,budget,libero_long,17.0,186,90,274,3726,0.6788321167883211,0.6739130434782609,0.024154589371980676,20.0
loso_l2,budget,libero_long,18.0,173,90,274,3726,0.6313868613138686,0.6577946768060836,0.024154589371980676,21.0
loso_l2,budget,libero_long,19.0,154,88,274,3726,0.5620437956204379,0.6363636363636364,0.023617820719269995,21.0
loso_l2,budget,libero_long,20.0,123,86,274,3726,0.4489051094890511,0.5885167464114832,0.02308105206655931,22.0
loso_l2,budget,libero_long,21.0,92,80,274,3726,0.3357664233576642,0.5348837209302325,0.02147074610842727,26.0
loso_l2,budget,libero_long,22.0,68,76,274,3726,0.24817518248175183,0.4722222222222222,0.020397208803005905,26.5
loso_l2,budget,libero_long,23.0,61,73,274,3726,0.22262773722627738,0.4552238805970149,0.019592055823939882,27.0
loso_l2,budget,libero_long,24.0,57,71,274,3726,0.20802919708029197,0.4453125,0.0190552871712292,29.0
loso_l2,phase,libero_long,0.0,252,109,274,3726,0.9197080291970803,0.6980609418282548,0.029253891572732154,19.0
loso_l2,phase,libero_long,0.05,250,81,274,3726,0.9124087591240876,0.7552870090634441,0.021739130434782608,19.0
loso_l2,phase,libero_long,0.1,242,64,274,3726,0.8832116788321168,0.7908496732026143,0.017176596886741814,20.0
loso_l2,phase,libero_long,0.15,239,62,274,3726,0.8722627737226277,0.7940199335548173,0.016639828234031134,20.0
loso_l2,phase,libero_long,0.2,229,59,274,3726,0.8357664233576643,0.7951388888888888,0.01583467525496511,20.0
loso_l2,phase,libero_long,0.25,214,48,274,3726,0.781021897810219,0.816793893129771,0.01288244766505636,20.0
loso_l2,phase,libero_long,0.3,196,31,274,3726,0.7153284671532847,0.8634361233480177,0.008319914117015567,20.0
loso_l2,phase,libero_long,0.4,92,18,274,3726,0.3357664233576642,0.8363636363636363,0.004830917874396135,26.0
