corpus,control_variant,model,n_features,cv_auc,ci95_lo,ci95_hi,n_groups,n_events,n_pairs,min_train_rows,degenerate_folds,features
A,pooled,phys2_canon_clean,2,0.7667118644067796,0.7169836986800896,0.8027175555974422,21,172,29500,4116,0,phys_eef_speed_mean_w4;phys_goal_rate_w4
A,pooled,route2+phys3_canon,5,0.9731864406779661,0.9573907469903808,0.9829541339772404,21,172,29500,4116,0,route_lfv_w4;route_acc_w4;phys_eef_speed_mean_w4;phys_goal_rate_w4;phys_eef_tortuosity_w4
A,pooled,route2+phys2_canon_clean,4,0.9729491525423729,0.9553814466901295,0.9834386345786227,21,172,29500,4116,0,route_lfv_w4;route_acc_w4;phys_eef_speed_mean_w4;phys_goal_rate_w4
H,matched,route4,4,0.25,0.0,0.75,4,4,4,6,0,route_lfv_w2;route_lfv_w4;route_acc_w2;route_acc_w4
H,matched,phys16,16,0.5,0.0,1.0,4,4,4,6,0,phys_eef_speed_mean_w2;phys_eef_speed_mean_w4;phys_eef_speed_var_w2;phys_eef_speed_var_w4;phys_eef_path_len_w2;phys_eef_path_len_w4;phys_eef_tortuosity_w2;phys_eef_tortuosity_w4;phys_grip_change_w2;phys_grip_change_w4;phys_obj_disp_w2;phys_obj_disp_w4;phys_goal_rate_w2;phys_goal_rate_w4;phys_goal_dist;phys_eef_return_dist
H,matched,phys13_clean,13,0.25,0.0,0.75,4,4,4,6,0,phys_eef_speed_mean_w2;phys_eef_speed_mean_w4;phys_eef_speed_var_w2;phys_eef_speed_var_w4;phys_eef_path_len_w2;phys_eef_path_len_w4;phys_grip_change_w2;phys_grip_change_w4;phys_obj_disp_w2;phys_obj_disp_w4;phys_goal_rate_w2;phys_goal_rate_w4;phys_goal_dist
H,matched,route4+phys16,20,0.25,0.0,0.75,4,4,4,6,0,route_lfv_w2;route_lfv_w4;route_acc_w2;route_acc_w4;phys_eef_speed_mean_w2;phys_eef_speed_mean_w4;phys_eef_speed_var_w2;phys_eef_speed_var_w4;phys_eef_path_len_w2;phys_eef_path_len_w4;phys_eef_tortuosity_w2;phys_eef_tortuosity_w4;phys_grip_change_w2;phys_grip_change_w4;phys_obj_disp_w2;phys_obj_disp_w4;phys_goal_rate_w2;phys_goal_rate_w4;phys_goal_dist;phys_eef_return_dist
H,matched,route4+phys13_clean,17,0.0,0.0,0.0,4,4,4,6,0,route_lfv_w2;route_lfv_w4;route_acc_w2;route_acc_w4;phys_eef_speed_mean_w2;phys_eef_speed_mean_w4;phys_eef_speed_var_w2;phys_eef_speed_var_w4;phys_eef_path_len_w2;phys_eef_path_len_w4;phys_grip_change_w2;phys_grip_change_w4;phys_obj_disp_w2;phys_obj_disp_w4;phys_goal_rate_w2;phys_goal_rate_w4;phys_goal_dist
H,matched,route2_canon,2,0.25,0.0,0.75,4,4,4,6,0,route_lfv_w4;route_acc_w4
H,matched,phys3_canon,3,0.5,0.0,1.0,4,4,4,6,0,phys_eef_speed_mean_w4;phys_goal_rate_w4;phys_eef_tortuosity_w4
H,matched,phys2_canon_clean,2,0.75,0.25,1.0,4,4,4,6,0,phys_eef_speed_mean_w4;phys_goal_rate_w4
H,matched,route2+phys3_canon,5,0.25,0.0,0.75,4,4,4,6,0,route_lfv_w4;route_acc_w4;phys_eef_speed_mean_w4;phys_goal_rate_w4;phys_eef_tortuosity_w4
H,matched,route2+phys2_canon_clean,4,0.25,0.0,0.75,4,4,4,6,0,route_lfv_w4;route_acc_w4;phys_eef_speed_mean_w4;phys_goal_rate_w4
H,pooled,route4,4,0.5625,0.3333333333333333,0.75,6,8,32,26,0,route_lfv_w2;route_lfv_w4;route_acc_w2;route_acc_w4
H,pooled,phys16,16,0.4375,0.21875,0.6428571428571429,6,8,32,26,0,phys_eef_speed_mean_w2;phys_eef_speed_mean_w4;phys_eef_speed_var_w2;phys_eef_speed_var_w4;phys_eef_path_len_w2;phys_eef_path_len_w4;phys_eef_tortuosity_w2;phys_eef_tortuosity_w4;phys_grip_change_w2;phys_grip_change_w4;phys_obj_disp_w2;phys_obj_disp_w4;phys_goal_rate_w2;phys_goal_rate_w4;phys_goal_dist;phys_eef_return_dist
H,pooled,phys13_clean,13,0.34375,0.125,0.5833333333333334,6,8,32,26,0,phys_eef_speed_mean_w2;phys_eef_speed_mean_w4;phys_eef_speed_var_w2;phys_eef_speed_var_w4;phys_eef_path_len_w2;phys_eef_path_len_w4;phys_grip_change_w2;phys_grip_change_w4;phys_obj_disp_w2;phys_obj_disp_w4;phys_goal_rate_w2;phys_goal_rate_w4;phys_goal_dist
H,pooled,route4+phys16,20,0.4375,0.175,0.6875,6,8,32,26,0,route_lfv_w2;route_lfv_w4;route_acc_w2;route_acc_w4;phys_eef_speed_mean_w2;phys_eef_speed_mean_w4;phys_eef_speed_var_w2;phys_eef_speed_var_w4;phys_eef_path_len_w2;phys_eef_path_len_w4;phys_eef_tortuosity_w2;phys_eef_tortuosity_w4;phys_grip_change_w2;phys_grip_change_w4;phys_obj_disp_w2;phys_obj_disp_w4;phys_goal_rate_w2;phys_goal_rate_w4;phys_goal_dist;phys_eef_return_dist
H,pooled,route4+phys13_clean,17,0.40625,0.15,0.6875,6,8,32,26,0,route_lfv_w2;route_lfv_w4;route_acc_w2;route_acc_w4;phys_eef_speed_mean_w2;phys_eef_speed_mean_w4;phys_eef_speed_var_w2;phys_eef_speed_var_w4;phys_eef_path_len_w2;phys_eef_path_len_w4;phys_grip_change_w2;phys_grip_change_w4;phys_obj_disp_w2;phys_obj_disp_w4;phys_goal_rate_w2;phys_goal_rate_w4;phys_goal_dist
H,pooled,route2_canon,2,0.0625,0.0,0.21428571428571427,6,8,32,26,0,route_lfv_w4;route_acc_w4
H,pooled,phys3_canon,3,0.4375,0.125,0.75,6,8,32,26,0,phys_eef_speed_mean_w4;phys_goal_rate_w4;phys_eef_tortuosity_w4
H,pooled,phys2_canon_clean,2,0.375,0.1111111111111111,0.6428571428571429,6,8,32,26,0,phys_eef_speed_mean_w4;phys_goal_rate_w4
H,pooled,route2+phys3_canon,5,0.1875,0.027777777777777776,0.375,6,8,32,26,0,route_lfv_w4;route_acc_w4;phys_eef_speed_mean_w4;phys_goal_rate_w4;phys_eef_tortuosity_w4
H,pooled,route2+phys2_canon_clean,4,0.21875,0.05555555555555555,0.4583333333333333,6,8,32,26,0,route_lfv_w4;route_acc_w4;phys_eef_speed_mean_w4;phys_goal_rate_w4
