corpus,control_variant,block,feature,leak_flagged,auc_loop_high,det_auc,ci95_lo,ci95_hi,n_groups,n_events,n_pairs,p_point_permset,p_maxT_permset,p_point_signflip,p_maxT_signflip,p_maxT_signflip_stud,family_size
H,matched,phys,phys_eef_path_len_w4,0,0.75,0.75,0.25,1.0,4,4,4,0.6326367363263674,1.0,0.631036896310369,1.0,1.0,20
H,matched,phys,phys_eef_tortuosity_w2,1,0.75,0.75,0.25,1.0,4,4,4,0.6225377462253775,1.0,0.6263373662633737,1.0,1.0,20
H,matched,phys,phys_eef_tortuosity_w4,1,0.5,0.5,0.0,1.0,4,4,4,1.0,1.0,1.0,1.0,1.0,20
H,matched,phys,phys_grip_change_w2,0,0.5,0.5,0.0,1.0,4,4,4,1.0,1.0,1.0,1.0,1.0,20
H,matched,phys,phys_grip_change_w4,0,0.5,0.5,0.0,1.0,4,4,4,1.0,1.0,1.0,1.0,1.0,20
H,matched,phys,phys_obj_disp_w2,0,0.25,0.75,0.0,0.75,4,4,4,0.6246375362463754,1.0,0.6301369863013698,1.0,1.0,20
H,matched,phys,phys_obj_disp_w4,0,0.5,0.5,0.0,1.0,4,4,4,1.0,1.0,1.0,1.0,1.0,20
H,matched,phys,phys_goal_rate_w2,0,0.5,0.5,0.125,0.875,4,4,4,1.0,1.0,1.0,1.0,1.0,20
H,matched,phys,phys_goal_rate_w4,0,0.5,0.5,0.125,0.875,4,4,4,1.0,1.0,1.0,1.0,1.0,20
H,matched,phys,phys_goal_dist,0,0.0,1.0,0.0,0.0,4,4,4,0.12408759124087591,0.8801119888011198,0.12378762123787622,0.879012098790121,0.879012098790121,20
H,matched,phys,phys_eef_return_dist,1,0.75,0.75,0.25,1.0,4,4,4,0.6326367363263674,1.0,0.631036896310369,1.0,1.0,20
H,pooled,route,route_lfv_w2,0,0.65625,0.65625,0.3333333333333333,0.90625,6,8,32,0.2703729627037296,0.959004099590041,0.5102489751024898,1.0,1.0,20
H,pooled,route,route_lfv_w4,0,0.59375,0.59375,0.28125,0.8888888888888888,6,8,32,0.5368463153684632,0.9999000099990001,0.7497250274972502,1.0,1.0,20
H,pooled,route,route_acc_w2,0,0.625,0.625,0.34977272727272746,0.8928571428571429,6,8,32,0.38646135386461355,0.994000599940006,0.5701429857014298,1.0,1.0,20
H,pooled,route,route_acc_w4,0,0.59375,0.59375,0.2857142857142857,0.8928571428571429,6,8,32,0.5362463753624638,0.9999000099990001,0.7546245375462454,1.0,1.0,20
H,pooled,phys,phys_eef_speed_mean_w2,0,0.4375,0.5625,0.22493055555555563,0.7083333333333334,6,8,32,0.7235276472352765,1.0,0.8186181381861813,1.0,1.0,20
H,pooled,phys,phys_eef_speed_mean_w4,0,0.46875,0.53125,0.25,0.75,6,8,32,0.9044095590440956,1.0,1.0,1.0,1.0,20
H,pooled,phys,phys_eef_speed_var_w2,0,0.3125,0.6875,0.17857142857142858,0.46875,6,8,32,0.1770822917708229,0.857014298570143,0.16198380161983802,0.9342065793420657,0.685031496850315,20
H,pooled,phys,phys_eef_speed_var_w4,0,0.4375,0.5625,0.21428571428571427,0.7142857142857143,6,8,32,0.7134286571342866,1.0,0.8795120487951205,1.0,1.0,20
H,pooled,phys,phys_eef_path_len_w2,0,0.4375,0.5625,0.225,0.7083333333333334,6,8,32,0.7235276472352765,1.0,0.8186181381861813,1.0,1.0,20
H,pooled,phys,phys_eef_path_len_w4,0,0.46875,0.53125,0.25,0.75,6,8,32,0.9044095590440956,1.0,1.0,1.0,1.0,20
H,pooled,phys,phys_eef_tortuosity_w2,1,0.71875,0.71875,0.53125,0.9166666666666666,6,8,32,0.11238876112388761,0.6806319368063194,0.24967503249675033,0.8426157384261573,0.9084091590840916,20
H,pooled,phys,phys_eef_tortuosity_w4,1,0.6875,0.6875,0.5714285714285714,0.8,6,8,32,0.1777822217778222,0.857014298570143,0.12588741125887412,0.9342065793420657,0.685031496850315,20
H,pooled,phys,phys_grip_change_w2,0,0.5625,0.5625,0.35714285714285715,0.75,6,8,32,0.7154284571542846,1.0,0.7554244575542446,1.0,1.0,20
H,pooled,phys,phys_grip_change_w4,0,0.46875,0.53125,0.32142857142857145,0.6666666666666666,6,8,32,0.9016098390160984,1.0,1.0,1.0,1.0,20
H,pooled,phys,phys_obj_disp_w2,0,0.5,0.5,0.2857142857142857,0.6388888888888888,6,8,32,1.0,1.0,1.0,1.0,1.0,20
H,pooled,phys,phys_obj_disp_w4,0,0.515625,0.515625,0.425,0.6666666666666666,6,8,32,0.9571042895710429,1.0,1.0,1.0,1.0,20
H,pooled,phys,phys_goal_rate_w2,0,0.40625,0.59375,0.17857142857142858,0.65625,6,8,32,0.40645935406459355,0.9999000099990001,0.6296370362963704,1.0,1.0,20
H,pooled,phys,phys_goal_rate_w4,0,0.515625,0.515625,0.32137896825396833,0.6964285714285714,6,8,32,0.9472052794720528,1.0,1.0,1.0,1.0,20
H,pooled,phys,phys_goal_dist,0,0.5625,0.5625,0.2857142857142857,0.8055555555555556,6,8,32,0.7093290670932907,1.0,0.8778122187781222,1.0,1.0,20
H,pooled,phys,phys_eef_return_dist,1,0.4375,0.5625,0.2222222222222222,0.75,6,8,32,0.7253274672532747,1.0,0.8429157084291571,1.0,1.0,20
