corpus,control_variant,comparison,family,model_a,model_b,auc_a,auc_b,delta,delta_ci95_lo,delta_ci95_hi,n_groups,n_pairs,p_point_signflip,p_maxT_family,p_maxT_family_stud,p_maxT_all12,p_maxT_all12_stud,family_size,family_size_all
A,pooled,route_vs_phys_full_clean,duel,route4,phys13_clean,0.9550508474576271,0.9399661016949152,0.015084745762711904,-0.010235697004635435,0.045981771646149236,21,29500,0.28477152284771523,0.8696130386961304,0.6211378862113789,0.9143085691430857,0.7158284171582842,4,12
A,pooled,route_vs_phys_canon,duel,route2_canon,phys3_canon,0.9440338983050848,0.868,0.07603389830508478,0.055701967114584874,0.10040263270554849,21,29500,9.999000099990002e-05,0.104989501049895,9.999000099990002e-05,0.1553844615538446,9.999000099990002e-05,4,12
A,pooled,route_vs_phys_canon_clean,duel,route2_canon,phys2_canon_clean,0.9440338983050848,0.7667118644067796,0.17732203389830514,0.14263648353679204,0.2274787444115318,21,29500,9.999000099990002e-05,9.999000099990002e-05,9.999000099990002e-05,9.999000099990002e-05,9.999000099990002e-05,4,12
H,matched,increment_full,increment,route4+phys16,phys16,0.25,0.5,-0.25,-0.75,0.0,4,4,1.0,1.0,1.0,1.0,1.0,4,12
H,matched,increment_full_clean,increment,route4+phys13_clean,phys13_clean,0.0,0.25,-0.25,-0.75,0.0,4,4,1.0,1.0,1.0,1.0,1.0,4,12
H,matched,increment_canon,increment,route2+phys3_canon,phys3_canon,0.25,0.5,-0.25,-0.75,0.0,4,4,1.0,1.0,1.0,1.0,1.0,4,12
H,matched,increment_canon_clean,increment,route2+phys2_canon_clean,phys2_canon_clean,0.25,0.75,-0.5,-1.0,0.0,4,4,0.49765023497650235,0.49375062493750627,0.49375062493750627,0.8780121987801219,0.8780121987801219,4,12
H,matched,physinc_full,physinc,route4+phys16,route4,0.25,0.25,0.0,-0.75,0.75,4,4,1.0,1.0,1.0,1.0,1.0,4,12
H,matched,physinc_full_clean,physinc,route4+phys13_clean,route4,0.0,0.25,-0.25,-0.75,0.0,4,4,1.0,1.0,1.0,1.0,1.0,4,12
H,matched,physinc_canon,physinc,route2+phys3_canon,route2_canon,0.25,0.25,0.0,-0.75,0.75,4,4,1.0,1.0,1.0,1.0,1.0,4,12
H,matched,physinc_canon_clean,physinc,route2+phys2_canon_clean,route2_canon,0.25,0.25,0.0,-0.75,0.75,4,4,1.0,1.0,1.0,1.0,1.0,4,12
H,matched,route_vs_phys_full,duel,route4,phys16,0.25,0.5,-0.25,-1.0,0.5,4,4,1.0,1.0,1.0,1.0,1.0,4,12
H,matched,route_vs_phys_full_clean,duel,route4,phys13_clean,0.25,0.25,0.0,-0.75,0.75,4,4,1.0,1.0,1.0,1.0,1.0,4,12
H,matched,route_vs_phys_canon,duel,route2_canon,phys3_canon,0.25,0.5,-0.25,-1.0,0.5,4,4,1.0,1.0,1.0,1.0,1.0,4,12
H,matched,route_vs_phys_canon_clean,duel,route2_canon,phys2_canon_clean,0.25,0.75,-0.5,-1.0,0.5,4,4,0.6277372262773723,0.7484251574842515,0.7484251574842515,0.8780121987801219,1.0,4,12
H,pooled,increment_full,increment,route4+phys16,phys16,0.4375,0.4375,0.0,-0.08333333333333333,0.08333333333333333,6,32,1.0,1.0,1.0,1.0,1.0,4,12
H,pooled,increment_full_clean,increment,route4+phys13_clean,phys13_clean,0.40625,0.34375,0.0625,0.0,0.1388888888888889,6,32,0.5026497350264973,0.9404059594040596,0.7545245475452454,1.0,0.807019298070193,4,12
H,pooled,increment_canon,increment,route2+phys3_canon,phys3_canon,0.1875,0.4375,-0.25,-0.42857142857142855,-0.08333333333333333,6,32,0.1264873512648735,0.12688731126887312,0.12688731126887312,0.5666433356664333,0.1264873512648735,4,12
H,pooled,increment_canon_clean,increment,route2+phys2_canon_clean,phys2_canon_clean,0.21875,0.375,-0.15625,-0.2857142857142857,-0.027777777777777776,6,32,0.24687531246875313,0.2518748125187481,0.2518748125187481,0.8733126687331267,0.5616438356164384,4,12
H,pooled,physinc_full,physinc,route4+phys16,route4,0.4375,0.5625,-0.125,-0.3611111111111111,0.10714285714285714,6,32,0.6851314868513149,0.934006599340066,0.934006599340066,1.0,1.0,4,12
H,pooled,physinc_full_clean,physinc,route4+phys13_clean,route4,0.40625,0.5625,-0.15625,-0.4166666666666667,0.1111111111111111,6,32,0.49755024497550243,0.7517248275172482,0.7517248275172482,0.8733126687331267,0.9361063893610639,4,12
H,pooled,physinc_canon,physinc,route2+phys3_canon,route2_canon,0.1875,0.0625,0.125,-0.08333333333333333,0.3333333333333333,6,32,0.7556244375562444,0.934006599340066,0.8744125587441256,1.0,1.0,4,12
H,pooled,physinc_canon_clean,physinc,route2+phys2_canon_clean,route2_canon,0.21875,0.0625,0.15625,0.03125,0.3125,6,32,0.25537446255374463,0.7517248275172482,0.37476252374762525,0.8733126687331267,0.44125587441255876,4,12
H,pooled,route_vs_phys_full,duel,route4,phys16,0.5625,0.4375,0.125,-0.05555555555555555,0.28125,6,32,0.5069493050694931,0.9398060193980602,0.7454254574542546,1.0,0.9361063893610639,4,12
H,pooled,route_vs_phys_full_clean,duel,route4,phys13_clean,0.5625,0.34375,0.21875,0.0,0.4375,6,32,0.2546745325467453,0.6251374862513749,0.4978502149785021,0.6275372462753724,0.6225377462253775,4,12
H,pooled,route_vs_phys_canon,duel,route2_canon,phys3_canon,0.0625,0.4375,-0.375,-0.7,-0.0625,6,32,0.24687531246875313,0.2518748125187481,0.43745625437456254,0.24687531246875313,0.5616438356164384,4,12
H,pooled,route_vs_phys_canon_clean,duel,route2_canon,phys2_canon_clean,0.0625,0.375,-0.3125,-0.5625,-0.07142857142857142,6,32,0.1264873512648735,0.2518748125187481,0.3124687531246875,0.24687531246875313,0.44125587441255876,4,12
