cohort,group,detector,episodes,risk_n,timely_n,late_n,persistent_n,alarms,tp,fp,fn,tn,risk_recall,timely_fpr,precision,late_recall,persistent_recall,detected_risk_lead_median,early2_risk_recall,early4_risk_recall,early8_risk_recall,early12_risk_recall
development_main,libero_long/LIVING_ROOM_SCENE5_put_the_white_mug_on_the_left_plate_and_put_the_yellow_and_white_mug_on_the_right_plate,long_guard_v5,400,17,383,0,17,12,10,2,7,381,0.5882352941176471,0.005221932114882507,0.8333333333333334,,0.5882352941176471,15.0,0.47058823529411764,0.47058823529411764,0.47058823529411764,0.47058823529411764
development_main,libero_long/LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate,long_guard_v5,400,43,357,3,40,43,35,8,8,349,0.813953488372093,0.022408963585434174,0.813953488372093,0.6666666666666666,0.825,16.0,0.813953488372093,0.7906976744186046,0.6976744186046512,0.6511627906976745
development_main,libero_long/STUDY_SCENE1_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy,long_guard_v5,400,8,392,0,8,10,8,2,0,390,1.0,0.00510204081632653,0.8,,1.0,22.0,1.0,1.0,1.0,1.0
development_main,libero_object/pick_up_the_alphabet_soup_and_place_it_in_the_basket,long_guard_v5,400,3,397,0,3,3,3,0,0,397,1.0,0.0,1.0,,1.0,2.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.0
development_main,libero_object/pick_up_the_bbq_sauce_and_place_it_in_the_basket,long_guard_v5,400,11,389,1,10,12,10,2,1,387,0.9090909090909091,0.005141388174807198,0.8333333333333334,1.0,0.9,7.0,0.9090909090909091,0.9090909090909091,0.18181818181818182,0.0
development_main,libero_object/pick_up_the_butter_and_place_it_in_the_basket,long_guard_v5,400,2,398,0,2,0,0,0,2,398,0.0,0.0,,,0.0,,0.0,0.0,0.0,0.0
development_main,libero_object/pick_up_the_chocolate_pudding_and_place_it_in_the_basket,long_guard_v5,400,0,400,0,0,0,0,0,0,400,,0.0,,,,,,,,
development_main,libero_object/pick_up_the_cream_cheese_and_place_it_in_the_basket,long_guard_v5,400,5,395,0,5,4,4,0,1,395,0.8,0.0,1.0,,0.8,11.5,0.8,0.8,0.6,0.4
development_main,libero_object/pick_up_the_ketchup_and_place_it_in_the_basket,long_guard_v5,400,0,400,0,0,0,0,0,0,400,,0.0,,,,,,,,
development_main,libero_object/pick_up_the_milk_and_place_it_in_the_basket,long_guard_v5,400,8,392,2,6,5,4,1,4,391,0.5,0.002551020408163265,0.8,1.0,0.3333333333333333,6.5,0.5,0.5,0.0,0.0
development_main,libero_object/pick_up_the_orange_juice_and_place_it_in_the_basket,long_guard_v5,400,3,397,0,3,3,3,0,0,397,1.0,0.0,1.0,,1.0,9.0,1.0,1.0,1.0,0.0
development_main,libero_object/pick_up_the_salad_dressing_and_place_it_in_the_basket,long_guard_v5,400,1,399,0,1,1,0,1,1,398,0.0,0.002506265664160401,0.0,,0.0,,0.0,0.0,0.0,0.0
development_main,libero_object/pick_up_the_tomato_sauce_and_place_it_in_the_basket,long_guard_v5,400,4,396,1,3,3,3,0,1,396,0.75,0.0,1.0,1.0,0.6666666666666666,9.0,0.75,0.75,0.75,0.0
development_main,libero_spatial/pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,long_guard_v5,400,0,400,0,0,0,0,0,0,400,,0.0,,,,,,,,
development_main,libero_spatial/pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,long_guard_v5,400,8,392,0,8,6,6,0,2,392,0.75,0.0,1.0,,0.75,4.0,0.625,0.625,0.0,0.0
development_main,libero_spatial/pick_up_the_black_bowl_in_the_top_drawer_of_the_wooden_cabinet_and_place_it_on_the_plate,long_guard_v5,400,12,388,0,12,9,9,0,3,388,0.75,0.0,1.0,,0.75,2.0,0.5,0.0,0.0,0.0
development_main,libero_spatial/pick_up_the_black_bowl_next_to_the_cookie_box_and_place_it_on_the_plate,long_guard_v5,400,3,397,0,3,3,3,0,0,397,1.0,0.0,1.0,,1.0,2.0,1.0,0.0,0.0,0.0
development_main,libero_spatial/pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate,long_guard_v5,400,14,386,0,14,12,12,0,2,386,0.8571428571428571,0.0,1.0,,0.8571428571428571,4.5,0.7142857142857143,0.7142857142857143,0.0,0.0
development_main,libero_spatial/pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate,long_guard_v5,400,9,391,0,9,9,9,0,0,391,1.0,0.0,1.0,,1.0,2.0,0.6666666666666666,0.0,0.0,0.0
development_main,libero_spatial/pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate,long_guard_v5,400,9,391,5,4,9,9,0,0,391,1.0,0.0,1.0,1.0,1.0,6.0,1.0,1.0,0.0,0.0
development_main,libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,long_guard_v5,400,25,375,0,25,25,25,0,0,375,1.0,0.0,1.0,,1.0,4.0,1.0,0.6,0.04,0.04
development_main,libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,long_guard_v5,400,35,365,1,34,21,20,1,15,364,0.5714285714285714,0.0027397260273972603,0.9523809523809523,1.0,0.5588235294117647,1.0,0.08571428571428572,0.0,0.0,0.0
development_main,libero_spatial/pick_up_the_black_bowl_on_the_wooden_cabinet_and_place_it_on_the_plate,long_guard_v5,400,11,389,1,10,3,3,0,8,389,0.2727272727272727,0.0,1.0,1.0,0.2,1.0,0.09090909090909091,0.0,0.0,0.0
external_8b,libero_goal/open_the_middle_drawer_of_the_cabinet,v4_dual_regime_or,400,0,400,0,0,0,0,0,0,400,,0.0,,,,,,,,
