cv_scheme,model,snapshots,heldout_units,ridge_alpha,failure_rate_mse,failure_rate_mae,mse_gain_vs_mean_rate,mse_gain_vs_mean_rate_ci95_low,mse_gain_vs_mean_rate_ci95_high,mse_gain_vs_policy_state,mse_gain_vs_policy_state_ci95_low,mse_gain_vs_policy_state_ci95_high,mse_gain_vs_geometry,mse_gain_vs_geometry_ci95_low,mse_gain_vs_geometry_ci95_high,mse_gain_vs_sim_state,mse_gain_vs_sim_state_ci95_low,mse_gain_vs_sim_state_ci95_high
leave_one_snapshot_out,as_moe,22,22,10.0,0.1517591421977933,0.34199134328148584,-1.0413307240842453e-09,-8.356158326991002e-09,5.653690252060245e-09,-0.025362787036765665,-0.0768442003636252,0.028329453376904557,-0.13107939455583723,-0.18862130974979013,-0.07807062229670604,-0.12077929298361013,-0.17891403896199393,-0.06773596098125065
leave_one_snapshot_out,mean_output_action,22,22,10.0,0.2250102691984301,0.40417106585069135,-0.07325112804196753,-0.142359850089642,-0.009512328537161377,-0.09861391403740245,-0.17994304575307768,-0.01584416545693143,-0.20433052155647402,-0.297199633952639,-0.1200965169371896,-0.19403041998424692,-0.28578122635269526,-0.1117507450155515
leave_one_worker_out,initial_geometry,22,4,10.0,0.22214399473794574,0.3731487339193171,0.025493528086399587,-0.05368444387372471,0.1266506515928511,0.0970940935944496,-0.033090418561675015,0.26845033879737795,0.0,0.0,0.0,0.06485415836657675,-0.03960394389116232,0.24909120950574154
leave_one_worker_out,as_moe,22,4,10.0,0.2476375175569092,0.4278492575342005,5.267436124273777e-09,0.0,1.224576352027678e-08,0.07160057077548614,-0.0576568167908417,0.30809506588046814,-0.025493522818963464,-0.12665064278234633,0.05368445166648331,0.039360635547613286,-0.13347296273923703,0.25785927836575906
leave_one_worker_out,mean_rate,22,4,,0.24763752282434529,0.4278492647058823,0.0,0.0,0.0,0.07160056550805001,-0.057656819532955345,0.308095051514254,-0.025493528086399587,-0.1266506515928511,0.05368444387372471,0.03936063028017716,-0.13347296548135068,0.25785926611999554
leave_one_worker_out,initial_sim_state,22,4,10.0,0.2869981531045225,0.4329676221717488,-0.03936063028017716,-0.25785926611999554,0.13347296548135068,0.03223993522787285,-0.0278765928933639,0.09874106731483306,-0.06485415836657675,-0.24909120950574154,0.03960394389116232,0.0,0.0,0.0
leave_one_worker_out,mean_moe_action,22,4,10.0,0.3029882689246807,0.47671844877979974,-0.05535074610033542,-0.20420068546470857,0.0334936911412372,0.016249819407714586,-0.043456372146196465,0.10585072765637293,-0.08084427418673501,-0.18663133430044523,0.0164216928014018,-0.01599011582015826,-0.11445689850983799,0.08247666686952147
leave_one_worker_out,initial_policy_state,22,4,10.0,0.3192380883323953,0.49018918113275006,-0.07160056550805001,-0.308095051514254,0.057656819532955345,0.0,0.0,0.0,-0.0970940935944496,-0.26845033879737795,0.033090418561675015,-0.03223993522787285,-0.09874106731483306,0.0278765928933639
leave_one_worker_out,mean_output_action,22,4,10.0,0.36166272673171973,0.5306279063224792,-0.11402520390737442,-0.2965915856630094,0.026540425094021627,-0.042424638399324414,-0.10682780029554612,0.021978523496897297,-0.13951873199377401,-0.2710142471952617,-0.0251177903402027,-0.07466457362719726,-0.15127972570802534,-0.01292092933808449
leave_one_worker_out,geometry+mean_moe_action+state,22,4,10.0,0.3683843098746758,0.5113461125980724,-0.12074678705033048,-0.3805194605794503,0.015390249635163422,-0.049146221542280474,-0.09080545362582683,-0.0022867758895664513,-0.14624031513673008,-0.35666712654879235,0.018726665742994742,-0.08138615677015332,-0.15386266758422734,0.01963645612467572
leave_one_worker_out,sim_state+mean_moe_action+state,22,4,10.0,0.36905025805573755,0.5118389265103773,-0.12141273523139225,-0.3826578115363783,0.01519984359439975,-0.04981216972334224,-0.09194694394718668,-0.0030360370984684228,-0.14690626331779183,-0.3588054775057203,0.01860492025902137,-0.08205210495121508,-0.1549326359892766,0.01974310509221011
leave_one_worker_out,mean_moe_action+state,22,4,10.0,0.37123629969458444,0.5141264958815142,-0.12359877687023914,-0.3835976328250486,0.01198724106110244,-0.051998211362189135,-0.09310642469158316,-0.003479984428755315,-0.14909230495663872,-0.35974529879439066,0.016873681100785253,-0.08423814659006199,-0.16007198868307304,0.01907714184590829
leave_one_worker_out,policy_state+mean_moe_action+state,22,4,10.0,0.37124223986210103,0.5138866034421053,-0.12360471703775572,-0.3841890652591437,0.012159625213057112,-0.052004151529705715,-0.09329068917857099,-0.003742174980205657,-0.14909824512415532,-0.3603367312284857,0.016931957671900012,-0.08424408675757857,-0.16000569428613645,0.01917447016752938
leave_one_worker_out,mean_moe_state,22,4,10.0,0.3873418654137144,0.5310257849368182,-0.13970434258936906,-0.3905281244852007,0.0031985676324446173,-0.06810377708131905,-0.11796677668715491,-0.014704767589577457,-0.16519787067576866,-0.37363020949408576,0.005679041072443919,-0.10034371230919191,-0.17368523861169682,0.005673002719581556
