cv_scheme,snapshot_key,worker,model,observed_failure_rate,predicted_failure_rate
leave_one_snapshot_out,w03_s005,3,as_moe,0.125,0.6934523582458496
leave_one_snapshot_out,w00_s000,0,mean_moe_action,0.5625,0.8004627823829651
leave_one_snapshot_out,w00_s001,0,mean_moe_action,0.75,0.5335239768028259
leave_one_snapshot_out,w00_s002,0,mean_moe_action,0.8125,0.9746087789535522
leave_one_snapshot_out,w00_s003,0,mean_moe_action,0.9375,0.7800347805023193
leave_one_snapshot_out,w00_s004,0,mean_moe_action,0.75,0.7764199376106262
leave_one_snapshot_out,w00_s005,0,mean_moe_action,0.625,0.5754833221435547
leave_one_snapshot_out,w01_s000,1,mean_moe_action,1.0,0.7893868684768677
leave_one_snapshot_out,w01_s001,1,mean_moe_action,1.0,1.0
leave_one_snapshot_out,w01_s002,1,mean_moe_action,1.0,0.6272521615028381
leave_one_snapshot_out,w01_s003,1,mean_moe_action,1.0,1.0
leave_one_snapshot_out,w01_s004,1,mean_moe_action,1.0,0.7665121555328369
leave_one_snapshot_out,w02_s000,2,mean_moe_action,1.0,0.5625168085098267
leave_one_snapshot_out,w02_s001,2,mean_moe_action,0.9375,0.703492283821106
leave_one_snapshot_out,w02_s002,2,mean_moe_action,0.875,0.8905290365219116
leave_one_snapshot_out,w02_s003,2,mean_moe_action,0.875,0.6155416965484619
leave_one_snapshot_out,w02_s004,2,mean_moe_action,1.0,0.7068700790405273
leave_one_snapshot_out,w03_s000,3,mean_moe_action,0.0625,0.3850915729999542
leave_one_snapshot_out,w03_s001,3,mean_moe_action,0.0625,0.32966089248657227
leave_one_snapshot_out,w03_s002,3,mean_moe_action,0.0625,0.2016735076904297
leave_one_snapshot_out,w03_s003,3,mean_moe_action,0.0625,0.4161017835140228
leave_one_snapshot_out,w03_s004,3,mean_moe_action,0.1875,0.3705167770385742
leave_one_snapshot_out,w03_s005,3,mean_moe_action,0.125,0.3362799286842346
leave_one_snapshot_out,w00_s000,0,mean_moe_state,0.5625,0.7948934435844421
leave_one_snapshot_out,w00_s001,0,mean_moe_state,0.75,0.43680670857429504
leave_one_snapshot_out,w00_s002,0,mean_moe_state,0.8125,1.0
leave_one_snapshot_out,w00_s003,0,mean_moe_state,0.9375,0.7081870436668396
leave_one_snapshot_out,w00_s004,0,mean_moe_state,0.75,0.9084538817405701
leave_one_snapshot_out,w00_s005,0,mean_moe_state,0.625,0.5862696766853333
leave_one_snapshot_out,w01_s000,1,mean_moe_state,1.0,1.0
leave_one_snapshot_out,w01_s001,1,mean_moe_state,1.0,1.0
leave_one_snapshot_out,w01_s002,1,mean_moe_state,1.0,0.5191740989685059
leave_one_snapshot_out,w01_s003,1,mean_moe_state,1.0,0.9400169253349304
leave_one_snapshot_out,w01_s004,1,mean_moe_state,1.0,0.9537433981895447
leave_one_snapshot_out,w02_s000,2,mean_moe_state,1.0,0.45702970027923584
leave_one_snapshot_out,w02_s001,2,mean_moe_state,0.9375,0.8409305214881897
leave_one_snapshot_out,w02_s002,2,mean_moe_state,0.875,1.0
leave_one_snapshot_out,w02_s003,2,mean_moe_state,0.875,0.6899580359458923
leave_one_snapshot_out,w02_s004,2,mean_moe_state,1.0,0.8035885095596313
leave_one_snapshot_out,w03_s000,3,mean_moe_state,0.0625,0.5583229660987854
