group,episodes,risk_n,nonrisk_n,alarm_n,tp,fp,risk_recall,precision,nonrisk_fpr,first_alarm_query_1based_q25,first_alarm_query_1based_median,first_alarm_query_1based_q75,alarm_phase_pct_q25,alarm_phase_pct_median,alarm_phase_pct_q75,true_alarm_phase_pct_median,false_alarm_phase_pct_median,remaining_phase_pct_median,phase_00_25_n,phase_00_25_among_alarms,phase_25_50_n,phase_25_50_among_alarms,phase_50_75_n,phase_50_75_among_alarms,phase_75_100_n,phase_75_100_among_alarms,cohort,task
cache_right16x32 | libero_goal/open_the_middle_drawer_of_the_cabinet,512,0,512,0,0,0,,,0.0,,,,,,,,,,0,,0,,0,,0,,cache_right16x32,libero_goal/open_the_middle_drawer_of_the_cabinet
development_main | libero_goal/turn_on_the_stove,400,0,400,0,0,0,,,0.0,,,,,,,,,,0,,0,,0,,0,,development_main,libero_goal/turn_on_the_stove
development_main | libero_long/KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,400,4,396,12,4,8,1.0,0.3333333333333333,0.020202020202020204,22.0,25.5,28.75,57.745098039215684,66.19318181818181,75.6804435483871,50.98039215686274,70.9375,33.80681818181819,0,0.0,1,0.08333333333333333,8,0.6666666666666666,3,0.25,development_main,libero_long/KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it
development_main | libero_long/KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,400,6,394,15,6,9,1.0,0.4,0.02284263959390863,22.0,23.0,35.5,59.41176470588235,66.66666666666667,75.06720430107526,50.98039215686275,70.96774193548387,33.33333333333333,0,0.0,3,0.2,8,0.5333333333333333,4,0.26666666666666666,development_main,libero_long/KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it
development_main | libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,400,138,262,87,81,6,0.5869565217391305,0.9310344827586207,0.022900763358778626,35.0,36.0,37.0,66.66666666666667,68.62745098039215,72.54901960784314,68.62745098039215,80.72640509013786,31.372549019607845,0,0.0,0,0.0,70,0.8045977011494253,17,0.19540229885057472,development_main,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove
development_main | libero_long/LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket,400,6,394,9,6,3,1.0,0.6666666666666666,0.007614213197969543,10.0,23.0,34.0,32.142857142857146,43.13725490196079,64.70588235294117,52.94117647058823,32.142857142857146,56.86274509803921,1,0.1111111111111111,4,0.4444444444444444,2,0.2222222222222222,2,0.2222222222222222,development_main,libero_long/LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket
development_main | libero_long/LIVING_ROOM_SCENE5_put_the_white_mug_on_the_left_plate_and_put_the_yellow_and_white_mug_on_the_right_plate,400,17,383,18,16,2,0.9411764705882353,0.8888888888888888,0.005221932114882507,32.0,33.0,33.0,60.78431372549019,62.745098039215684,65.51857585139318,62.745098039215684,73.68421052631578,37.254901960784316,0,0.0,0,0.0,16,0.8888888888888888,2,0.1111111111111111,development_main,libero_long/LIVING_ROOM_SCENE5_put_the_white_mug_on_the_left_plate_and_put_the_yellow_and_white_mug_on_the_right_plate
development_main | libero_long/LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate,400,43,357,52,37,15,0.8604651162790697,0.7115384615384616,0.04201680672268908,30.5,32.5,34.0,60.78431372549019,62.745098039215684,68.53991596638656,62.745098039215684,60.0,37.254901960784316,0,0.0,1,0.019230769230769232,40,0.7692307692307693,11,0.21153846153846154,development_main,libero_long/LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate
development_main | libero_long/STUDY_SCENE1_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy,400,8,392,25,8,17,1.0,0.32,0.04336734693877551,23.0,25.0,27.0,54.90196078431372,92.3076923076923,100.0,50.98039215686274,95.65217391304348,7.692307692307693,0,0.0,3,0.12,6,0.24,16,0.64,development_main,libero_long/STUDY_SCENE1_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy
development_main | libero_object/pick_up_the_alphabet_soup_and_place_it_in_the_basket,400,3,397,3,3,0,1.0,1.0,0.0,23.0,26.0,26.5,81.48148148148148,92.5925925925926,94.44444444444444,92.5925925925926,,7.407407407407405,0,0.0,0,0.0,1,0.3333333333333333,2,0.6666666666666666,development_main,libero_object/pick_up_the_alphabet_soup_and_place_it_in_the_basket
development_main | libero_object/pick_up_the_bbq_sauce_and_place_it_in_the_basket,400,11,389,12,10,2,0.9090909090909091,0.8333333333333334,0.005141388174807198,19.75,21.0,22.0,73.55555555555556,74.07407407407408,77.77777777777777,74.07407407407408,73.5,25.925925925925924,0,0.0,0,0.0,7,0.5833333333333334,5,0.4166666666666667,development_main,libero_object/pick_up_the_bbq_sauce_and_place_it_in_the_basket
development_main | libero_object/pick_up_the_butter_and_place_it_in_the_basket,400,2,398,0,0,0,0.0,,0.0,,,,,,,,,,0,,0,,0,,0,,development_main,libero_object/pick_up_the_butter_and_place_it_in_the_basket
development_main | libero_object/pick_up_the_chocolate_pudding_and_place_it_in_the_basket,400,0,400,0,0,0,,,0.0,,,,,,,,,,0,,0,,0,,0,,development_main,libero_object/pick_up_the_chocolate_pudding_and_place_it_in_the_basket
development_main | libero_object/pick_up_the_cream_cheese_and_place_it_in_the_basket,400,5,395,4,4,0,0.8,1.0,0.0,15.75,16.5,18.25,54.62962962962963,57.407407407407405,63.888888888888886,57.407407407407405,,42.592592592592595,0,0.0,0,0.0,3,0.75,1,0.25,development_main,libero_object/pick_up_the_cream_cheese_and_place_it_in_the_basket
development_main | libero_object/pick_up_the_ketchup_and_place_it_in_the_basket,400,0,400,0,0,0,,,0.0,,,,,,,,,,0,,0,,0,,0,,development_main,libero_object/pick_up_the_ketchup_and_place_it_in_the_basket
development_main | libero_object/pick_up_the_milk_and_place_it_in_the_basket,400,8,392,5,4,1,0.5,0.8,0.002551020408163265,21.0,21.0,22.0,74.07407407407408,74.07407407407408,77.77777777777777,75.92592592592592,63.63636363636363,25.925925925925924,0,0.0,0,0.0,3,0.6,2,0.4,development_main,libero_object/pick_up_the_milk_and_place_it_in_the_basket
development_main | libero_object/pick_up_the_orange_juice_and_place_it_in_the_basket,400,3,397,3,3,0,1.0,1.0,0.0,18.0,19.0,19.0,62.96296296296296,66.66666666666667,66.66666666666667,66.66666666666667,,33.33333333333333,0,0.0,0,0.0,3,1.0,0,0.0,development_main,libero_object/pick_up_the_orange_juice_and_place_it_in_the_basket
development_main | libero_object/pick_up_the_salad_dressing_and_place_it_in_the_basket,400,1,399,1,0,1,0.0,0.0,0.002506265664160401,15.0,15.0,15.0,77.77777777777777,77.77777777777777,77.77777777777777,,77.77777777777777,22.22222222222223,0,0.0,0,0.0,0,0.0,1,1.0,development_main,libero_object/pick_up_the_salad_dressing_and_place_it_in_the_basket
development_main | libero_object/pick_up_the_tomato_sauce_and_place_it_in_the_basket,400,4,396,3,3,0,0.75,1.0,0.0,19.0,19.0,19.5,66.66666666666667,66.66666666666667,68.51851851851852,66.66666666666667,,33.33333333333333,0,0.0,0,0.0,3,1.0,0,0.0,development_main,libero_object/pick_up_the_tomato_sauce_and_place_it_in_the_basket
development_main | libero_spatial/pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,400,0,400,0,0,0,,,0.0,,,,,,,,,,0,,0,,0,,0,,development_main,libero_spatial/pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate
development_main | libero_spatial/pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,400,8,392,6,6,0,0.75,1.0,0.0,18.0,18.0,18.0,80.95238095238095,80.95238095238095,80.95238095238095,80.95238095238095,,19.04761904761905,0,0.0,0,0.0,0,0.0,6,1.0,development_main,libero_spatial/pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate
development_main | libero_spatial/pick_up_the_black_bowl_in_the_top_drawer_of_the_wooden_cabinet_and_place_it_on_the_plate,400,12,388,9,9,0,0.75,1.0,0.0,20.0,20.0,21.0,90.47619047619048,90.47619047619048,95.23809523809524,90.47619047619048,,9.523809523809518,0,0.0,0,0.0,0,0.0,9,1.0,development_main,libero_spatial/pick_up_the_black_bowl_in_the_top_drawer_of_the_wooden_cabinet_and_place_it_on_the_plate
development_main | libero_spatial/pick_up_the_black_bowl_next_to_the_cookie_box_and_place_it_on_the_plate,400,3,397,3,3,0,1.0,1.0,0.0,19.5,20.0,20.0,88.0952380952381,90.47619047619048,90.47619047619048,90.47619047619048,,9.523809523809518,0,0.0,0,0.0,0,0.0,3,1.0,development_main,libero_spatial/pick_up_the_black_bowl_next_to_the_cookie_box_and_place_it_on_the_plate
development_main | libero_spatial/pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate,400,14,386,12,12,0,0.8571428571428571,1.0,0.0,17.0,17.5,18.0,76.19047619047619,78.57142857142857,80.95238095238095,78.57142857142857,,21.42857142857143,0,0.0,0,0.0,1,0.08333333333333333,11,0.9166666666666666,development_main,libero_spatial/pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate
development_main | libero_spatial/pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate,400,9,391,9,9,0,1.0,1.0,0.0,19.0,20.0,21.0,85.71428571428571,90.47619047619048,95.23809523809524,90.47619047619048,,9.523809523809518,0,0.0,0,0.0,0,0.0,9,1.0,development_main,libero_spatial/pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate
development_main | libero_spatial/pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate,400,9,391,9,9,0,1.0,1.0,0.0,16.0,16.0,17.0,71.42857142857143,71.42857142857143,76.19047619047619,71.42857142857143,,28.57142857142857,0,0.0,0,0.0,5,0.5555555555555556,4,0.4444444444444444,development_main,libero_spatial/pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate
development_main | libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,400,25,375,25,25,0,1.0,1.0,0.0,18.0,18.0,19.0,80.95238095238095,80.95238095238095,85.71428571428571,80.95238095238095,,19.04761904761905,0,0.0,1,0.04,0,0.0,24,0.96,development_main,libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate
development_main | libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,400,35,365,21,20,1,0.5714285714285714,0.9523809523809523,0.0027397260273972603,21.0,21.0,22.0,95.23809523809524,95.23809523809524,100.0,95.23809523809524,92.3076923076923,4.761904761904759,0,0.0,0,0.0,0,0.0,21,1.0,development_main,libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate
development_main | libero_spatial/pick_up_the_black_bowl_on_the_wooden_cabinet_and_place_it_on_the_plate,400,11,389,3,3,0,0.2727272727272727,1.0,0.0,20.5,21.0,21.5,92.85714285714286,95.23809523809524,97.61904761904762,95.23809523809524,,4.761904761904759,0,0.0,0,0.0,0,0.0,3,1.0,development_main,libero_spatial/pick_up_the_black_bowl_on_the_wooden_cabinet_and_place_it_on_the_plate
external_8b | libero_goal/open_the_middle_drawer_of_the_cabinet,400,0,400,0,0,0,,,0.0,,,,,,,,,,0,,0,,0,,0,,external_8b,libero_goal/open_the_middle_drawer_of_the_cabinet
external_8b | libero_goal/open_the_top_drawer_and_put_the_bowl_inside,400,51,349,48,47,1,0.9215686274509803,0.9791666666666666,0.0028653295128939827,25.75,26.0,26.0,85.3448275862069,86.20689655172414,86.20689655172414,86.20689655172414,72.41379310344827,13.793103448275858,0,0.0,0,0.0,2,0.041666666666666664,46,0.9583333333333334,external_8b,libero_goal/open_the_top_drawer_and_put_the_bowl_inside
external_8b | libero_goal/push_the_plate_to_the_front_of_the_stove,400,1,399,2,1,1,1.0,0.5,0.002506265664160401,22.5,25.0,27.5,100.0,100.0,100.0,100.0,100.0,0.0,0,0.0,0,0.0,0,0.0,2,1.0,external_8b,libero_goal/push_the_plate_to_the_front_of_the_stove
external_8b | libero_goal/put_the_bowl_on_the_plate,400,18,382,9,8,1,0.4444444444444444,0.8888888888888888,0.002617801047120419,18.0,19.0,22.0,58.62068965517241,65.51724137931035,75.0,63.793103448275865,75.0,34.48275862068965,0,0.0,1,0.1111111111111111,5,0.5555555555555556,3,0.3333333333333333,external_8b,libero_goal/put_the_bowl_on_the_plate
external_8b | libero_goal/put_the_bowl_on_the_stove,400,9,391,7,7,0,0.7777777777777778,1.0,0.0,16.0,17.0,17.0,51.724137931034484,55.172413793103445,55.172413793103445,55.172413793103445,,44.827586206896555,0,0.0,0,0.0,6,0.8571428571428571,1,0.14285714285714285,external_8b,libero_goal/put_the_bowl_on_the_stove
external_8b | libero_goal/put_the_bowl_on_top_of_the_cabinet,400,16,384,16,16,0,1.0,1.0,0.0,16.0,16.0,16.25,51.724137931034484,51.724137931034484,52.58620689655172,51.724137931034484,,48.275862068965516,0,0.0,0,0.0,16,1.0,0,0.0,external_8b,libero_goal/put_the_bowl_on_top_of_the_cabinet
external_8b | libero_goal/put_the_cream_cheese_in_the_bowl,400,9,391,8,7,1,0.7777777777777778,0.875,0.0025575447570332483,15.75,16.0,16.0,51.724137931034484,51.724137931034484,59.38133874239351,51.724137931034484,82.3529411764706,48.275862068965516,0,0.0,1,0.125,5,0.625,2,0.25,external_8b,libero_goal/put_the_cream_cheese_in_the_bowl
external_8b | libero_goal/put_the_wine_bottle_on_the_rack,400,1,399,2,1,1,1.0,0.5,0.002506265664160401,24.0,24.0,24.0,83.441091954023,87.57183908045977,91.70258620689654,79.3103448275862,95.83333333333333,12.428160919540232,0,0.0,0,0.0,0,0.0,2,1.0,external_8b,libero_goal/put_the_wine_bottle_on_the_rack
external_8b | libero_goal/put_the_wine_bottle_on_top_of_the_cabinet,400,1,399,1,1,0,1.0,1.0,0.0,17.0,17.0,17.0,55.172413793103445,55.172413793103445,55.172413793103445,55.172413793103445,,44.827586206896555,0,0.0,0,0.0,1,1.0,0,0.0,external_8b,libero_goal/put_the_wine_bottle_on_top_of_the_cabinet
external_8b | libero_goal/turn_on_the_stove,400,0,400,0,0,0,,,0.0,,,,,,,,,,0,,0,,0,,0,,external_8b,libero_goal/turn_on_the_stove
external_8b | libero_long/KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,400,4,396,8,4,4,1.0,0.5,0.010101010101010102,21.0,21.0,25.25,55.3921568627451,66.55773420479302,72.08994708994709,50.0,72.75132275132276,33.44226579520698,0,0.0,2,0.25,5,0.625,1,0.125,external_8b,libero_long/KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it
external_8b | libero_long/KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,400,1,399,7,1,6,1.0,0.14285714285714285,0.015037593984962405,21.0,22.0,23.0,59.71479500891266,65.625,72.15053763440861,56.86274509803921,68.29637096774194,34.375,0,0.0,0,0.0,7,1.0,0,0.0,external_8b,libero_long/KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it
external_8b | libero_long/KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,400,1,399,15,1,14,1.0,0.06666666666666667,0.03508771929824561,21.0,23.0,23.5,55.64102564102564,63.63636363636363,70.48387096774194,64.70588235294117,63.06818181818181,36.36363636363637,0,0.0,2,0.13333333333333333,11,0.7333333333333333,2,0.13333333333333333,external_8b,libero_long/KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it
external_8b | libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,400,151,249,94,89,5,0.5894039735099338,0.9468085106382979,0.020080321285140562,35.0,36.0,37.0,66.66666666666667,68.62745098039215,72.54901960784314,68.62745098039215,76.74418604651163,31.372549019607845,0,0.0,0,0.0,80,0.851063829787234,14,0.14893617021276595,external_8b,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove
external_8b | libero_long/LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket,400,30,370,35,29,6,0.9666666666666667,0.8285714285714286,0.016216216216216217,9.0,9.0,15.5,15.686274509803921,17.647058823529413,28.991596638655462,17.647058823529413,26.236559139784944,82.35294117647058,20,0.5714285714285714,11,0.3142857142857143,3,0.08571428571428572,1,0.02857142857142857,external_8b,libero_long/LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket
external_8b | libero_long/LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,400,10,390,10,8,2,0.8,0.8,0.005128205128205128,9.0,9.0,9.0,15.686274509803921,15.686274509803921,15.686274509803921,15.686274509803921,70.1086956521739,84.31372549019608,8,0.8,0,0.0,1,0.1,1,0.1,external_8b,libero_long/LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket
external_8b | libero_long/LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket,400,4,396,9,3,6,0.75,0.3333333333333333,0.015151515151515152,20.0,23.0,31.0,41.86046511627907,64.70588235294117,77.77777777777777,64.70588235294117,59.391771019677996,35.294117647058826,0,0.0,4,0.4444444444444444,1,0.1111111111111111,4,0.4444444444444444,external_8b,libero_long/LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket
external_8b | libero_long/LIVING_ROOM_SCENE5_put_the_white_mug_on_the_left_plate_and_put_the_yellow_and_white_mug_on_the_right_plate,400,20,380,20,19,1,0.95,0.95,0.002631578947368421,32.0,33.0,34.0,60.78431372549019,62.745098039215684,64.70588235294117,62.745098039215684,82.5,37.254901960784316,0,0.0,0,0.0,17,0.85,3,0.15,external_8b,libero_long/LIVING_ROOM_SCENE5_put_the_white_mug_on_the_left_plate_and_put_the_yellow_and_white_mug_on_the_right_plate
external_8b | libero_long/LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate,400,47,353,46,36,10,0.7659574468085106,0.782608695652174,0.028328611898016998,31.25,35.5,39.75,62.745098039215684,68.62745098039215,79.90196078431373,68.62745098039215,64.97975708502024,31.372549019607845,0,0.0,1,0.021739130434782608,29,0.6304347826086957,16,0.34782608695652173,external_8b,libero_long/LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate
external_8b | libero_long/STUDY_SCENE1_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy,400,6,394,23,6,17,1.0,0.2608695652173913,0.04314720812182741,23.0,25.0,27.0,57.97682709447415,86.66666666666667,95.7427536231884,52.94117647058823,95.65217391304348,13.333333333333329,0,0.0,1,0.043478260869565216,8,0.34782608695652173,14,0.6086956521739131,external_8b,libero_long/STUDY_SCENE1_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy
external_8b | libero_object/pick_up_the_alphabet_soup_and_place_it_in_the_basket,400,3,397,3,3,0,1.0,1.0,0.0,20.0,24.0,24.5,70.37037037037038,85.18518518518519,87.03703703703704,85.18518518518519,,14.81481481481481,0,0.0,0,0.0,1,0.3333333333333333,2,0.6666666666666666,external_8b,libero_object/pick_up_the_alphabet_soup_and_place_it_in_the_basket
external_8b | libero_object/pick_up_the_bbq_sauce_and_place_it_in_the_basket,400,10,390,10,9,1,0.9,0.9,0.002564102564102564,21.0,22.0,23.5,74.07407407407408,77.77777777777777,83.33333333333334,77.77777777777777,70.0,22.22222222222223,0,0.0,0,0.0,4,0.4,6,0.6,external_8b,libero_object/pick_up_the_bbq_sauce_and_place_it_in_the_basket
external_8b | libero_object/pick_up_the_butter_and_place_it_in_the_basket,400,0,400,0,0,0,,,0.0,,,,,,,,,,0,,0,,0,,0,,external_8b,libero_object/pick_up_the_butter_and_place_it_in_the_basket
external_8b | libero_object/pick_up_the_cream_cheese_and_place_it_in_the_basket,400,7,393,5,5,0,0.7142857142857143,1.0,0.0,17.0,21.0,22.0,59.25925925925926,74.07407407407408,77.77777777777777,74.07407407407408,,25.925925925925924,0,0.0,0,0.0,3,0.6,2,0.4,external_8b,libero_object/pick_up_the_cream_cheese_and_place_it_in_the_basket
external_8b | libero_object/pick_up_the_ketchup_and_place_it_in_the_basket,400,1,399,1,1,0,1.0,1.0,0.0,24.0,24.0,24.0,85.18518518518519,85.18518518518519,85.18518518518519,85.18518518518519,,14.81481481481481,0,0.0,0,0.0,0,0.0,1,1.0,external_8b,libero_object/pick_up_the_ketchup_and_place_it_in_the_basket
external_8b | libero_object/pick_up_the_milk_and_place_it_in_the_basket,400,7,393,3,3,0,0.42857142857142855,1.0,0.0,22.5,24.0,24.5,79.62962962962963,85.18518518518519,87.03703703703704,85.18518518518519,,14.81481481481481,0,0.0,0,0.0,1,0.3333333333333333,2,0.6666666666666666,external_8b,libero_object/pick_up_the_milk_and_place_it_in_the_basket
external_8b | libero_object/pick_up_the_orange_juice_and_place_it_in_the_basket,400,5,395,4,3,1,0.6,0.75,0.002531645569620253,20.25,21.5,23.5,74.07407407407408,84.34343434343434,93.18181818181819,77.77777777777777,90.9090909090909,15.656565656565661,0,0.0,0,0.0,1,0.25,3,0.75,external_8b,libero_object/pick_up_the_orange_juice_and_place_it_in_the_basket
external_8b | libero_object/pick_up_the_salad_dressing_and_place_it_in_the_basket,400,4,396,3,3,0,0.75,1.0,0.0,21.0,25.0,25.0,74.07407407407408,88.88888888888889,88.88888888888889,88.88888888888889,,11.111111111111114,0,0.0,0,0.0,1,0.3333333333333333,2,0.6666666666666666,external_8b,libero_object/pick_up_the_salad_dressing_and_place_it_in_the_basket
external_8b | libero_object/pick_up_the_tomato_sauce_and_place_it_in_the_basket,400,7,393,4,4,0,0.5714285714285714,1.0,0.0,16.5,18.0,20.5,57.407407407407405,62.96296296296296,72.22222222222223,62.96296296296296,,37.03703703703704,0,0.0,0,0.0,3,0.75,1,0.25,external_8b,libero_object/pick_up_the_tomato_sauce_and_place_it_in_the_basket
external_8b | libero_spatial/pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,400,1,399,0,0,0,0.0,,0.0,,,,,,,,,,0,,0,,0,,0,,external_8b,libero_spatial/pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate
