cohort,task,episodes,risk_n,alarm_n,tp,fp,risk_recall_pct,precision_pct,first_alarm_query_1based_median,alarm_phase_pct_q25,alarm_phase_pct_median,alarm_phase_pct_q75,alarms_in_phase_00_25_pct,alarms_in_phase_25_50_pct,alarms_in_phase_50_75_pct,alarms_in_phase_75_100_pct
development_main,libero_long/KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,400,4,12,4,8,100.0,33.33,25.5,57.75,66.19,75.68,0.0,8.33,66.67,25.0
development_main,libero_long/KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,400,6,15,6,9,100.0,40.0,23.0,59.41,66.67,75.07,0.0,20.0,53.33,26.67
development_main,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,400,138,87,81,6,58.7,93.1,36.0,66.67,68.63,72.55,0.0,0.0,80.46,19.54
development_main,libero_long/LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket,400,6,9,6,3,100.0,66.67,23.0,32.14,43.14,64.71,11.11,44.44,22.22,22.22
development_main,libero_long/LIVING_ROOM_SCENE5_put_the_white_mug_on_the_left_plate_and_put_the_yellow_and_white_mug_on_the_right_plate,400,17,18,16,2,94.12,88.89,33.0,60.78,62.75,65.52,0.0,0.0,88.89,11.11
development_main,libero_long/LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate,400,43,52,37,15,86.05,71.15,32.5,60.78,62.75,68.54,0.0,1.92,76.92,21.15
development_main,libero_long/STUDY_SCENE1_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy,400,8,25,8,17,100.0,32.0,25.0,54.9,92.31,100.0,0.0,12.0,24.0,64.0
development_main,libero_object/pick_up_the_alphabet_soup_and_place_it_in_the_basket,400,3,3,3,0,100.0,100.0,26.0,81.48,92.59,94.44,0.0,0.0,33.33,66.67
development_main,libero_object/pick_up_the_bbq_sauce_and_place_it_in_the_basket,400,11,12,10,2,90.91,83.33,21.0,73.56,74.07,77.78,0.0,0.0,58.33,41.67
development_main,libero_object/pick_up_the_butter_and_place_it_in_the_basket,400,2,0,0,0,0.0,,,,,,,,,
development_main,libero_object/pick_up_the_chocolate_pudding_and_place_it_in_the_basket,400,0,0,0,0,,,,,,,,,,
development_main,libero_object/pick_up_the_cream_cheese_and_place_it_in_the_basket,400,5,4,4,0,80.0,100.0,16.5,54.63,57.41,63.89,0.0,0.0,75.0,25.0
development_main,libero_object/pick_up_the_ketchup_and_place_it_in_the_basket,400,0,0,0,0,,,,,,,,,,
development_main,libero_object/pick_up_the_milk_and_place_it_in_the_basket,400,8,5,4,1,50.0,80.0,21.0,74.07,74.07,77.78,0.0,0.0,60.0,40.0
development_main,libero_object/pick_up_the_orange_juice_and_place_it_in_the_basket,400,3,3,3,0,100.0,100.0,19.0,62.96,66.67,66.67,0.0,0.0,100.0,0.0
development_main,libero_object/pick_up_the_salad_dressing_and_place_it_in_the_basket,400,1,1,0,1,0.0,0.0,15.0,77.78,77.78,77.78,0.0,0.0,0.0,100.0
development_main,libero_object/pick_up_the_tomato_sauce_and_place_it_in_the_basket,400,4,3,3,0,75.0,100.0,19.0,66.67,66.67,68.52,0.0,0.0,100.0,0.0
development_main,libero_spatial/pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,400,0,0,0,0,,,,,,,,,,
development_main,libero_spatial/pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,400,8,6,6,0,75.0,100.0,18.0,80.95,80.95,80.95,0.0,0.0,0.0,100.0
development_main,libero_spatial/pick_up_the_black_bowl_in_the_top_drawer_of_the_wooden_cabinet_and_place_it_on_the_plate,400,12,9,9,0,75.0,100.0,20.0,90.48,90.48,95.24,0.0,0.0,0.0,100.0
development_main,libero_spatial/pick_up_the_black_bowl_next_to_the_cookie_box_and_place_it_on_the_plate,400,3,3,3,0,100.0,100.0,20.0,88.1,90.48,90.48,0.0,0.0,0.0,100.0
development_main,libero_spatial/pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate,400,14,12,12,0,85.71,100.0,17.5,76.19,78.57,80.95,0.0,0.0,8.33,91.67
development_main,libero_spatial/pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate,400,9,9,9,0,100.0,100.0,20.0,85.71,90.48,95.24,0.0,0.0,0.0,100.0
development_main,libero_spatial/pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate,400,9,9,9,0,100.0,100.0,16.0,71.43,71.43,76.19,0.0,0.0,55.56,44.44
development_main,libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,400,25,25,25,0,100.0,100.0,18.0,80.95,80.95,85.71,0.0,4.0,0.0,96.0
development_main,libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,400,35,21,20,1,57.14,95.24,21.0,95.24,95.24,100.0,0.0,0.0,0.0,100.0
development_main,libero_spatial/pick_up_the_black_bowl_on_the_wooden_cabinet_and_place_it_on_the_plate,400,11,3,3,0,27.27,100.0,21.0,92.86,95.24,97.62,0.0,0.0,0.0,100.0
external_8b,libero_goal/open_the_middle_drawer_of_the_cabinet,400,0,0,0,0,,,,,,,,,,
external_8b,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,400,51,48,47,1,92.16,97.92,26.0,85.34,86.21,86.21,0.0,0.0,4.17,95.83
external_8b,libero_goal/push_the_plate_to_the_front_of_the_stove,400,1,2,1,1,100.0,50.0,25.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0
external_8b,libero_goal/put_the_bowl_on_the_plate,400,18,9,8,1,44.44,88.89,19.0,58.62,65.52,75.0,0.0,11.11,55.56,33.33
external_8b,libero_goal/put_the_bowl_on_the_stove,400,9,7,7,0,77.78,100.0,17.0,51.72,55.17,55.17,0.0,0.0,85.71,14.29
external_8b,libero_goal/put_the_bowl_on_top_of_the_cabinet,400,16,16,16,0,100.0,100.0,16.0,51.72,51.72,52.59,0.0,0.0,100.0,0.0
external_8b,libero_goal/put_the_cream_cheese_in_the_bowl,400,9,8,7,1,77.78,87.5,16.0,51.72,51.72,59.38,0.0,12.5,62.5,25.0
external_8b,libero_goal/put_the_wine_bottle_on_the_rack,400,1,2,1,1,100.0,50.0,24.0,83.44,87.57,91.7,0.0,0.0,0.0,100.0
external_8b,libero_goal/put_the_wine_bottle_on_top_of_the_cabinet,400,1,1,1,0,100.0,100.0,17.0,55.17,55.17,55.17,0.0,0.0,100.0,0.0
external_8b,libero_goal/turn_on_the_stove,400,0,0,0,0,,,,,,,,,,
external_8b,libero_long/KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,400,4,8,4,4,100.0,50.0,21.0,55.39,66.56,72.09,0.0,25.0,62.5,12.5
external_8b,libero_long/KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,400,1,7,1,6,100.0,14.29,22.0,59.71,65.62,72.15,0.0,0.0,100.0,0.0
external_8b,libero_long/KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,400,1,15,1,14,100.0,6.67,23.0,55.64,63.64,70.48,0.0,13.33,73.33,13.33
external_8b,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,400,151,94,89,5,58.94,94.68,36.0,66.67,68.63,72.55,0.0,0.0,85.11,14.89
external_8b,libero_long/LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket,400,30,35,29,6,96.67,82.86,9.0,15.69,17.65,28.99,57.14,31.43,8.57,2.86
external_8b,libero_long/LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,400,10,10,8,2,80.0,80.0,9.0,15.69,15.69,15.69,80.0,0.0,10.0,10.0
external_8b,libero_long/LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket,400,4,9,3,6,75.0,33.33,23.0,41.86,64.71,77.78,0.0,44.44,11.11,44.44
external_8b,libero_long/LIVING_ROOM_SCENE5_put_the_white_mug_on_the_left_plate_and_put_the_yellow_and_white_mug_on_the_right_plate,400,20,20,19,1,95.0,95.0,33.0,60.78,62.75,64.71,0.0,0.0,85.0,15.0
external_8b,libero_long/LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate,400,47,46,36,10,76.6,78.26,35.5,62.75,68.63,79.9,0.0,2.17,63.04,34.78
external_8b,libero_long/STUDY_SCENE1_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy,400,6,23,6,17,100.0,26.09,25.0,57.98,86.67,95.74,0.0,4.35,34.78,60.87
external_8b,libero_object/pick_up_the_alphabet_soup_and_place_it_in_the_basket,400,3,3,3,0,100.0,100.0,24.0,70.37,85.19,87.04,0.0,0.0,33.33,66.67
external_8b,libero_object/pick_up_the_bbq_sauce_and_place_it_in_the_basket,400,10,10,9,1,90.0,90.0,22.0,74.07,77.78,83.33,0.0,0.0,40.0,60.0
external_8b,libero_object/pick_up_the_butter_and_place_it_in_the_basket,400,0,0,0,0,,,,,,,,,,
external_8b,libero_object/pick_up_the_cream_cheese_and_place_it_in_the_basket,400,7,5,5,0,71.43,100.0,21.0,59.26,74.07,77.78,0.0,0.0,60.0,40.0
external_8b,libero_object/pick_up_the_ketchup_and_place_it_in_the_basket,400,1,1,1,0,100.0,100.0,24.0,85.19,85.19,85.19,0.0,0.0,0.0,100.0
external_8b,libero_object/pick_up_the_milk_and_place_it_in_the_basket,400,7,3,3,0,42.86,100.0,24.0,79.63,85.19,87.04,0.0,0.0,33.33,66.67
external_8b,libero_object/pick_up_the_orange_juice_and_place_it_in_the_basket,400,5,4,3,1,60.0,75.0,21.5,74.07,84.34,93.18,0.0,0.0,25.0,75.0
external_8b,libero_object/pick_up_the_salad_dressing_and_place_it_in_the_basket,400,4,3,3,0,75.0,100.0,25.0,74.07,88.89,88.89,0.0,0.0,33.33,66.67
external_8b,libero_object/pick_up_the_tomato_sauce_and_place_it_in_the_basket,400,7,4,4,0,57.14,100.0,18.0,57.41,62.96,72.22,0.0,0.0,75.0,25.0
external_8b,libero_spatial/pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,400,1,0,0,0,0.0,,,,,,,,,
external_8b,libero_spatial/pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,400,3,3,3,0,100.0,100.0,18.0,78.57,80.95,80.95,0.0,0.0,0.0,100.0
external_8b,libero_spatial/pick_up_the_black_bowl_in_the_top_drawer_of_the_wooden_cabinet_and_place_it_on_the_plate,400,14,12,12,0,85.71,100.0,20.0,88.1,90.48,95.24,0.0,0.0,8.33,91.67
external_8b,libero_spatial/pick_up_the_black_bowl_next_to_the_cookie_box_and_place_it_on_the_plate,400,3,1,1,0,33.33,100.0,15.0,66.67,66.67,66.67,0.0,0.0,100.0,0.0
external_8b,libero_spatial/pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate,400,24,20,19,1,79.17,95.0,18.0,76.19,80.95,90.48,0.0,0.0,5.0,95.0
external_8b,libero_spatial/pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate,400,8,5,5,0,62.5,100.0,20.0,90.48,90.48,95.24,0.0,0.0,0.0,100.0
external_8b,libero_spatial/pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate,400,13,14,13,1,100.0,92.86,16.0,71.43,71.43,76.19,0.0,0.0,57.14,42.86
external_8b,libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,400,12,11,11,0,91.67,100.0,18.0,80.95,80.95,80.95,0.0,0.0,9.09,90.91
external_8b,libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,400,41,27,26,1,63.41,96.3,21.0,95.24,95.24,100.0,0.0,0.0,0.0,100.0
external_8b,libero_spatial/pick_up_the_black_bowl_on_the_wooden_cabinet_and_place_it_on_the_plate,400,21,5,5,0,23.81,100.0,21.0,95.24,95.24,95.24,0.0,0.0,0.0,100.0
