kind,alpha,calibration_units,rank,threshold,exceedances,success_calibration_episodes,method,fold
task_init,0.15,70,61,0.016819617361805754,9,551,entropy_high__cumsum,libero_spatial_20260908
task_init,0.2,70,57,0.015352761283349517,13,551,entropy_high__cumsum,libero_spatial_20260908
episode,0.01,551,547,2.383947249976183,4,551,token_js_low__current,libero_spatial_20260908
episode,0.03,551,536,2.179707791909222,15,551,token_js_low__current,libero_spatial_20260908
episode,0.05,551,525,2.0050969347184067,26,551,token_js_low__current,libero_spatial_20260908
episode,0.1,551,497,1.784348728641852,54,551,token_js_low__current,libero_spatial_20260908
episode,0.15,551,470,1.664131282151129,81,551,token_js_low__current,libero_spatial_20260908
episode,0.2,551,442,1.59123585807227,109,551,token_js_low__current,libero_spatial_20260908
task_init,0.01,70,71,inf,0,551,token_js_low__current,libero_spatial_20260908
task_init,0.03,70,69,2.5110115419536845,1,551,token_js_low__current,libero_spatial_20260908
task_init,0.05,70,68,2.373957655278433,2,551,token_js_low__current,libero_spatial_20260908
task_init,0.1,70,64,2.0525241279618,6,551,token_js_low__current,libero_spatial_20260908
task_init,0.15,70,61,1.8694818124132926,9,551,token_js_low__current,libero_spatial_20260908
task_init,0.2,70,57,1.784348728641852,13,551,token_js_low__current,libero_spatial_20260908
episode,0.01,551,547,1.9253372474952921,4,551,token_js_low__cumsum,libero_spatial_20260908
episode,0.03,551,536,1.8553993223759144,15,551,token_js_low__cumsum,libero_spatial_20260908
episode,0.05,551,525,1.778700218485081,26,551,token_js_low__cumsum,libero_spatial_20260908
episode,0.1,551,497,1.60808257653176,54,551,token_js_low__cumsum,libero_spatial_20260908
episode,0.15,551,470,1.4436869106656198,81,551,token_js_low__cumsum,libero_spatial_20260908
episode,0.2,551,442,1.2970177284976547,109,551,token_js_low__cumsum,libero_spatial_20260908
task_init,0.01,70,71,inf,0,551,token_js_low__cumsum,libero_spatial_20260908
task_init,0.03,70,69,1.941173862489109,1,551,token_js_low__cumsum,libero_spatial_20260908
task_init,0.05,70,68,1.940856498005971,2,551,token_js_low__cumsum,libero_spatial_20260908
task_init,0.1,70,64,1.7976125062597583,6,551,token_js_low__cumsum,libero_spatial_20260908
task_init,0.15,70,61,1.6357721638835594,9,551,token_js_low__cumsum,libero_spatial_20260908
task_init,0.2,70,57,1.4864106640932235,13,551,token_js_low__cumsum,libero_spatial_20260908
episode,0.01,551,547,3.589674174740698,4,551,freeze__current,libero_spatial_20260908
episode,0.03,551,536,3.2842250228854017,15,551,freeze__current,libero_spatial_20260908
episode,0.05,551,525,3.065036403130063,26,551,freeze__current,libero_spatial_20260908
episode,0.1,551,497,2.467368343112079,54,551,freeze__current,libero_spatial_20260908
episode,0.15,551,470,2.016458258074841,81,551,freeze__current,libero_spatial_20260908
episode,0.2,551,442,1.7481272703365724,109,551,freeze__current,libero_spatial_20260908
task_init,0.01,70,71,inf,0,551,freeze__current,libero_spatial_20260908
task_init,0.03,70,69,3.6703805109020755,1,551,freeze__current,libero_spatial_20260908
task_init,0.05,70,68,3.6262314763105805,2,551,freeze__current,libero_spatial_20260908
task_init,0.1,70,64,3.297412030994844,6,551,freeze__current,libero_spatial_20260908
task_init,0.15,70,61,2.634929716991436,9,551,freeze__current,libero_spatial_20260908
task_init,0.2,70,57,2.308381921777986,13,551,freeze__current,libero_spatial_20260908
episode,0.01,551,547,2.7108614070836774,4,551,freeze__cumsum,libero_spatial_20260908
episode,0.03,551,536,2.2757296687504542,15,551,freeze__cumsum,libero_spatial_20260908
episode,0.05,551,525,2.153403790046291,26,551,freeze__cumsum,libero_spatial_20260908
episode,0.1,551,497,1.8282617631403995,54,551,freeze__cumsum,libero_spatial_20260908
episode,0.15,551,470,1.6511683237703847,81,551,freeze__cumsum,libero_spatial_20260908
episode,0.2,551,442,1.4411976921405252,109,551,freeze__cumsum,libero_spatial_20260908
task_init,0.01,70,71,inf,0,551,freeze__cumsum,libero_spatial_20260908
task_init,0.03,70,69,2.68529589017153,1,551,freeze__cumsum,libero_spatial_20260908
task_init,0.05,70,68,2.379701634462297,2,551,freeze__cumsum,libero_spatial_20260908
task_init,0.1,70,64,2.2757296687504542,6,551,freeze__cumsum,libero_spatial_20260908
task_init,0.15,70,61,2.1241806117893374,9,551,freeze__cumsum,libero_spatial_20260908
task_init,0.2,70,57,1.9687588506095202,13,551,freeze__cumsum,libero_spatial_20260908
episode,0.01,551,547,6.077637755331211,4,551,action_translation_low__current,libero_spatial_20260908
episode,0.03,551,536,5.523824420764493,15,551,action_translation_low__current,libero_spatial_20260908
episode,0.05,551,525,5.258870871204877,26,551,action_translation_low__current,libero_spatial_20260908
episode,0.1,551,497,4.6550631303231995,54,551,action_translation_low__current,libero_spatial_20260908
episode,0.15,551,470,3.729757892227841,81,551,action_translation_low__current,libero_spatial_20260908
episode,0.2,551,442,3.148375679550049,109,551,action_translation_low__current,libero_spatial_20260908
task_init,0.01,70,71,inf,0,551,action_translation_low__current,libero_spatial_20260908
task_init,0.03,70,69,6.585354345036242,1,551,action_translation_low__current,libero_spatial_20260908
task_init,0.05,70,68,5.934144024626236,2,551,action_translation_low__current,libero_spatial_20260908
task_init,0.1,70,64,5.358551190668571,6,551,action_translation_low__current,libero_spatial_20260908
task_init,0.15,70,61,4.87674796928577,9,551,action_translation_low__current,libero_spatial_20260908
task_init,0.2,70,57,3.800164141395537,13,551,action_translation_low__current,libero_spatial_20260908
episode,0.01,551,547,5.641471605573467,4,551,action_translation_low__cumsum,libero_spatial_20260908
episode,0.03,551,536,5.159849266388203,15,551,action_translation_low__cumsum,libero_spatial_20260908
episode,0.05,551,525,4.841803041281624,26,551,action_translation_low__cumsum,libero_spatial_20260908
episode,0.1,551,497,3.8888384262648907,54,551,action_translation_low__cumsum,libero_spatial_20260908
episode,0.15,551,470,2.4742885051766157,81,551,action_translation_low__cumsum,libero_spatial_20260908
episode,0.2,551,442,2.0103992389022975,109,551,action_translation_low__cumsum,libero_spatial_20260908
task_init,0.01,70,71,inf,0,551,action_translation_low__cumsum,libero_spatial_20260908
task_init,0.03,70,69,5.514807312404042,1,551,action_translation_low__cumsum,libero_spatial_20260908
task_init,0.05,70,68,5.2903330439975855,2,551,action_translation_low__cumsum,libero_spatial_20260908
task_init,0.1,70,64,4.620611450998561,6,551,action_translation_low__cumsum,libero_spatial_20260908
task_init,0.15,70,61,3.8888384262648907,9,551,action_translation_low__cumsum,libero_spatial_20260908
task_init,0.2,70,57,2.4508327277311555,13,551,action_translation_low__cumsum,libero_spatial_20260908
episode,0.01,551,547,4.426723017856217,4,551,eef_motion_low__current,libero_spatial_20260908
episode,0.03,551,536,4.066529866972715,15,551,eef_motion_low__current,libero_spatial_20260908
episode,0.05,551,525,3.9328934997094227,26,551,eef_motion_low__current,libero_spatial_20260908
episode,0.1,551,497,3.2807122954308428,54,551,eef_motion_low__current,libero_spatial_20260908
episode,0.15,551,470,2.9352152180485955,81,551,eef_motion_low__current,libero_spatial_20260908
episode,0.2,551,442,2.7271912951793085,109,551,eef_motion_low__current,libero_spatial_20260908
task_init,0.01,70,71,inf,0,551,eef_motion_low__current,libero_spatial_20260908
task_init,0.03,70,69,4.964864228859222,1,551,eef_motion_low__current,libero_spatial_20260908
task_init,0.05,70,68,4.487287602516654,2,551,eef_motion_low__current,libero_spatial_20260908
task_init,0.1,70,64,4.234246646390523,6,551,eef_motion_low__current,libero_spatial_20260908
task_init,0.15,70,61,3.4148286729706765,9,551,eef_motion_low__current,libero_spatial_20260908
task_init,0.2,70,57,3.139571335918644,13,551,eef_motion_low__current,libero_spatial_20260908
episode,0.01,551,547,3.2578059538625865,4,551,eef_motion_low__cumsum,libero_spatial_20260908
episode,0.03,551,536,3.1335413063048727,15,551,eef_motion_low__cumsum,libero_spatial_20260908
episode,0.05,551,525,2.9390462850076244,26,551,eef_motion_low__cumsum,libero_spatial_20260908
episode,0.1,551,497,2.5259029063355234,54,551,eef_motion_low__cumsum,libero_spatial_20260908
episode,0.15,551,470,2.2342420130482608,81,551,eef_motion_low__cumsum,libero_spatial_20260908
episode,0.2,551,442,2.060281378624321,109,551,eef_motion_low__cumsum,libero_spatial_20260908
task_init,0.01,70,71,inf,0,551,eef_motion_low__cumsum,libero_spatial_20260908
task_init,0.03,70,69,3.2578059538625865,1,551,eef_motion_low__cumsum,libero_spatial_20260908
task_init,0.05,70,68,3.2522524587606485,2,551,eef_motion_low__cumsum,libero_spatial_20260908
task_init,0.1,70,64,2.9184926142769814,6,551,eef_motion_low__cumsum,libero_spatial_20260908
task_init,0.15,70,61,2.435601076463791,9,551,eef_motion_low__cumsum,libero_spatial_20260908
task_init,0.2,70,57,2.275168419971526,13,551,eef_motion_low__cumsum,libero_spatial_20260908
episode,0.01,551,547,0.0,1,551,clock,libero_spatial_20260908
episode,0.03,551,536,0.0,1,551,clock,libero_spatial_20260908
episode,0.05,551,525,0.0,1,551,clock,libero_spatial_20260908
episode,0.1,551,497,0.0,1,551,clock,libero_spatial_20260908
episode,0.15,551,470,0.0,1,551,clock,libero_spatial_20260908
episode,0.2,551,442,0.0,1,551,clock,libero_spatial_20260908
task_init,0.01,70,71,inf,0,551,clock,libero_spatial_20260908
task_init,0.03,70,69,0.0,1,551,clock,libero_spatial_20260908
task_init,0.05,70,68,0.0,1,551,clock,libero_spatial_20260908
task_init,0.1,70,64,0.0,1,551,clock,libero_spatial_20260908
task_init,0.15,70,61,0.0,1,551,clock,libero_spatial_20260908
task_init,0.2,70,57,0.0,1,551,clock,libero_spatial_20260908
episode,0.01,551,547,1.4343122446264212,4,551,random,libero_spatial_20260908
episode,0.03,551,536,1.399364375018739,15,551,random,libero_spatial_20260908
episode,0.05,551,525,1.3810815379144288,26,551,random,libero_spatial_20260908
episode,0.1,551,497,1.3426222972089992,54,551,random,libero_spatial_20260908
episode,0.15,551,470,1.3203278083771477,81,551,random,libero_spatial_20260908
episode,0.2,551,442,1.2973012251570464,109,551,random,libero_spatial_20260908
task_init,0.01,70,71,inf,0,551,random,libero_spatial_20260908
task_init,0.03,70,69,1.4595818833711687,1,551,random,libero_spatial_20260908
task_init,0.05,70,68,1.4509246611618019,2,551,random,libero_spatial_20260908
task_init,0.1,70,64,1.4255007283618504,6,551,random,libero_spatial_20260908
task_init,0.15,70,61,1.4085341031354832,9,551,random,libero_spatial_20260908
task_init,0.2,70,57,1.4005787522314126,13,551,random,libero_spatial_20260908
