kind,alpha,calibration_units,rank,threshold,exceedances,success_calibration_episodes,method,fold
episode,0.1,550,496,0.010276926919923494,54,550,entropy_low__cumsum,libero_goal_20260908
episode,0.15,550,469,0.008995100329428815,81,550,entropy_low__cumsum,libero_goal_20260908
episode,0.2,550,441,0.00700169882312761,109,550,entropy_low__cumsum,libero_goal_20260908
task_init,0.01,70,71,inf,0,550,entropy_low__cumsum,libero_goal_20260908
task_init,0.03,70,69,0.018714172350200852,1,550,entropy_low__cumsum,libero_goal_20260908
task_init,0.05,70,68,0.01862243621122928,2,550,entropy_low__cumsum,libero_goal_20260908
task_init,0.1,70,64,0.01209925292381825,6,550,entropy_low__cumsum,libero_goal_20260908
task_init,0.15,70,61,0.010133124323697784,9,550,entropy_low__cumsum,libero_goal_20260908
task_init,0.2,70,57,0.0096794023390546,13,550,entropy_low__cumsum,libero_goal_20260908
episode,0.01,550,546,3.1477823196904415,4,550,entropy_high__current,libero_goal_20260908
episode,0.03,550,535,3.0166776304980103,15,550,entropy_high__current,libero_goal_20260908
episode,0.05,550,524,2.9390623847170185,26,550,entropy_high__current,libero_goal_20260908
episode,0.1,550,496,2.6032058201514188,54,550,entropy_high__current,libero_goal_20260908
episode,0.15,550,469,2.4725458160637013,81,550,entropy_high__current,libero_goal_20260908
episode,0.2,550,441,2.365391326664929,109,550,entropy_high__current,libero_goal_20260908
task_init,0.01,70,71,inf,0,550,entropy_high__current,libero_goal_20260908
task_init,0.03,70,69,3.1728604563640546,1,550,entropy_high__current,libero_goal_20260908
task_init,0.05,70,68,3.091594595750828,2,550,entropy_high__current,libero_goal_20260908
task_init,0.1,70,64,2.878214823810399,6,550,entropy_high__current,libero_goal_20260908
task_init,0.15,70,61,2.60706466305862,9,550,entropy_high__current,libero_goal_20260908
task_init,0.2,70,57,2.5372990979001275,13,550,entropy_high__current,libero_goal_20260908
episode,0.01,550,546,4.469493782319749,4,550,entropy_high__cumsum,libero_goal_20260908
episode,0.03,550,535,0.01563977201709949,15,550,entropy_high__cumsum,libero_goal_20260908
episode,0.05,550,524,0.015099272603699415,26,550,entropy_high__cumsum,libero_goal_20260908
episode,0.1,550,496,0.013720751164018483,54,550,entropy_high__cumsum,libero_goal_20260908
episode,0.15,550,469,0.012088095825835221,81,550,entropy_high__cumsum,libero_goal_20260908
episode,0.2,550,441,0.006741366536856931,109,550,entropy_high__cumsum,libero_goal_20260908
task_init,0.01,70,71,inf,0,550,entropy_high__cumsum,libero_goal_20260908
