cohort,group,detector,episodes,risk_n,timely_n,late_n,persistent_n,alarms,tp,fp,fn,tn,risk_recall,timely_fpr,precision,late_recall,persistent_recall,detected_risk_lead_median,early2_risk_recall,early4_risk_recall,early8_risk_recall,early12_risk_recall
development_main,libero_object,turbulence_only_auto,4000,37,3963,4,33,30,23,7,14,3956,0.6216216216216216,0.0017663386323492304,0.7666666666666667,0.75,0.6060606060606061,8.0,0.6216216216216216,0.5675675675675675,0.32432432432432434,0.0
development_main,libero_object,unlabeled_budget_guard,4000,37,3963,4,33,22,20,2,17,3961,0.5405405405405406,0.0005046681806712087,0.9090909090909091,0.5,0.5454545454545454,6.0,0.5405405405405406,0.43243243243243246,0.13513513513513514,0.0
development_main,libero_spatial,freeze_only_auto,4000,126,3874,7,119,79,79,0,47,3874,0.626984126984127,0.0,1.0,0.8571428571428571,0.6134453781512605,1.0,0.30952380952380953,0.0873015873015873,0.0,0.0
development_main,libero_spatial,published_v7,4000,126,3874,7,119,102,102,0,24,3874,0.8095238095238095,0.0,1.0,0.8571428571428571,0.8067226890756303,2.0,0.5158730158730159,0.18253968253968253,0.0,0.0
development_main,libero_spatial,turbulence_only_auto,4000,126,3874,7,119,107,107,0,19,3874,0.8492063492063492,0.0,1.0,0.8571428571428571,0.8487394957983193,2.0,0.5793650793650794,0.23015873015873015,0.0,0.0
development_main,libero_spatial,unlabeled_budget_guard,4000,126,3874,7,119,87,87,0,39,3874,0.6904761904761905,0.0,1.0,0.8571428571428571,0.680672268907563,2.0,0.38095238095238093,0.15079365079365079,0.0,0.0
external_8b,libero_goal,freeze_only_auto,4000,106,3894,0,106,52,51,1,55,3893,0.4811320754716981,0.00025680534155110427,0.9807692307692307,,0.4811320754716981,6.0,0.4056603773584906,0.3584905660377358,0.20754716981132076,0.16037735849056603
external_8b,libero_goal,published_v7,4000,106,3894,0,106,74,73,1,33,3893,0.6886792452830188,0.00025680534155110427,0.9864864864864865,,0.6886792452830188,5.0,0.5943396226415094,0.5754716981132075,0.20754716981132076,0.16981132075471697
external_8b,libero_goal,turbulence_only_auto,4000,106,3894,0,106,83,82,1,24,3893,0.7735849056603774,0.00025680534155110427,0.9879518072289156,,0.7735849056603774,5.0,0.660377358490566,0.6415094339622641,0.29245283018867924,0.19811320754716982
external_8b,libero_goal,unlabeled_budget_guard,4000,106,3894,0,106,63,62,1,44,3893,0.5849056603773585,0.00025680534155110427,0.9841269841269841,,0.5849056603773585,7.5,0.49056603773584906,0.44339622641509435,0.29245283018867924,0.18867924528301888
external_8b,libero_long,freeze_only_auto,4000,274,3726,26,248,258,219,39,55,3687,0.7992700729927007,0.010466988727858293,0.8488372093023255,0.5769230769230769,0.8225806451612904,18.0,0.7846715328467153,0.7773722627737226,0.7335766423357665,0.6605839416058394
external_8b,libero_long,published_v7,4000,274,3726,26,248,305,236,69,38,3657,0.8613138686131386,0.018518518518518517,0.7737704918032787,0.6538461538461539,0.8830645161290323,19.0,0.8576642335766423,0.843065693430657,0.8065693430656934,0.7299270072992701
external_8b,libero_long,turbulence_only_auto,4000,274,3726,26,248,363,250,113,24,3613,0.9124087591240876,0.030327428878153515,0.6887052341597796,0.7307692307692307,0.9314516129032258,19.0,0.9087591240875912,0.8978102189781022,0.8722627737226277,0.7992700729927007
external_8b,libero_long,unlabeled_budget_guard,4000,274,3726,26,248,322,237,85,37,3641,0.864963503649635,0.022812667740203973,0.7360248447204969,0.6923076923076923,0.8830645161290323,18.0,0.8503649635036497,0.843065693430657,0.8102189781021898,0.7372262773722628
external_8b,libero_object,freeze_only_auto,3600,44,3556,6,38,22,19,3,25,3553,0.4318181818181818,0.000843644544431946,0.8636363636363636,0.5,0.42105263157894735,5.0,0.36363636363636365,0.2727272727272727,0.045454545454545456,0.0
external_8b,libero_object,published_v7,3600,44,3556,6,38,29,22,7,22,3549,0.5,0.001968503937007874,0.7586206896551724,0.6666666666666666,0.47368421052631576,6.0,0.4318181818181818,0.38636363636363635,0.18181818181818182,0.06818181818181818
external_8b,libero_object,turbulence_only_auto,3600,44,3556,6,38,30,23,7,21,3549,0.5227272727272727,0.001968503937007874,0.7666666666666667,0.6666666666666666,0.5,6.0,0.5227272727272727,0.4318181818181818,0.20454545454545456,0.06818181818181818
external_8b,libero_object,unlabeled_budget_guard,3600,44,3556,6,38,25,22,3,22,3553,0.5,0.000843644544431946,0.88,0.5,0.5,5.0,0.4772727272727273,0.3409090909090909,0.09090909090909091,0.0
external_8b,libero_spatial,freeze_only_auto,4000,140,3860,9,131,91,88,3,52,3857,0.6285714285714286,0.0007772020725388601,0.967032967032967,0.8888888888888888,0.6106870229007634,1.0,0.2642857142857143,0.10714285714285714,0.0,0.0
external_8b,libero_spatial,published_v7,4000,140,3860,9,131,111,108,3,32,3857,0.7714285714285715,0.0007772020725388601,0.972972972972973,1.0,0.7557251908396947,2.0,0.44285714285714284,0.15714285714285714,0.0,0.0
external_8b,libero_spatial,turbulence_only_auto,4000,140,3860,9,131,117,114,3,26,3857,0.8142857142857143,0.0007772020725388601,0.9743589743589743,1.0,0.8015267175572519,2.0,0.5428571428571428,0.19285714285714287,0.0,0.0
external_8b,libero_spatial,unlabeled_budget_guard,4000,140,3860,9,131,101,98,3,42,3857,0.7,0.0007772020725388601,0.9702970297029703,1.0,0.6793893129770993,2.0,0.39285714285714285,0.17142857142857143,0.0,0.0
