failure_type,prefix_queries,token_family,layer_group,denoise_step,metric,top_quartile_failure_rate,bottom_quartile_failure_rate,failure_rate_difference,ci95_low,ci95_high,permutation_p_raw,permutation_p_maxT,n_top,n_bottom
stagnation,1,action,back_12_15,9,token_dispersion,0.3125,0.25,0.0625,-0.2857142984867096,0.4615384638309479,0.8557213930348259,1.0,16,16
stagnation,1,action,front_2_5,0,entropy,0.3125,0.25,0.0625,-0.18226103149354456,0.2857142984867096,0.8606965174129353,1.0,16,16
stagnation,1,state,front_2_5,1,consensus_distance,0.375,0.3125,0.0625,-0.23076923191547394,0.2777777910232544,0.8606965174129353,1.0,16,16
stagnation,1,state,front_2_5,0,top1_mass,0.375,0.3125,0.0625,-0.3333333432674408,0.5821875125169745,0.8656716417910447,1.0,16,16
stagnation,1,action,back_12_15,3,top1_mass,0.25,0.3125,-0.0625,-0.2666666805744171,0.1428571492433548,0.8706467661691543,1.0,16,16
stagnation,1,action,front_2_5,7,entropy,0.25,0.1875,0.0625,-0.13333334028720856,0.2666666805744171,0.8706467661691543,1.0,16,16
stagnation,1,action,back_12_15,8,consensus_distance,0.25,0.3125,-0.0625,-0.25,0.1428571492433548,0.8756218905472637,1.0,16,16
stagnation,1,action,front_2_5,5,entropy,0.25,0.3125,-0.0625,-0.25,0.13333334028720856,0.8805970149253731,1.0,16,16
stagnation,1,state,front_2_5,6,entropy,0.3125,0.25,0.0625,-0.36833334118127814,0.3499999940395355,0.8805970149253731,1.0,16,16
stagnation,1,action,back_12_15,9,consensus_distance,0.25,0.3125,-0.0625,-0.25,0.1428571492433548,0.8855721393034826,1.0,16,16
stagnation,1,action,front_2_5,2,entropy,0.3125,0.25,0.0625,-0.1428571492433548,0.29725275933742473,0.8855721393034826,1.0,16,16
stagnation,1,action,front_2_5,9,entropy,0.375,0.3125,0.0625,-0.2857142984867096,0.375,0.8855721393034826,1.0,16,16
