calibrator,threshold,split,success_episodes,success_alarm_episodes,success_fpr,success_fpr_ci_low,success_fpr_ci_high,all_event_episodes,eligible_event_episodes,events_before_minimum_query,timely_events,timely_recall,timely_recall_ci_low,timely_recall_ci_high,near_first_events,near_first_recall,near_first_recall_ci_low,near_first_recall_ci_high,near_active_events,near_active_recall,premature_events,late_events,no_alarm_events,timely_lead_median,timely_lead_p90
A_dense,0.5,development_37_tasks,14313,0,0.0,0.0,0.0002683174799234351,222,198,24,0,0.0,0.0,0.019032060326648184,0,0.0,0.0,0.019032060326648184,0,0.0,0,0,198,,
A_dense,0.5,heldout_3_tasks,1155,0,0.0,0.0,0.0033149131759606025,38,24,14,0,0.0,1.3877787807814457e-17,0.13797620467498017,0,0.0,1.3877787807814457e-17,0.13797620467498017,0,0.0,0,0,24,,
A_dense,0.75,development_37_tasks,14313,0,0.0,0.0,0.0002683174799234351,222,198,24,0,0.0,0.0,0.019032060326648184,0,0.0,0.0,0.019032060326648184,0,0.0,0,0,198,,
A_dense,0.75,heldout_3_tasks,1155,0,0.0,0.0,0.0033149131759606025,38,24,14,0,0.0,1.3877787807814457e-17,0.13797620467498017,0,0.0,1.3877787807814457e-17,0.13797620467498017,0,0.0,0,0,24,,
B_proxy,0.1,development_37_tasks,14313,953,0.06658282680081046,0.06261386184582522,0.0707843785631324,222,198,24,81,0.4090909090909091,0.3429703861907272,0.4786718065959362,6,0.030303030303030304,0.013960646989789376,0.06452401574130437,25,0.12626262626262627,75,56,61,12.0,18.0
B_proxy,0.1,heldout_3_tasks,1155,284,0.24588744588744588,0.2219228855831324,0.27153672829936876,38,24,14,13,0.5416666666666666,0.3507486535891948,0.72108666268789,0,0.0,1.3877787807814457e-17,0.13797620467498017,3,0.125,13,4,7,22.0,30.400000000000002
B_proxy,0.15,development_37_tasks,14313,394,0.02752742262279047,0.0249711298653062,0.0303372606828643,222,198,24,41,0.20707070707070707,0.15646745513880542,0.26882405495155415,5,0.025252525252525252,0.010833526286184784,0.05774236937750138,13,0.06565656565656566,36,48,109,14.0,18.0
B_proxy,0.15,heldout_3_tasks,1155,85,0.0735930735930736,0.05990693101329396,0.0901062200501876,38,24,14,12,0.5,0.3142742581957335,0.6857257418042665,1,0.041666666666666664,0.0073934561655057685,0.20241806478655938,3,0.125,11,2,10,10.0,30.5
B_proxy,0.2,development_37_tasks,14313,298,0.0208202333542933,0.018606445195413105,0.02329116612800684,222,198,24,33,0.16666666666666666,0.12120732488487306,0.22481404866622573,4,0.020202020202020204,0.007883534706380906,0.05078359388989766,11,0.05555555555555555,29,50,115,14.0,18.0
B_proxy,0.2,heldout_3_tasks,1155,52,0.045021645021645025,0.03449663830592433,0.05856307922475496,38,24,14,11,0.4583333333333333,0.2789133373121099,0.6492513464108051,1,0.041666666666666664,0.0073934561655057685,0.20241806478655938,3,0.125,10,2,11,11.0,30.0
B_proxy,0.25,development_37_tasks,14313,236,0.01648850695172221,0.014528256371745915,0.018708226702355966,222,198,24,28,0.1414141414141414,0.0996859561707528,0.196791582043308,4,0.020202020202020204,0.007883534706380906,0.05078359388989766,9,0.045454545454545456,24,51,119,13.0,17.0
B_proxy,0.25,heldout_3_tasks,1155,37,0.032034632034632034,0.023329356092432307,0.04384243710515505,38,24,14,11,0.4583333333333333,0.2789133373121099,0.6492513464108051,1,0.041666666666666664,0.0073934561655057685,0.20241806478655938,3,0.125,10,2,11,10.0,30.0
B_proxy,0.35,development_37_tasks,14313,124,0.008663452805142179,0.007271542458020201,0.010319031520539366,222,198,24,11,0.05555555555555555,0.03130117438121367,0.09672732368691807,2,0.010101010101010102,0.002774446146787516,0.036075148314675856,2,0.010101010101010102,9,41,146,7.0,16.0
B_proxy,0.35,heldout_3_tasks,1155,15,0.012987012987012988,0.007885912453085238,0.021316925055967297,38,24,14,7,0.2916666666666667,0.14914648196960875,0.49167693664496637,1,0.041666666666666664,0.0073934561655057685,0.20241806478655938,1,0.041666666666666664,6,1,16,13.0,28.0
B_proxy,0.5,development_37_tasks,14313,56,0.003912527073290016,0.003014418274520491,0.005076853753174102,222,198,24,6,0.030303030303030304,0.013960646989789376,0.06452401574130437,0,0.0,0.0,0.019032060326648184,0,0.0,6,42,150,5.0,13.0
B_proxy,0.5,heldout_3_tasks,1155,5,0.004329004329004329,0.0018504666203330456,0.0100937546666582,38,24,14,7,0.2916666666666667,0.14914648196960875,0.49167693664496637,1,0.041666666666666664,0.0073934561655057685,0.20241806478655938,1,0.041666666666666664,6,1,16,13.0,26.800000000000004
B_proxy,0.75,development_37_tasks,14313,0,0.0,0.0,0.0002683174799234351,222,198,24,0,0.0,0.0,0.019032060326648184,0,0.0,0.0,0.019032060326648184,0,0.0,0,0,198,,
B_proxy,0.75,heldout_3_tasks,1155,0,0.0,0.0,0.0033149131759606025,38,24,14,0,0.0,1.3877787807814457e-17,0.13797620467498017,0,0.0,1.3877787807814457e-17,0.13797620467498017,0,0.0,0,0,24,,
