calibrator,success_fpr_budget,threshold,threshold_attainable,development_calibration_fpr,split,clock_query,success_episodes,success_alarm_episodes,success_fpr,success_fpr_ci_low,success_fpr_ci_high,all_event_episodes,eligible_event_episodes,events_before_minimum_query,timely_events,timely_recall,timely_recall_ci_low,timely_recall_ci_high,near_first_events,near_first_recall,near_first_recall_ci_low,near_first_recall_ci_high,near_active_events,near_active_recall,premature_events,late_events,no_alarm_events,timely_lead_median,timely_lead_p90,clock_success_episodes,clock_success_alarm_episodes,clock_success_fpr,clock_success_fpr_ci_low,clock_success_fpr_ci_high,clock_all_event_episodes,clock_eligible_event_episodes,clock_events_before_minimum_query,clock_timely_events,clock_timely_recall,clock_timely_recall_ci_low,clock_timely_recall_ci_high,clock_near_first_events,clock_near_first_recall,clock_near_first_recall_ci_low,clock_near_first_recall_ci_high,clock_near_active_events,clock_near_active_recall,clock_premature_events,clock_late_events,clock_no_alarm_events,clock_timely_lead_median,clock_timely_lead_p90
B_proxy,0.005,0.5131578947368421,True,0.003912527073290016,development_37_tasks,40,14313,56,0.003912527073290016,0.003014418274520491,0.005076853753174102,222,198,24,6,0.030303030303030304,0.013960646989789376,0.06452401574130437,0,0.0,0.0,0.019032060326648184,0,0.0,6,42,150,5.0,13.0,14313,54,0.0037727939635296584,0.0028929175357894493,0.004918963258056172,222,198,24,1,0.005050505050505051,0.0008920951890526753,0.028048732205003105,1,0.005050505050505051,0.0008920951890526753,0.028048732205003105,1,0.005050505050505051,0,126,71,0.0,0.0
B_proxy,0.005,0.5131578947368421,True,0.003912527073290016,heldout_3_tasks,40,1155,5,0.004329004329004329,0.0018504666203330456,0.0100937546666582,38,24,14,7,0.2916666666666667,0.14914648196960875,0.49167693664496637,1,0.041666666666666664,0.0073934561655057685,0.20241806478655938,1,0.041666666666666664,6,1,16,13.0,26.800000000000004,1155,3,0.0025974025974025974,0.000883735889658854,0.0076087621529201364,38,24,14,7,0.2916666666666667,0.14914648196960875,0.49167693664496637,2,0.08333333333333333,0.023158815297043306,0.25848802193210685,2,0.08333333333333333,5,17,0,3.0,8.4
B_proxy,0.01,0.3712121212121212,True,0.008663452805142179,development_37_tasks,39,14313,124,0.008663452805142179,0.007271542458020201,0.010319031520539366,222,198,24,11,0.05555555555555555,0.03130117438121367,0.09672732368691807,2,0.010101010101010102,0.002774446146787516,0.036075148314675856,2,0.010101010101010102,9,41,146,7.0,16.0,14313,101,0.007056522042898064,0.005811281823262948,0.008566292966033465,222,198,24,1,0.005050505050505051,0.0008920951890526753,0.028048732205003105,1,0.005050505050505051,0.0008920951890526753,0.028048732205003105,1,0.005050505050505051,0,126,71,1.0,1.0
B_proxy,0.01,0.3712121212121212,True,0.008663452805142179,heldout_3_tasks,39,1155,15,0.012987012987012988,0.007885912453085238,0.021316925055967297,38,24,14,7,0.2916666666666667,0.14914648196960875,0.49167693664496637,1,0.041666666666666664,0.0073934561655057685,0.20241806478655938,1,0.041666666666666664,6,1,16,13.0,28.0,1155,4,0.003463203463203463,0.0013475713113395731,0.008870788353445545,38,24,14,7,0.2916666666666667,0.14914648196960875,0.49167693664496637,2,0.08333333333333333,0.023158815297043306,0.25848802193210685,2,0.08333333333333333,5,17,0,4.0,9.4
B_proxy,0.02,0.2261904761904762,True,0.01774610493956543,development_37_tasks,37,14313,254,0.01774610493956543,0.015708976276085404,0.02004202790265721,222,198,24,31,0.15656565656565657,0.11254541096123227,0.2136584284550514,4,0.020202020202020204,0.007883534706380906,0.05078359388989766,11,0.05555555555555555,27,51,116,12.0,17.0,14313,235,0.016418640396842033,0.014462749145045056,0.01863403831213234,222,198,24,8,0.04040404040404041,0.020613166178095263,0.07768903068781369,7,0.03535353535353535,0.017228867488134375,0.07116456231036697,7,0.03535353535353535,1,119,71,0.0,1.5999999999999996
B_proxy,0.02,0.2261904761904762,True,0.01774610493956543,heldout_3_tasks,37,1155,37,0.032034632034632034,0.023329356092432307,0.04384243710515505,38,24,14,11,0.4583333333333333,0.2789133373121099,0.6492513464108051,1,0.041666666666666664,0.0073934561655057685,0.20241806478655938,3,0.125,10,2,11,10.0,30.0,1155,7,0.006060606060606061,0.002938813613384221,0.012457130918019282,38,24,14,8,0.3333333333333333,0.1797219032729775,0.5329368316186824,1,0.041666666666666664,0.0073934561655057685,0.20241806478655938,1,0.041666666666666664,7,16,0,6.0,11.3
B_proxy,0.05,0.1633663366336633,True,0.02752742262279047,development_37_tasks,27,14313,394,0.02752742262279047,0.0249711298653062,0.0303372606828643,222,198,24,41,0.20707070707070707,0.15646745513880542,0.26882405495155415,5,0.025252525252525252,0.010833526286184784,0.05774236937750138,13,0.06565656565656566,36,48,109,14.0,18.0,14313,379,0.026479424299587787,0.02397343777190802,0.029239518522395206,222,198,24,87,0.4393939393939394,0.37206791899202474,0.5090268761990842,23,0.11616161616161616,0.07866337119567524,0.16827033168134764,23,0.11616161616161616,64,99,12,4.0,8.400000000000006
B_proxy,0.05,0.1633663366336633,True,0.02752742262279047,heldout_3_tasks,27,1155,85,0.0735930735930736,0.05990693101329396,0.0901062200501876,38,24,14,12,0.5,0.3142742581957335,0.6857257418042665,1,0.041666666666666664,0.0073934561655057685,0.20241806478655938,3,0.125,11,2,10,10.0,30.5,1155,107,0.09264069264069263,0.07724382213373163,0.11073828461828475,38,24,14,16,0.6666666666666666,0.4670631683813174,0.8202780967270225,0,0.0,1.3877787807814457e-17,0.13797620467498017,0,0.0,16,8,0,10.0,20.5
B_proxy,0.1,0.0866666666666666,True,0.06874869000209599,development_37_tasks,24,14313,984,0.06874869000209599,0.06471811554625312,0.07301068898736351,222,198,24,82,0.41414141414141414,0.34780205368486017,0.48374890616921074,5,0.025252525252525252,0.010833526286184784,0.05774236937750138,26,0.13131313131313133,77,56,60,12.0,18.0,14313,951,0.0664430936910501,0.062478145466760844,0.07064070370834778,222,198,24,95,0.4797979797979798,0.4112593527905358,0.5491055789398338,8,0.04040404040404041,0.020613166178095263,0.07768903068781369,8,0.04040404040404041,87,91,12,7.0,10.600000000000009
B_proxy,0.1,0.0866666666666666,True,0.06874869000209599,heldout_3_tasks,24,1155,288,0.24935064935064935,0.22525847027743692,0.27510459009388877,38,24,14,13,0.5416666666666666,0.3507486535891948,0.72108666268789,0,0.0,1.3877787807814457e-17,0.13797620467498017,3,0.125,13,4,7,23.0,30.400000000000002,1155,837,0.7246753246753247,0.6982021665428656,0.7496589244196249,38,24,14,17,0.7083333333333334,0.5083230633550337,0.8508535180303913,1,0.041666666666666664,0.0073934561655057685,0.20241806478655938,1,0.041666666666666664,16,7,0,12.0,23.4
