fold,calibration,feature,alpha,threshold,rank,units,no_exposure_units,attainable
1,task_init,raw_gap_low,0.05,-0.01030621025711298,380,398,21,True
1,task_init,raw_gap_low,0.1,-0.01588910073041916,360,398,21,True
2,episode,gap,0.005,0.8023593425750732,3063,3077,238,True
2,episode,gap,0.01,0.624259352684021,3048,3077,238,True
2,episode,gap,0.02,0.5311740636825562,3017,3077,238,True
2,episode,gap,0.05,0.4411565363407135,2925,3077,238,True
2,episode,gap,0.1,0.3808543086051941,2771,3077,238,True
2,task_init,gap,0.005,1.764793038368225,398,398,26,True
2,task_init,gap,0.01,1.4571809768676758,396,398,26,True
2,task_init,gap,0.02,1.092432975769043,392,398,26,True
2,task_init,gap,0.05,0.6054067015647888,380,398,26,True
2,task_init,gap,0.1,0.4792294502258301,360,398,26,True
2,episode,state_relative_low,0.005,1.2222199440002441,3063,3077,238,True
2,episode,state_relative_low,0.01,0.9917125105857849,3048,3077,238,True
2,episode,state_relative_low,0.02,0.7814720869064331,3017,3077,238,True
2,episode,state_relative_low,0.05,0.6060199737548828,2925,3077,238,True
2,episode,state_relative_low,0.1,0.5149539113044739,2771,3077,238,True
2,task_init,state_relative_low,0.005,2.114389419555664,398,398,26,True
2,task_init,state_relative_low,0.01,1.9971812963485718,396,398,26,True
2,task_init,state_relative_low,0.02,1.3896507024765015,392,398,26,True
2,task_init,state_relative_low,0.05,0.8063811659812927,380,398,26,True
2,task_init,state_relative_low,0.1,0.6420395970344543,360,398,26,True
2,episode,state_absolute_low,0.005,-0.026255663484334946,3063,3077,238,True
2,episode,state_absolute_low,0.01,-0.032432228326797485,3048,3077,238,True
2,episode,state_absolute_low,0.02,-0.04222217947244644,3017,3077,238,True
2,episode,state_absolute_low,0.05,-0.052274804562330246,2925,3077,238,True
2,episode,state_absolute_low,0.1,-0.06599721312522888,2771,3077,238,True
2,task_init,state_absolute_low,0.005,-0.011364136822521687,398,398,26,True
2,task_init,state_absolute_low,0.01,-0.013866037130355835,396,398,26,True
2,task_init,state_absolute_low,0.02,-0.022346915677189827,392,398,26,True
2,task_init,state_absolute_low,0.05,-0.04102252051234245,380,398,26,True
2,task_init,state_absolute_low,0.1,-0.05239056423306465,360,398,26,True
2,episode,raw_gap_low,0.005,0.004352155607193708,3063,3077,238,True
2,episode,raw_gap_low,0.01,-0.0024537015706300735,3048,3077,238,True
2,episode,raw_gap_low,0.02,-0.009357982315123081,3017,3077,238,True
2,episode,raw_gap_low,0.05,-0.015410167165100574,2925,3077,238,True
2,episode,raw_gap_low,0.1,-0.020416494458913803,2771,3077,238,True
2,task_init,raw_gap_low,0.005,0.025130994617938995,398,398,26,True
2,task_init,raw_gap_low,0.01,0.01600499451160431,396,398,26,True
2,task_init,raw_gap_low,0.02,0.007140017580240965,392,398,26,True
2,task_init,raw_gap_low,0.05,-0.004302070010453463,380,398,26,True
2,task_init,raw_gap_low,0.1,-0.012655818834900856,360,398,26,True
3,episode,gap,0.005,0.8603997230529785,3082,3096,229,True
3,episode,gap,0.01,0.6676607131958008,3067,3096,229,True
3,episode,gap,0.02,0.5279471278190613,3036,3096,229,True
3,episode,gap,0.05,0.43365153670310974,2943,3096,229,True
3,episode,gap,0.1,0.37083739042282104,2788,3096,229,True
3,task_init,gap,0.005,1.6488831043243408,399,400,26,True
3,task_init,gap,0.01,1.4208751916885376,397,400,26,True
3,task_init,gap,0.02,1.0586471557617188,393,400,26,True
3,task_init,gap,0.05,0.5976763367652893,381,400,26,True
3,task_init,gap,0.1,0.49926912784576416,361,400,26,True
3,episode,state_relative_low,0.005,1.3250499963760376,3082,3096,229,True
3,episode,state_relative_low,0.01,0.978731095790863,3067,3096,229,True
3,episode,state_relative_low,0.02,0.8126588463783264,3036,3096,229,True
3,episode,state_relative_low,0.05,0.6241058707237244,2943,3096,229,True
3,episode,state_relative_low,0.1,0.5205000042915344,2788,3096,229,True
3,task_init,state_relative_low,0.005,2.5967323780059814,399,400,26,True
3,task_init,state_relative_low,0.01,2.0067830085754395,397,400,26,True
3,task_init,state_relative_low,0.02,1.6628007888793945,393,400,26,True
3,task_init,state_relative_low,0.05,0.9642825722694397,381,400,26,True
3,task_init,state_relative_low,0.1,0.6891920566558838,361,400,26,True
3,episode,state_absolute_low,0.005,-0.024472646415233612,3082,3096,229,True
3,episode,state_absolute_low,0.01,-0.03057025372982025,3067,3096,229,True
3,episode,state_absolute_low,0.02,-0.042865246534347534,3036,3096,229,True
3,episode,state_absolute_low,0.05,-0.05091678351163864,2943,3096,229,True
3,episode,state_absolute_low,0.1,-0.06540074944496155,2788,3096,229,True
3,task_init,state_absolute_low,0.005,-0.006362295243889093,399,400,26,True
3,task_init,state_absolute_low,0.01,-0.011065658181905746,397,400,26,True
3,task_init,state_absolute_low,0.02,-0.01911029778420925,393,400,26,True
3,task_init,state_absolute_low,0.05,-0.02954966574907303,381,400,26,True
3,task_init,state_absolute_low,0.1,-0.048315152525901794,361,400,26,True
3,episode,raw_gap_low,0.005,0.005946584511548281,3082,3096,229,True
3,episode,raw_gap_low,0.01,-0.0005057944799773395,3067,3096,229,True
3,episode,raw_gap_low,0.02,-0.00973001029342413,3036,3096,229,True
3,episode,raw_gap_low,0.05,-0.016188185662031174,2943,3096,229,True
3,episode,raw_gap_low,0.1,-0.020801428705453873,2788,3096,229,True
3,task_init,raw_gap_low,0.005,0.015896309167146683,399,400,26,True
3,task_init,raw_gap_low,0.01,0.01278028916567564,397,400,26,True
3,task_init,raw_gap_low,0.02,0.00783943384885788,393,400,26,True
3,task_init,raw_gap_low,0.05,-0.0012362351408228278,381,400,26,True
3,task_init,raw_gap_low,0.1,-0.012841801159083843,361,400,26,True
4,episode,gap,0.005,0.8656576871871948,3068,3082,235,True
4,episode,gap,0.01,0.6304311752319336,3053,3082,235,True
4,episode,gap,0.02,0.5414225459098816,3022,3082,235,True
4,episode,gap,0.05,0.419163316488266,2929,3082,235,True
4,episode,gap,0.1,0.3609030544757843,2775,3082,235,True
4,task_init,gap,0.005,1.6509567499160767,399,400,26,True
4,task_init,gap,0.01,1.025001049041748,397,400,26,True
4,task_init,gap,0.02,0.8656576871871948,393,400,26,True
4,task_init,gap,0.05,0.5840999484062195,381,400,26,True
4,task_init,gap,0.1,0.4496145248413086,361,400,26,True
4,episode,state_relative_low,0.005,1.1753227710723877,3068,3082,235,True
4,episode,state_relative_low,0.01,0.833472728729248,3053,3082,235,True
4,episode,state_relative_low,0.02,0.7221576571464539,3022,3082,235,True
4,episode,state_relative_low,0.05,0.5863028764724731,2929,3082,235,True
4,episode,state_relative_low,0.1,0.5004263520240784,2775,3082,235,True
4,task_init,state_relative_low,0.005,2.1932179927825928,399,400,26,True
4,task_init,state_relative_low,0.01,1.8649998903274536,397,400,26,True
4,task_init,state_relative_low,0.02,1.0626246929168701,393,400,26,True
4,task_init,state_relative_low,0.05,0.7456400394439697,381,400,26,True
4,task_init,state_relative_low,0.1,0.6144177317619324,361,400,26,True
4,episode,state_absolute_low,0.005,-0.028744209557771683,3068,3082,235,True
4,episode,state_absolute_low,0.01,-0.04105566442012787,3053,3082,235,True
4,episode,state_absolute_low,0.02,-0.0463709719479084,3022,3082,235,True
4,episode,state_absolute_low,0.05,-0.053793855011463165,2929,3082,235,True
4,episode,state_absolute_low,0.1,-0.06673621386289597,2775,3082,235,True
4,task_init,state_absolute_low,0.005,-0.006488265004009008,399,400,26,True
4,task_init,state_absolute_low,0.01,-0.01439853385090828,397,400,26,True
4,task_init,state_absolute_low,0.02,-0.033021263778209686,393,400,26,True
4,task_init,state_absolute_low,0.05,-0.046395208686590195,381,400,26,True
4,task_init,state_absolute_low,0.1,-0.053793855011463165,361,400,26,True
4,episode,raw_gap_low,0.005,0.0018877725815400481,3068,3082,235,True
4,episode,raw_gap_low,0.01,-0.006398265715688467,3053,3082,235,True
4,episode,raw_gap_low,0.02,-0.011495950631797314,3022,3082,235,True
4,episode,raw_gap_low,0.05,-0.01642230525612831,2929,3082,235,True
4,episode,raw_gap_low,0.1,-0.021236449480056763,2775,3082,235,True
4,task_init,raw_gap_low,0.005,0.010537654161453247,399,400,26,True
4,task_init,raw_gap_low,0.01,0.006370307877659798,397,400,26,True
4,task_init,raw_gap_low,0.02,0.0017215494299307466,393,400,26,True
4,task_init,raw_gap_low,0.05,-0.008982069790363312,381,400,26,True
4,task_init,raw_gap_low,0.1,-0.014265407808125019,361,400,26,True
