fold,suite,seed,method,global_row,task,init_state_id,noise_seed,episode,length,query,score,norm,control_progress,threshold_group,threshold_episode,dominant_dimension,mobility_norm_fraction,successful_repeats,rank,sets_group_threshold
libero_long_20260909,libero_long,20260909,euclidean,9875,libero_long/KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,34,1003,275,49,40,4.622232437133789,13.676840867405046,0.8247422680412371,4.622232437133789,2.4896090030670166,4,0.9585609697415902,8,67,True
libero_long_20260909,libero_long,20260909,cosine,9725,libero_long/KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,15,1005,125,24,8,0.429747998714447,1.3597239710319073,0.3389830508474576,0.429747998714447,0.358991801738739,7,0.9179942414872438,8,67,True
libero_object_20260907,libero_object,20260907,euclidean,21877,libero_object/pick_up_the_orange_juice_and_place_it_in_the_basket,34,1005,277,23,12,2.3483307361602783,4.967265742639021,0.5405405405405406,2.3483307361602783,1.6222567558288574,9,0.3379101801923792,6,68,True
libero_object_20260907,libero_object,20260907,cosine,23275,libero_object/pick_up_the_tomato_sauce_and_place_it_in_the_basket,9,1003,75,13,12,0.41546857357025146,1.2276974337103954,0.9836065573770492,0.41546857357025146,0.3086901903152466,1,0.9547161250019083,8,68,True
libero_object_20260908,libero_object,20260908,euclidean,21173,libero_object/pick_up_the_milk_and_place_it_in_the_basket,46,1005,373,14,12,1.8084982633590698,6.691216020783075,0.8759124087591241,1.8084982633590698,1.5130363702774048,4,0.9666348537859077,8,68,True
libero_object_20260908,libero_object,20260908,cosine,20058,libero_object/pick_up_the_ketchup_and_place_it_in_the_basket,7,1002,58,15,9,0.40654775500297546,1.2198556541923464,0.6206896551724138,0.40654775500297546,0.3255545198917389,5,0.8853491272200364,8,68,True
libero_object_20260909,libero_object,20260909,euclidean,16262,libero_object/pick_up_the_alphabet_soup_and_place_it_in_the_basket,32,1006,262,15,14,2.27472186088562,4.607621053905676,0.9859154929577465,2.27472186088562,1.4448766708374023,8,0.11893606835210198,8,68,True
libero_object_20260909,libero_object,20260909,cosine,19491,libero_object/pick_up_the_cream_cheese_and_place_it_in_the_basket,36,1003,291,12,11,0.45691999793052673,0.8385649606620369,0.9166666666666666,0.45691999793052673,0.2925528883934021,3,0.9936874449515374,8,68,True
libero_spatial_20260907,libero_spatial,20260907,euclidean,31409,libero_spatial/pick_up_the_black_bowl_on_the_wooden_cabinet_and_place_it_on_the_plate,26,1001,209,12,10,2.0431175231933594,7.010009780451322,0.8928571428571429,2.0431175231933594,1.6978949308395386,1,0.973215316731258,8,68,True
libero_spatial_20260907,libero_spatial,20260907,cosine,25114,libero_spatial/pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,39,1002,314,10,7,0.37882402539253235,0.7191329349236546,0.7446808510638298,0.37882402539253235,0.2866169512271881,9,0.5649138908731535,8,68,True
libero_spatial_20260908,libero_spatial,20260908,euclidean,31409,libero_spatial/pick_up_the_black_bowl_on_the_wooden_cabinet_and_place_it_on_the_plate,26,1001,209,12,10,2.1334073543548584,8.46946269682739,0.8928571428571429,2.1334073543548584,1.6633491516113281,0,0.9672131553505458,8,68,True
libero_spatial_20260908,libero_spatial,20260908,cosine,28801,libero_spatial/pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate,0,1001,1,9,8,0.33105504512786865,0.8964131947173078,0.9090909090909091,0.33105504512786865,0.23054994642734528,0,0.7740086508357958,8,68,True
libero_spatial_20260909,libero_spatial,20260909,euclidean,30714,libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,39,1002,314,12,11,1.9179973602294922,4.426883682699376,0.9821428571428571,1.9179973602294922,1.461551547050476,6,0.8995571309866387,8,68,True
libero_spatial_20260909,libero_spatial,20260909,cosine,31302,libero_spatial/pick_up_the_black_bowl_on_the_wooden_cabinet_and_place_it_on_the_plate,12,1006,102,12,7,0.38089168071746826,0.9771456995261625,0.603448275862069,0.38089168071746826,0.257755309343338,0,0.9102197866812709,7,68,True
