fold,suite,seed,method,calibration,threshold,units,rank
libero_goal_20260909,libero_goal,20260909,cosine,episode,0.3053267300128937,542,516
libero_goal_20260909,libero_goal,20260909,cosine,task_init,0.35810554027557373,70,68
libero_goal_20260909,libero_goal,20260909,cosine_neighbors_euclidean_score,episode,2.785034656524658,542,516
libero_goal_20260909,libero_goal,20260909,cosine_neighbors_euclidean_score,task_init,3.596515655517578,70,68
libero_goal_20260909,libero_goal,20260909,euclidean_neighbors_cosine_score,episode,0.38825029134750366,542,516
libero_goal_20260909,libero_goal,20260909,euclidean_neighbors_cosine_score,task_init,0.49244794249534607,70,68
libero_goal_20260909,libero_goal,20260909,cosine_without_center,episode,0.2529117465019226,542,516
libero_goal_20260909,libero_goal,20260909,cosine_without_center,task_init,0.324882835149765,70,68
libero_goal_20260909,libero_goal,20260909,norm_only,episode,6.193930149078369,542,516
libero_goal_20260909,libero_goal,20260909,norm_only,task_init,7.400092601776123,70,68
libero_long_20260907,libero_long,20260907,euclidean,episode,2.2644810676574707,520,495
libero_long_20260907,libero_long,20260907,euclidean,task_init,4.067817211151123,70,68
libero_long_20260907,libero_long,20260907,cosine,episode,0.35114845633506775,520,495
libero_long_20260907,libero_long,20260907,cosine,task_init,0.4215928316116333,70,68
libero_long_20260907,libero_long,20260907,cosine_neighbors_euclidean_score,episode,5.035849571228027,520,495
libero_long_20260907,libero_long,20260907,cosine_neighbors_euclidean_score,task_init,6.448563575744629,70,68
libero_long_20260907,libero_long,20260907,euclidean_neighbors_cosine_score,episode,0.521062433719635,520,495
libero_long_20260907,libero_long,20260907,euclidean_neighbors_cosine_score,task_init,0.680842399597168,70,68
libero_long_20260907,libero_long,20260907,cosine_without_center,episode,0.3230465054512024,520,495
libero_long_20260907,libero_long,20260907,cosine_without_center,task_init,0.3876101076602936,70,68
libero_long_20260907,libero_long,20260907,norm_only,episode,9.174015998840332,520,495
libero_long_20260907,libero_long,20260907,norm_only,task_init,13.638026237487793,70,68
libero_long_20260908,libero_long,20260908,euclidean,episode,2.3764140605926514,541,515
libero_long_20260908,libero_long,20260908,euclidean,task_init,3.5915188789367676,70,68
libero_long_20260908,libero_long,20260908,cosine,episode,0.3285919725894928,541,515
libero_long_20260908,libero_long,20260908,cosine,task_init,0.4027995467185974,70,68
libero_long_20260908,libero_long,20260908,cosine_neighbors_euclidean_score,episode,6.39286994934082,541,515
libero_long_20260908,libero_long,20260908,cosine_neighbors_euclidean_score,task_init,7.750347137451172,70,68
libero_long_20260908,libero_long,20260908,euclidean_neighbors_cosine_score,episode,0.46506184339523315,541,515
libero_long_20260908,libero_long,20260908,euclidean_neighbors_cosine_score,task_init,0.5985310077667236,70,68
libero_long_20260908,libero_long,20260908,cosine_without_center,episode,0.3206646144390106,541,515
libero_long_20260908,libero_long,20260908,cosine_without_center,task_init,0.3889925479888916,70,68
libero_long_20260908,libero_long,20260908,norm_only,episode,9.540121078491211,541,515
libero_long_20260908,libero_long,20260908,norm_only,task_init,13.035369873046875,70,68
libero_long_20260909,libero_long,20260909,euclidean,episode,2.4896090030670166,507,483
libero_long_20260909,libero_long,20260909,euclidean,task_init,4.622232437133789,69,67
libero_long_20260909,libero_long,20260909,cosine,episode,0.358991801738739,507,483
libero_long_20260909,libero_long,20260909,cosine,task_init,0.429747998714447,69,67
libero_long_20260909,libero_long,20260909,cosine_neighbors_euclidean_score,episode,4.323843955993652,507,483
libero_long_20260909,libero_long,20260909,cosine_neighbors_euclidean_score,task_init,6.223568439483643,69,67
libero_long_20260909,libero_long,20260909,euclidean_neighbors_cosine_score,episode,0.4846693277359009,507,483
libero_long_20260909,libero_long,20260909,euclidean_neighbors_cosine_score,task_init,0.5775328278541565,69,67
libero_long_20260909,libero_long,20260909,cosine_without_center,episode,0.36979228258132935,507,483
libero_long_20260909,libero_long,20260909,cosine_without_center,task_init,0.41909292340278625,69,67
libero_long_20260909,libero_long,20260909,norm_only,episode,9.124192237854004,507,483
libero_long_20260909,libero_long,20260909,norm_only,task_init,12.386573791503906,69,67
libero_object_20260907,libero_object,20260907,euclidean,episode,1.6222567558288574,552,526
libero_object_20260907,libero_object,20260907,euclidean,task_init,2.3483307361602783,70,68
libero_object_20260907,libero_object,20260907,cosine,episode,0.3086901903152466,552,526
libero_object_20260907,libero_object,20260907,cosine,task_init,0.41546857357025146,70,68
libero_object_20260907,libero_object,20260907,cosine_neighbors_euclidean_score,episode,3.2876105308532715,552,526
libero_object_20260907,libero_object,20260907,cosine_neighbors_euclidean_score,task_init,4.077333450317383,70,68
libero_object_20260907,libero_object,20260907,euclidean_neighbors_cosine_score,episode,0.45097801089286804,552,526
libero_object_20260907,libero_object,20260907,euclidean_neighbors_cosine_score,task_init,0.5597735643386841,70,68
libero_object_20260907,libero_object,20260907,cosine_without_center,episode,0.2618770897388458,552,526
libero_object_20260907,libero_object,20260907,cosine_without_center,task_init,0.4006713032722473,70,68
libero_object_20260907,libero_object,20260907,norm_only,episode,7.227652072906494,552,526
libero_object_20260907,libero_object,20260907,norm_only,task_init,8.01672077178955,70,68
libero_object_20260908,libero_object,20260908,euclidean,episode,1.5130363702774048,551,525
libero_object_20260908,libero_object,20260908,euclidean,task_init,1.8084982633590698,70,68
libero_object_20260908,libero_object,20260908,cosine,episode,0.3255545198917389,551,525
libero_object_20260908,libero_object,20260908,cosine,task_init,0.40654775500297546,70,68
libero_object_20260908,libero_object,20260908,cosine_neighbors_euclidean_score,episode,2.4706408977508545,551,525
libero_object_20260908,libero_object,20260908,cosine_neighbors_euclidean_score,task_init,3.2662062644958496,70,68
libero_object_20260908,libero_object,20260908,euclidean_neighbors_cosine_score,episode,0.41228747367858887,551,525
libero_object_20260908,libero_object,20260908,euclidean_neighbors_cosine_score,task_init,0.5976927876472473,70,68
libero_object_20260908,libero_object,20260908,cosine_without_center,episode,0.20266041159629822,551,525
libero_object_20260908,libero_object,20260908,cosine_without_center,task_init,0.3302958607673645,70,68
libero_object_20260908,libero_object,20260908,norm_only,episode,6.018590927124023,551,525
libero_object_20260908,libero_object,20260908,norm_only,task_init,6.813446521759033,70,68
libero_object_20260909,libero_object,20260909,euclidean,episode,1.4448766708374023,552,526
libero_object_20260909,libero_object,20260909,euclidean,task_init,2.27472186088562,70,68
libero_object_20260909,libero_object,20260909,cosine,episode,0.2925528883934021,552,526
libero_object_20260909,libero_object,20260909,cosine,task_init,0.45691999793052673,70,68
libero_object_20260909,libero_object,20260909,cosine_neighbors_euclidean_score,episode,2.6086056232452393,552,526
libero_object_20260909,libero_object,20260909,cosine_neighbors_euclidean_score,task_init,3.1500613689422607,70,68
libero_object_20260909,libero_object,20260909,euclidean_neighbors_cosine_score,episode,0.4175122380256653,552,526
libero_object_20260909,libero_object,20260909,euclidean_neighbors_cosine_score,task_init,0.6725276112556458,70,68
libero_object_20260909,libero_object,20260909,cosine_without_center,episode,0.20445045828819275,552,526
libero_object_20260909,libero_object,20260909,cosine_without_center,task_init,0.28723201155662537,70,68
libero_object_20260909,libero_object,20260909,norm_only,episode,5.419795036315918,552,526
libero_object_20260909,libero_object,20260909,norm_only,task_init,6.486364841461182,70,68
libero_spatial_20260907,libero_spatial,20260907,euclidean,episode,1.6978949308395386,535,510
libero_spatial_20260907,libero_spatial,20260907,euclidean,task_init,2.0431175231933594,70,68
libero_spatial_20260907,libero_spatial,20260907,cosine,episode,0.2866169512271881,535,510
libero_spatial_20260907,libero_spatial,20260907,cosine,task_init,0.37882402539253235,70,68
libero_spatial_20260907,libero_spatial,20260907,cosine_neighbors_euclidean_score,episode,2.4496548175811768,535,510
libero_spatial_20260907,libero_spatial,20260907,cosine_neighbors_euclidean_score,task_init,3.3832507133483887,70,68
libero_spatial_20260907,libero_spatial,20260907,euclidean_neighbors_cosine_score,episode,0.39556393027305603,535,510
libero_spatial_20260907,libero_spatial,20260907,euclidean_neighbors_cosine_score,task_init,0.5840029716491699,70,68
libero_spatial_20260907,libero_spatial,20260907,cosine_without_center,episode,0.17547430098056793,535,510
libero_spatial_20260907,libero_spatial,20260907,cosine_without_center,task_init,0.24326469004154205,70,68
libero_spatial_20260907,libero_spatial,20260907,norm_only,episode,5.771791934967041,535,510
libero_spatial_20260907,libero_spatial,20260907,norm_only,task_init,6.989538669586182,70,68
libero_spatial_20260908,libero_spatial,20260908,euclidean,episode,1.6633491516113281,551,525
libero_spatial_20260908,libero_spatial,20260908,euclidean,task_init,2.1334073543548584,70,68
libero_spatial_20260908,libero_spatial,20260908,cosine,episode,0.23054994642734528,551,525
libero_spatial_20260908,libero_spatial,20260908,cosine,task_init,0.33105504512786865,70,68
libero_spatial_20260908,libero_spatial,20260908,cosine_neighbors_euclidean_score,episode,2.8237407207489014,551,525
libero_spatial_20260908,libero_spatial,20260908,cosine_neighbors_euclidean_score,task_init,3.8259568214416504,70,68
libero_spatial_20260908,libero_spatial,20260908,euclidean_neighbors_cosine_score,episode,0.3293348550796509,551,525
libero_spatial_20260908,libero_spatial,20260908,euclidean_neighbors_cosine_score,task_init,0.4898412823677063,70,68
libero_spatial_20260908,libero_spatial,20260908,cosine_without_center,episode,0.2138056457042694,551,525
libero_spatial_20260908,libero_spatial,20260908,cosine_without_center,task_init,0.32842281460762024,70,68
libero_spatial_20260908,libero_spatial,20260908,norm_only,episode,6.84358024597168,551,525
libero_spatial_20260908,libero_spatial,20260908,norm_only,task_init,7.774963855743408,70,68
libero_spatial_20260909,libero_spatial,20260909,euclidean,episode,1.461551547050476,543,517
libero_spatial_20260909,libero_spatial,20260909,euclidean,task_init,1.9179973602294922,70,68
libero_spatial_20260909,libero_spatial,20260909,cosine,episode,0.257755309343338,543,517
libero_spatial_20260909,libero_spatial,20260909,cosine,task_init,0.38089168071746826,70,68
libero_spatial_20260909,libero_spatial,20260909,cosine_neighbors_euclidean_score,episode,2.3420374393463135,543,517
libero_spatial_20260909,libero_spatial,20260909,cosine_neighbors_euclidean_score,task_init,3.586400032043457,70,68
libero_spatial_20260909,libero_spatial,20260909,euclidean_neighbors_cosine_score,episode,0.36948704719543457,543,517
libero_spatial_20260909,libero_spatial,20260909,euclidean_neighbors_cosine_score,task_init,0.5081954002380371,70,68
libero_spatial_20260909,libero_spatial,20260909,cosine_without_center,episode,0.22505512833595276,543,517
libero_spatial_20260909,libero_spatial,20260909,cosine_without_center,task_init,0.31518059968948364,70,68
libero_spatial_20260909,libero_spatial,20260909,norm_only,episode,5.146799087524414,543,517
libero_spatial_20260909,libero_spatial,20260909,norm_only,task_init,6.282527446746826,70,68
