fold,suite,seed,method,scope,failure,query,count,episodes
libero_goal_20260907,libero_goal,20260907,euclidean,unseen,True,31,0,78
libero_goal_20260907,libero_goal,20260907,euclidean,unseen,True,32,0,78
libero_goal_20260907,libero_goal,20260907,euclidean,unseen,True,33,0,78
libero_goal_20260907,libero_goal,20260907,euclidean,unseen,True,34,0,78
libero_goal_20260907,libero_goal,20260907,euclidean,unseen,True,35,0,78
libero_goal_20260907,libero_goal,20260907,euclidean,unseen,True,36,0,78
libero_goal_20260907,libero_goal,20260907,euclidean,unseen,True,37,0,78
libero_goal_20260907,libero_goal,20260907,euclidean,unseen,True,38,0,78
libero_goal_20260907,libero_goal,20260907,euclidean,unseen,True,39,0,78
libero_goal_20260907,libero_goal,20260907,euclidean,unseen,True,40,0,78
libero_goal_20260907,libero_goal,20260907,euclidean,unseen,True,41,0,78
libero_goal_20260907,libero_goal,20260907,euclidean,unseen,True,42,0,78
libero_goal_20260907,libero_goal,20260907,euclidean,unseen,True,43,0,78
libero_goal_20260907,libero_goal,20260907,euclidean,unseen,True,44,0,78
libero_goal_20260907,libero_goal,20260907,euclidean,unseen,True,45,0,78
libero_goal_20260907,libero_goal,20260907,euclidean,unseen,True,46,0,78
libero_goal_20260907,libero_goal,20260907,euclidean,unseen,True,47,0,78
libero_goal_20260907,libero_goal,20260907,euclidean,unseen,True,48,0,78
libero_goal_20260907,libero_goal,20260907,euclidean,unseen,True,49,0,78
libero_goal_20260907,libero_goal,20260907,euclidean,unseen,True,50,0,78
libero_goal_20260907,libero_goal,20260907,euclidean,unseen,True,51,0,78
libero_goal_20260907,libero_goal,20260907,cosine,seen,False,-1,536,548
libero_goal_20260907,libero_goal,20260907,cosine,seen,False,0,0,548
libero_goal_20260907,libero_goal,20260907,cosine,seen,False,1,0,548
libero_goal_20260907,libero_goal,20260907,cosine,seen,False,2,0,548
libero_goal_20260907,libero_goal,20260907,cosine,seen,False,3,0,548
libero_goal_20260907,libero_goal,20260907,cosine,seen,False,4,0,548
libero_goal_20260907,libero_goal,20260907,cosine,seen,False,5,0,548
libero_goal_20260907,libero_goal,20260907,cosine,seen,False,6,0,548
libero_goal_20260907,libero_goal,20260907,cosine,seen,False,7,0,548
libero_goal_20260907,libero_goal,20260907,cosine,seen,False,8,7,548
libero_goal_20260907,libero_goal,20260907,cosine,seen,False,9,1,548
libero_goal_20260907,libero_goal,20260907,cosine,seen,False,10,0,548
libero_goal_20260907,libero_goal,20260907,cosine,seen,False,11,0,548
libero_goal_20260907,libero_goal,20260907,cosine,seen,False,12,0,548
libero_goal_20260907,libero_goal,20260907,cosine,seen,False,13,0,548
libero_goal_20260907,libero_goal,20260907,cosine,seen,False,14,0,548
libero_goal_20260907,libero_goal,20260907,cosine,seen,False,15,0,548
libero_goal_20260907,libero_goal,20260907,cosine,seen,False,16,3,548
libero_goal_20260907,libero_goal,20260907,cosine,seen,False,17,1,548
libero_goal_20260907,libero_goal,20260907,cosine,seen,False,18,0,548
libero_goal_20260907,libero_goal,20260907,cosine,seen,False,19,0,548
libero_goal_20260907,libero_goal,20260907,cosine,seen,False,20,0,548
libero_goal_20260907,libero_goal,20260907,cosine,seen,False,21,0,548
libero_goal_20260907,libero_goal,20260907,cosine,seen,False,22,0,548
libero_goal_20260907,libero_goal,20260907,cosine,seen,False,23,0,548
libero_goal_20260907,libero_goal,20260907,cosine,seen,False,24,0,548
libero_goal_20260907,libero_goal,20260907,cosine,seen,False,25,0,548
libero_goal_20260907,libero_goal,20260907,cosine,seen,False,26,0,548
libero_goal_20260907,libero_goal,20260907,cosine,seen,False,27,0,548
libero_goal_20260907,libero_goal,20260907,cosine,seen,False,28,0,548
libero_goal_20260907,libero_goal,20260907,cosine,seen,False,29,0,548
libero_goal_20260907,libero_goal,20260907,cosine,seen,False,30,0,548
libero_goal_20260907,libero_goal,20260907,cosine,seen,False,31,0,548
libero_goal_20260907,libero_goal,20260907,cosine,seen,False,32,0,548
libero_goal_20260907,libero_goal,20260907,cosine,seen,False,33,0,548
libero_goal_20260907,libero_goal,20260907,cosine,seen,False,34,0,548
libero_goal_20260907,libero_goal,20260907,cosine,seen,False,35,0,548
