suite,method,calibration,scope,episodes,failures,successes,tp,fp,fn,tn,recall,fpr,precision
libero_long,euclidean_neighbors_cosine_score,task_init,unseen,3600,240,3360,0,18,240,3342,0.0,0.005357142857142857,0.0
libero_long,norm_only,episode,seen,1680,109,1571,78,78,31,1493,0.7155963302752294,0.04964990451941439,0.5
libero_long,norm_only,episode,unseen,3600,240,3360,184,58,56,3302,0.7666666666666667,0.017261904761904763,0.7603305785123967
libero_long,norm_only,task_init,seen,1680,109,1571,52,19,57,1552,0.47706422018348627,0.0120942075111394,0.7323943661971831
libero_long,norm_only,task_init,unseen,3600,240,3360,141,15,99,3345,0.5875,0.004464285714285714,0.9038461538461539
libero_object,cosine,episode,seen,1680,24,1656,2,107,22,1549,0.08333333333333333,0.0646135265700483,0.01834862385321101
libero_object,cosine,episode,unseen,3600,34,3566,0,242,34,3324,0.0,0.06786315199102635,0.0
libero_object,cosine,task_init,seen,1680,24,1656,0,6,24,1650,0.0,0.0036231884057971015,0.0
libero_object,cosine,task_init,unseen,3600,34,3566,0,16,34,3550,0.0,0.00448681996634885,0.0
libero_object,cosine_neighbors_euclidean_score,episode,seen,1680,24,1656,21,38,3,1618,0.875,0.022946859903381644,0.3559322033898305
libero_object,cosine_neighbors_euclidean_score,episode,unseen,3600,34,3566,33,242,1,3324,0.9705882352941176,0.06786315199102635,0.12
libero_object,cosine_neighbors_euclidean_score,task_init,seen,1680,24,1656,17,1,7,1655,0.7083333333333334,0.0006038647342995169,0.9444444444444444
libero_object,cosine_neighbors_euclidean_score,task_init,unseen,3600,34,3566,31,105,3,3461,0.9117647058823529,0.02944475602916433,0.22794117647058823
libero_object,cosine_without_center,episode,seen,1680,24,1656,12,84,12,1572,0.5,0.050724637681159424,0.125
libero_object,cosine_without_center,episode,unseen,3600,34,3566,21,286,13,3280,0.6176470588235294,0.08020190689848569,0.06840390879478828
libero_object,cosine_without_center,task_init,seen,1680,24,1656,5,18,19,1638,0.20833333333333334,0.010869565217391304,0.21739130434782608
libero_object,cosine_without_center,task_init,unseen,3600,34,3566,7,63,27,3503,0.20588235294117646,0.017666853617498597,0.1
libero_object,euclidean,episode,seen,1680,24,1656,23,86,1,1570,0.9583333333333334,0.051932367149758456,0.21100917431192662
libero_object,euclidean,episode,unseen,3600,34,3566,34,515,0,3051,1.0,0.14441951766685363,0.061930783242258654
libero_object,euclidean,task_init,seen,1680,24,1656,20,8,4,1648,0.8333333333333334,0.004830917874396135,0.7142857142857143
libero_object,euclidean,task_init,unseen,3600,34,3566,32,149,2,3417,0.9411764705882353,0.04178351093662367,0.17679558011049723
libero_object,euclidean_neighbors_cosine_score,episode,seen,1680,24,1656,0,90,24,1566,0.0,0.05434782608695652,0.0
libero_object,euclidean_neighbors_cosine_score,episode,unseen,3600,34,3566,0,168,34,3398,0.0,0.04711160964666293,0.0
libero_object,euclidean_neighbors_cosine_score,task_init,seen,1680,24,1656,0,13,24,1643,0.0,0.00785024154589372,0.0
libero_object,euclidean_neighbors_cosine_score,task_init,unseen,3600,34,3566,0,10,34,3556,0.0,0.0028042624789680315,0.0
libero_object,norm_only,episode,seen,1680,24,1656,18,49,6,1607,0.75,0.029589371980676328,0.26865671641791045
libero_object,norm_only,episode,unseen,3600,34,3566,33,355,1,3211,0.9705882352941176,0.09955131800336511,0.08505154639175258
libero_object,norm_only,task_init,seen,1680,24,1656,15,16,9,1640,0.625,0.00966183574879227,0.4838709677419355
libero_object,norm_only,task_init,unseen,3600,34,3566,31,130,3,3436,0.9117647058823529,0.03645541222658441,0.19254658385093168
libero_spatial,cosine,episode,seen,1680,61,1619,16,94,45,1525,0.26229508196721313,0.05806053119209389,0.14545454545454545
libero_spatial,cosine,episode,unseen,3600,128,3472,19,168,109,3304,0.1484375,0.04838709677419355,0.10160427807486631
libero_spatial,cosine,task_init,seen,1680,61,1619,2,16,59,1603,0.03278688524590164,0.009882643607164917,0.1111111111111111
libero_spatial,cosine,task_init,unseen,3600,128,3472,2,40,126,3432,0.015625,0.01152073732718894,0.047619047619047616
libero_spatial,cosine_neighbors_euclidean_score,episode,seen,1680,61,1619,60,87,1,1532,0.9836065573770492,0.053736874613959235,0.40816326530612246
libero_spatial,cosine_neighbors_euclidean_score,episode,unseen,3600,128,3472,128,464,0,3008,1.0,0.1336405529953917,0.21621621621621623
libero_spatial,cosine_neighbors_euclidean_score,task_init,seen,1680,61,1619,58,18,3,1601,0.9508196721311475,0.011117974058060531,0.7631578947368421
libero_spatial,cosine_neighbors_euclidean_score,task_init,unseen,3600,128,3472,120,36,8,3436,0.9375,0.010368663594470046,0.7692307692307693
libero_spatial,cosine_without_center,episode,seen,1680,61,1619,39,98,22,1521,0.639344262295082,0.06053119209388511,0.2846715328467153
libero_spatial,cosine_without_center,episode,unseen,3600,128,3472,70,415,58,3057,0.546875,0.11952764976958526,0.14432989690721648
libero_spatial,cosine_without_center,task_init,seen,1680,61,1619,17,24,44,1595,0.2786885245901639,0.014823965410747375,0.4146341463414634
libero_spatial,cosine_without_center,task_init,unseen,3600,128,3472,28,138,100,3334,0.21875,0.039746543778801845,0.1686746987951807
libero_spatial,euclidean,episode,seen,1680,61,1619,61,116,0,1503,1.0,0.07164916615194565,0.3446327683615819
libero_spatial,euclidean,episode,unseen,3600,128,3472,128,669,0,2803,1.0,0.19268433179723501,0.1606022584692597
libero_spatial,euclidean,task_init,seen,1680,61,1619,61,23,0,1596,1.0,0.014206300185299567,0.7261904761904762
libero_spatial,euclidean,task_init,unseen,3600,128,3472,128,147,0,3325,1.0,0.04233870967741935,0.46545454545454545
libero_spatial,euclidean_neighbors_cosine_score,episode,seen,1680,61,1619,10,103,51,1516,0.16393442622950818,0.06361951822112415,0.08849557522123894
libero_spatial,euclidean_neighbors_cosine_score,episode,unseen,3600,128,3472,6,141,122,3331,0.046875,0.04061059907834101,0.04081632653061224
libero_spatial,euclidean_neighbors_cosine_score,task_init,seen,1680,61,1619,0,19,61,1600,0.0,0.01173563928350834,0.0
libero_spatial,euclidean_neighbors_cosine_score,task_init,unseen,3600,128,3472,1,19,127,3453,0.0078125,0.005472350230414746,0.05
libero_spatial,norm_only,episode,seen,1680,61,1619,58,72,3,1547,0.9508196721311475,0.044471896232242125,0.4461538461538462
libero_spatial,norm_only,episode,unseen,3600,128,3472,123,153,5,3319,0.9609375,0.04406682027649769,0.44565217391304346
libero_spatial,norm_only,task_init,seen,1680,61,1619,57,9,4,1610,0.9344262295081968,0.005558987029030266,0.8636363636363636
libero_spatial,norm_only,task_init,unseen,3600,128,3472,118,25,10,3447,0.921875,0.007200460829493088,0.8251748251748252
