failure_group,transition_phase,layer_group,token,metric,failures,matched_percentile_mean,failure_raw_mean,same_run_init_success_mean
all_failures,0.3,back_L12_15,T7,lag1_soft_change,1267,0.4093445837497711,0.03839614614844322,0.040812041610479355
all_failures,0.3,back_L12_15,T7,lag1_hard_churn,1267,0.40672796964645386,0.8623093366622925,0.879016101360321
all_failures,0.3,back_L12_15,T7,lag2_soft_change,1267,0.5013485550880432,0.04346814379096031,0.04308294504880905
all_failures,0.3,back_L12_15,T8,lag1_soft_change,1267,0.4021869897842407,0.039758216589689255,0.04210492968559265
all_failures,0.3,back_L12_15,T8,lag1_hard_churn,1267,0.4374918043613434,0.8633431196212769,0.8758680820465088
all_failures,0.3,back_L12_15,T8,lag2_soft_change,1267,0.5206942558288574,0.04484834894537926,0.04436790943145752
all_failures,0.3,back_L12_15,T9,lag1_soft_change,1267,0.35545817017555237,0.04065263643860817,0.0444076843559742
all_failures,0.3,back_L12_15,T9,lag1_hard_churn,1267,0.3996296226978302,0.8425947427749634,0.8642595410346985
all_failures,0.3,back_L12_15,T9,lag2_soft_change,1267,0.5081266164779663,0.04744784161448479,0.047430869191884995
all_failures,0.3,back_L12_15,T10,lag1_soft_change,1267,0.32459113001823425,0.044214773923158646,0.049484264105558395
all_failures,0.3,back_L12_15,T10,lag1_hard_churn,1267,0.3487953841686249,0.8065633773803711,0.8427959680557251
all_failures,0.3,back_L12_15,T10,lag2_soft_change,1267,0.457464337348938,0.0526106171309948,0.05351700633764267
all_failures,0.4,back_L12_15,state,lag1_soft_change,1267,0.41708505153656006,0.0981876328587532,0.1053648442029953
all_failures,0.4,back_L12_15,state,lag1_hard_churn,1267,0.4233514070510864,0.6807519197463989,0.714863121509552
all_failures,0.4,back_L12_15,state,lag2_soft_change,1267,0.46069759130477905,0.1313232034444809,0.13566970825195312
all_failures,0.4,back_L12_15,T1,lag1_soft_change,1267,0.48046648502349854,0.045144375413656235,0.04679812863469124
all_failures,0.4,back_L12_15,T1,lag1_hard_churn,1267,0.47014373540878296,0.8181233406066895,0.8332063555717468
all_failures,0.4,back_L12_15,T1,lag2_soft_change,1267,0.5305472016334534,0.05198727175593376,0.05170384794473648
all_failures,0.4,back_L12_15,T2,lag1_soft_change,1267,0.4638781249523163,0.04191810265183449,0.04364471137523651
all_failures,0.4,back_L12_15,T2,lag1_hard_churn,1267,0.42447370290756226,0.8396713137626648,0.8608693480491638
all_failures,0.4,back_L12_15,T2,lag2_soft_change,1267,0.560882031917572,0.04742051661014557,0.04708857461810112
all_failures,0.4,back_L12_15,T3,lag1_soft_change,1267,0.484975129365921,0.04038586467504501,0.04196758195757866
all_failures,0.4,back_L12_15,T3,lag1_hard_churn,1267,0.4110627770423889,0.8541836738586426,0.8745599985122681
all_failures,0.4,back_L12_15,T3,lag2_soft_change,1267,0.5422345995903015,0.044820401817560196,0.044774189591407776
all_failures,0.4,back_L12_15,T4,lag1_soft_change,1267,0.5045644640922546,0.0397324301302433,0.04116610437631607
all_failures,0.4,back_L12_15,T4,lag1_hard_churn,1267,0.4181959927082062,0.8623909950256348,0.8823398351669312
