feature_row,source_run,episode_index,offset,inference_calls,init_state_id,flow_noise_seed,suite,task_name,run_id,checkpoint_sha256,success,primary_failure_reason,completion_state,confidence,run_regime,matched_success_controls,primary_analysis
14,cache/HiMoE-VLA/libero_goal/open_the_top_drawer_and_put_the_bowl_inside/right-16x32,46,876,17,3,1014,goal,open_the_top_drawer_and_put_the_bowl_inside,right-16x32,98ee29d09d1855716e341532a3d0f76068de6fa131f8fe16ffd52f982df1b953,True,success,success,success,observational,,False
15,cache/HiMoE-VLA/libero_goal/open_the_top_drawer_and_put_the_bowl_inside/right-16x32,47,893,30,3,1015,goal,open_the_top_drawer_and_put_the_bowl_inside,right-16x32,98ee29d09d1855716e341532a3d0f76068de6fa131f8fe16ffd52f982df1b953,False,object_released_or_dropped_before_goal,none,medium,observational,31,True
16,cache/HiMoE-VLA/libero_goal/open_the_top_drawer_and_put_the_bowl_inside/right-16x32,48,923,18,3,1016,goal,open_the_top_drawer_and_put_the_bowl_inside,right-16x32,98ee29d09d1855716e341532a3d0f76068de6fa131f8fe16ffd52f982df1b953,True,success,success,success,observational,,False
17,cache/HiMoE-VLA/libero_goal/open_the_top_drawer_and_put_the_bowl_inside/right-16x32,49,941,18,3,1017,goal,open_the_top_drawer_and_put_the_bowl_inside,right-16x32,98ee29d09d1855716e341532a3d0f76068de6fa131f8fe16ffd52f982df1b953,True,success,success,success,observational,,False
18,cache/HiMoE-VLA/libero_goal/open_the_top_drawer_and_put_the_bowl_inside/right-16x32,50,959,18,3,1018,goal,open_the_top_drawer_and_put_the_bowl_inside,right-16x32,98ee29d09d1855716e341532a3d0f76068de6fa131f8fe16ffd52f982df1b953,True,success,success,success,observational,,False
19,cache/HiMoE-VLA/libero_goal/open_the_top_drawer_and_put_the_bowl_inside/right-16x32,51,977,17,3,1019,goal,open_the_top_drawer_and_put_the_bowl_inside,right-16x32,98ee29d09d1855716e341532a3d0f76068de6fa131f8fe16ffd52f982df1b953,True,success,success,success,observational,,False
20,cache/HiMoE-VLA/libero_goal/open_the_top_drawer_and_put_the_bowl_inside/right-16x32,52,994,18,3,1020,goal,open_the_top_drawer_and_put_the_bowl_inside,right-16x32,98ee29d09d1855716e341532a3d0f76068de6fa131f8fe16ffd52f982df1b953,True,success,success,success,observational,,False
21,cache/HiMoE-VLA/libero_goal/open_the_top_drawer_and_put_the_bowl_inside/right-16x32,53,1012,17,3,1021,goal,open_the_top_drawer_and_put_the_bowl_inside,right-16x32,98ee29d09d1855716e341532a3d0f76068de6fa131f8fe16ffd52f982df1b953,True,success,success,success,observational,,False
22,cache/HiMoE-VLA/libero_goal/open_the_top_drawer_and_put_the_bowl_inside/right-16x32,54,1029,18,3,1022,goal,open_the_top_drawer_and_put_the_bowl_inside,right-16x32,98ee29d09d1855716e341532a3d0f76068de6fa131f8fe16ffd52f982df1b953,True,success,success,success,observational,,False
23,cache/HiMoE-VLA/libero_goal/open_the_top_drawer_and_put_the_bowl_inside/right-16x32,55,1047,18,3,1023,goal,open_the_top_drawer_and_put_the_bowl_inside,right-16x32,98ee29d09d1855716e341532a3d0f76068de6fa131f8fe16ffd52f982df1b953,True,success,success,success,observational,,False
24,cache/HiMoE-VLA/libero_goal/open_the_top_drawer_and_put_the_bowl_inside/right-16x32,56,1065,17,3,1024,goal,open_the_top_drawer_and_put_the_bowl_inside,right-16x32,98ee29d09d1855716e341532a3d0f76068de6fa131f8fe16ffd52f982df1b953,True,success,success,success,observational,,False
25,cache/HiMoE-VLA/libero_goal/open_the_top_drawer_and_put_the_bowl_inside/right-16x32,57,1082,18,3,1025,goal,open_the_top_drawer_and_put_the_bowl_inside,right-16x32,98ee29d09d1855716e341532a3d0f76068de6fa131f8fe16ffd52f982df1b953,True,success,success,success,observational,,False
26,cache/HiMoE-VLA/libero_goal/open_the_top_drawer_and_put_the_bowl_inside/right-16x32,58,1100,17,3,1026,goal,open_the_top_drawer_and_put_the_bowl_inside,right-16x32,98ee29d09d1855716e341532a3d0f76068de6fa131f8fe16ffd52f982df1b953,True,success,success,success,observational,,False
27,cache/HiMoE-VLA/libero_goal/open_the_top_drawer_and_put_the_bowl_inside/right-16x32,59,1117,19,3,1027,goal,open_the_top_drawer_and_put_the_bowl_inside,right-16x32,98ee29d09d1855716e341532a3d0f76068de6fa131f8fe16ffd52f982df1b953,True,success,success,success,observational,,False
28,cache/HiMoE-VLA/libero_goal/open_the_top_drawer_and_put_the_bowl_inside/right-16x32,60,1136,18,3,1028,goal,open_the_top_drawer_and_put_the_bowl_inside,right-16x32,98ee29d09d1855716e341532a3d0f76068de6fa131f8fe16ffd52f982df1b953,True,success,success,success,observational,,False
29,cache/HiMoE-VLA/libero_goal/open_the_top_drawer_and_put_the_bowl_inside/right-16x32,61,1154,17,3,1029,goal,open_the_top_drawer_and_put_the_bowl_inside,right-16x32,98ee29d09d1855716e341532a3d0f76068de6fa131f8fe16ffd52f982df1b953,True,success,success,success,observational,,False
30,cache/HiMoE-VLA/libero_goal/open_the_top_drawer_and_put_the_bowl_inside/right-16x32,62,1171,17,3,1030,goal,open_the_top_drawer_and_put_the_bowl_inside,right-16x32,98ee29d09d1855716e341532a3d0f76068de6fa131f8fe16ffd52f982df1b953,True,success,success,success,observational,,False
31,cache/HiMoE-VLA/libero_goal/open_the_top_drawer_and_put_the_bowl_inside/right-16x32,63,1188,18,3,1031,goal,open_the_top_drawer_and_put_the_bowl_inside,right-16x32,98ee29d09d1855716e341532a3d0f76068de6fa131f8fe16ffd52f982df1b953,True,success,success,success,observational,,False
32,cache/HiMoE-VLA/libero_goal/open_the_top_drawer_and_put_the_bowl_inside/right-16x32,64,1206,18,7,1000,goal,open_the_top_drawer_and_put_the_bowl_inside,right-16x32,98ee29d09d1855716e341532a3d0f76068de6fa131f8fe16ffd52f982df1b953,True,success,success,success,observational,,False
33,cache/HiMoE-VLA/libero_goal/open_the_top_drawer_and_put_the_bowl_inside/right-16x32,65,1224,18,7,1001,goal,open_the_top_drawer_and_put_the_bowl_inside,right-16x32,98ee29d09d1855716e341532a3d0f76068de6fa131f8fe16ffd52f982df1b953,True,success,success,success,observational,,False
34,cache/HiMoE-VLA/libero_goal/open_the_top_drawer_and_put_the_bowl_inside/right-16x32,66,1242,18,7,1002,goal,open_the_top_drawer_and_put_the_bowl_inside,right-16x32,98ee29d09d1855716e341532a3d0f76068de6fa131f8fe16ffd52f982df1b953,True,success,success,success,observational,,False
35,cache/HiMoE-VLA/libero_goal/open_the_top_drawer_and_put_the_bowl_inside/right-16x32,67,1260,18,7,1003,goal,open_the_top_drawer_and_put_the_bowl_inside,right-16x32,98ee29d09d1855716e341532a3d0f76068de6fa131f8fe16ffd52f982df1b953,True,success,success,success,observational,,False
36,cache/HiMoE-VLA/libero_goal/open_the_top_drawer_and_put_the_bowl_inside/right-16x32,68,1278,18,7,1004,goal,open_the_top_drawer_and_put_the_bowl_inside,right-16x32,98ee29d09d1855716e341532a3d0f76068de6fa131f8fe16ffd52f982df1b953,True,success,success,success,observational,,False
37,cache/HiMoE-VLA/libero_goal/open_the_top_drawer_and_put_the_bowl_inside/right-16x32,69,1296,30,7,1005,goal,open_the_top_drawer_and_put_the_bowl_inside,right-16x32,98ee29d09d1855716e341532a3d0f76068de6fa131f8fe16ffd52f982df1b953,False,object_released_or_dropped_before_goal,none,medium,observational,28,True
38,cache/HiMoE-VLA/libero_goal/open_the_top_drawer_and_put_the_bowl_inside/right-16x32,70,1326,18,7,1006,goal,open_the_top_drawer_and_put_the_bowl_inside,right-16x32,98ee29d09d1855716e341532a3d0f76068de6fa131f8fe16ffd52f982df1b953,True,success,success,success,observational,,False
39,cache/HiMoE-VLA/libero_goal/open_the_top_drawer_and_put_the_bowl_inside/right-16x32,71,1344,18,7,1007,goal,open_the_top_drawer_and_put_the_bowl_inside,right-16x32,98ee29d09d1855716e341532a3d0f76068de6fa131f8fe16ffd52f982df1b953,True,success,success,success,observational,,False
40,cache/HiMoE-VLA/libero_goal/open_the_top_drawer_and_put_the_bowl_inside/right-16x32,72,1362,18,7,1008,goal,open_the_top_drawer_and_put_the_bowl_inside,right-16x32,98ee29d09d1855716e341532a3d0f76068de6fa131f8fe16ffd52f982df1b953,True,success,success,success,observational,,False
41,cache/HiMoE-VLA/libero_goal/open_the_top_drawer_and_put_the_bowl_inside/right-16x32,73,1380,18,7,1009,goal,open_the_top_drawer_and_put_the_bowl_inside,right-16x32,98ee29d09d1855716e341532a3d0f76068de6fa131f8fe16ffd52f982df1b953,True,success,success,success,observational,,False
42,cache/HiMoE-VLA/libero_goal/open_the_top_drawer_and_put_the_bowl_inside/right-16x32,74,1398,18,7,1010,goal,open_the_top_drawer_and_put_the_bowl_inside,right-16x32,98ee29d09d1855716e341532a3d0f76068de6fa131f8fe16ffd52f982df1b953,True,success,success,success,observational,,False
43,cache/HiMoE-VLA/libero_goal/open_the_top_drawer_and_put_the_bowl_inside/right-16x32,75,1416,18,7,1011,goal,open_the_top_drawer_and_put_the_bowl_inside,right-16x32,98ee29d09d1855716e341532a3d0f76068de6fa131f8fe16ffd52f982df1b953,True,success,success,success,observational,,False
44,cache/HiMoE-VLA/libero_goal/open_the_top_drawer_and_put_the_bowl_inside/right-16x32,76,1434,18,7,1012,goal,open_the_top_drawer_and_put_the_bowl_inside,right-16x32,98ee29d09d1855716e341532a3d0f76068de6fa131f8fe16ffd52f982df1b953,True,success,success,success,observational,,False
45,cache/HiMoE-VLA/libero_goal/open_the_top_drawer_and_put_the_bowl_inside/right-16x32,77,1452,30,7,1013,goal,open_the_top_drawer_and_put_the_bowl_inside,right-16x32,98ee29d09d1855716e341532a3d0f76068de6fa131f8fe16ffd52f982df1b953,False,object_released_or_dropped_before_goal,none,medium,observational,28,True
46,cache/HiMoE-VLA/libero_goal/open_the_top_drawer_and_put_the_bowl_inside/right-16x32,78,1482,18,7,1014,goal,open_the_top_drawer_and_put_the_bowl_inside,right-16x32,98ee29d09d1855716e341532a3d0f76068de6fa131f8fe16ffd52f982df1b953,True,success,success,success,observational,,False
47,cache/HiMoE-VLA/libero_goal/open_the_top_drawer_and_put_the_bowl_inside/right-16x32,79,1500,18,7,1015,goal,open_the_top_drawer_and_put_the_bowl_inside,right-16x32,98ee29d09d1855716e341532a3d0f76068de6fa131f8fe16ffd52f982df1b953,True,success,success,success,observational,,False
48,cache/HiMoE-VLA/libero_goal/open_the_top_drawer_and_put_the_bowl_inside/right-16x32,80,1518,19,7,1016,goal,open_the_top_drawer_and_put_the_bowl_inside,right-16x32,98ee29d09d1855716e341532a3d0f76068de6fa131f8fe16ffd52f982df1b953,True,success,success,success,observational,,False
49,cache/HiMoE-VLA/libero_goal/open_the_top_drawer_and_put_the_bowl_inside/right-16x32,81,1537,30,7,1017,goal,open_the_top_drawer_and_put_the_bowl_inside,right-16x32,98ee29d09d1855716e341532a3d0f76068de6fa131f8fe16ffd52f982df1b953,False,object_released_or_dropped_before_goal,none,medium,observational,28,True
50,cache/HiMoE-VLA/libero_goal/open_the_top_drawer_and_put_the_bowl_inside/right-16x32,82,1567,18,7,1018,goal,open_the_top_drawer_and_put_the_bowl_inside,right-16x32,98ee29d09d1855716e341532a3d0f76068de6fa131f8fe16ffd52f982df1b953,True,success,success,success,observational,,False
51,cache/HiMoE-VLA/libero_goal/open_the_top_drawer_and_put_the_bowl_inside/right-16x32,83,1585,18,7,1019,goal,open_the_top_drawer_and_put_the_bowl_inside,right-16x32,98ee29d09d1855716e341532a3d0f76068de6fa131f8fe16ffd52f982df1b953,True,success,success,success,observational,,False
52,cache/HiMoE-VLA/libero_goal/open_the_top_drawer_and_put_the_bowl_inside/right-16x32,84,1603,19,7,1020,goal,open_the_top_drawer_and_put_the_bowl_inside,right-16x32,98ee29d09d1855716e341532a3d0f76068de6fa131f8fe16ffd52f982df1b953,True,success,success,success,observational,,False
53,cache/HiMoE-VLA/libero_goal/open_the_top_drawer_and_put_the_bowl_inside/right-16x32,85,1622,18,7,1021,goal,open_the_top_drawer_and_put_the_bowl_inside,right-16x32,98ee29d09d1855716e341532a3d0f76068de6fa131f8fe16ffd52f982df1b953,True,success,success,success,observational,,False
54,cache/HiMoE-VLA/libero_goal/open_the_top_drawer_and_put_the_bowl_inside/right-16x32,86,1640,18,7,1022,goal,open_the_top_drawer_and_put_the_bowl_inside,right-16x32,98ee29d09d1855716e341532a3d0f76068de6fa131f8fe16ffd52f982df1b953,True,success,success,success,observational,,False
55,cache/HiMoE-VLA/libero_goal/open_the_top_drawer_and_put_the_bowl_inside/right-16x32,87,1658,19,7,1023,goal,open_the_top_drawer_and_put_the_bowl_inside,right-16x32,98ee29d09d1855716e341532a3d0f76068de6fa131f8fe16ffd52f982df1b953,True,success,success,success,observational,,False
56,cache/HiMoE-VLA/libero_goal/open_the_top_drawer_and_put_the_bowl_inside/right-16x32,88,1677,18,7,1024,goal,open_the_top_drawer_and_put_the_bowl_inside,right-16x32,98ee29d09d1855716e341532a3d0f76068de6fa131f8fe16ffd52f982df1b953,True,success,success,success,observational,,False
57,cache/HiMoE-VLA/libero_goal/open_the_top_drawer_and_put_the_bowl_inside/right-16x32,89,1695,18,7,1025,goal,open_the_top_drawer_and_put_the_bowl_inside,right-16x32,98ee29d09d1855716e341532a3d0f76068de6fa131f8fe16ffd52f982df1b953,True,success,success,success,observational,,False
58,cache/HiMoE-VLA/libero_goal/open_the_top_drawer_and_put_the_bowl_inside/right-16x32,90,1713,18,7,1026,goal,open_the_top_drawer_and_put_the_bowl_inside,right-16x32,98ee29d09d1855716e341532a3d0f76068de6fa131f8fe16ffd52f982df1b953,True,success,success,success,observational,,False
59,cache/HiMoE-VLA/libero_goal/open_the_top_drawer_and_put_the_bowl_inside/right-16x32,91,1731,30,7,1027,goal,open_the_top_drawer_and_put_the_bowl_inside,right-16x32,98ee29d09d1855716e341532a3d0f76068de6fa131f8fe16ffd52f982df1b953,False,object_released_or_dropped_before_goal,none,medium,observational,28,True
60,cache/HiMoE-VLA/libero_goal/open_the_top_drawer_and_put_the_bowl_inside/right-16x32,92,1761,18,7,1028,goal,open_the_top_drawer_and_put_the_bowl_inside,right-16x32,98ee29d09d1855716e341532a3d0f76068de6fa131f8fe16ffd52f982df1b953,True,success,success,success,observational,,False
61,cache/HiMoE-VLA/libero_goal/open_the_top_drawer_and_put_the_bowl_inside/right-16x32,93,1779,18,7,1029,goal,open_the_top_drawer_and_put_the_bowl_inside,right-16x32,98ee29d09d1855716e341532a3d0f76068de6fa131f8fe16ffd52f982df1b953,True,success,success,success,observational,,False
62,cache/HiMoE-VLA/libero_goal/open_the_top_drawer_and_put_the_bowl_inside/right-16x32,94,1797,18,7,1030,goal,open_the_top_drawer_and_put_the_bowl_inside,right-16x32,98ee29d09d1855716e341532a3d0f76068de6fa131f8fe16ffd52f982df1b953,True,success,success,success,observational,,False
63,cache/HiMoE-VLA/libero_goal/open_the_top_drawer_and_put_the_bowl_inside/right-16x32,95,1815,18,7,1031,goal,open_the_top_drawer_and_put_the_bowl_inside,right-16x32,98ee29d09d1855716e341532a3d0f76068de6fa131f8fe16ffd52f982df1b953,True,success,success,success,observational,,False
64,cache/HiMoE-VLA/libero_goal/open_the_top_drawer_and_put_the_bowl_inside/right-16x32,128,2411,18,13,1000,goal,open_the_top_drawer_and_put_the_bowl_inside,right-16x32,98ee29d09d1855716e341532a3d0f76068de6fa131f8fe16ffd52f982df1b953,True,success,success,success,observational,,False
65,cache/HiMoE-VLA/libero_goal/open_the_top_drawer_and_put_the_bowl_inside/right-16x32,129,2429,19,13,1001,goal,open_the_top_drawer_and_put_the_bowl_inside,right-16x32,98ee29d09d1855716e341532a3d0f76068de6fa131f8fe16ffd52f982df1b953,True,success,success,success,observational,,False
66,cache/HiMoE-VLA/libero_goal/open_the_top_drawer_and_put_the_bowl_inside/right-16x32,130,2448,19,13,1002,goal,open_the_top_drawer_and_put_the_bowl_inside,right-16x32,98ee29d09d1855716e341532a3d0f76068de6fa131f8fe16ffd52f982df1b953,True,success,success,success,observational,,False
67,cache/HiMoE-VLA/libero_goal/open_the_top_drawer_and_put_the_bowl_inside/right-16x32,131,2467,19,13,1003,goal,open_the_top_drawer_and_put_the_bowl_inside,right-16x32,98ee29d09d1855716e341532a3d0f76068de6fa131f8fe16ffd52f982df1b953,True,success,success,success,observational,,False
68,cache/HiMoE-VLA/libero_goal/open_the_top_drawer_and_put_the_bowl_inside/right-16x32,132,2486,19,13,1004,goal,open_the_top_drawer_and_put_the_bowl_inside,right-16x32,98ee29d09d1855716e341532a3d0f76068de6fa131f8fe16ffd52f982df1b953,True,success,success,success,observational,,False
69,cache/HiMoE-VLA/libero_goal/open_the_top_drawer_and_put_the_bowl_inside/right-16x32,133,2505,19,13,1005,goal,open_the_top_drawer_and_put_the_bowl_inside,right-16x32,98ee29d09d1855716e341532a3d0f76068de6fa131f8fe16ffd52f982df1b953,True,success,success,success,observational,,False
70,cache/HiMoE-VLA/libero_goal/open_the_top_drawer_and_put_the_bowl_inside/right-16x32,134,2524,19,13,1006,goal,open_the_top_drawer_and_put_the_bowl_inside,right-16x32,98ee29d09d1855716e341532a3d0f76068de6fa131f8fe16ffd52f982df1b953,True,success,success,success,observational,,False
71,cache/HiMoE-VLA/libero_goal/open_the_top_drawer_and_put_the_bowl_inside/right-16x32,135,2543,19,13,1007,goal,open_the_top_drawer_and_put_the_bowl_inside,right-16x32,98ee29d09d1855716e341532a3d0f76068de6fa131f8fe16ffd52f982df1b953,True,success,success,success,observational,,False
72,cache/HiMoE-VLA/libero_goal/open_the_top_drawer_and_put_the_bowl_inside/right-16x32,136,2562,19,13,1008,goal,open_the_top_drawer_and_put_the_bowl_inside,right-16x32,98ee29d09d1855716e341532a3d0f76068de6fa131f8fe16ffd52f982df1b953,True,success,success,success,observational,,False
73,cache/HiMoE-VLA/libero_goal/open_the_top_drawer_and_put_the_bowl_inside/right-16x32,137,2581,19,13,1009,goal,open_the_top_drawer_and_put_the_bowl_inside,right-16x32,98ee29d09d1855716e341532a3d0f76068de6fa131f8fe16ffd52f982df1b953,True,success,success,success,observational,,False
74,cache/HiMoE-VLA/libero_goal/open_the_top_drawer_and_put_the_bowl_inside/right-16x32,138,2600,18,13,1010,goal,open_the_top_drawer_and_put_the_bowl_inside,right-16x32,98ee29d09d1855716e341532a3d0f76068de6fa131f8fe16ffd52f982df1b953,True,success,success,success,observational,,False
75,cache/HiMoE-VLA/libero_goal/open_the_top_drawer_and_put_the_bowl_inside/right-16x32,139,2618,19,13,1011,goal,open_the_top_drawer_and_put_the_bowl_inside,right-16x32,98ee29d09d1855716e341532a3d0f76068de6fa131f8fe16ffd52f982df1b953,True,success,success,success,observational,,False
76,cache/HiMoE-VLA/libero_goal/open_the_top_drawer_and_put_the_bowl_inside/right-16x32,140,2637,19,13,1012,goal,open_the_top_drawer_and_put_the_bowl_inside,right-16x32,98ee29d09d1855716e341532a3d0f76068de6fa131f8fe16ffd52f982df1b953,True,success,success,success,observational,,False
77,cache/HiMoE-VLA/libero_goal/open_the_top_drawer_and_put_the_bowl_inside/right-16x32,141,2656,19,13,1013,goal,open_the_top_drawer_and_put_the_bowl_inside,right-16x32,98ee29d09d1855716e341532a3d0f76068de6fa131f8fe16ffd52f982df1b953,True,success,success,success,observational,,False
78,cache/HiMoE-VLA/libero_goal/open_the_top_drawer_and_put_the_bowl_inside/right-16x32,142,2675,19,13,1014,goal,open_the_top_drawer_and_put_the_bowl_inside,right-16x32,98ee29d09d1855716e341532a3d0f76068de6fa131f8fe16ffd52f982df1b953,True,success,success,success,observational,,False
79,cache/HiMoE-VLA/libero_goal/open_the_top_drawer_and_put_the_bowl_inside/right-16x32,143,2694,19,13,1015,goal,open_the_top_drawer_and_put_the_bowl_inside,right-16x32,98ee29d09d1855716e341532a3d0f76068de6fa131f8fe16ffd52f982df1b953,True,success,success,success,observational,,False
80,cache/HiMoE-VLA/libero_goal/open_the_top_drawer_and_put_the_bowl_inside/right-16x32,144,2713,30,13,1016,goal,open_the_top_drawer_and_put_the_bowl_inside,right-16x32,98ee29d09d1855716e341532a3d0f76068de6fa131f8fe16ffd52f982df1b953,False,object_released_or_dropped_before_goal,none,medium,observational,31,True
81,cache/HiMoE-VLA/libero_goal/open_the_top_drawer_and_put_the_bowl_inside/right-16x32,145,2743,19,13,1017,goal,open_the_top_drawer_and_put_the_bowl_inside,right-16x32,98ee29d09d1855716e341532a3d0f76068de6fa131f8fe16ffd52f982df1b953,True,success,success,success,observational,,False
82,cache/HiMoE-VLA/libero_goal/open_the_top_drawer_and_put_the_bowl_inside/right-16x32,146,2762,19,13,1018,goal,open_the_top_drawer_and_put_the_bowl_inside,right-16x32,98ee29d09d1855716e341532a3d0f76068de6fa131f8fe16ffd52f982df1b953,True,success,success,success,observational,,False
83,cache/HiMoE-VLA/libero_goal/open_the_top_drawer_and_put_the_bowl_inside/right-16x32,147,2781,19,13,1019,goal,open_the_top_drawer_and_put_the_bowl_inside,right-16x32,98ee29d09d1855716e341532a3d0f76068de6fa131f8fe16ffd52f982df1b953,True,success,success,success,observational,,False
84,cache/HiMoE-VLA/libero_goal/open_the_top_drawer_and_put_the_bowl_inside/right-16x32,148,2800,19,13,1020,goal,open_the_top_drawer_and_put_the_bowl_inside,right-16x32,98ee29d09d1855716e341532a3d0f76068de6fa131f8fe16ffd52f982df1b953,True,success,success,success,observational,,False
85,cache/HiMoE-VLA/libero_goal/open_the_top_drawer_and_put_the_bowl_inside/right-16x32,149,2819,19,13,1021,goal,open_the_top_drawer_and_put_the_bowl_inside,right-16x32,98ee29d09d1855716e341532a3d0f76068de6fa131f8fe16ffd52f982df1b953,True,success,success,success,observational,,False
86,cache/HiMoE-VLA/libero_goal/open_the_top_drawer_and_put_the_bowl_inside/right-16x32,150,2838,19,13,1022,goal,open_the_top_drawer_and_put_the_bowl_inside,right-16x32,98ee29d09d1855716e341532a3d0f76068de6fa131f8fe16ffd52f982df1b953,True,success,success,success,observational,,False
87,cache/HiMoE-VLA/libero_goal/open_the_top_drawer_and_put_the_bowl_inside/right-16x32,151,2857,19,13,1023,goal,open_the_top_drawer_and_put_the_bowl_inside,right-16x32,98ee29d09d1855716e341532a3d0f76068de6fa131f8fe16ffd52f982df1b953,True,success,success,success,observational,,False
88,cache/HiMoE-VLA/libero_goal/open_the_top_drawer_and_put_the_bowl_inside/right-16x32,152,2876,19,13,1024,goal,open_the_top_drawer_and_put_the_bowl_inside,right-16x32,98ee29d09d1855716e341532a3d0f76068de6fa131f8fe16ffd52f982df1b953,True,success,success,success,observational,,False
89,cache/HiMoE-VLA/libero_goal/open_the_top_drawer_and_put_the_bowl_inside/right-16x32,153,2895,19,13,1025,goal,open_the_top_drawer_and_put_the_bowl_inside,right-16x32,98ee29d09d1855716e341532a3d0f76068de6fa131f8fe16ffd52f982df1b953,True,success,success,success,observational,,False
90,cache/HiMoE-VLA/libero_goal/open_the_top_drawer_and_put_the_bowl_inside/right-16x32,154,2914,19,13,1026,goal,open_the_top_drawer_and_put_the_bowl_inside,right-16x32,98ee29d09d1855716e341532a3d0f76068de6fa131f8fe16ffd52f982df1b953,True,success,success,success,observational,,False
91,cache/HiMoE-VLA/libero_goal/open_the_top_drawer_and_put_the_bowl_inside/right-16x32,155,2933,19,13,1027,goal,open_the_top_drawer_and_put_the_bowl_inside,right-16x32,98ee29d09d1855716e341532a3d0f76068de6fa131f8fe16ffd52f982df1b953,True,success,success,success,observational,,False
