block_size,candidate_precision_against_primary_c1,clusters,dominant_task_fraction,failure_count,failure_rate,high_deviation_block_exists,jaccard_to_primary_c1,min_cluster_size,min_samples,noise_fraction,primary_c1_recall,raw_curve_mean_rank,task_count,task_initial_failure_count_ratio,task_initial_length_failure_count_ratio,view
351,0.698005698005698,2,0.33048433048433046,81,0.23076923076923078,True,0.698005698005698,48,4,0.807421875,1.0,0.8027576632900709,5,1.8,1.0093457943925233,full
280,0.875,2,0.375,73,0.26071428571428573,True,0.875,48,8,0.8609375,1.0,0.8320891203703703,5,1.908496732026144,1.006896551724138,full
255,0.9529411764705882,2,0.38823529411764707,72,0.2823529411764706,True,0.9455252918287937,48,12,0.878125,0.9918367346938776,0.8383192628903413,5,1.9948051948051948,1.006993006993007,full
,,0,,,,False,,48,16,1.0,,,,,,full
,,0,,,,False,,48,24,1.0,,,,,,full
253,0.9525691699604744,2,0.383399209486166,73,0.2885375494071146,True,0.9377431906614786,48,32,0.88046875,0.9836734693877551,0.8412316095740009,5,2.034843205574913,1.0103806228373702,full
351,0.698005698005698,2,0.33048433048433046,81,0.23076923076923078,True,0.698005698005698,64,4,0.807421875,1.0,0.8027576632900709,5,1.8,1.0093457943925233,full
280,0.875,2,0.375,73,0.26071428571428573,True,0.875,64,8,0.8609375,1.0,0.8320891203703703,5,1.908496732026144,1.006896551724138,full
,,0,,,,False,,64,12,1.0,,,,,,full
,,0,,,,False,,64,16,1.0,,,,,,full
,,0,,,,False,,64,24,1.0,,,,,,full
,,0,,,,False,,64,32,1.0,,,,,,full
351,0.698005698005698,2,0.33048433048433046,81,0.23076923076923078,True,0.698005698005698,80,4,0.807421875,1.0,0.8027576632900709,5,1.8,1.0093457943925233,full
,,0,,,,False,,80,8,1.0,,,,,,full
,,0,,,,False,,80,12,1.0,,,,,,full
,,0,,,,False,,80,16,1.0,,,,,,full
,,0,,,,False,,80,24,1.0,,,,,,full
,,0,,,,False,,80,32,1.0,,,,,,full
312,0.8141025641025641,3,0.3141025641025641,71,0.22756410256410256,True,0.8115015974440895,16,4,0.81875,0.996078431372549,0.8087569741215574,5,1.9964850615114236,1.01067615658363,truncate90
262,0.9351145038167938,3,0.3320610687022901,70,0.26717557251908397,True,0.9007352941176471,16,8,0.854296875,0.9607843137254902,0.8320257280180944,5,2.1642512077294684,1.0108303249097472,truncate90
257,0.980544747081712,2,0.3424124513618677,69,0.26848249027237353,True,0.9692307692307692,16,12,0.859765625,0.9882352941176471,0.8326915801988758,5,2.1861386138613863,1.010989010989011,truncate90
255,1.0,2,0.3411764705882353,69,0.27058823529411763,True,1.0,16,16,0.8640625,1.0,0.8342887618010166,5,2.1796643632773938,1.010989010989011,truncate90
246,0.9959349593495935,2,0.34552845528455284,69,0.2804878048780488,True,0.95703125,16,24,0.873046875,0.9607843137254902,0.8373654396266185,5,2.2348178137651824,1.010989010989011,truncate90
220,1.0,2,0.34545454545454546,69,0.31363636363636366,True,0.8627450980392157,16,32,0.8953125,0.8627450980392157,0.8517676767676767,5,2.348936170212766,1.010989010989011,truncate90
312,0.8141025641025641,3,0.3141025641025641,71,0.22756410256410256,True,0.8115015974440895,24,4,0.81875,0.996078431372549,0.8087569741215574,5,1.9964850615114236,1.01067615658363,truncate90
262,0.9351145038167938,2,0.3320610687022901,70,0.26717557251908397,True,0.9007352941176471,24,8,0.861328125,0.9607843137254902,0.8320257280180944,5,2.1642512077294684,1.0108303249097472,truncate90
257,0.980544747081712,2,0.3424124513618677,69,0.26848249027237353,True,0.9692307692307692,24,12,0.859765625,0.9882352941176471,0.8326915801988758,5,2.1861386138613863,1.010989010989011,truncate90
255,1.0,2,0.3411764705882353,69,0.27058823529411763,True,1.0,24,16,0.8640625,1.0,0.8342887618010166,5,2.1796643632773938,1.010989010989011,truncate90
246,0.9959349593495935,2,0.34552845528455284,69,0.2804878048780488,True,0.95703125,24,24,0.873046875,0.9607843137254902,0.8373654396266185,5,2.2348178137651824,1.010989010989011,truncate90
220,1.0,2,0.34545454545454546,69,0.31363636363636366,True,0.8627450980392157,24,32,0.8953125,0.8627450980392157,0.8517676767676767,5,2.348936170212766,1.010989010989011,truncate90
312,0.8141025641025641,2,0.3141025641025641,71,0.22756410256410256,True,0.8115015974440895,32,4,0.830859375,0.996078431372549,0.8087569741215574,5,1.9964850615114236,1.01067615658363,truncate90
262,0.9351145038167938,2,0.3320610687022901,70,0.26717557251908397,True,0.9007352941176471,32,8,0.861328125,0.9607843137254902,0.8320257280180944,5,2.1642512077294684,1.0108303249097472,truncate90
257,0.980544747081712,2,0.3424124513618677,69,0.26848249027237353,True,0.9692307692307692,32,12,0.859765625,0.9882352941176471,0.8326915801988758,5,2.1861386138613863,1.010989010989011,truncate90
255,1.0,2,0.3411764705882353,69,0.27058823529411763,True,1.0,32,16,0.8640625,1.0,0.8342887618010166,5,2.1796643632773938,1.010989010989011,truncate90
246,0.9959349593495935,2,0.34552845528455284,69,0.2804878048780488,True,0.95703125,32,24,0.873046875,0.9607843137254902,0.8373654396266185,5,2.2348178137651824,1.010989010989011,truncate90
220,1.0,2,0.34545454545454546,69,0.31363636363636366,True,0.8627450980392157,32,32,0.8953125,0.8627450980392157,0.8517676767676767,5,2.348936170212766,1.010989010989011,truncate90
312,0.8141025641025641,2,0.3141025641025641,71,0.22756410256410256,True,0.8115015974440895,40,4,0.830859375,0.996078431372549,0.8087569741215574,5,1.9964850615114236,1.01067615658363,truncate90
262,0.9351145038167938,2,0.3320610687022901,70,0.26717557251908397,True,0.9007352941176471,40,8,0.861328125,0.9607843137254902,0.8320257280180944,5,2.1642512077294684,1.0108303249097472,truncate90
257,0.980544747081712,2,0.3424124513618677,69,0.26848249027237353,True,0.9692307692307692,40,12,0.859765625,0.9882352941176471,0.8326915801988758,5,2.1861386138613863,1.010989010989011,truncate90
255,1.0,2,0.3411764705882353,69,0.27058823529411763,True,1.0,40,16,0.8640625,1.0,0.8342887618010166,5,2.1796643632773938,1.010989010989011,truncate90
246,0.9959349593495935,2,0.34552845528455284,69,0.2804878048780488,True,0.95703125,40,24,0.873046875,0.9607843137254902,0.8373654396266185,5,2.2348178137651824,1.010989010989011,truncate90
220,1.0,2,0.34545454545454546,69,0.31363636363636366,True,0.8627450980392157,40,32,0.8953125,0.8627450980392157,0.8517676767676767,5,2.348936170212766,1.010989010989011,truncate90
312,0.8141025641025641,2,0.3141025641025641,71,0.22756410256410256,True,0.8115015974440895,48,4,0.830859375,0.996078431372549,0.8087569741215574,5,1.9964850615114236,1.01067615658363,truncate90
262,0.9351145038167938,2,0.3320610687022901,70,0.26717557251908397,True,0.9007352941176471,48,8,0.861328125,0.9607843137254902,0.8320257280180944,5,2.1642512077294684,1.0108303249097472,truncate90
257,0.980544747081712,2,0.3424124513618677,69,0.26848249027237353,True,0.9692307692307692,48,12,0.859765625,0.9882352941176471,0.8326915801988758,5,2.1861386138613863,1.010989010989011,truncate90
255,1.0,2,0.3411764705882353,69,0.27058823529411763,True,1.0,48,16,0.8640625,1.0,0.8342887618010166,5,2.1796643632773938,1.010989010989011,truncate90
246,0.9959349593495935,2,0.34552845528455284,69,0.2804878048780488,True,0.95703125,48,24,0.873046875,0.9607843137254902,0.8373654396266185,5,2.2348178137651824,1.010989010989011,truncate90
220,1.0,2,0.34545454545454546,69,0.31363636363636366,True,0.8627450980392157,48,32,0.8953125,0.8627450980392157,0.8517676767676767,5,2.348936170212766,1.010989010989011,truncate90
312,0.8141025641025641,2,0.3141025641025641,71,0.22756410256410256,True,0.8115015974440895,64,4,0.830859375,0.996078431372549,0.8087569741215574,5,1.9964850615114236,1.01067615658363,truncate90
262,0.9351145038167938,2,0.3320610687022901,70,0.26717557251908397,True,0.9007352941176471,64,8,0.861328125,0.9607843137254902,0.8320257280180944,5,2.1642512077294684,1.0108303249097472,truncate90
257,0.980544747081712,2,0.3424124513618677,69,0.26848249027237353,True,0.9692307692307692,64,12,0.859765625,0.9882352941176471,0.8326915801988758,5,2.1861386138613863,1.010989010989011,truncate90
255,1.0,2,0.3411764705882353,69,0.27058823529411763,True,1.0,64,16,0.8640625,1.0,0.8342887618010166,5,2.1796643632773938,1.010989010989011,truncate90
246,0.9959349593495935,2,0.34552845528455284,69,0.2804878048780488,True,0.95703125,64,24,0.873046875,0.9607843137254902,0.8373654396266185,5,2.2348178137651824,1.010989010989011,truncate90
,,0,,,,False,,64,32,1.0,,,,,,truncate90
312,0.8141025641025641,2,0.3141025641025641,71,0.22756410256410256,True,0.8115015974440895,80,4,0.830859375,0.996078431372549,0.8087569741215574,5,1.9964850615114236,1.01067615658363,truncate90
262,0.9351145038167938,2,0.3320610687022901,70,0.26717557251908397,True,0.9007352941176471,80,8,0.861328125,0.9607843137254902,0.8320257280180944,5,2.1642512077294684,1.0108303249097472,truncate90
257,0.980544747081712,2,0.3424124513618677,69,0.26848249027237353,True,0.9692307692307692,80,12,0.859765625,0.9882352941176471,0.8326915801988758,5,2.1861386138613863,1.010989010989011,truncate90
255,1.0,2,0.3411764705882353,69,0.27058823529411763,True,1.0,80,16,0.8640625,1.0,0.8342887618010166,5,2.1796643632773938,1.010989010989011,truncate90
,,0,,,,False,,80,24,1.0,,,,,,truncate90
,,0,,,,False,,80,32,1.0,,,,,,truncate90
