method,k,calibration,threshold,units,rank,exceedances,fold,suite
cosine_without_center,20,episode,0.2274586409330368,540,514,26,libero_goal_full_0,libero_goal
cosine_without_center,20,task_init,0.34858438372612,70,68,2,libero_goal_full_0,libero_goal
euclidean,1,episode,1.315887451171875,547,521,26,libero_goal_full_1,libero_goal
euclidean,1,task_init,1.8098392486572263,70,68,2,libero_goal_full_1,libero_goal
euclidean,2,episode,1.3539931774139404,547,521,26,libero_goal_full_1,libero_goal
euclidean,2,task_init,1.9157850742340088,70,68,2,libero_goal_full_1,libero_goal
euclidean,3,episode,1.3932557106018066,547,521,26,libero_goal_full_1,libero_goal
euclidean,3,task_init,2.002697229385376,70,68,2,libero_goal_full_1,libero_goal
euclidean,4,episode,1.427099585533142,547,521,26,libero_goal_full_1,libero_goal
euclidean,4,task_init,2.051903247833252,70,68,2,libero_goal_full_1,libero_goal
euclidean,5,episode,1.455180048942566,547,521,26,libero_goal_full_1,libero_goal
euclidean,5,task_init,2.088717222213745,70,68,2,libero_goal_full_1,libero_goal
euclidean,6,episode,1.488035798072815,547,521,26,libero_goal_full_1,libero_goal
euclidean,6,task_init,2.1190602779388428,70,68,2,libero_goal_full_1,libero_goal
euclidean,7,episode,1.5169240236282349,547,521,26,libero_goal_full_1,libero_goal
euclidean,7,task_init,2.142851591110229,70,68,2,libero_goal_full_1,libero_goal
euclidean,8,episode,1.540258288383484,547,521,26,libero_goal_full_1,libero_goal
euclidean,8,task_init,2.163886547088623,70,68,2,libero_goal_full_1,libero_goal
euclidean,9,episode,1.5587091445922852,547,521,26,libero_goal_full_1,libero_goal
euclidean,9,task_init,2.185838222503662,70,68,2,libero_goal_full_1,libero_goal
euclidean,10,episode,1.5753580331802368,547,521,26,libero_goal_full_1,libero_goal
euclidean,10,task_init,2.2067112922668457,70,68,2,libero_goal_full_1,libero_goal
euclidean,20,episode,1.7048996686935425,547,521,26,libero_goal_full_1,libero_goal
euclidean,20,task_init,2.4561617374420166,70,68,2,libero_goal_full_1,libero_goal
cosine,1,episode,0.1903936266899109,547,521,26,libero_goal_full_1,libero_goal
cosine,1,task_init,0.2955674827098846,70,68,2,libero_goal_full_1,libero_goal
cosine,2,episode,0.1990285813808441,547,521,26,libero_goal_full_1,libero_goal
cosine,2,task_init,0.3038826882839203,70,68,2,libero_goal_full_1,libero_goal
cosine,3,episode,0.2089948803186416,547,521,26,libero_goal_full_1,libero_goal
cosine,3,task_init,0.3110741078853607,70,68,2,libero_goal_full_1,libero_goal
cosine,4,episode,0.2130991965532302,547,521,26,libero_goal_full_1,libero_goal
cosine,4,task_init,0.3200881779193878,70,68,2,libero_goal_full_1,libero_goal
cosine,5,episode,0.2235366255044937,547,521,26,libero_goal_full_1,libero_goal
cosine,5,task_init,0.3273062407970428,70,68,2,libero_goal_full_1,libero_goal
cosine,6,episode,0.2261916100978851,547,521,26,libero_goal_full_1,libero_goal
