level,cohort,suite,task,calibration,threshold_mode,method,k,episodes,failures,successes,tp,fn,fp,tn,recall,fpr,precision
cohort,A,all,all,task_init,recalibrated,cosine_without_center,7,16000,532,15468,86,446,650,14818,0.16165413533834586,0.042022239462115335,0.11684782608695653
cohort,A,all,all,task_init,recalibrated,cosine_without_center,8,16000,532,15468,88,444,654,14814,0.16541353383458646,0.04228083785880528,0.11859838274932614
cohort,A,all,all,task_init,recalibrated,cosine_without_center,9,16000,532,15468,89,443,651,14817,0.16729323308270677,0.04208688906128782,0.12027027027027028
cohort,A,all,all,task_init,recalibrated,cosine_without_center,10,16000,532,15468,89,443,645,14823,0.16729323308270677,0.04169899146625291,0.12125340599455041
cohort,A,all,all,task_init,recalibrated,cosine_without_center,20,16000,532,15468,76,456,575,14893,0.14285714285714285,0.03717351952417895,0.11674347158218126
cohort,A,all,all,task_init,fixed_k20,euclidean,1,16000,532,15468,352,180,704,14764,0.6616541353383458,0.04551331781742953,0.3333333333333333
cohort,A,all,all,task_init,fixed_k20,euclidean,2,16000,532,15468,375,157,765,14703,0.7048872180451128,0.049456943366951125,0.32894736842105265
cohort,A,all,all,task_init,fixed_k20,euclidean,3,16000,532,15468,402,130,826,14642,0.7556390977443609,0.05340056891647272,0.3273615635179153
cohort,A,all,all,task_init,fixed_k20,euclidean,4,16000,532,15468,412,120,876,14592,0.7744360902255639,0.05663304887509697,0.3198757763975155
cohort,A,all,all,task_init,fixed_k20,euclidean,5,16000,532,15468,426,106,917,14551,0.8007518796992481,0.05928368244116886,0.31720029784065523
cohort,A,all,all,task_init,fixed_k20,euclidean,6,16000,532,15468,433,99,941,14527,0.8139097744360902,0.06083527282130851,0.31513828238719066
cohort,A,all,all,task_init,fixed_k20,euclidean,7,16000,532,15468,438,94,978,14490,0.8233082706766918,0.06322730799069046,0.3093220338983051
cohort,A,all,all,task_init,fixed_k20,euclidean,8,16000,532,15468,444,88,1024,14444,0.8345864661654135,0.06620118955262477,0.3024523160762943
cohort,A,all,all,task_init,fixed_k20,euclidean,9,16000,532,15468,448,84,1060,14408,0.8421052631578947,0.06852857512283424,0.29708222811671087
cohort,A,all,all,task_init,fixed_k20,euclidean,10,16000,532,15468,454,78,1096,14372,0.8533834586466166,0.0708559606930437,0.2929032258064516
cohort,A,all,all,task_init,fixed_k20,euclidean,20,16000,532,15468,478,54,1349,14119,0.8984962406015038,0.08721230928368244,0.2616310892172961
cohort,A,all,all,task_init,fixed_k20,cosine,1,16000,532,15468,4,528,33,15435,0.007518796992481203,0.002133436772692009,0.10810810810810811
cohort,A,all,all,task_init,fixed_k20,cosine,2,16000,532,15468,5,527,49,15419,0.009398496240601503,0.0031678303594517713,0.09259259259259259
cohort,A,all,all,task_init,fixed_k20,cosine,3,16000,532,15468,6,526,63,15405,0.011278195488721804,0.004072924747866563,0.08695652173913043
cohort,A,all,all,task_init,fixed_k20,cosine,4,16000,532,15468,6,526,82,15386,0.011278195488721804,0.00530126713214378,0.06818181818181818
cohort,A,all,all,task_init,fixed_k20,cosine,5,16000,532,15468,6,526,93,15375,0.011278195488721804,0.006012412723041117,0.06060606060606061
cohort,A,all,all,task_init,fixed_k20,cosine,6,16000,532,15468,6,526,103,15365,0.011278195488721804,0.0066589087147659685,0.05504587155963303
cohort,A,all,all,task_init,fixed_k20,cosine,7,16000,532,15468,6,526,112,15356,0.011278195488721804,0.0072407551073183345,0.05084745762711865
cohort,A,all,all,task_init,fixed_k20,cosine,8,16000,532,15468,7,525,133,15335,0.013157894736842105,0.008598396689940523,0.05
cohort,A,all,all,task_init,fixed_k20,cosine,9,16000,532,15468,7,525,147,15321,0.013157894736842105,0.009503491078355315,0.045454545454545456
cohort,A,all,all,task_init,fixed_k20,cosine,10,16000,532,15468,7,525,165,15303,0.013157894736842105,0.010667183863460047,0.040697674418604654
cohort,A,all,all,task_init,fixed_k20,cosine,20,16000,532,15468,17,515,322,15146,0.03195488721804511,0.020817170933540213,0.05014749262536873
cohort,A,all,all,task_init,fixed_k20,cosine_neighbors_euclidean_score,1,16000,532,15468,451,81,1797,13671,0.8477443609022557,0.11617532971295579,0.20062277580071175
cohort,A,all,all,task_init,fixed_k20,cosine_neighbors_euclidean_score,2,16000,532,15468,439,93,1406,14062,0.825187969924812,0.0908973364365141,0.23794037940379403
cohort,A,all,all,task_init,fixed_k20,cosine_neighbors_euclidean_score,3,16000,532,15468,439,93,1254,14214,0.825187969924812,0.08107059736229635,0.25930301240401654
cohort,A,all,all,task_init,fixed_k20,cosine_neighbors_euclidean_score,4,16000,532,15468,449,83,1204,14264,0.8439849624060151,0.0778381174036721,0.2716273442226255
cohort,A,all,all,task_init,fixed_k20,cosine_neighbors_euclidean_score,5,16000,532,15468,432,100,1102,14366,0.8120300751879699,0.07124385828807861,0.2816166883963494
cohort,A,all,all,task_init,fixed_k20,cosine_neighbors_euclidean_score,6,16000,532,15468,426,106,1065,14403,0.8007518796992481,0.06885182311869667,0.2857142857142857
