level,cohort,suite,task,method,k,failure,episodes,progress_bin,alarms,count
all,all,all,all,euclidean,9,False,30904,"[0,25%)",2984,5
all,all,all,all,euclidean,9,False,30904,"[25,50%)",2984,97
all,all,all,all,euclidean,9,False,30904,"[50,75%)",2984,1170
all,all,all,all,euclidean,9,False,30904,"[75,100%)",2984,1712
all,all,all,all,euclidean,10,False,30904,"[0,25%)",2959,5
all,all,all,all,euclidean,10,False,30904,"[25,50%)",2959,85
all,all,all,all,euclidean,10,False,30904,"[50,75%)",2959,1164
all,all,all,all,euclidean,10,False,30904,"[75,100%)",2959,1705
all,all,all,all,euclidean,20,False,30904,"[0,25%)",2754,2
all,all,all,all,euclidean,20,False,30904,"[25,50%)",2754,48
all,all,all,all,euclidean,20,False,30904,"[50,75%)",2754,1125
all,all,all,all,euclidean,20,False,30904,"[75,100%)",2754,1579
all,all,all,all,euclidean,1,True,1096,"[0,25%)",983,44
all,all,all,all,euclidean,1,True,1096,"[25,50%)",983,177
all,all,all,all,euclidean,1,True,1096,"[50,75%)",983,573
all,all,all,all,euclidean,1,True,1096,"[75,100%)",983,189
all,all,all,all,euclidean,2,True,1096,"[0,25%)",994,46
all,all,all,all,euclidean,2,True,1096,"[25,50%)",994,180
all,all,all,all,euclidean,2,True,1096,"[50,75%)",994,579
all,all,all,all,euclidean,2,True,1096,"[75,100%)",994,189
all,all,all,all,euclidean,3,True,1096,"[0,25%)",1008,57
all,all,all,all,euclidean,3,True,1096,"[25,50%)",1008,186
all,all,all,all,euclidean,3,True,1096,"[50,75%)",1008,576
all,all,all,all,euclidean,3,True,1096,"[75,100%)",1008,189
all,all,all,all,euclidean,4,True,1096,"[0,25%)",1014,67
all,all,all,all,euclidean,4,True,1096,"[25,50%)",1014,189
all,all,all,all,euclidean,4,True,1096,"[50,75%)",1014,574
all,all,all,all,euclidean,4,True,1096,"[75,100%)",1014,184
all,all,all,all,euclidean,5,True,1096,"[0,25%)",1019,75
all,all,all,all,euclidean,5,True,1096,"[25,50%)",1019,184
all,all,all,all,euclidean,5,True,1096,"[50,75%)",1019,574
all,all,all,all,euclidean,5,True,1096,"[75,100%)",1019,186
all,all,all,all,euclidean,6,True,1096,"[0,25%)",1019,82
all,all,all,all,euclidean,6,True,1096,"[25,50%)",1019,175
all,all,all,all,euclidean,6,True,1096,"[50,75%)",1019,571
all,all,all,all,euclidean,6,True,1096,"[75,100%)",1019,191
all,all,all,all,euclidean,7,True,1096,"[0,25%)",1020,80
all,all,all,all,euclidean,7,True,1096,"[25,50%)",1020,175
all,all,all,all,euclidean,7,True,1096,"[50,75%)",1020,574
all,all,all,all,euclidean,7,True,1096,"[75,100%)",1020,191
all,all,all,all,euclidean,8,True,1096,"[0,25%)",1019,77
all,all,all,all,euclidean,8,True,1096,"[25,50%)",1019,174
all,all,all,all,euclidean,8,True,1096,"[50,75%)",1019,578
all,all,all,all,euclidean,8,True,1096,"[75,100%)",1019,190
all,all,all,all,euclidean,9,True,1096,"[0,25%)",1015,68
all,all,all,all,euclidean,9,True,1096,"[25,50%)",1015,174
all,all,all,all,euclidean,9,True,1096,"[50,75%)",1015,582
all,all,all,all,euclidean,9,True,1096,"[75,100%)",1015,191
all,all,all,all,euclidean,10,True,1096,"[0,25%)",1011,66
all,all,all,all,euclidean,10,True,1096,"[25,50%)",1011,172
all,all,all,all,euclidean,10,True,1096,"[50,75%)",1011,583
all,all,all,all,euclidean,10,True,1096,"[75,100%)",1011,190
all,all,all,all,euclidean,20,True,1096,"[0,25%)",977,30
all,all,all,all,euclidean,20,True,1096,"[25,50%)",977,159
all,all,all,all,euclidean,20,True,1096,"[50,75%)",977,598
all,all,all,all,euclidean,20,True,1096,"[75,100%)",977,190
all,all,all,all,cosine,1,False,30904,"[0,25%)",586,1
all,all,all,all,cosine,1,False,30904,"[25,50%)",586,75
all,all,all,all,cosine,1,False,30904,"[50,75%)",586,295
all,all,all,all,cosine,1,False,30904,"[75,100%)",586,215
all,all,all,all,cosine,2,False,30904,"[0,25%)",650,0
all,all,all,all,cosine,2,False,30904,"[25,50%)",650,83
all,all,all,all,cosine,2,False,30904,"[50,75%)",650,340
all,all,all,all,cosine,2,False,30904,"[75,100%)",650,227
all,all,all,all,cosine,3,False,30904,"[0,25%)",682,0
all,all,all,all,cosine,3,False,30904,"[25,50%)",682,87
all,all,all,all,cosine,3,False,30904,"[50,75%)",682,343
all,all,all,all,cosine,3,False,30904,"[75,100%)",682,252
all,all,all,all,cosine,4,False,30904,"[0,25%)",680,0
all,all,all,all,cosine,4,False,30904,"[25,50%)",680,86
all,all,all,all,cosine,4,False,30904,"[50,75%)",680,336
all,all,all,all,cosine,4,False,30904,"[75,100%)",680,258
all,all,all,all,cosine,5,False,30904,"[0,25%)",687,0
all,all,all,all,cosine,5,False,30904,"[25,50%)",687,85
all,all,all,all,cosine,5,False,30904,"[50,75%)",687,333
all,all,all,all,cosine,5,False,30904,"[75,100%)",687,269
all,all,all,all,cosine,6,False,30904,"[0,25%)",690,0
all,all,all,all,cosine,6,False,30904,"[25,50%)",690,88
all,all,all,all,cosine,6,False,30904,"[50,75%)",690,334
all,all,all,all,cosine,6,False,30904,"[75,100%)",690,268
all,all,all,all,cosine,7,False,30904,"[0,25%)",684,0
all,all,all,all,cosine,7,False,30904,"[25,50%)",684,88
all,all,all,all,cosine,7,False,30904,"[50,75%)",684,334
all,all,all,all,cosine,7,False,30904,"[75,100%)",684,262
all,all,all,all,cosine,8,False,30904,"[0,25%)",685,0
all,all,all,all,cosine,8,False,30904,"[25,50%)",685,91
all,all,all,all,cosine,8,False,30904,"[50,75%)",685,335
all,all,all,all,cosine,8,False,30904,"[75,100%)",685,259
all,all,all,all,cosine,9,False,30904,"[0,25%)",686,0
all,all,all,all,cosine,9,False,30904,"[25,50%)",686,94
all,all,all,all,cosine,9,False,30904,"[50,75%)",686,339
all,all,all,all,cosine,9,False,30904,"[75,100%)",686,253
all,all,all,all,cosine,10,False,30904,"[0,25%)",681,0
all,all,all,all,cosine,10,False,30904,"[25,50%)",681,93
all,all,all,all,cosine,10,False,30904,"[50,75%)",681,336
all,all,all,all,cosine,10,False,30904,"[75,100%)",681,252
all,all,all,all,cosine,20,False,30904,"[0,25%)",672,0
all,all,all,all,cosine,20,False,30904,"[25,50%)",672,98
all,all,all,all,cosine,20,False,30904,"[50,75%)",672,327
all,all,all,all,cosine,20,False,30904,"[75,100%)",672,247
all,all,all,all,cosine,1,True,1096,"[0,25%)",32,1
all,all,all,all,cosine,1,True,1096,"[25,50%)",32,22
all,all,all,all,cosine,1,True,1096,"[50,75%)",32,8
all,all,all,all,cosine,1,True,1096,"[75,100%)",32,1
all,all,all,all,cosine,2,True,1096,"[0,25%)",35,1
all,all,all,all,cosine,2,True,1096,"[25,50%)",35,24
all,all,all,all,cosine,2,True,1096,"[50,75%)",35,9
all,all,all,all,cosine,2,True,1096,"[75,100%)",35,1
all,all,all,all,cosine,3,True,1096,"[0,25%)",38,3
all,all,all,all,cosine,3,True,1096,"[25,50%)",38,25
all,all,all,all,cosine,3,True,1096,"[50,75%)",38,9
all,all,all,all,cosine,3,True,1096,"[75,100%)",38,1
all,all,all,all,cosine,4,True,1096,"[0,25%)",36,3
all,all,all,all,cosine,4,True,1096,"[25,50%)",36,24
all,all,all,all,cosine,4,True,1096,"[50,75%)",36,8
all,all,all,all,cosine,4,True,1096,"[75,100%)",36,1
all,all,all,all,cosine,5,True,1096,"[0,25%)",37,2
all,all,all,all,cosine,5,True,1096,"[25,50%)",37,24
all,all,all,all,cosine,5,True,1096,"[50,75%)",37,10
all,all,all,all,cosine,5,True,1096,"[75,100%)",37,1
all,all,all,all,cosine,6,True,1096,"[0,25%)",38,2
all,all,all,all,cosine,6,True,1096,"[25,50%)",38,25
all,all,all,all,cosine,6,True,1096,"[50,75%)",38,10
all,all,all,all,cosine,6,True,1096,"[75,100%)",38,1
all,all,all,all,cosine,7,True,1096,"[0,25%)",38,2
all,all,all,all,cosine,7,True,1096,"[25,50%)",38,25
all,all,all,all,cosine,7,True,1096,"[50,75%)",38,9
all,all,all,all,cosine,7,True,1096,"[75,100%)",38,2
all,all,all,all,cosine,8,True,1096,"[0,25%)",39,2
all,all,all,all,cosine,8,True,1096,"[25,50%)",39,27
all,all,all,all,cosine,8,True,1096,"[50,75%)",39,9
all,all,all,all,cosine,8,True,1096,"[75,100%)",39,1
all,all,all,all,cosine,9,True,1096,"[0,25%)",38,3
all,all,all,all,cosine,9,True,1096,"[25,50%)",38,26
all,all,all,all,cosine,9,True,1096,"[50,75%)",38,8
all,all,all,all,cosine,9,True,1096,"[75,100%)",38,1
all,all,all,all,cosine,10,True,1096,"[0,25%)",37,3
all,all,all,all,cosine,10,True,1096,"[25,50%)",37,25
all,all,all,all,cosine,10,True,1096,"[50,75%)",37,8
all,all,all,all,cosine,10,True,1096,"[75,100%)",37,1
all,all,all,all,cosine,20,True,1096,"[0,25%)",38,4
all,all,all,all,cosine,20,True,1096,"[25,50%)",38,28
all,all,all,all,cosine,20,True,1096,"[50,75%)",38,5
all,all,all,all,cosine,20,True,1096,"[75,100%)",38,1
all,all,all,all,cosine_neighbors_euclidean_score,1,False,30904,"[0,25%)",1319,2
all,all,all,all,cosine_neighbors_euclidean_score,1,False,30904,"[25,50%)",1319,78
all,all,all,all,cosine_neighbors_euclidean_score,1,False,30904,"[50,75%)",1319,598
all,all,all,all,cosine_neighbors_euclidean_score,1,False,30904,"[75,100%)",1319,641
all,all,all,all,cosine_neighbors_euclidean_score,2,False,30904,"[0,25%)",1361,0
all,all,all,all,cosine_neighbors_euclidean_score,2,False,30904,"[25,50%)",1361,70
all,all,all,all,cosine_neighbors_euclidean_score,2,False,30904,"[50,75%)",1361,627
all,all,all,all,cosine_neighbors_euclidean_score,2,False,30904,"[75,100%)",1361,664
all,all,all,all,cosine_neighbors_euclidean_score,3,False,30904,"[0,25%)",1323,1
all,all,all,all,cosine_neighbors_euclidean_score,3,False,30904,"[25,50%)",1323,45
all,all,all,all,cosine_neighbors_euclidean_score,3,False,30904,"[50,75%)",1323,673
all,all,all,all,cosine_neighbors_euclidean_score,3,False,30904,"[75,100%)",1323,604
all,all,all,all,cosine_neighbors_euclidean_score,4,False,30904,"[0,25%)",1570,0
all,all,all,all,cosine_neighbors_euclidean_score,4,False,30904,"[25,50%)",1570,61
all,all,all,all,cosine_neighbors_euclidean_score,4,False,30904,"[50,75%)",1570,783
all,all,all,all,cosine_neighbors_euclidean_score,4,False,30904,"[75,100%)",1570,726
all,all,all,all,cosine_neighbors_euclidean_score,5,False,30904,"[0,25%)",1559,0
all,all,all,all,cosine_neighbors_euclidean_score,5,False,30904,"[25,50%)",1559,61
all,all,all,all,cosine_neighbors_euclidean_score,5,False,30904,"[50,75%)",1559,767
all,all,all,all,cosine_neighbors_euclidean_score,5,False,30904,"[75,100%)",1559,731
all,all,all,all,cosine_neighbors_euclidean_score,6,False,30904,"[0,25%)",1643,1
all,all,all,all,cosine_neighbors_euclidean_score,6,False,30904,"[25,50%)",1643,88
all,all,all,all,cosine_neighbors_euclidean_score,6,False,30904,"[50,75%)",1643,818
all,all,all,all,cosine_neighbors_euclidean_score,6,False,30904,"[75,100%)",1643,736
all,all,all,all,cosine_neighbors_euclidean_score,7,False,30904,"[0,25%)",1763,1
all,all,all,all,cosine_neighbors_euclidean_score,7,False,30904,"[25,50%)",1763,79
all,all,all,all,cosine_neighbors_euclidean_score,7,False,30904,"[50,75%)",1763,914
all,all,all,all,cosine_neighbors_euclidean_score,7,False,30904,"[75,100%)",1763,769
all,all,all,all,cosine_neighbors_euclidean_score,8,False,30904,"[0,25%)",1740,2
all,all,all,all,cosine_neighbors_euclidean_score,8,False,30904,"[25,50%)",1740,71
all,all,all,all,cosine_neighbors_euclidean_score,8,False,30904,"[50,75%)",1740,873
all,all,all,all,cosine_neighbors_euclidean_score,8,False,30904,"[75,100%)",1740,794
all,all,all,all,cosine_neighbors_euclidean_score,9,False,30904,"[0,25%)",1702,1
all,all,all,all,cosine_neighbors_euclidean_score,9,False,30904,"[25,50%)",1702,64
all,all,all,all,cosine_neighbors_euclidean_score,9,False,30904,"[50,75%)",1702,856
all,all,all,all,cosine_neighbors_euclidean_score,9,False,30904,"[75,100%)",1702,781
all,all,all,all,cosine_neighbors_euclidean_score,10,False,30904,"[0,25%)",1798,1
all,all,all,all,cosine_neighbors_euclidean_score,10,False,30904,"[25,50%)",1798,66
all,all,all,all,cosine_neighbors_euclidean_score,10,False,30904,"[50,75%)",1798,929
all,all,all,all,cosine_neighbors_euclidean_score,10,False,30904,"[75,100%)",1798,802
all,all,all,all,cosine_neighbors_euclidean_score,20,False,30904,"[0,25%)",1967,2
all,all,all,all,cosine_neighbors_euclidean_score,20,False,30904,"[25,50%)",1967,56
all,all,all,all,cosine_neighbors_euclidean_score,20,False,30904,"[50,75%)",1967,984
all,all,all,all,cosine_neighbors_euclidean_score,20,False,30904,"[75,100%)",1967,925
all,all,all,all,cosine_neighbors_euclidean_score,1,True,1096,"[0,25%)",571,3
all,all,all,all,cosine_neighbors_euclidean_score,1,True,1096,"[25,50%)",571,75
all,all,all,all,cosine_neighbors_euclidean_score,1,True,1096,"[50,75%)",571,208
all,all,all,all,cosine_neighbors_euclidean_score,1,True,1096,"[75,100%)",571,285
all,all,all,all,cosine_neighbors_euclidean_score,2,True,1096,"[0,25%)",592,1
all,all,all,all,cosine_neighbors_euclidean_score,2,True,1096,"[25,50%)",592,85
all,all,all,all,cosine_neighbors_euclidean_score,2,True,1096,"[50,75%)",592,226
all,all,all,all,cosine_neighbors_euclidean_score,2,True,1096,"[75,100%)",592,280
all,all,all,all,cosine_neighbors_euclidean_score,3,True,1096,"[0,25%)",647,2
all,all,all,all,cosine_neighbors_euclidean_score,3,True,1096,"[25,50%)",647,76
all,all,all,all,cosine_neighbors_euclidean_score,3,True,1096,"[50,75%)",647,257
all,all,all,all,cosine_neighbors_euclidean_score,3,True,1096,"[75,100%)",647,312
all,all,all,all,cosine_neighbors_euclidean_score,4,True,1096,"[0,25%)",751,1
all,all,all,all,cosine_neighbors_euclidean_score,4,True,1096,"[25,50%)",751,82
all,all,all,all,cosine_neighbors_euclidean_score,4,True,1096,"[50,75%)",751,345
all,all,all,all,cosine_neighbors_euclidean_score,4,True,1096,"[75,100%)",751,323
all,all,all,all,cosine_neighbors_euclidean_score,5,True,1096,"[0,25%)",783,4
all,all,all,all,cosine_neighbors_euclidean_score,5,True,1096,"[25,50%)",783,88
all,all,all,all,cosine_neighbors_euclidean_score,5,True,1096,"[50,75%)",783,400
all,all,all,all,cosine_neighbors_euclidean_score,5,True,1096,"[75,100%)",783,291
all,all,all,all,cosine_neighbors_euclidean_score,6,True,1096,"[0,25%)",824,10
all,all,all,all,cosine_neighbors_euclidean_score,6,True,1096,"[25,50%)",824,113
all,all,all,all,cosine_neighbors_euclidean_score,6,True,1096,"[50,75%)",824,414
all,all,all,all,cosine_neighbors_euclidean_score,6,True,1096,"[75,100%)",824,287
all,all,all,all,cosine_neighbors_euclidean_score,7,True,1096,"[0,25%)",832,10
all,all,all,all,cosine_neighbors_euclidean_score,7,True,1096,"[25,50%)",832,106
all,all,all,all,cosine_neighbors_euclidean_score,7,True,1096,"[50,75%)",832,436
all,all,all,all,cosine_neighbors_euclidean_score,7,True,1096,"[75,100%)",832,280
all,all,all,all,cosine_neighbors_euclidean_score,8,True,1096,"[0,25%)",852,12
all,all,all,all,cosine_neighbors_euclidean_score,8,True,1096,"[25,50%)",852,119
all,all,all,all,cosine_neighbors_euclidean_score,8,True,1096,"[50,75%)",852,448
all,all,all,all,cosine_neighbors_euclidean_score,8,True,1096,"[75,100%)",852,273
all,all,all,all,cosine_neighbors_euclidean_score,9,True,1096,"[0,25%)",860,14
all,all,all,all,cosine_neighbors_euclidean_score,9,True,1096,"[25,50%)",860,117
all,all,all,all,cosine_neighbors_euclidean_score,9,True,1096,"[50,75%)",860,453
all,all,all,all,cosine_neighbors_euclidean_score,9,True,1096,"[75,100%)",860,276
all,all,all,all,cosine_neighbors_euclidean_score,10,True,1096,"[0,25%)",875,15
all,all,all,all,cosine_neighbors_euclidean_score,10,True,1096,"[25,50%)",875,128
all,all,all,all,cosine_neighbors_euclidean_score,10,True,1096,"[50,75%)",875,444
all,all,all,all,cosine_neighbors_euclidean_score,10,True,1096,"[75,100%)",875,288
all,all,all,all,cosine_neighbors_euclidean_score,20,True,1096,"[0,25%)",910,25
all,all,all,all,cosine_neighbors_euclidean_score,20,True,1096,"[25,50%)",910,128
all,all,all,all,cosine_neighbors_euclidean_score,20,True,1096,"[50,75%)",910,464
all,all,all,all,cosine_neighbors_euclidean_score,20,True,1096,"[75,100%)",910,293
all,all,all,all,euclidean_neighbors_cosine_score,1,False,30904,"[0,25%)",552,2
all,all,all,all,euclidean_neighbors_cosine_score,1,False,30904,"[25,50%)",552,89
all,all,all,all,euclidean_neighbors_cosine_score,1,False,30904,"[50,75%)",552,306
all,all,all,all,euclidean_neighbors_cosine_score,1,False,30904,"[75,100%)",552,155
all,all,all,all,euclidean_neighbors_cosine_score,2,False,30904,"[0,25%)",622,1
all,all,all,all,euclidean_neighbors_cosine_score,2,False,30904,"[25,50%)",622,99
all,all,all,all,euclidean_neighbors_cosine_score,2,False,30904,"[50,75%)",622,370
all,all,all,all,euclidean_neighbors_cosine_score,2,False,30904,"[75,100%)",622,152
all,all,all,all,euclidean_neighbors_cosine_score,3,False,30904,"[0,25%)",579,0
all,all,all,all,euclidean_neighbors_cosine_score,3,False,30904,"[25,50%)",579,76
all,all,all,all,euclidean_neighbors_cosine_score,3,False,30904,"[50,75%)",579,354
all,all,all,all,euclidean_neighbors_cosine_score,3,False,30904,"[75,100%)",579,149
all,all,all,all,euclidean_neighbors_cosine_score,4,False,30904,"[0,25%)",509,0
all,all,all,all,euclidean_neighbors_cosine_score,4,False,30904,"[25,50%)",509,73
all,all,all,all,euclidean_neighbors_cosine_score,4,False,30904,"[50,75%)",509,297
all,all,all,all,euclidean_neighbors_cosine_score,4,False,30904,"[75,100%)",509,139
all,all,all,all,euclidean_neighbors_cosine_score,5,False,30904,"[0,25%)",628,1
all,all,all,all,euclidean_neighbors_cosine_score,5,False,30904,"[25,50%)",628,110
all,all,all,all,euclidean_neighbors_cosine_score,5,False,30904,"[50,75%)",628,349
all,all,all,all,euclidean_neighbors_cosine_score,5,False,30904,"[75,100%)",628,168
all,all,all,all,euclidean_neighbors_cosine_score,6,False,30904,"[0,25%)",668,1
all,all,all,all,euclidean_neighbors_cosine_score,6,False,30904,"[25,50%)",668,131
all,all,all,all,euclidean_neighbors_cosine_score,6,False,30904,"[50,75%)",668,359
all,all,all,all,euclidean_neighbors_cosine_score,6,False,30904,"[75,100%)",668,177
all,all,all,all,euclidean_neighbors_cosine_score,7,False,30904,"[0,25%)",680,1
all,all,all,all,euclidean_neighbors_cosine_score,7,False,30904,"[25,50%)",680,161
all,all,all,all,euclidean_neighbors_cosine_score,7,False,30904,"[50,75%)",680,351
all,all,all,all,euclidean_neighbors_cosine_score,7,False,30904,"[75,100%)",680,167
all,all,all,all,euclidean_neighbors_cosine_score,8,False,30904,"[0,25%)",582,1
all,all,all,all,euclidean_neighbors_cosine_score,8,False,30904,"[25,50%)",582,125
all,all,all,all,euclidean_neighbors_cosine_score,8,False,30904,"[50,75%)",582,301
all,all,all,all,euclidean_neighbors_cosine_score,8,False,30904,"[75,100%)",582,155
all,all,all,all,euclidean_neighbors_cosine_score,9,False,30904,"[0,25%)",589,1
all,all,all,all,euclidean_neighbors_cosine_score,9,False,30904,"[25,50%)",589,118
all,all,all,all,euclidean_neighbors_cosine_score,9,False,30904,"[50,75%)",589,316
all,all,all,all,euclidean_neighbors_cosine_score,9,False,30904,"[75,100%)",589,154
all,all,all,all,euclidean_neighbors_cosine_score,10,False,30904,"[0,25%)",594,1
all,all,all,all,euclidean_neighbors_cosine_score,10,False,30904,"[25,50%)",594,128
all,all,all,all,euclidean_neighbors_cosine_score,10,False,30904,"[50,75%)",594,311
all,all,all,all,euclidean_neighbors_cosine_score,10,False,30904,"[75,100%)",594,154
all,all,all,all,euclidean_neighbors_cosine_score,20,False,30904,"[0,25%)",642,1
all,all,all,all,euclidean_neighbors_cosine_score,20,False,30904,"[25,50%)",642,137
all,all,all,all,euclidean_neighbors_cosine_score,20,False,30904,"[50,75%)",642,330
all,all,all,all,euclidean_neighbors_cosine_score,20,False,30904,"[75,100%)",642,174
all,all,all,all,euclidean_neighbors_cosine_score,1,True,1096,"[0,25%)",27,3
all,all,all,all,euclidean_neighbors_cosine_score,1,True,1096,"[25,50%)",27,23
all,all,all,all,euclidean_neighbors_cosine_score,1,True,1096,"[50,75%)",27,1
all,all,all,all,euclidean_neighbors_cosine_score,1,True,1096,"[75,100%)",27,0
all,all,all,all,euclidean_neighbors_cosine_score,2,True,1096,"[0,25%)",23,5
all,all,all,all,euclidean_neighbors_cosine_score,2,True,1096,"[25,50%)",23,17
all,all,all,all,euclidean_neighbors_cosine_score,2,True,1096,"[50,75%)",23,1
all,all,all,all,euclidean_neighbors_cosine_score,2,True,1096,"[75,100%)",23,0
all,all,all,all,euclidean_neighbors_cosine_score,3,True,1096,"[0,25%)",23,5
all,all,all,all,euclidean_neighbors_cosine_score,3,True,1096,"[25,50%)",23,17
all,all,all,all,euclidean_neighbors_cosine_score,3,True,1096,"[50,75%)",23,1
all,all,all,all,euclidean_neighbors_cosine_score,3,True,1096,"[75,100%)",23,0
all,all,all,all,euclidean_neighbors_cosine_score,4,True,1096,"[0,25%)",20,3
all,all,all,all,euclidean_neighbors_cosine_score,4,True,1096,"[25,50%)",20,16
all,all,all,all,euclidean_neighbors_cosine_score,4,True,1096,"[50,75%)",20,1
all,all,all,all,euclidean_neighbors_cosine_score,4,True,1096,"[75,100%)",20,0
all,all,all,all,euclidean_neighbors_cosine_score,5,True,1096,"[0,25%)",24,4
all,all,all,all,euclidean_neighbors_cosine_score,5,True,1096,"[25,50%)",24,19
all,all,all,all,euclidean_neighbors_cosine_score,5,True,1096,"[50,75%)",24,1
all,all,all,all,euclidean_neighbors_cosine_score,5,True,1096,"[75,100%)",24,0
all,all,all,all,euclidean_neighbors_cosine_score,6,True,1096,"[0,25%)",30,8
all,all,all,all,euclidean_neighbors_cosine_score,6,True,1096,"[25,50%)",30,21
all,all,all,all,euclidean_neighbors_cosine_score,6,True,1096,"[50,75%)",30,1
all,all,all,all,euclidean_neighbors_cosine_score,6,True,1096,"[75,100%)",30,0
all,all,all,all,euclidean_neighbors_cosine_score,7,True,1096,"[0,25%)",38,11
all,all,all,all,euclidean_neighbors_cosine_score,7,True,1096,"[25,50%)",38,24
all,all,all,all,euclidean_neighbors_cosine_score,7,True,1096,"[50,75%)",38,3
all,all,all,all,euclidean_neighbors_cosine_score,7,True,1096,"[75,100%)",38,0
all,all,all,all,euclidean_neighbors_cosine_score,8,True,1096,"[0,25%)",29,6
all,all,all,all,euclidean_neighbors_cosine_score,8,True,1096,"[25,50%)",29,22
all,all,all,all,euclidean_neighbors_cosine_score,8,True,1096,"[50,75%)",29,1
all,all,all,all,euclidean_neighbors_cosine_score,8,True,1096,"[75,100%)",29,0
all,all,all,all,euclidean_neighbors_cosine_score,9,True,1096,"[0,25%)",26,6
all,all,all,all,euclidean_neighbors_cosine_score,9,True,1096,"[25,50%)",26,19
all,all,all,all,euclidean_neighbors_cosine_score,9,True,1096,"[50,75%)",26,1
all,all,all,all,euclidean_neighbors_cosine_score,9,True,1096,"[75,100%)",26,0
all,all,all,all,euclidean_neighbors_cosine_score,10,True,1096,"[0,25%)",27,5
all,all,all,all,euclidean_neighbors_cosine_score,10,True,1096,"[25,50%)",27,21
all,all,all,all,euclidean_neighbors_cosine_score,10,True,1096,"[50,75%)",27,1
all,all,all,all,euclidean_neighbors_cosine_score,10,True,1096,"[75,100%)",27,0
all,all,all,all,euclidean_neighbors_cosine_score,20,True,1096,"[0,25%)",30,5
all,all,all,all,euclidean_neighbors_cosine_score,20,True,1096,"[25,50%)",30,24
all,all,all,all,euclidean_neighbors_cosine_score,20,True,1096,"[50,75%)",30,1
all,all,all,all,euclidean_neighbors_cosine_score,20,True,1096,"[75,100%)",30,0
all,all,all,all,cosine_without_center,1,False,30904,"[0,25%)",1212,15
all,all,all,all,cosine_without_center,1,False,30904,"[25,50%)",1212,367
all,all,all,all,cosine_without_center,1,False,30904,"[50,75%)",1212,457
all,all,all,all,cosine_without_center,1,False,30904,"[75,100%)",1212,373
all,all,all,all,cosine_without_center,2,False,30904,"[0,25%)",1189,15
all,all,all,all,cosine_without_center,2,False,30904,"[25,50%)",1189,314
all,all,all,all,cosine_without_center,2,False,30904,"[50,75%)",1189,451
all,all,all,all,cosine_without_center,2,False,30904,"[75,100%)",1189,409
all,all,all,all,cosine_without_center,3,False,30904,"[0,25%)",1196,16
all,all,all,all,cosine_without_center,3,False,30904,"[25,50%)",1196,324
all,all,all,all,cosine_without_center,3,False,30904,"[50,75%)",1196,461
all,all,all,all,cosine_without_center,3,False,30904,"[75,100%)",1196,395
all,all,all,all,cosine_without_center,4,False,30904,"[0,25%)",1217,15
all,all,all,all,cosine_without_center,4,False,30904,"[25,50%)",1217,318
all,all,all,all,cosine_without_center,4,False,30904,"[50,75%)",1217,487
all,all,all,all,cosine_without_center,4,False,30904,"[75,100%)",1217,397
all,all,all,all,cosine_without_center,5,False,30904,"[0,25%)",1243,15
all,all,all,all,cosine_without_center,5,False,30904,"[25,50%)",1243,321
