level,cohort,suite,task,method,k,failure,episodes,query_bin,count
all,all,all,all,euclidean,5,False,30904,q20-29,42
all,all,all,all,euclidean,5,False,30904,q30-39,36
all,all,all,all,euclidean,5,False,30904,q40-51,0
all,all,all,all,euclidean,6,False,30904,no_alarm,27840
all,all,all,all,euclidean,6,False,30904,q0-6,0
all,all,all,all,euclidean,6,False,30904,q7,6
all,all,all,all,euclidean,6,False,30904,q8-10,1876
all,all,all,all,euclidean,6,False,30904,q11-14,982
all,all,all,all,euclidean,6,False,30904,q15-19,122
all,all,all,all,euclidean,6,False,30904,q20-29,43
all,all,all,all,euclidean,6,False,30904,q30-39,35
all,all,all,all,euclidean,6,False,30904,q40-51,0
all,all,all,all,euclidean,7,False,30904,no_alarm,27836
all,all,all,all,euclidean,7,False,30904,q0-6,0
all,all,all,all,euclidean,7,False,30904,q7,6
all,all,all,all,euclidean,7,False,30904,q8-10,1883
all,all,all,all,euclidean,7,False,30904,q11-14,978
all,all,all,all,euclidean,7,False,30904,q15-19,123
all,all,all,all,euclidean,7,False,30904,q20-29,43
all,all,all,all,euclidean,7,False,30904,q30-39,35
all,all,all,all,euclidean,7,False,30904,q40-51,0
all,all,all,all,euclidean,8,False,30904,no_alarm,27872
all,all,all,all,euclidean,8,False,30904,q0-6,0
all,all,all,all,euclidean,8,False,30904,q7,6
all,all,all,all,euclidean,8,False,30904,q8-10,1885
all,all,all,all,euclidean,8,False,30904,q11-14,960
all,all,all,all,euclidean,8,False,30904,q15-19,108
all,all,all,all,euclidean,8,False,30904,q20-29,39
all,all,all,all,euclidean,8,False,30904,q30-39,34
all,all,all,all,euclidean,8,False,30904,q40-51,0
all,all,all,all,euclidean,9,False,30904,no_alarm,27920
all,all,all,all,euclidean,9,False,30904,q0-6,0
all,all,all,all,euclidean,9,False,30904,q7,7
all,all,all,all,euclidean,9,False,30904,q8-10,1883
all,all,all,all,euclidean,9,False,30904,q11-14,926
all,all,all,all,euclidean,9,False,30904,q15-19,95
all,all,all,all,euclidean,9,False,30904,q20-29,38
all,all,all,all,euclidean,9,False,30904,q30-39,35
all,all,all,all,euclidean,9,False,30904,q40-51,0
all,all,all,all,euclidean,10,False,30904,no_alarm,27945
all,all,all,all,euclidean,10,False,30904,q0-6,0
all,all,all,all,euclidean,10,False,30904,q7,7
all,all,all,all,euclidean,10,False,30904,q8-10,1885
all,all,all,all,euclidean,10,False,30904,q11-14,907
all,all,all,all,euclidean,10,False,30904,q15-19,88
all,all,all,all,euclidean,10,False,30904,q20-29,37
all,all,all,all,euclidean,10,False,30904,q30-39,35
all,all,all,all,euclidean,10,False,30904,q40-51,0
all,all,all,all,euclidean,20,False,30904,no_alarm,28150
all,all,all,all,euclidean,20,False,30904,q0-6,0
all,all,all,all,euclidean,20,False,30904,q7,4
all,all,all,all,euclidean,20,False,30904,q8-10,1829
all,all,all,all,euclidean,20,False,30904,q11-14,798
all,all,all,all,euclidean,20,False,30904,q15-19,65
all,all,all,all,euclidean,20,False,30904,q20-29,27
all,all,all,all,euclidean,20,False,30904,q30-39,31
all,all,all,all,euclidean,20,False,30904,q40-51,0
all,all,all,all,euclidean,1,True,1096,no_alarm,113
all,all,all,all,euclidean,1,True,1096,q0-6,0
all,all,all,all,euclidean,1,True,1096,q7,0
all,all,all,all,euclidean,1,True,1096,q8-10,56
all,all,all,all,euclidean,1,True,1096,q11-14,334
all,all,all,all,euclidean,1,True,1096,q15-19,142
all,all,all,all,euclidean,1,True,1096,q20-29,163
all,all,all,all,euclidean,1,True,1096,q30-39,194
all,all,all,all,euclidean,1,True,1096,q40-51,94
all,all,all,all,euclidean,2,True,1096,no_alarm,102
all,all,all,all,euclidean,2,True,1096,q0-6,0
all,all,all,all,euclidean,2,True,1096,q7,0
all,all,all,all,euclidean,2,True,1096,q8-10,60
all,all,all,all,euclidean,2,True,1096,q11-14,332
all,all,all,all,euclidean,2,True,1096,q15-19,146
all,all,all,all,euclidean,2,True,1096,q20-29,164
all,all,all,all,euclidean,2,True,1096,q30-39,197
all,all,all,all,euclidean,2,True,1096,q40-51,95
all,all,all,all,euclidean,3,True,1096,no_alarm,88
all,all,all,all,euclidean,3,True,1096,q0-6,0
all,all,all,all,euclidean,3,True,1096,q7,0
all,all,all,all,euclidean,3,True,1096,q8-10,64
all,all,all,all,euclidean,3,True,1096,q11-14,347
all,all,all,all,euclidean,3,True,1096,q15-19,147
all,all,all,all,euclidean,3,True,1096,q20-29,163
all,all,all,all,euclidean,3,True,1096,q30-39,194
all,all,all,all,euclidean,3,True,1096,q40-51,93
all,all,all,all,euclidean,4,True,1096,no_alarm,82
all,all,all,all,euclidean,4,True,1096,q0-6,0
all,all,all,all,euclidean,4,True,1096,q7,0
all,all,all,all,euclidean,4,True,1096,q8-10,74
all,all,all,all,euclidean,4,True,1096,q11-14,345
all,all,all,all,euclidean,4,True,1096,q15-19,152
all,all,all,all,euclidean,4,True,1096,q20-29,164
all,all,all,all,euclidean,4,True,1096,q30-39,189
all,all,all,all,euclidean,4,True,1096,q40-51,90
all,all,all,all,euclidean,5,True,1096,no_alarm,77
all,all,all,all,euclidean,5,True,1096,q0-6,0
all,all,all,all,euclidean,5,True,1096,q7,0
all,all,all,all,euclidean,5,True,1096,q8-10,76
all,all,all,all,euclidean,5,True,1096,q11-14,340
all,all,all,all,euclidean,5,True,1096,q15-19,159
all,all,all,all,euclidean,5,True,1096,q20-29,165
all,all,all,all,euclidean,5,True,1096,q30-39,192
all,all,all,all,euclidean,5,True,1096,q40-51,87
all,all,all,all,euclidean,6,True,1096,no_alarm,77
all,all,all,all,euclidean,6,True,1096,q0-6,0
all,all,all,all,euclidean,6,True,1096,q7,0
all,all,all,all,euclidean,6,True,1096,q8-10,76
all,all,all,all,euclidean,6,True,1096,q11-14,337
all,all,all,all,euclidean,6,True,1096,q15-19,166
all,all,all,all,euclidean,6,True,1096,q20-29,164
all,all,all,all,euclidean,6,True,1096,q30-39,192
all,all,all,all,euclidean,6,True,1096,q40-51,84
all,all,all,all,euclidean,7,True,1096,no_alarm,76
all,all,all,all,euclidean,7,True,1096,q0-6,0
all,all,all,all,euclidean,7,True,1096,q7,0
all,all,all,all,euclidean,7,True,1096,q8-10,76
all,all,all,all,euclidean,7,True,1096,q11-14,335
all,all,all,all,euclidean,7,True,1096,q15-19,167
all,all,all,all,euclidean,7,True,1096,q20-29,162
all,all,all,all,euclidean,7,True,1096,q30-39,194
all,all,all,all,euclidean,7,True,1096,q40-51,86
all,all,all,all,euclidean,8,True,1096,no_alarm,77
all,all,all,all,euclidean,8,True,1096,q0-6,0
all,all,all,all,euclidean,8,True,1096,q7,0
all,all,all,all,euclidean,8,True,1096,q8-10,76
all,all,all,all,euclidean,8,True,1096,q11-14,334
all,all,all,all,euclidean,8,True,1096,q15-19,166
all,all,all,all,euclidean,8,True,1096,q20-29,160
all,all,all,all,euclidean,8,True,1096,q30-39,195
all,all,all,all,euclidean,8,True,1096,q40-51,88
all,all,all,all,euclidean,9,True,1096,no_alarm,81
all,all,all,all,euclidean,9,True,1096,q0-6,0
all,all,all,all,euclidean,9,True,1096,q7,0
all,all,all,all,euclidean,9,True,1096,q8-10,73
all,all,all,all,euclidean,9,True,1096,q11-14,327
all,all,all,all,euclidean,9,True,1096,q15-19,165
all,all,all,all,euclidean,9,True,1096,q20-29,158
all,all,all,all,euclidean,9,True,1096,q30-39,203
all,all,all,all,euclidean,9,True,1096,q40-51,89
all,all,all,all,euclidean,10,True,1096,no_alarm,85
all,all,all,all,euclidean,10,True,1096,q0-6,0
all,all,all,all,euclidean,10,True,1096,q7,0
all,all,all,all,euclidean,10,True,1096,q8-10,71
all,all,all,all,euclidean,10,True,1096,q11-14,324
all,all,all,all,euclidean,10,True,1096,q15-19,165
all,all,all,all,euclidean,10,True,1096,q20-29,154
all,all,all,all,euclidean,10,True,1096,q30-39,210
all,all,all,all,euclidean,10,True,1096,q40-51,87
all,all,all,all,euclidean,20,True,1096,no_alarm,119
all,all,all,all,euclidean,20,True,1096,q0-6,0
all,all,all,all,euclidean,20,True,1096,q7,0
all,all,all,all,euclidean,20,True,1096,q8-10,63
all,all,all,all,euclidean,20,True,1096,q11-14,278
all,all,all,all,euclidean,20,True,1096,q15-19,167
all,all,all,all,euclidean,20,True,1096,q20-29,145
all,all,all,all,euclidean,20,True,1096,q30-39,246
all,all,all,all,euclidean,20,True,1096,q40-51,78
all,all,all,all,cosine,1,False,30904,no_alarm,30318
all,all,all,all,cosine,1,False,30904,q0-6,0
all,all,all,all,cosine,1,False,30904,q7,132
all,all,all,all,cosine,1,False,30904,q8-10,99
all,all,all,all,cosine,1,False,30904,q11-14,225
all,all,all,all,cosine,1,False,30904,q15-19,104
all,all,all,all,cosine,1,False,30904,q20-29,24
all,all,all,all,cosine,1,False,30904,q30-39,2
all,all,all,all,cosine,1,False,30904,q40-51,0
all,all,all,all,cosine,2,False,30904,no_alarm,30254
all,all,all,all,cosine,2,False,30904,q0-6,0
all,all,all,all,cosine,2,False,30904,q7,165
all,all,all,all,cosine,2,False,30904,q8-10,116
all,all,all,all,cosine,2,False,30904,q11-14,240
all,all,all,all,cosine,2,False,30904,q15-19,104
all,all,all,all,cosine,2,False,30904,q20-29,23
all,all,all,all,cosine,2,False,30904,q30-39,2
all,all,all,all,cosine,2,False,30904,q40-51,0
all,all,all,all,cosine,3,False,30904,no_alarm,30222
all,all,all,all,cosine,3,False,30904,q0-6,0
all,all,all,all,cosine,3,False,30904,q7,155
all,all,all,all,cosine,3,False,30904,q8-10,125
all,all,all,all,cosine,3,False,30904,q11-14,260
all,all,all,all,cosine,3,False,30904,q15-19,110
all,all,all,all,cosine,3,False,30904,q20-29,29
all,all,all,all,cosine,3,False,30904,q30-39,3
all,all,all,all,cosine,3,False,30904,q40-51,0
all,all,all,all,cosine,4,False,30904,no_alarm,30224
all,all,all,all,cosine,4,False,30904,q0-6,0
all,all,all,all,cosine,4,False,30904,q7,147
all,all,all,all,cosine,4,False,30904,q8-10,123
all,all,all,all,cosine,4,False,30904,q11-14,265
all,all,all,all,cosine,4,False,30904,q15-19,112
all,all,all,all,cosine,4,False,30904,q20-29,30
all,all,all,all,cosine,4,False,30904,q30-39,3
all,all,all,all,cosine,4,False,30904,q40-51,0
all,all,all,all,cosine,5,False,30904,no_alarm,30217
all,all,all,all,cosine,5,False,30904,q0-6,0
all,all,all,all,cosine,5,False,30904,q7,149
all,all,all,all,cosine,5,False,30904,q8-10,125
all,all,all,all,cosine,5,False,30904,q11-14,265
all,all,all,all,cosine,5,False,30904,q15-19,115
all,all,all,all,cosine,5,False,30904,q20-29,30
all,all,all,all,cosine,5,False,30904,q30-39,3
all,all,all,all,cosine,5,False,30904,q40-51,0
all,all,all,all,cosine,6,False,30904,no_alarm,30214
all,all,all,all,cosine,6,False,30904,q0-6,0
all,all,all,all,cosine,6,False,30904,q7,149
all,all,all,all,cosine,6,False,30904,q8-10,123
all,all,all,all,cosine,6,False,30904,q11-14,269
all,all,all,all,cosine,6,False,30904,q15-19,115
all,all,all,all,cosine,6,False,30904,q20-29,31
all,all,all,all,cosine,6,False,30904,q30-39,3
all,all,all,all,cosine,6,False,30904,q40-51,0
all,all,all,all,cosine,7,False,30904,no_alarm,30220
all,all,all,all,cosine,7,False,30904,q0-6,0
all,all,all,all,cosine,7,False,30904,q7,146
all,all,all,all,cosine,7,False,30904,q8-10,121
all,all,all,all,cosine,7,False,30904,q11-14,269
all,all,all,all,cosine,7,False,30904,q15-19,113
all,all,all,all,cosine,7,False,30904,q20-29,32
all,all,all,all,cosine,7,False,30904,q30-39,3
all,all,all,all,cosine,7,False,30904,q40-51,0
all,all,all,all,cosine,8,False,30904,no_alarm,30219
all,all,all,all,cosine,8,False,30904,q0-6,0
all,all,all,all,cosine,8,False,30904,q7,144
all,all,all,all,cosine,8,False,30904,q8-10,123
all,all,all,all,cosine,8,False,30904,q11-14,271
all,all,all,all,cosine,8,False,30904,q15-19,113
all,all,all,all,cosine,8,False,30904,q20-29,32
all,all,all,all,cosine,8,False,30904,q30-39,2
all,all,all,all,cosine,8,False,30904,q40-51,0
all,all,all,all,cosine,9,False,30904,no_alarm,30218
all,all,all,all,cosine,9,False,30904,q0-6,0
all,all,all,all,cosine,9,False,30904,q7,139
all,all,all,all,cosine,9,False,30904,q8-10,124
all,all,all,all,cosine,9,False,30904,q11-14,273
all,all,all,all,cosine,9,False,30904,q15-19,116
all,all,all,all,cosine,9,False,30904,q20-29,32
all,all,all,all,cosine,9,False,30904,q30-39,2
all,all,all,all,cosine,9,False,30904,q40-51,0
all,all,all,all,cosine,10,False,30904,no_alarm,30223
all,all,all,all,cosine,10,False,30904,q0-6,0
all,all,all,all,cosine,10,False,30904,q7,139
all,all,all,all,cosine,10,False,30904,q8-10,124
all,all,all,all,cosine,10,False,30904,q11-14,269
all,all,all,all,cosine,10,False,30904,q15-19,113
all,all,all,all,cosine,10,False,30904,q20-29,33
all,all,all,all,cosine,10,False,30904,q30-39,3
all,all,all,all,cosine,10,False,30904,q40-51,0
all,all,all,all,cosine,20,False,30904,no_alarm,30232
all,all,all,all,cosine,20,False,30904,q0-6,0
all,all,all,all,cosine,20,False,30904,q7,138
all,all,all,all,cosine,20,False,30904,q8-10,118
all,all,all,all,cosine,20,False,30904,q11-14,266
all,all,all,all,cosine,20,False,30904,q15-19,114
all,all,all,all,cosine,20,False,30904,q20-29,34
all,all,all,all,cosine,20,False,30904,q30-39,2
all,all,all,all,cosine,20,False,30904,q40-51,0
all,all,all,all,cosine,1,True,1096,no_alarm,1064
all,all,all,all,cosine,1,True,1096,q0-6,0
all,all,all,all,cosine,1,True,1096,q7,4
all,all,all,all,cosine,1,True,1096,q8-10,5
all,all,all,all,cosine,1,True,1096,q11-14,15
all,all,all,all,cosine,1,True,1096,q15-19,4
all,all,all,all,cosine,1,True,1096,q20-29,4
all,all,all,all,cosine,1,True,1096,q30-39,0
all,all,all,all,cosine,1,True,1096,q40-51,0
all,all,all,all,cosine,2,True,1096,no_alarm,1061
all,all,all,all,cosine,2,True,1096,q0-6,0
all,all,all,all,cosine,2,True,1096,q7,4
all,all,all,all,cosine,2,True,1096,q8-10,7
all,all,all,all,cosine,2,True,1096,q11-14,15
all,all,all,all,cosine,2,True,1096,q15-19,4
all,all,all,all,cosine,2,True,1096,q20-29,5
all,all,all,all,cosine,2,True,1096,q30-39,0
all,all,all,all,cosine,2,True,1096,q40-51,0
all,all,all,all,cosine,3,True,1096,no_alarm,1058
all,all,all,all,cosine,3,True,1096,q0-6,0
all,all,all,all,cosine,3,True,1096,q7,7
all,all,all,all,cosine,3,True,1096,q8-10,7
all,all,all,all,cosine,3,True,1096,q11-14,14
all,all,all,all,cosine,3,True,1096,q15-19,4
all,all,all,all,cosine,3,True,1096,q20-29,6
all,all,all,all,cosine,3,True,1096,q30-39,0
all,all,all,all,cosine,3,True,1096,q40-51,0
all,all,all,all,cosine,4,True,1096,no_alarm,1060
all,all,all,all,cosine,4,True,1096,q0-6,0
all,all,all,all,cosine,4,True,1096,q7,5
all,all,all,all,cosine,4,True,1096,q8-10,8
all,all,all,all,cosine,4,True,1096,q11-14,14
all,all,all,all,cosine,4,True,1096,q15-19,4
all,all,all,all,cosine,4,True,1096,q20-29,5
all,all,all,all,cosine,4,True,1096,q30-39,0
all,all,all,all,cosine,4,True,1096,q40-51,0
all,all,all,all,cosine,5,True,1096,no_alarm,1059
all,all,all,all,cosine,5,True,1096,q0-6,0
all,all,all,all,cosine,5,True,1096,q7,3
all,all,all,all,cosine,5,True,1096,q8-10,7
all,all,all,all,cosine,5,True,1096,q11-14,16
all,all,all,all,cosine,5,True,1096,q15-19,4
all,all,all,all,cosine,5,True,1096,q20-29,7
all,all,all,all,cosine,5,True,1096,q30-39,0
all,all,all,all,cosine,5,True,1096,q40-51,0
all,all,all,all,cosine,6,True,1096,no_alarm,1058
all,all,all,all,cosine,6,True,1096,q0-6,0
all,all,all,all,cosine,6,True,1096,q7,4
all,all,all,all,cosine,6,True,1096,q8-10,8
all,all,all,all,cosine,6,True,1096,q11-14,15
all,all,all,all,cosine,6,True,1096,q15-19,4
all,all,all,all,cosine,6,True,1096,q20-29,7
all,all,all,all,cosine,6,True,1096,q30-39,0
all,all,all,all,cosine,6,True,1096,q40-51,0
all,all,all,all,cosine,7,True,1096,no_alarm,1058
all,all,all,all,cosine,7,True,1096,q0-6,0
all,all,all,all,cosine,7,True,1096,q7,4
all,all,all,all,cosine,7,True,1096,q8-10,8
all,all,all,all,cosine,7,True,1096,q11-14,15
all,all,all,all,cosine,7,True,1096,q15-19,3
all,all,all,all,cosine,7,True,1096,q20-29,7
all,all,all,all,cosine,7,True,1096,q30-39,0
all,all,all,all,cosine,7,True,1096,q40-51,1
all,all,all,all,cosine,8,True,1096,no_alarm,1057
all,all,all,all,cosine,8,True,1096,q0-6,0
all,all,all,all,cosine,8,True,1096,q7,4
all,all,all,all,cosine,8,True,1096,q8-10,8
all,all,all,all,cosine,8,True,1096,q11-14,17
all,all,all,all,cosine,8,True,1096,q15-19,3
all,all,all,all,cosine,8,True,1096,q20-29,6
all,all,all,all,cosine,8,True,1096,q30-39,0
all,all,all,all,cosine,8,True,1096,q40-51,1
all,all,all,all,cosine,9,True,1096,no_alarm,1058
all,all,all,all,cosine,9,True,1096,q0-6,0
all,all,all,all,cosine,9,True,1096,q7,5
all,all,all,all,cosine,9,True,1096,q8-10,7
all,all,all,all,cosine,9,True,1096,q11-14,17
all,all,all,all,cosine,9,True,1096,q15-19,3
all,all,all,all,cosine,9,True,1096,q20-29,5
all,all,all,all,cosine,9,True,1096,q30-39,0
all,all,all,all,cosine,9,True,1096,q40-51,1
all,all,all,all,cosine,10,True,1096,no_alarm,1059
all,all,all,all,cosine,10,True,1096,q0-6,0
all,all,all,all,cosine,10,True,1096,q7,6
all,all,all,all,cosine,10,True,1096,q8-10,6
all,all,all,all,cosine,10,True,1096,q11-14,17
all,all,all,all,cosine,10,True,1096,q15-19,2
all,all,all,all,cosine,10,True,1096,q20-29,5
all,all,all,all,cosine,10,True,1096,q30-39,0
all,all,all,all,cosine,10,True,1096,q40-51,1
all,all,all,all,cosine,20,True,1096,no_alarm,1058
all,all,all,all,cosine,20,True,1096,q0-6,0
all,all,all,all,cosine,20,True,1096,q7,5
all,all,all,all,cosine,20,True,1096,q8-10,7
all,all,all,all,cosine,20,True,1096,q11-14,18
all,all,all,all,cosine,20,True,1096,q15-19,4
all,all,all,all,cosine,20,True,1096,q20-29,3
all,all,all,all,cosine,20,True,1096,q30-39,0
all,all,all,all,cosine,20,True,1096,q40-51,1
all,all,all,all,cosine_neighbors_euclidean_score,1,False,30904,no_alarm,29585
all,all,all,all,cosine_neighbors_euclidean_score,1,False,30904,q0-6,0
all,all,all,all,cosine_neighbors_euclidean_score,1,False,30904,q7,85
all,all,all,all,cosine_neighbors_euclidean_score,1,False,30904,q8-10,831
all,all,all,all,cosine_neighbors_euclidean_score,1,False,30904,q11-14,325
all,all,all,all,cosine_neighbors_euclidean_score,1,False,30904,q15-19,53
all,all,all,all,cosine_neighbors_euclidean_score,1,False,30904,q20-29,18
all,all,all,all,cosine_neighbors_euclidean_score,1,False,30904,q30-39,6
all,all,all,all,cosine_neighbors_euclidean_score,1,False,30904,q40-51,1
all,all,all,all,cosine_neighbors_euclidean_score,2,False,30904,no_alarm,29543
all,all,all,all,cosine_neighbors_euclidean_score,2,False,30904,q0-6,0
all,all,all,all,cosine_neighbors_euclidean_score,2,False,30904,q7,101
all,all,all,all,cosine_neighbors_euclidean_score,2,False,30904,q8-10,849
all,all,all,all,cosine_neighbors_euclidean_score,2,False,30904,q11-14,345
all,all,all,all,cosine_neighbors_euclidean_score,2,False,30904,q15-19,49
all,all,all,all,cosine_neighbors_euclidean_score,2,False,30904,q20-29,13
all,all,all,all,cosine_neighbors_euclidean_score,2,False,30904,q30-39,4
all,all,all,all,cosine_neighbors_euclidean_score,2,False,30904,q40-51,0
all,all,all,all,cosine_neighbors_euclidean_score,3,False,30904,no_alarm,29581
all,all,all,all,cosine_neighbors_euclidean_score,3,False,30904,q0-6,0
all,all,all,all,cosine_neighbors_euclidean_score,3,False,30904,q7,68
all,all,all,all,cosine_neighbors_euclidean_score,3,False,30904,q8-10,869
all,all,all,all,cosine_neighbors_euclidean_score,3,False,30904,q11-14,325
all,all,all,all,cosine_neighbors_euclidean_score,3,False,30904,q15-19,44
all,all,all,all,cosine_neighbors_euclidean_score,3,False,30904,q20-29,8
all,all,all,all,cosine_neighbors_euclidean_score,3,False,30904,q30-39,8
all,all,all,all,cosine_neighbors_euclidean_score,3,False,30904,q40-51,1
all,all,all,all,cosine_neighbors_euclidean_score,4,False,30904,no_alarm,29334
all,all,all,all,cosine_neighbors_euclidean_score,4,False,30904,q0-6,0
all,all,all,all,cosine_neighbors_euclidean_score,4,False,30904,q7,73
all,all,all,all,cosine_neighbors_euclidean_score,4,False,30904,q8-10,1017
all,all,all,all,cosine_neighbors_euclidean_score,4,False,30904,q11-14,400
all,all,all,all,cosine_neighbors_euclidean_score,4,False,30904,q15-19,58
all,all,all,all,cosine_neighbors_euclidean_score,4,False,30904,q20-29,4
all,all,all,all,cosine_neighbors_euclidean_score,4,False,30904,q30-39,17
all,all,all,all,cosine_neighbors_euclidean_score,4,False,30904,q40-51,1
all,all,all,all,cosine_neighbors_euclidean_score,5,False,30904,no_alarm,29345
all,all,all,all,cosine_neighbors_euclidean_score,5,False,30904,q0-6,0
all,all,all,all,cosine_neighbors_euclidean_score,5,False,30904,q7,64
all,all,all,all,cosine_neighbors_euclidean_score,5,False,30904,q8-10,1009
all,all,all,all,cosine_neighbors_euclidean_score,5,False,30904,q11-14,396
all,all,all,all,cosine_neighbors_euclidean_score,5,False,30904,q15-19,56
all,all,all,all,cosine_neighbors_euclidean_score,5,False,30904,q20-29,5
all,all,all,all,cosine_neighbors_euclidean_score,5,False,30904,q30-39,27
all,all,all,all,cosine_neighbors_euclidean_score,5,False,30904,q40-51,2
all,all,all,all,cosine_neighbors_euclidean_score,6,False,30904,no_alarm,29261
all,all,all,all,cosine_neighbors_euclidean_score,6,False,30904,q0-6,0
all,all,all,all,cosine_neighbors_euclidean_score,6,False,30904,q7,70
all,all,all,all,cosine_neighbors_euclidean_score,6,False,30904,q8-10,1048
all,all,all,all,cosine_neighbors_euclidean_score,6,False,30904,q11-14,393
all,all,all,all,cosine_neighbors_euclidean_score,6,False,30904,q15-19,73
all,all,all,all,cosine_neighbors_euclidean_score,6,False,30904,q20-29,13
all,all,all,all,cosine_neighbors_euclidean_score,6,False,30904,q30-39,45
all,all,all,all,cosine_neighbors_euclidean_score,6,False,30904,q40-51,1
all,all,all,all,cosine_neighbors_euclidean_score,7,False,30904,no_alarm,29141
all,all,all,all,cosine_neighbors_euclidean_score,7,False,30904,q0-6,0
all,all,all,all,cosine_neighbors_euclidean_score,7,False,30904,q7,90
all,all,all,all,cosine_neighbors_euclidean_score,7,False,30904,q8-10,1123
all,all,all,all,cosine_neighbors_euclidean_score,7,False,30904,q11-14,431
all,all,all,all,cosine_neighbors_euclidean_score,7,False,30904,q15-19,70
all,all,all,all,cosine_neighbors_euclidean_score,7,False,30904,q20-29,11
all,all,all,all,cosine_neighbors_euclidean_score,7,False,30904,q30-39,37
all,all,all,all,cosine_neighbors_euclidean_score,7,False,30904,q40-51,1
all,all,all,all,cosine_neighbors_euclidean_score,8,False,30904,no_alarm,29164
all,all,all,all,cosine_neighbors_euclidean_score,8,False,30904,q0-6,0
all,all,all,all,cosine_neighbors_euclidean_score,8,False,30904,q7,88
all,all,all,all,cosine_neighbors_euclidean_score,8,False,30904,q8-10,1118
all,all,all,all,cosine_neighbors_euclidean_score,8,False,30904,q11-14,437
all,all,all,all,cosine_neighbors_euclidean_score,8,False,30904,q15-19,52
all,all,all,all,cosine_neighbors_euclidean_score,8,False,30904,q20-29,8
all,all,all,all,cosine_neighbors_euclidean_score,8,False,30904,q30-39,36
all,all,all,all,cosine_neighbors_euclidean_score,8,False,30904,q40-51,1
all,all,all,all,cosine_neighbors_euclidean_score,9,False,30904,no_alarm,29202
all,all,all,all,cosine_neighbors_euclidean_score,9,False,30904,q0-6,0
all,all,all,all,cosine_neighbors_euclidean_score,9,False,30904,q7,92
all,all,all,all,cosine_neighbors_euclidean_score,9,False,30904,q8-10,1076
all,all,all,all,cosine_neighbors_euclidean_score,9,False,30904,q11-14,436
all,all,all,all,cosine_neighbors_euclidean_score,9,False,30904,q15-19,51
all,all,all,all,cosine_neighbors_euclidean_score,9,False,30904,q20-29,10
all,all,all,all,cosine_neighbors_euclidean_score,9,False,30904,q30-39,36
all,all,all,all,cosine_neighbors_euclidean_score,9,False,30904,q40-51,1
all,all,all,all,cosine_neighbors_euclidean_score,10,False,30904,no_alarm,29106
all,all,all,all,cosine_neighbors_euclidean_score,10,False,30904,q0-6,0
all,all,all,all,cosine_neighbors_euclidean_score,10,False,30904,q7,86
all,all,all,all,cosine_neighbors_euclidean_score,10,False,30904,q8-10,1156
all,all,all,all,cosine_neighbors_euclidean_score,10,False,30904,q11-14,451
all,all,all,all,cosine_neighbors_euclidean_score,10,False,30904,q15-19,59
all,all,all,all,cosine_neighbors_euclidean_score,10,False,30904,q20-29,9
all,all,all,all,cosine_neighbors_euclidean_score,10,False,30904,q30-39,36
all,all,all,all,cosine_neighbors_euclidean_score,10,False,30904,q40-51,1
