level,cohort,suite,task,method,failure,k_count,episodes,count,baseline_k20_alarms,baseline_alarms_with_this_k_count
cohort,A,all,all,cosine_without_center,False,6,15468,33,575,21
cohort,A,all,all,cosine_without_center,False,7,15468,31,575,21
cohort,A,all,all,cosine_without_center,False,8,15468,32,575,20
cohort,A,all,all,cosine_without_center,False,9,15468,44,575,35
cohort,A,all,all,cosine_without_center,False,10,15468,493,575,435
cohort,A,all,all,cosine_without_center,True,0,532,435,76,1
cohort,A,all,all,cosine_without_center,True,1,532,5,76,2
cohort,A,all,all,cosine_without_center,True,2,532,1,76,1
cohort,A,all,all,cosine_without_center,True,3,532,2,76,1
cohort,A,all,all,cosine_without_center,True,4,532,3,76,1
cohort,A,all,all,cosine_without_center,True,5,532,3,76,1
cohort,A,all,all,cosine_without_center,True,6,532,3,76,1
cohort,A,all,all,cosine_without_center,True,7,532,4,76,2
cohort,A,all,all,cosine_without_center,True,8,532,4,76,4
cohort,A,all,all,cosine_without_center,True,9,532,6,76,4
cohort,A,all,all,cosine_without_center,True,10,532,66,76,58
cohort,B,all,all,euclidean,False,0,15436,13592,1405,20
cohort,B,all,all,euclidean,False,1,15436,103,1405,7
cohort,B,all,all,euclidean,False,2,15436,56,1405,4
cohort,B,all,all,euclidean,False,3,15436,43,1405,6
cohort,B,all,all,euclidean,False,4,15436,38,1405,6
cohort,B,all,all,euclidean,False,5,15436,33,1405,8
cohort,B,all,all,euclidean,False,6,15436,39,1405,16
cohort,B,all,all,euclidean,False,7,15436,46,1405,10
cohort,B,all,all,euclidean,False,8,15436,46,1405,22
cohort,B,all,all,euclidean,False,9,15436,56,1405,34
cohort,B,all,all,euclidean,False,10,15436,1384,1405,1272
cohort,B,all,all,euclidean,True,0,564,36,499,0
cohort,B,all,all,euclidean,True,1,564,3,499,0
cohort,B,all,all,euclidean,True,2,564,3,499,0
cohort,B,all,all,euclidean,True,3,564,1,499,0
cohort,B,all,all,euclidean,True,4,564,0,499,0
cohort,B,all,all,euclidean,True,5,564,0,499,0
cohort,B,all,all,euclidean,True,6,564,3,499,1
cohort,B,all,all,euclidean,True,7,564,5,499,2
cohort,B,all,all,euclidean,True,8,564,7,499,4
cohort,B,all,all,euclidean,True,9,564,11,499,7
cohort,B,all,all,euclidean,True,10,564,495,499,485
cohort,B,all,all,cosine,False,0,15436,15006,350,22
cohort,B,all,all,cosine,False,1,15436,20,350,3
cohort,B,all,all,cosine,False,2,15436,20,350,5
cohort,B,all,all,cosine,False,3,15436,23,350,9
