level,cohort,suite,task,calibration,threshold_mode,method,k,episodes,failures,successes,tp,fn,fp,tn,recall,fpr,precision
all,all,all,all,task_init,recalibrated,euclidean,1,32000,1096,30904,983,113,3338,27566,0.8968978102189781,0.10801190784364484,0.22749363573246933
all,all,all,all,task_init,recalibrated,euclidean,2,32000,1096,30904,994,102,3224,27680,0.906934306569343,0.10432306497540772,0.23565670934091987
all,all,all,all,task_init,recalibrated,euclidean,3,32000,1096,30904,1008,88,3171,27733,0.9197080291970803,0.10260807662438519,0.24120603015075376
all,all,all,all,task_init,recalibrated,euclidean,4,32000,1096,30904,1014,82,3123,27781,0.9251824817518248,0.10105487962723272,0.24510514865844815
all,all,all,all,task_init,recalibrated,euclidean,5,32000,1096,30904,1019,77,3091,27813,0.9297445255474452,0.1000194149624644,0.24793187347931875
all,all,all,all,task_init,recalibrated,euclidean,6,32000,1096,30904,1019,77,3064,27840,0.9297445255474452,0.09914574165156614,0.24957139358314964
all,all,all,all,task_init,recalibrated,euclidean,7,32000,1096,30904,1020,76,3068,27836,0.9306569343065694,0.09927517473466219,0.24951076320939333
all,all,all,all,task_init,recalibrated,euclidean,8,32000,1096,30904,1019,77,3032,27872,0.9297445255474452,0.09811027698679782,0.2515428289311281
all,all,all,all,task_init,recalibrated,euclidean,9,32000,1096,30904,1015,81,2984,27920,0.926094890510949,0.09655707998964536,0.2538134533633408
all,all,all,all,task_init,recalibrated,euclidean,10,32000,1096,30904,1011,85,2959,27945,0.9224452554744526,0.0957481232202951,0.25465994962216626
all,all,all,all,task_init,recalibrated,euclidean,20,32000,1096,30904,977,119,2754,28150,0.8914233576642335,0.0891146777116231,0.2618600911283838
all,all,all,all,task_init,recalibrated,cosine,1,32000,1096,30904,32,1064,586,30318,0.029197080291970802,0.018961946673569763,0.05177993527508091
all,all,all,all,task_init,recalibrated,cosine,2,32000,1096,30904,35,1061,650,30254,0.03193430656934307,0.021032876003106393,0.051094890510948905
all,all,all,all,task_init,recalibrated,cosine,3,32000,1096,30904,38,1058,682,30222,0.03467153284671533,0.02206834066787471,0.05277777777777778
all,all,all,all,task_init,recalibrated,cosine,4,32000,1096,30904,36,1060,680,30224,0.032846715328467155,0.022003624126326688,0.05027932960893855
all,all,all,all,task_init,recalibrated,cosine,5,32000,1096,30904,37,1059,687,30217,0.03375912408759124,0.02223013202174476,0.05110497237569061
all,all,all,all,task_init,recalibrated,cosine,6,32000,1096,30904,38,1058,690,30214,0.03467153284671533,0.022327206834066787,0.0521978021978022
all,all,all,all,task_init,recalibrated,cosine,7,32000,1096,30904,38,1058,684,30220,0.03467153284671533,0.022133057209422727,0.05263157894736842
all,all,all,all,task_init,recalibrated,cosine,8,32000,1096,30904,39,1057,685,30219,0.035583941605839414,0.022165415480196737,0.05386740331491713
all,all,all,all,task_init,recalibrated,cosine,9,32000,1096,30904,38,1058,686,30218,0.03467153284671533,0.022197773750970748,0.052486187845303865
all,all,all,all,task_init,recalibrated,cosine,10,32000,1096,30904,37,1059,681,30223,0.03375912408759124,0.0220359823971007,0.05153203342618384
all,all,all,all,task_init,recalibrated,cosine,20,32000,1096,30904,38,1058,672,30232,0.03467153284671533,0.02174475796013461,0.05352112676056338
all,all,all,all,task_init,recalibrated,cosine_neighbors_euclidean_score,1,32000,1096,30904,571,525,1319,29585,0.5209854014598541,0.04268055915091897,0.3021164021164021
all,all,all,all,task_init,recalibrated,cosine_neighbors_euclidean_score,2,32000,1096,30904,592,504,1361,29543,0.5401459854014599,0.04403960652342739,0.30312339989759346
all,all,all,all,task_init,recalibrated,cosine_neighbors_euclidean_score,3,32000,1096,30904,647,449,1323,29581,0.5903284671532847,0.042809992234015014,0.3284263959390863
all,all,all,all,task_init,recalibrated,cosine_neighbors_euclidean_score,4,32000,1096,30904,751,345,1570,29334,0.6852189781021898,0.050802485115195445,0.32356742783283066
all,all,all,all,task_init,recalibrated,cosine_neighbors_euclidean_score,5,32000,1096,30904,783,313,1559,29345,0.7144160583941606,0.050446544136681336,0.33432963279248507
all,all,all,all,task_init,recalibrated,cosine_neighbors_euclidean_score,6,32000,1096,30904,824,272,1643,29261,0.7518248175182481,0.05316463888169816,0.33400891771382246
all,all,all,all,task_init,recalibrated,cosine_neighbors_euclidean_score,7,32000,1096,30904,832,264,1763,29141,0.7591240875912408,0.05704763137457934,0.320616570327553
all,all,all,all,task_init,recalibrated,cosine_neighbors_euclidean_score,8,32000,1096,30904,852,244,1740,29164,0.7773722627737226,0.05630339114677712,0.3287037037037037
all,all,all,all,task_init,recalibrated,cosine_neighbors_euclidean_score,9,32000,1096,30904,860,236,1702,29202,0.7846715328467153,0.05507377685736474,0.3356752537080406
all,all,all,all,task_init,recalibrated,cosine_neighbors_euclidean_score,10,32000,1096,30904,875,221,1798,29106,0.7983576642335767,0.05818017085166969,0.3273475495697718
all,all,all,all,task_init,recalibrated,cosine_neighbors_euclidean_score,20,32000,1096,30904,910,186,1967,28937,0.8302919708029197,0.06364871861247735,0.31630170316301703
all,all,all,all,task_init,recalibrated,euclidean_neighbors_cosine_score,1,32000,1096,30904,27,1069,552,30352,0.024635036496350366,0.01786176546725343,0.046632124352331605
all,all,all,all,task_init,recalibrated,euclidean_neighbors_cosine_score,2,32000,1096,30904,23,1073,622,30282,0.020985401459854013,0.020126844421434118,0.03565891472868217
all,all,all,all,task_init,recalibrated,euclidean_neighbors_cosine_score,3,32000,1096,30904,23,1073,579,30325,0.020985401459854013,0.018735438778151696,0.03820598006644518
all,all,all,all,task_init,recalibrated,euclidean_neighbors_cosine_score,4,32000,1096,30904,20,1076,509,30395,0.01824817518248175,0.016470359823971006,0.03780718336483932
all,all,all,all,task_init,recalibrated,euclidean_neighbors_cosine_score,5,32000,1096,30904,24,1072,628,30276,0.021897810218978103,0.020320994046078178,0.03680981595092025
all,all,all,all,task_init,recalibrated,euclidean_neighbors_cosine_score,6,32000,1096,30904,30,1066,668,30236,0.02737226277372263,0.021615324877038572,0.04297994269340974
all,all,all,all,task_init,recalibrated,euclidean_neighbors_cosine_score,7,32000,1096,30904,38,1058,680,30224,0.03467153284671533,0.022003624126326688,0.052924791086350974
all,all,all,all,task_init,recalibrated,euclidean_neighbors_cosine_score,8,32000,1096,30904,29,1067,582,30322,0.02645985401459854,0.018832513590473724,0.04746317512274959
all,all,all,all,task_init,recalibrated,euclidean_neighbors_cosine_score,9,32000,1096,30904,26,1070,589,30315,0.023722627737226276,0.019059021485891794,0.04227642276422764
all,all,all,all,task_init,recalibrated,euclidean_neighbors_cosine_score,10,32000,1096,30904,27,1069,594,30310,0.024635036496350366,0.019220812839761844,0.043478260869565216
all,all,all,all,task_init,recalibrated,euclidean_neighbors_cosine_score,20,32000,1096,30904,30,1066,642,30262,0.02737226277372263,0.020774009836914315,0.044642857142857144
all,all,all,all,task_init,recalibrated,cosine_without_center,1,32000,1096,30904,162,934,1212,29692,0.1478102189781022,0.03921822417809992,0.11790393013100436
all,all,all,all,task_init,recalibrated,cosine_without_center,2,32000,1096,30904,159,937,1189,29715,0.14507299270072993,0.0384739839502977,0.11795252225519288
all,all,all,all,task_init,recalibrated,cosine_without_center,3,32000,1096,30904,161,935,1196,29708,0.1468978102189781,0.038700491845715765,0.11864406779661017
all,all,all,all,task_init,recalibrated,cosine_without_center,4,32000,1096,30904,169,927,1217,29687,0.1541970802919708,0.03938001553196997,0.12193362193362194
all,all,all,all,task_init,recalibrated,cosine_without_center,5,32000,1096,30904,175,921,1243,29661,0.15967153284671534,0.040221330572094226,0.1234132581100141
all,all,all,all,task_init,recalibrated,cosine_without_center,6,32000,1096,30904,179,917,1245,29659,0.1633211678832117,0.04028604711364225,0.12570224719101122
all,all,all,all,task_init,recalibrated,cosine_without_center,7,32000,1096,30904,179,917,1246,29658,0.1633211678832117,0.04031840538441626,0.1256140350877193
all,all,all,all,task_init,recalibrated,cosine_without_center,8,32000,1096,30904,182,914,1252,29652,0.16605839416058393,0.040512555009060314,0.12691771269177127
all,all,all,all,task_init,recalibrated,cosine_without_center,9,32000,1096,30904,184,912,1249,29655,0.1678832116788321,0.04041548019673829,0.1284019539427774
all,all,all,all,task_init,recalibrated,cosine_without_center,10,32000,1096,30904,183,913,1245,29659,0.16697080291970803,0.04028604711364225,0.12815126050420167
all,all,all,all,task_init,recalibrated,cosine_without_center,20,32000,1096,30904,158,938,1125,29779,0.14416058394160583,0.036403054620761065,0.12314886983632112
all,all,all,all,task_init,fixed_k20,euclidean,1,32000,1096,30904,737,359,1449,29455,0.6724452554744526,0.04688713435154025,0.33714547118023785
all,all,all,all,task_init,fixed_k20,euclidean,2,32000,1096,30904,783,313,1581,29323,0.7144160583941606,0.051158426093709554,0.33121827411167515
all,all,all,all,task_init,fixed_k20,euclidean,3,32000,1096,30904,829,267,1686,29218,0.7563868613138686,0.054556044524980585,0.3296222664015905
all,all,all,all,task_init,fixed_k20,euclidean,4,32000,1096,30904,852,244,1787,29117,0.7773722627737226,0.05782422987315558,0.32284956422887456
all,all,all,all,task_init,fixed_k20,euclidean,5,32000,1096,30904,879,217,1871,29033,0.802007299270073,0.060542324618172404,0.31963636363636366
all,all,all,all,task_init,fixed_k20,euclidean,6,32000,1096,30904,892,204,1943,28961,0.8138686131386861,0.06287212011390111,0.3146384479717813
all,all,all,all,task_init,fixed_k20,euclidean,7,32000,1096,30904,902,194,2025,28879,0.822992700729927,0.06552549831736992,0.30816535702084047
all,all,all,all,task_init,fixed_k20,euclidean,8,32000,1096,30904,913,183,2117,28787,0.833029197080292,0.06850245922857882,0.30132013201320135
all,all,all,all,task_init,fixed_k20,euclidean,9,32000,1096,30904,918,178,2191,28713,0.8375912408759124,0.07089697126585555,0.295271791572853
all,all,all,all,task_init,fixed_k20,euclidean,10,32000,1096,30904,927,169,2256,28648,0.8458029197080292,0.07300025886616619,0.29123468426013194
all,all,all,all,task_init,fixed_k20,euclidean,20,32000,1096,30904,977,119,2754,28150,0.8914233576642335,0.0891146777116231,0.2618600911283838
all,all,all,all,task_init,fixed_k20,cosine,1,32000,1096,30904,6,1090,87,30817,0.005474452554744526,0.002815169557338856,0.06451612903225806
all,all,all,all,task_init,fixed_k20,cosine,2,32000,1096,30904,9,1087,114,30790,0.008211678832116789,0.0036888428682371214,0.07317073170731707
all,all,all,all,task_init,fixed_k20,cosine,3,32000,1096,30904,11,1085,143,30761,0.010036496350364963,0.004627232720683406,0.07142857142857142
all,all,all,all,task_init,fixed_k20,cosine,4,32000,1096,30904,11,1085,187,30717,0.010036496350364963,0.006050996634739839,0.05555555555555555
all,all,all,all,task_init,fixed_k20,cosine,5,32000,1096,30904,13,1083,223,30681,0.011861313868613138,0.007215894382604194,0.05508474576271186
all,all,all,all,task_init,fixed_k20,cosine,6,32000,1096,30904,13,1083,244,30660,0.011861313868613138,0.0078954180688584,0.05058365758754864
all,all,all,all,task_init,fixed_k20,cosine,7,32000,1096,30904,15,1081,270,30634,0.013686131386861315,0.008736733108982656,0.05263157894736842
all,all,all,all,task_init,fixed_k20,cosine,8,32000,1096,30904,18,1078,311,30593,0.016423357664233577,0.010063422210717059,0.0547112462006079
