level,cohort,suite,task,method,k,failure,episodes,both,removed_from_k20,new_vs_k20,neither,earlier,later,same_query
all,all,all,all,euclidean_neighbors_cosine_score,10,True,1096,23,7,4,1062,1,0,22
all,all,all,all,euclidean_neighbors_cosine_score,20,True,1096,30,0,0,1066,0,0,30
all,all,all,all,cosine_without_center,1,False,30904,895,230,317,29462,120,61,714
all,all,all,all,cosine_without_center,2,False,30904,941,184,248,29531,82,68,791
all,all,all,all,cosine_without_center,3,False,30904,972,153,224,29555,80,54,838
all,all,all,all,cosine_without_center,4,False,30904,1015,110,202,29577,78,48,889
all,all,all,all,cosine_without_center,5,False,30904,1033,92,210,29569,82,36,915
all,all,all,all,cosine_without_center,6,False,30904,1050,75,195,29584,86,29,935
all,all,all,all,cosine_without_center,7,False,30904,1057,68,189,29590,83,21,953
all,all,all,all,cosine_without_center,8,False,30904,1066,59,186,29593,84,14,968
all,all,all,all,cosine_without_center,9,False,30904,1075,50,174,29605,89,9,977
all,all,all,all,cosine_without_center,10,False,30904,1083,42,162,29617,91,2,990
all,all,all,all,cosine_without_center,20,False,30904,1125,0,0,29779,0,0,1125
all,all,all,all,cosine_without_center,1,True,1096,129,29,33,905,25,13,91
all,all,all,all,cosine_without_center,2,True,1096,131,27,28,910,18,14,99
all,all,all,all,cosine_without_center,3,True,1096,137,21,24,914,16,14,107
all,all,all,all,cosine_without_center,4,True,1096,145,13,24,914,17,13,115
all,all,all,all,cosine_without_center,5,True,1096,147,11,28,910,18,7,122
all,all,all,all,cosine_without_center,6,True,1096,149,9,30,908,17,6,126
all,all,all,all,cosine_without_center,7,True,1096,150,8,29,909,18,4,128
all,all,all,all,cosine_without_center,8,True,1096,151,7,31,907,20,4,127
all,all,all,all,cosine_without_center,9,True,1096,152,6,32,906,19,2,131
all,all,all,all,cosine_without_center,10,True,1096,153,5,30,908,17,2,134
all,all,all,all,cosine_without_center,20,True,1096,158,0,0,938,0,0,158
cohort,A,all,all,euclidean,1,False,15468,1243,106,374,13745,166,142,935
cohort,A,all,all,euclidean,2,False,15468,1251,98,314,13805,125,123,1003
cohort,A,all,all,euclidean,3,False,15468,1264,85,276,13843,120,109,1035
cohort,A,all,all,euclidean,4,False,15468,1277,72,240,13879,116,93,1068
cohort,A,all,all,euclidean,5,False,15468,1285,64,218,13901,98,92,1095
cohort,A,all,all,euclidean,6,False,15468,1285,64,207,13912,86,87,1112
cohort,A,all,all,euclidean,7,False,15468,1296,53,199,13920,87,76,1133
cohort,A,all,all,euclidean,8,False,15468,1309,40,178,13941,86,62,1161
cohort,A,all,all,euclidean,9,False,15468,1314,35,146,13973,79,52,1183
cohort,A,all,all,euclidean,10,False,15468,1320,29,129,13990,74,48,1198
cohort,A,all,all,euclidean,20,False,15468,1349,0,0,14119,0,0,1349
cohort,A,all,all,euclidean,1,True,532,461,17,16,38,128,84,249
cohort,A,all,all,euclidean,2,True,532,465,13,16,38,122,75,268
cohort,A,all,all,euclidean,3,True,532,474,4,18,36,126,61,287
cohort,A,all,all,euclidean,4,True,532,476,2,19,35,136,43,297
cohort,A,all,all,euclidean,5,True,532,477,1,20,34,145,37,295
cohort,A,all,all,euclidean,6,True,532,477,1,21,33,142,31,304
cohort,A,all,all,euclidean,7,True,532,477,1,22,32,143,25,309
cohort,A,all,all,euclidean,8,True,532,477,1,23,31,142,24,311
cohort,A,all,all,euclidean,9,True,532,477,1,21,33,135,21,321
cohort,A,all,all,euclidean,10,True,532,476,2,19,35,131,18,327
