level,cohort,suite,task,method,k,failure,episodes,query,count
all,all,all,all,euclidean,1,False,30904,42,0
all,all,all,all,euclidean,1,False,30904,43,0
all,all,all,all,euclidean,1,False,30904,44,0
all,all,all,all,euclidean,1,False,30904,45,0
all,all,all,all,euclidean,1,False,30904,46,0
all,all,all,all,euclidean,1,False,30904,47,0
all,all,all,all,euclidean,1,False,30904,48,0
all,all,all,all,euclidean,1,False,30904,49,0
all,all,all,all,euclidean,1,False,30904,50,0
all,all,all,all,euclidean,1,False,30904,51,0
all,all,all,all,euclidean,2,False,30904,-1,27680
all,all,all,all,euclidean,2,False,30904,0,0
all,all,all,all,euclidean,2,False,30904,1,0
all,all,all,all,euclidean,2,False,30904,2,0
all,all,all,all,euclidean,2,False,30904,3,0
all,all,all,all,euclidean,2,False,30904,4,0
all,all,all,all,euclidean,2,False,30904,5,0
all,all,all,all,euclidean,2,False,30904,6,0
all,all,all,all,euclidean,2,False,30904,7,8
all,all,all,all,euclidean,2,False,30904,8,368
all,all,all,all,euclidean,2,False,30904,9,866
all,all,all,all,euclidean,2,False,30904,10,714
all,all,all,all,euclidean,2,False,30904,11,599
all,all,all,all,euclidean,2,False,30904,12,192
all,all,all,all,euclidean,2,False,30904,13,124
all,all,all,all,euclidean,2,False,30904,14,140
all,all,all,all,euclidean,2,False,30904,15,64
all,all,all,all,euclidean,2,False,30904,16,38
all,all,all,all,euclidean,2,False,30904,17,9
all,all,all,all,euclidean,2,False,30904,18,8
all,all,all,all,euclidean,2,False,30904,19,9
all,all,all,all,euclidean,2,False,30904,20,12
all,all,all,all,euclidean,2,False,30904,21,4
all,all,all,all,euclidean,2,False,30904,22,3
all,all,all,all,euclidean,2,False,30904,23,3
all,all,all,all,euclidean,2,False,30904,24,3
all,all,all,all,euclidean,2,False,30904,25,9
all,all,all,all,euclidean,2,False,30904,26,7
all,all,all,all,euclidean,2,False,30904,27,1
all,all,all,all,euclidean,2,False,30904,28,1
all,all,all,all,euclidean,2,False,30904,29,8
all,all,all,all,euclidean,2,False,30904,30,2
all,all,all,all,euclidean,2,False,30904,31,10
all,all,all,all,euclidean,2,False,30904,32,11
all,all,all,all,euclidean,2,False,30904,33,4
all,all,all,all,euclidean,2,False,30904,34,1
all,all,all,all,euclidean,2,False,30904,35,0
all,all,all,all,euclidean,2,False,30904,36,2
all,all,all,all,euclidean,2,False,30904,37,1
all,all,all,all,euclidean,2,False,30904,38,0
all,all,all,all,euclidean,2,False,30904,39,1
all,all,all,all,euclidean,2,False,30904,40,2
all,all,all,all,euclidean,2,False,30904,41,0
all,all,all,all,euclidean,2,False,30904,42,0
all,all,all,all,euclidean,2,False,30904,43,0
all,all,all,all,euclidean,2,False,30904,44,0
all,all,all,all,euclidean,2,False,30904,45,0
all,all,all,all,euclidean,2,False,30904,46,0
all,all,all,all,euclidean,2,False,30904,47,0
all,all,all,all,euclidean,2,False,30904,48,0
all,all,all,all,euclidean,2,False,30904,49,0
all,all,all,all,euclidean,2,False,30904,50,0
all,all,all,all,euclidean,2,False,30904,51,0
all,all,all,all,euclidean,3,False,30904,-1,27733
all,all,all,all,euclidean,3,False,30904,0,0
all,all,all,all,euclidean,3,False,30904,1,0
all,all,all,all,euclidean,3,False,30904,2,0
all,all,all,all,euclidean,3,False,30904,3,0
all,all,all,all,euclidean,3,False,30904,4,0
all,all,all,all,euclidean,3,False,30904,5,0
all,all,all,all,euclidean,3,False,30904,6,0
all,all,all,all,euclidean,3,False,30904,7,8
all,all,all,all,euclidean,3,False,30904,8,367
all,all,all,all,euclidean,3,False,30904,9,889
all,all,all,all,euclidean,3,False,30904,10,700
all,all,all,all,euclidean,3,False,30904,11,570
all,all,all,all,euclidean,3,False,30904,12,179
all,all,all,all,euclidean,3,False,30904,13,130
all,all,all,all,euclidean,3,False,30904,14,130
all,all,all,all,euclidean,3,False,30904,15,59
all,all,all,all,euclidean,3,False,30904,16,39
all,all,all,all,euclidean,3,False,30904,17,10
all,all,all,all,euclidean,3,False,30904,18,4
all,all,all,all,euclidean,3,False,30904,19,12
all,all,all,all,euclidean,3,False,30904,20,8
all,all,all,all,euclidean,3,False,30904,21,2
all,all,all,all,euclidean,3,False,30904,22,5
all,all,all,all,euclidean,3,False,30904,23,1
all,all,all,all,euclidean,3,False,30904,24,2
all,all,all,all,euclidean,3,False,30904,25,8
all,all,all,all,euclidean,3,False,30904,26,5
all,all,all,all,euclidean,3,False,30904,27,2
all,all,all,all,euclidean,3,False,30904,28,2
all,all,all,all,euclidean,3,False,30904,29,6
all,all,all,all,euclidean,3,False,30904,30,5
all,all,all,all,euclidean,3,False,30904,31,8
all,all,all,all,euclidean,3,False,30904,32,10
all,all,all,all,euclidean,3,False,30904,33,4
all,all,all,all,euclidean,3,False,30904,34,1
all,all,all,all,euclidean,3,False,30904,35,1
all,all,all,all,euclidean,3,False,30904,36,1
all,all,all,all,euclidean,3,False,30904,37,0
all,all,all,all,euclidean,3,False,30904,38,0
all,all,all,all,euclidean,3,False,30904,39,1
all,all,all,all,euclidean,3,False,30904,40,2
all,all,all,all,euclidean,3,False,30904,41,0
all,all,all,all,euclidean,3,False,30904,42,0
all,all,all,all,euclidean,3,False,30904,43,0
all,all,all,all,euclidean,3,False,30904,44,0
all,all,all,all,euclidean,3,False,30904,45,0
all,all,all,all,euclidean,3,False,30904,46,0
all,all,all,all,euclidean,3,False,30904,47,0
all,all,all,all,euclidean,3,False,30904,48,0
all,all,all,all,euclidean,3,False,30904,49,0
all,all,all,all,euclidean,3,False,30904,50,0
all,all,all,all,euclidean,3,False,30904,51,0
all,all,all,all,euclidean,4,False,30904,-1,27781
all,all,all,all,euclidean,4,False,30904,0,0
all,all,all,all,euclidean,4,False,30904,1,0
all,all,all,all,euclidean,4,False,30904,2,0
all,all,all,all,euclidean,4,False,30904,3,0
all,all,all,all,euclidean,4,False,30904,4,0
all,all,all,all,euclidean,4,False,30904,5,0
all,all,all,all,euclidean,4,False,30904,6,0
all,all,all,all,euclidean,4,False,30904,7,7
all,all,all,all,euclidean,4,False,30904,8,359
all,all,all,all,euclidean,4,False,30904,9,880
all,all,all,all,euclidean,4,False,30904,10,687
all,all,all,all,euclidean,4,False,30904,11,568
all,all,all,all,euclidean,4,False,30904,12,171
all,all,all,all,euclidean,4,False,30904,13,125
all,all,all,all,euclidean,4,False,30904,14,125
all,all,all,all,euclidean,4,False,30904,15,58
all,all,all,all,euclidean,4,False,30904,16,38
all,all,all,all,euclidean,4,False,30904,17,14
all,all,all,all,euclidean,4,False,30904,18,6
all,all,all,all,euclidean,4,False,30904,19,9
all,all,all,all,euclidean,4,False,30904,20,5
all,all,all,all,euclidean,4,False,30904,21,3
all,all,all,all,euclidean,4,False,30904,22,3
all,all,all,all,euclidean,4,False,30904,23,3
all,all,all,all,euclidean,4,False,30904,24,3
all,all,all,all,euclidean,4,False,30904,25,8
all,all,all,all,euclidean,4,False,30904,26,5
all,all,all,all,euclidean,4,False,30904,27,2
all,all,all,all,euclidean,4,False,30904,28,2
all,all,all,all,euclidean,4,False,30904,29,6
all,all,all,all,euclidean,4,False,30904,30,5
all,all,all,all,euclidean,4,False,30904,31,9
all,all,all,all,euclidean,4,False,30904,32,11
all,all,all,all,euclidean,4,False,30904,33,2
all,all,all,all,euclidean,4,False,30904,34,3
all,all,all,all,euclidean,4,False,30904,35,1
all,all,all,all,euclidean,4,False,30904,36,2
all,all,all,all,euclidean,4,False,30904,37,0
all,all,all,all,euclidean,4,False,30904,38,2
all,all,all,all,euclidean,4,False,30904,39,0
all,all,all,all,euclidean,4,False,30904,40,1
all,all,all,all,euclidean,4,False,30904,41,0
all,all,all,all,euclidean,4,False,30904,42,0
all,all,all,all,euclidean,4,False,30904,43,0
all,all,all,all,euclidean,4,False,30904,44,0
all,all,all,all,euclidean,4,False,30904,45,0
all,all,all,all,euclidean,4,False,30904,46,0
all,all,all,all,euclidean,4,False,30904,47,0
all,all,all,all,euclidean,4,False,30904,48,0
all,all,all,all,euclidean,4,False,30904,49,0
all,all,all,all,euclidean,4,False,30904,50,0
all,all,all,all,euclidean,4,False,30904,51,0
all,all,all,all,euclidean,5,False,30904,-1,27813
all,all,all,all,euclidean,5,False,30904,0,0
all,all,all,all,euclidean,5,False,30904,1,0
all,all,all,all,euclidean,5,False,30904,2,0
all,all,all,all,euclidean,5,False,30904,3,0
all,all,all,all,euclidean,5,False,30904,4,0
all,all,all,all,euclidean,5,False,30904,5,0
all,all,all,all,euclidean,5,False,30904,6,0
all,all,all,all,euclidean,5,False,30904,7,6
all,all,all,all,euclidean,5,False,30904,8,343
all,all,all,all,euclidean,5,False,30904,9,866
all,all,all,all,euclidean,5,False,30904,10,679
all,all,all,all,euclidean,5,False,30904,11,573
all,all,all,all,euclidean,5,False,30904,12,173
all,all,all,all,euclidean,5,False,30904,13,127
all,all,all,all,euclidean,5,False,30904,14,126
all,all,all,all,euclidean,5,False,30904,15,55
all,all,all,all,euclidean,5,False,30904,16,35
all,all,all,all,euclidean,5,False,30904,17,13
all,all,all,all,euclidean,5,False,30904,18,8
all,all,all,all,euclidean,5,False,30904,19,9
all,all,all,all,euclidean,5,False,30904,20,6
all,all,all,all,euclidean,5,False,30904,21,5
all,all,all,all,euclidean,5,False,30904,22,1
all,all,all,all,euclidean,5,False,30904,23,3
all,all,all,all,euclidean,5,False,30904,24,3
all,all,all,all,euclidean,5,False,30904,25,8
all,all,all,all,euclidean,5,False,30904,26,5
all,all,all,all,euclidean,5,False,30904,27,2
all,all,all,all,euclidean,5,False,30904,28,2
all,all,all,all,euclidean,5,False,30904,29,7
all,all,all,all,euclidean,5,False,30904,30,5
all,all,all,all,euclidean,5,False,30904,31,9
all,all,all,all,euclidean,5,False,30904,32,11
all,all,all,all,euclidean,5,False,30904,33,3
all,all,all,all,euclidean,5,False,30904,34,3
all,all,all,all,euclidean,5,False,30904,35,1
all,all,all,all,euclidean,5,False,30904,36,2
all,all,all,all,euclidean,5,False,30904,37,0
all,all,all,all,euclidean,5,False,30904,38,1
all,all,all,all,euclidean,5,False,30904,39,1
all,all,all,all,euclidean,5,False,30904,40,0
all,all,all,all,euclidean,5,False,30904,41,0
all,all,all,all,euclidean,5,False,30904,42,0
all,all,all,all,euclidean,5,False,30904,43,0
all,all,all,all,euclidean,5,False,30904,44,0
all,all,all,all,euclidean,5,False,30904,45,0
all,all,all,all,euclidean,5,False,30904,46,0
all,all,all,all,euclidean,5,False,30904,47,0
all,all,all,all,euclidean,5,False,30904,48,0
all,all,all,all,euclidean,5,False,30904,49,0
all,all,all,all,euclidean,5,False,30904,50,0
all,all,all,all,euclidean,5,False,30904,51,0
all,all,all,all,euclidean,6,False,30904,-1,27840
all,all,all,all,euclidean,6,False,30904,0,0
all,all,all,all,euclidean,6,False,30904,1,0
all,all,all,all,euclidean,6,False,30904,2,0
all,all,all,all,euclidean,6,False,30904,3,0
all,all,all,all,euclidean,6,False,30904,4,0
all,all,all,all,euclidean,6,False,30904,5,0
all,all,all,all,euclidean,6,False,30904,6,0
all,all,all,all,euclidean,6,False,30904,7,6
all,all,all,all,euclidean,6,False,30904,8,336
all,all,all,all,euclidean,6,False,30904,9,860
all,all,all,all,euclidean,6,False,30904,10,680
all,all,all,all,euclidean,6,False,30904,11,566
all,all,all,all,euclidean,6,False,30904,12,171
all,all,all,all,euclidean,6,False,30904,13,123
all,all,all,all,euclidean,6,False,30904,14,122
all,all,all,all,euclidean,6,False,30904,15,56
all,all,all,all,euclidean,6,False,30904,16,35
all,all,all,all,euclidean,6,False,30904,17,12
all,all,all,all,euclidean,6,False,30904,18,11
all,all,all,all,euclidean,6,False,30904,19,8
all,all,all,all,euclidean,6,False,30904,20,5
all,all,all,all,euclidean,6,False,30904,21,4
all,all,all,all,euclidean,6,False,30904,22,4
all,all,all,all,euclidean,6,False,30904,23,2
all,all,all,all,euclidean,6,False,30904,24,3
all,all,all,all,euclidean,6,False,30904,25,8
all,all,all,all,euclidean,6,False,30904,26,5
all,all,all,all,euclidean,6,False,30904,27,2
all,all,all,all,euclidean,6,False,30904,28,2
all,all,all,all,euclidean,6,False,30904,29,8
all,all,all,all,euclidean,6,False,30904,30,4
all,all,all,all,euclidean,6,False,30904,31,10
all,all,all,all,euclidean,6,False,30904,32,10
all,all,all,all,euclidean,6,False,30904,33,3
all,all,all,all,euclidean,6,False,30904,34,3
all,all,all,all,euclidean,6,False,30904,35,1
all,all,all,all,euclidean,6,False,30904,36,2
all,all,all,all,euclidean,6,False,30904,37,0
all,all,all,all,euclidean,6,False,30904,38,1
all,all,all,all,euclidean,6,False,30904,39,1
all,all,all,all,euclidean,6,False,30904,40,0
all,all,all,all,euclidean,6,False,30904,41,0
all,all,all,all,euclidean,6,False,30904,42,0
all,all,all,all,euclidean,6,False,30904,43,0
all,all,all,all,euclidean,6,False,30904,44,0
all,all,all,all,euclidean,6,False,30904,45,0
all,all,all,all,euclidean,6,False,30904,46,0
all,all,all,all,euclidean,6,False,30904,47,0
all,all,all,all,euclidean,6,False,30904,48,0
all,all,all,all,euclidean,6,False,30904,49,0
all,all,all,all,euclidean,6,False,30904,50,0
all,all,all,all,euclidean,6,False,30904,51,0
all,all,all,all,euclidean,7,False,30904,-1,27836
all,all,all,all,euclidean,7,False,30904,0,0
all,all,all,all,euclidean,7,False,30904,1,0
all,all,all,all,euclidean,7,False,30904,2,0
all,all,all,all,euclidean,7,False,30904,3,0
all,all,all,all,euclidean,7,False,30904,4,0
all,all,all,all,euclidean,7,False,30904,5,0
all,all,all,all,euclidean,7,False,30904,6,0
all,all,all,all,euclidean,7,False,30904,7,6
all,all,all,all,euclidean,7,False,30904,8,339
all,all,all,all,euclidean,7,False,30904,9,860
all,all,all,all,euclidean,7,False,30904,10,684
all,all,all,all,euclidean,7,False,30904,11,561
all,all,all,all,euclidean,7,False,30904,12,176
all,all,all,all,euclidean,7,False,30904,13,123
all,all,all,all,euclidean,7,False,30904,14,118
all,all,all,all,euclidean,7,False,30904,15,57
all,all,all,all,euclidean,7,False,30904,16,35
all,all,all,all,euclidean,7,False,30904,17,14
all,all,all,all,euclidean,7,False,30904,18,10
all,all,all,all,euclidean,7,False,30904,19,7
all,all,all,all,euclidean,7,False,30904,20,5
all,all,all,all,euclidean,7,False,30904,21,2
all,all,all,all,euclidean,7,False,30904,22,5
all,all,all,all,euclidean,7,False,30904,23,2
all,all,all,all,euclidean,7,False,30904,24,2
all,all,all,all,euclidean,7,False,30904,25,9
all,all,all,all,euclidean,7,False,30904,26,6
all,all,all,all,euclidean,7,False,30904,27,2
all,all,all,all,euclidean,7,False,30904,28,2
all,all,all,all,euclidean,7,False,30904,29,8
all,all,all,all,euclidean,7,False,30904,30,4
all,all,all,all,euclidean,7,False,30904,31,10
all,all,all,all,euclidean,7,False,30904,32,12
all,all,all,all,euclidean,7,False,30904,33,2
all,all,all,all,euclidean,7,False,30904,34,3
all,all,all,all,euclidean,7,False,30904,35,0
all,all,all,all,euclidean,7,False,30904,36,2
all,all,all,all,euclidean,7,False,30904,37,0
all,all,all,all,euclidean,7,False,30904,38,0
all,all,all,all,euclidean,7,False,30904,39,2
all,all,all,all,euclidean,7,False,30904,40,0
all,all,all,all,euclidean,7,False,30904,41,0
all,all,all,all,euclidean,7,False,30904,42,0
all,all,all,all,euclidean,7,False,30904,43,0
all,all,all,all,euclidean,7,False,30904,44,0
all,all,all,all,euclidean,7,False,30904,45,0
all,all,all,all,euclidean,7,False,30904,46,0
all,all,all,all,euclidean,7,False,30904,47,0
all,all,all,all,euclidean,7,False,30904,48,0
all,all,all,all,euclidean,7,False,30904,49,0
all,all,all,all,euclidean,7,False,30904,50,0
all,all,all,all,euclidean,7,False,30904,51,0
all,all,all,all,euclidean,8,False,30904,-1,27872
all,all,all,all,euclidean,8,False,30904,0,0
all,all,all,all,euclidean,8,False,30904,1,0
all,all,all,all,euclidean,8,False,30904,2,0
all,all,all,all,euclidean,8,False,30904,3,0
all,all,all,all,euclidean,8,False,30904,4,0
all,all,all,all,euclidean,8,False,30904,5,0
all,all,all,all,euclidean,8,False,30904,6,0
all,all,all,all,euclidean,8,False,30904,7,6
all,all,all,all,euclidean,8,False,30904,8,340
all,all,all,all,euclidean,8,False,30904,9,880
all,all,all,all,euclidean,8,False,30904,10,665
all,all,all,all,euclidean,8,False,30904,11,564
all,all,all,all,euclidean,8,False,30904,12,176
all,all,all,all,euclidean,8,False,30904,13,119
all,all,all,all,euclidean,8,False,30904,14,101
all,all,all,all,euclidean,8,False,30904,15,54
all,all,all,all,euclidean,8,False,30904,16,24
all,all,all,all,euclidean,8,False,30904,17,13
all,all,all,all,euclidean,8,False,30904,18,10
all,all,all,all,euclidean,8,False,30904,19,7
all,all,all,all,euclidean,8,False,30904,20,6
all,all,all,all,euclidean,8,False,30904,21,3
all,all,all,all,euclidean,8,False,30904,22,2
all,all,all,all,euclidean,8,False,30904,23,2
all,all,all,all,euclidean,8,False,30904,24,1
all,all,all,all,euclidean,8,False,30904,25,6
all,all,all,all,euclidean,8,False,30904,26,7
all,all,all,all,euclidean,8,False,30904,27,2
all,all,all,all,euclidean,8,False,30904,28,2
all,all,all,all,euclidean,8,False,30904,29,8
all,all,all,all,euclidean,8,False,30904,30,4
all,all,all,all,euclidean,8,False,30904,31,9
all,all,all,all,euclidean,8,False,30904,32,12
all,all,all,all,euclidean,8,False,30904,33,2
all,all,all,all,euclidean,8,False,30904,34,3
all,all,all,all,euclidean,8,False,30904,35,1
all,all,all,all,euclidean,8,False,30904,36,1
all,all,all,all,euclidean,8,False,30904,37,0
all,all,all,all,euclidean,8,False,30904,38,0
all,all,all,all,euclidean,8,False,30904,39,2
all,all,all,all,euclidean,8,False,30904,40,0
all,all,all,all,euclidean,8,False,30904,41,0
all,all,all,all,euclidean,8,False,30904,42,0
all,all,all,all,euclidean,8,False,30904,43,0
all,all,all,all,euclidean,8,False,30904,44,0
all,all,all,all,euclidean,8,False,30904,45,0
all,all,all,all,euclidean,8,False,30904,46,0
all,all,all,all,euclidean,8,False,30904,47,0
all,all,all,all,euclidean,8,False,30904,48,0
all,all,all,all,euclidean,8,False,30904,49,0
all,all,all,all,euclidean,8,False,30904,50,0
all,all,all,all,euclidean,8,False,30904,51,0
all,all,all,all,euclidean,9,False,30904,-1,27920
all,all,all,all,euclidean,9,False,30904,0,0
all,all,all,all,euclidean,9,False,30904,1,0
all,all,all,all,euclidean,9,False,30904,2,0
all,all,all,all,euclidean,9,False,30904,3,0
all,all,all,all,euclidean,9,False,30904,4,0
all,all,all,all,euclidean,9,False,30904,5,0
all,all,all,all,euclidean,9,False,30904,6,0
all,all,all,all,euclidean,9,False,30904,7,7
all,all,all,all,euclidean,9,False,30904,8,340
all,all,all,all,euclidean,9,False,30904,9,884
all,all,all,all,euclidean,9,False,30904,10,659
all,all,all,all,euclidean,9,False,30904,11,550
all,all,all,all,euclidean,9,False,30904,12,172
all,all,all,all,euclidean,9,False,30904,13,116
all,all,all,all,euclidean,9,False,30904,14,88
all,all,all,all,euclidean,9,False,30904,15,46
all,all,all,all,euclidean,9,False,30904,16,20
all,all,all,all,euclidean,9,False,30904,17,12
all,all,all,all,euclidean,9,False,30904,18,9
all,all,all,all,euclidean,9,False,30904,19,8
all,all,all,all,euclidean,9,False,30904,20,5
all,all,all,all,euclidean,9,False,30904,21,4
all,all,all,all,euclidean,9,False,30904,22,2
all,all,all,all,euclidean,9,False,30904,23,2
all,all,all,all,euclidean,9,False,30904,24,1
all,all,all,all,euclidean,9,False,30904,25,6
all,all,all,all,euclidean,9,False,30904,26,6
all,all,all,all,euclidean,9,False,30904,27,2
all,all,all,all,euclidean,9,False,30904,28,2
all,all,all,all,euclidean,9,False,30904,29,8
all,all,all,all,euclidean,9,False,30904,30,4
all,all,all,all,euclidean,9,False,30904,31,9
all,all,all,all,euclidean,9,False,30904,32,13
all,all,all,all,euclidean,9,False,30904,33,2
all,all,all,all,euclidean,9,False,30904,34,3
all,all,all,all,euclidean,9,False,30904,35,1
all,all,all,all,euclidean,9,False,30904,36,1
all,all,all,all,euclidean,9,False,30904,37,0
all,all,all,all,euclidean,9,False,30904,38,0
all,all,all,all,euclidean,9,False,30904,39,2
all,all,all,all,euclidean,9,False,30904,40,0
all,all,all,all,euclidean,9,False,30904,41,0
all,all,all,all,euclidean,9,False,30904,42,0
all,all,all,all,euclidean,9,False,30904,43,0
all,all,all,all,euclidean,9,False,30904,44,0
all,all,all,all,euclidean,9,False,30904,45,0
all,all,all,all,euclidean,9,False,30904,46,0
all,all,all,all,euclidean,9,False,30904,47,0
all,all,all,all,euclidean,9,False,30904,48,0
all,all,all,all,euclidean,9,False,30904,49,0
all,all,all,all,euclidean,9,False,30904,50,0
all,all,all,all,euclidean,9,False,30904,51,0
all,all,all,all,euclidean,10,False,30904,-1,27945
all,all,all,all,euclidean,10,False,30904,0,0
all,all,all,all,euclidean,10,False,30904,1,0
all,all,all,all,euclidean,10,False,30904,2,0
all,all,all,all,euclidean,10,False,30904,3,0
all,all,all,all,euclidean,10,False,30904,4,0
all,all,all,all,euclidean,10,False,30904,5,0
all,all,all,all,euclidean,10,False,30904,6,0
all,all,all,all,euclidean,10,False,30904,7,7
all,all,all,all,euclidean,10,False,30904,8,343
all,all,all,all,euclidean,10,False,30904,9,885
all,all,all,all,euclidean,10,False,30904,10,657
all,all,all,all,euclidean,10,False,30904,11,540
all,all,all,all,euclidean,10,False,30904,12,172
all,all,all,all,euclidean,10,False,30904,13,110
all,all,all,all,euclidean,10,False,30904,14,85
all,all,all,all,euclidean,10,False,30904,15,41
all,all,all,all,euclidean,10,False,30904,16,18
all,all,all,all,euclidean,10,False,30904,17,13
all,all,all,all,euclidean,10,False,30904,18,10
all,all,all,all,euclidean,10,False,30904,19,6
all,all,all,all,euclidean,10,False,30904,20,6
all,all,all,all,euclidean,10,False,30904,21,4
all,all,all,all,euclidean,10,False,30904,22,2
all,all,all,all,euclidean,10,False,30904,23,2
all,all,all,all,euclidean,10,False,30904,24,0
all,all,all,all,euclidean,10,False,30904,25,6
all,all,all,all,euclidean,10,False,30904,26,6
all,all,all,all,euclidean,10,False,30904,27,2
all,all,all,all,euclidean,10,False,30904,28,2
all,all,all,all,euclidean,10,False,30904,29,7
all,all,all,all,euclidean,10,False,30904,30,3
all,all,all,all,euclidean,10,False,30904,31,8
all,all,all,all,euclidean,10,False,30904,32,14
all,all,all,all,euclidean,10,False,30904,33,3
all,all,all,all,euclidean,10,False,30904,34,2
all,all,all,all,euclidean,10,False,30904,35,2
all,all,all,all,euclidean,10,False,30904,36,1
all,all,all,all,euclidean,10,False,30904,37,0
all,all,all,all,euclidean,10,False,30904,38,0
all,all,all,all,euclidean,10,False,30904,39,2
all,all,all,all,euclidean,10,False,30904,40,0
all,all,all,all,euclidean,10,False,30904,41,0
all,all,all,all,euclidean,10,False,30904,42,0
all,all,all,all,euclidean,10,False,30904,43,0
all,all,all,all,euclidean,10,False,30904,44,0
all,all,all,all,euclidean,10,False,30904,45,0
all,all,all,all,euclidean,10,False,30904,46,0
all,all,all,all,euclidean,10,False,30904,47,0
all,all,all,all,euclidean,10,False,30904,48,0
all,all,all,all,euclidean,10,False,30904,49,0
all,all,all,all,euclidean,10,False,30904,50,0
all,all,all,all,euclidean,10,False,30904,51,0
all,all,all,all,euclidean,20,False,30904,-1,28150
all,all,all,all,euclidean,20,False,30904,0,0
all,all,all,all,euclidean,20,False,30904,1,0
all,all,all,all,euclidean,20,False,30904,2,0
all,all,all,all,euclidean,20,False,30904,3,0
all,all,all,all,euclidean,20,False,30904,4,0
all,all,all,all,euclidean,20,False,30904,5,0
all,all,all,all,euclidean,20,False,30904,6,0
all,all,all,all,euclidean,20,False,30904,7,4
all,all,all,all,euclidean,20,False,30904,8,339
all,all,all,all,euclidean,20,False,30904,9,861
all,all,all,all,euclidean,20,False,30904,10,629
all,all,all,all,euclidean,20,False,30904,11,495
all,all,all,all,euclidean,20,False,30904,12,169
all,all,all,all,euclidean,20,False,30904,13,75
all,all,all,all,euclidean,20,False,30904,14,59
all,all,all,all,euclidean,20,False,30904,15,18
all,all,all,all,euclidean,20,False,30904,16,17
all,all,all,all,euclidean,20,False,30904,17,13
all,all,all,all,euclidean,20,False,30904,18,9
all,all,all,all,euclidean,20,False,30904,19,8
all,all,all,all,euclidean,20,False,30904,20,4
all,all,all,all,euclidean,20,False,30904,21,5
all,all,all,all,euclidean,20,False,30904,22,3
all,all,all,all,euclidean,20,False,30904,23,1
all,all,all,all,euclidean,20,False,30904,24,3
all,all,all,all,euclidean,20,False,30904,25,4
all,all,all,all,euclidean,20,False,30904,26,3
all,all,all,all,euclidean,20,False,30904,27,0
all,all,all,all,euclidean,20,False,30904,28,0
all,all,all,all,euclidean,20,False,30904,29,4
all,all,all,all,euclidean,20,False,30904,30,5
all,all,all,all,euclidean,20,False,30904,31,7
all,all,all,all,euclidean,20,False,30904,32,11
all,all,all,all,euclidean,20,False,30904,33,4
all,all,all,all,euclidean,20,False,30904,34,2
all,all,all,all,euclidean,20,False,30904,35,1
all,all,all,all,euclidean,20,False,30904,36,0
all,all,all,all,euclidean,20,False,30904,37,0
all,all,all,all,euclidean,20,False,30904,38,0
all,all,all,all,euclidean,20,False,30904,39,1
all,all,all,all,euclidean,20,False,30904,40,0
all,all,all,all,euclidean,20,False,30904,41,0
all,all,all,all,euclidean,20,False,30904,42,0
all,all,all,all,euclidean,20,False,30904,43,0
all,all,all,all,euclidean,20,False,30904,44,0
all,all,all,all,euclidean,20,False,30904,45,0
all,all,all,all,euclidean,20,False,30904,46,0
all,all,all,all,euclidean,20,False,30904,47,0
all,all,all,all,euclidean,20,False,30904,48,0
