level,cohort,suite,task,method,k,failure,episodes,scorable,p00,p10,p25,p50,p75,p90,p100
suite,all,libero_long,all,euclidean,5,True,541,541,0.5467955566366925,0.9196911472963267,1.1609130133114829,1.5199818215587109,2.0295559102123066,2.2816128189239877,3.101023482404222
suite,all,libero_long,all,euclidean,6,True,541,541,0.550726834996347,0.9153256257415385,1.1779193572348725,1.5505065388163517,2.09235287772932,2.3559922422091386,3.182052395614772
suite,all,libero_long,all,euclidean,7,True,541,541,0.5513305027697895,0.9100119880427452,1.1797876083149168,1.5856179726994615,2.1501059777615072,2.4160986136781064,3.2175095338293396
suite,all,libero_long,all,euclidean,8,True,541,541,0.551458557691463,0.90730933526431,1.17974433006923,1.5814670693080384,2.1829725545125456,2.454988037706649,3.2609066839813696
suite,all,libero_long,all,euclidean,9,True,541,541,0.5424778228296059,0.901594105269025,1.1640597116867768,1.5819186216415535,2.1818566146044254,2.4546533061675233,3.252615115427218
suite,all,libero_long,all,euclidean,10,True,541,541,0.5336394363753149,0.9036233748787541,1.1469073190180024,1.5850521982842798,2.1641133812152225,2.4430607087681073,3.241060198513647
suite,all,libero_long,all,euclidean,20,True,541,541,0.4551462540467882,0.84634537602556,1.0634589733118358,1.502496705731222,2.0407729592733417,2.2822523111084716,2.944597393813853
suite,all,libero_object,all,euclidean,1,False,7919,7919,0.2183961155356733,0.3403581401552821,0.39276883690872455,0.4776680422976288,0.6053414046498775,0.7235064052277803,2.9198779233271437
suite,all,libero_object,all,euclidean,2,False,7919,7919,0.2176013695703574,0.34608807719890927,0.3948415479542583,0.47513317878306,0.6072819113875818,0.7283534034662539,3.0824901019749325
suite,all,libero_object,all,euclidean,3,False,7919,7919,0.22248683527268837,0.35091594226233486,0.39754664021096686,0.47468133588121025,0.5973594226891699,0.7128330625910786,3.0104825333322376
suite,all,libero_object,all,euclidean,4,False,7919,7919,0.23123512663545234,0.3540027885525026,0.3989485952101734,0.4743428974433366,0.595894164145186,0.709574216925362,3.0139277584923843
suite,all,libero_object,all,euclidean,5,False,7919,7919,0.23726518631383953,0.35370398551158105,0.3985749062271463,0.47463798176101213,0.5946257914135429,0.7078446768419734,3.01614194944419
