episode_id,scene,noise_seed,routed_level_085_k2,routed_layer_median_085_k2,routed_all4_090_k2,routed_flat_0015_level_0925,routed_curvature_001_level_085,routed_rebound_level_090,mass_rebound_level_090
488,49,1008,7,7,9,8,8,9,9
489,49,1009,7,9,10,7,7,10,9
490,49,1010,7,8,10,7,7,9,9
491,49,1011,8,10,10,9,9,9,9
492,49,1012,9,10,10,6,10,10,8
493,49,1013,7,7,10,8,6,9,8
494,49,1014,7,7,10,8,7,8,8
495,49,1015,7,7,9,8,7,8,8
496,49,1016,7,7,10,8,7,8,8
497,49,1017,8,7,10,8,8,9,8
498,49,1018,7,7,9,7,9,9,8
499,49,1019,7,7,8,10,7,9,9
500,49,1020,7,7,9,7,7,9,8
501,49,1021,7,7,10,7,7,9,9
502,49,1022,7,7,10,8,8,9,8
503,49,1023,7,6,10,8,8,9,8
504,49,1024,8,8,10,10,9,9,9
505,49,1025,10,10,10,7,10,10,8
506,49,1026,10,10,10,7,10,9,7
507,49,1027,7,7,10,7,7,9,9
508,49,1028,9,9,10,7,10,10,9
509,49,1029,9,8,10,7,9,9,9
510,49,1030,7,7,8,8,7,9,9
511,49,1031,7,7,10,8,7,8,8
