corpus,event,lead,score,auc_event_high,auc_detection,events,control_episodes,pairs,matched_groups
grid50x8,loop,0,r2_route_acceleration,0.793743890518084,0.793743890518084,284,594,1023,200
grid50x8,loop,0,r2_flow_instability,0.7536656891495601,0.7536656891495601,284,594,1023,200
grid50x8,loop,0,r3_token_consensus,0.26881720430107525,0.7311827956989247,284,594,1023,200
grid50x8,loop,0,r3_effective_rank,0.7282502443792767,0.7282502443792767,284,594,1023,200
grid50x8,loop,0,r3_token_expert_mi,0.7341153470185728,0.7341153470185728,284,594,1023,200
grid50x8,loop,0,r3_occupancy_concentration,0.4389051808406647,0.5610948191593352,284,594,1023,200
grid50x8,loop,0,r3_support_union_fraction,0.5659824046920822,0.5659824046920822,284,594,1023,200
grid50x8,loop,0,r3_loop_graph_evidence,0.7526881720430108,0.7526881720430108,284,594,1023,200
grid50x8,loop,0,r3_static_authority_loss,0.3333333333333333,0.6666666666666667,284,594,1023,200
grid50x8,loop,0,r3_static_lockin,0.23460410557184752,0.7653958944281525,284,594,1023,200
grid50x8,loop,0,r4_healthy_energy,0.6060606060606061,0.6060606060606061,284,594,1023,200
grid50x8,static,-2,r1_commitment,0.43820224719101125,0.5617977528089888,100,146,267,70
grid50x8,static,-2,r1_entropy,0.5617977528089888,0.5617977528089888,100,146,267,70
grid50x8,static,-2,r1_margin,0.36704119850187267,0.6329588014981273,100,146,267,70
grid50x8,static,-2,r1_top4_mass,0.30337078651685395,0.696629213483146,100,146,267,70
grid50x8,static,-2,r2_late_volatility,0.2546816479400749,0.7453183520599251,100,146,267,70
grid50x8,static,-2,r2_route_acceleration,0.40074906367041196,0.599250936329588,100,146,267,70
grid50x8,static,-2,r2_flow_instability,0.299625468164794,0.7003745318352059,100,146,267,70
grid50x8,static,-2,r3_token_consensus,0.7677902621722846,0.7677902621722846,100,146,267,70
grid50x8,static,-2,r3_effective_rank,0.24344569288389514,0.7565543071161048,100,146,267,70
grid50x8,static,-2,r3_token_expert_mi,0.23220973782771537,0.7677902621722846,100,146,267,70
grid50x8,static,-2,r3_occupancy_concentration,0.5617977528089888,0.5617977528089888,100,146,267,70
grid50x8,static,-2,r3_support_union_fraction,0.48314606741573035,0.5168539325842696,100,146,267,70
grid50x8,static,-2,r3_loop_graph_evidence,0.25842696629213485,0.7415730337078652,100,146,267,70
grid50x8,static,-2,r3_static_authority_loss,0.6441947565543071,0.6441947565543071,100,146,267,70
grid50x8,static,-2,r3_static_lockin,0.9700374531835206,0.9700374531835206,100,146,267,70
grid50x8,static,-2,r4_healthy_energy,0.6816479400749064,0.6816479400749064,100,146,267,70
grid50x8,static,0,r1_commitment,0.3768844221105528,0.6231155778894473,92,106,199,65
grid50x8,static,0,r1_entropy,0.6231155778894473,0.6231155778894473,92,106,199,65
grid50x8,static,0,r1_margin,0.35175879396984927,0.6482412060301508,92,106,199,65
grid50x8,static,0,r1_top4_mass,0.2864321608040201,0.7135678391959799,92,106,199,65
grid50x8,static,0,r2_late_volatility,0.24623115577889448,0.7537688442211055,92,106,199,65
grid50x8,static,0,r2_route_acceleration,0.33668341708542715,0.6633165829145728,92,106,199,65
grid50x8,static,0,r2_flow_instability,0.2864321608040201,0.7135678391959799,92,106,199,65
grid50x8,static,0,r3_token_consensus,0.7688442211055276,0.7688442211055276,92,106,199,65
grid50x8,static,0,r3_effective_rank,0.2663316582914573,0.7336683417085428,92,106,199,65
grid50x8,static,0,r3_token_expert_mi,0.24623115577889448,0.7537688442211055,92,106,199,65
grid50x8,static,0,r3_occupancy_concentration,0.5201005025125628,0.5201005025125628,92,106,199,65
grid50x8,static,0,r3_support_union_fraction,0.5025125628140703,0.5025125628140703,92,106,199,65
grid50x8,static,0,r3_loop_graph_evidence,0.2864321608040201,0.7135678391959799,92,106,199,65
grid50x8,static,0,r3_static_authority_loss,0.6884422110552764,0.6884422110552764,92,106,199,65
grid50x8,static,0,r3_static_lockin,0.9120603015075377,0.9120603015075377,92,106,199,65
grid50x8,static,0,r4_healthy_energy,0.7236180904522613,0.7236180904522613,92,106,199,65
