timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.free [MiB], power.draw [W]
2026/08/29 06:26:28.662, 0 %, 0 %, 16045 MiB, 24400 MiB, 33.68 W
2026/08/29 06:26:33.663, 0 %, 0 %, 16045 MiB, 24400 MiB, 33.58 W
2026/08/29 06:26:38.663, 0 %, 0 %, 16045 MiB, 24400 MiB, 33.68 W
2026/08/29 06:26:43.664, 0 %, 0 %, 16045 MiB, 24400 MiB, 33.68 W
2026/08/29 06:26:48.665, 0 %, 0 %, 16045 MiB, 24400 MiB, 33.97 W
2026/08/29 06:26:53.665, 0 %, 0 %, 16045 MiB, 24400 MiB, 33.88 W
2026/08/29 06:26:58.666, 0 %, 0 %, 16045 MiB, 24400 MiB, 33.49 W
2026/08/29 06:27:03.666, 0 %, 0 %, 16045 MiB, 24400 MiB, 33.78 W
2026/08/29 06:27:08.666, 0 %, 0 %, 16045 MiB, 24400 MiB, 33.58 W
2026/08/29 06:27:13.667, 0 %, 0 %, 16045 MiB, 24400 MiB, 33.78 W
2026/08/29 06:27:18.667, 0 %, 0 %, 16045 MiB, 24400 MiB, 33.88 W
2026/08/29 06:27:23.668, 0 %, 0 %, 16045 MiB, 24400 MiB, 33.78 W
2026/08/29 06:27:28.668, 0 %, 0 %, 16045 MiB, 24400 MiB, 33.39 W
2026/08/29 06:27:33.669, 0 %, 0 %, 16045 MiB, 24400 MiB, 33.88 W
2026/08/29 06:27:38.669, 0 %, 0 %, 16045 MiB, 24400 MiB, 33.97 W
2026/08/29 06:27:43.669, 0 %, 0 %, 16045 MiB, 24400 MiB, 33.88 W
2026/08/29 06:27:48.670, 0 %, 0 %, 16045 MiB, 24400 MiB, 33.58 W
2026/08/29 06:27:53.670, 0 %, 0 %, 16045 MiB, 24400 MiB, 33.97 W
2026/08/29 06:27:58.671, 0 %, 0 %, 16045 MiB, 24400 MiB, 33.97 W
2026/08/29 06:28:03.671, 0 %, 0 %, 16045 MiB, 24400 MiB, 33.68 W
2026/08/29 06:28:08.672, 0 %, 0 %, 16045 MiB, 24400 MiB, 33.68 W
2026/08/29 06:28:13.672, 0 %, 0 %, 16045 MiB, 24400 MiB, 33.49 W
2026/08/29 06:28:18.672, 0 %, 0 %, 16045 MiB, 24400 MiB, 33.49 W
2026/08/29 06:28:23.673, 0 %, 0 %, 16045 MiB, 24400 MiB, 33.49 W
2026/08/29 06:28:28.673, 0 %, 0 %, 16045 MiB, 24400 MiB, 33.78 W
2026/08/29 06:28:33.674, 0 %, 0 %, 16045 MiB, 24400 MiB, 33.49 W
2026/08/29 06:28:38.674, 0 %, 0 %, 16045 MiB, 24400 MiB, 33.58 W
2026/08/29 06:28:43.675, 0 %, 0 %, 16045 MiB, 24400 MiB, 33.78 W
2026/08/29 06:28:48.675, 0 %, 0 %, 16045 MiB, 24400 MiB, 33.88 W
2026/08/29 06:28:53.675, 0 %, 0 %, 16045 MiB, 24400 MiB, 33.78 W
2026/08/29 06:28:58.676, 0 %, 0 %, 16045 MiB, 24400 MiB, 33.88 W
2026/08/29 06:29:03.676, 0 %, 0 %, 16045 MiB, 24400 MiB, 33.88 W
2026/08/29 06:29:08.751, 0 %, 0 %, 16045 MiB, 24400 MiB, 33.49 W
2026/08/29 06:29:13.751, 0 %, 0 %, 16045 MiB, 24400 MiB, 33.49 W
2026/08/29 06:29:18.752, 0 %, 0 %, 16045 MiB, 24400 MiB, 33.88 W
2026/08/29 06:29:23.752, 0 %, 0 %, 16045 MiB, 24400 MiB, 33.49 W
2026/08/29 06:29:28.752, 0 %, 0 %, 16045 MiB, 24400 MiB, 33.78 W
2026/08/29 06:29:33.753, 0 %, 0 %, 16045 MiB, 24400 MiB, 33.78 W
2026/08/29 06:29:38.753, 0 %, 0 %, 16045 MiB, 24400 MiB, 33.58 W
2026/08/29 06:29:43.754, 0 %, 0 %, 16045 MiB, 24400 MiB, 33.68 W
2026/08/29 06:29:48.754, 0 %, 0 %, 16045 MiB, 24400 MiB, 33.49 W
2026/08/29 06:29:53.755, 0 %, 0 %, 16045 MiB, 24400 MiB, 33.49 W
2026/08/29 06:29:58.755, 0 %, 0 %, 16045 MiB, 24400 MiB, 33.58 W
2026/08/29 06:30:03.755, 0 %, 0 %, 16045 MiB, 24400 MiB, 33.78 W
2026/08/29 06:30:08.756, 0 %, 0 %, 16045 MiB, 24400 MiB, 33.78 W
2026/08/29 06:30:13.756, 0 %, 0 %, 16045 MiB, 24400 MiB, 33.78 W
2026/08/29 06:30:18.757, 0 %, 0 %, 16045 MiB, 24400 MiB, 33.39 W
2026/08/29 06:30:23.757, 0 %, 0 %, 16045 MiB, 24400 MiB, 33.39 W
2026/08/29 06:30:28.757, 0 %, 0 %, 16045 MiB, 24400 MiB, 33.39 W
2026/08/29 06:30:33.758, 0 %, 0 %, 16045 MiB, 24400 MiB, 33.39 W
2026/08/29 06:30:38.758, 0 %, 0 %, 16045 MiB, 24400 MiB, 33.68 W
2026/08/29 06:30:43.759, 0 %, 0 %, 16045 MiB, 24400 MiB, 33.78 W
2026/08/29 06:30:48.759, 0 %, 0 %, 16045 MiB, 24400 MiB, 33.68 W
2026/08/29 06:30:53.760, 0 %, 0 %, 16045 MiB, 24400 MiB, 33.68 W
2026/08/29 06:30:58.760, 0 %, 0 %, 16045 MiB, 24400 MiB, 33.49 W
2026/08/29 06:31:03.761, 0 %, 0 %, 16045 MiB, 24400 MiB, 33.49 W
2026/08/29 06:31:08.761, 0 %, 0 %, 16045 MiB, 24400 MiB, 33.78 W
2026/08/29 06:31:13.761, 0 %, 0 %, 16045 MiB, 24400 MiB, 33.88 W
2026/08/29 06:31:18.762, 0 %, 0 %, 16045 MiB, 24400 MiB, 33.49 W
2026/08/29 06:31:23.762, 0 %, 0 %, 16045 MiB, 24400 MiB, 33.49 W
2026/08/29 06:31:28.763, 0 %, 0 %, 16045 MiB, 24400 MiB, 33.39 W
2026/08/29 06:31:33.763, 0 %, 0 %, 16045 MiB, 24400 MiB, 33.49 W
2026/08/29 06:31:38.764, 0 %, 0 %, 16045 MiB, 24400 MiB, 33.49 W
2026/08/29 06:31:43.764, 0 %, 0 %, 16045 MiB, 24400 MiB, 33.68 W
2026/08/29 06:31:48.764, 0 %, 0 %, 16045 MiB, 24400 MiB, 33.68 W
2026/08/29 06:31:53.765, 0 %, 0 %, 16045 MiB, 24400 MiB, 33.58 W
2026/08/29 06:31:58.765, 0 %, 0 %, 16045 MiB, 24400 MiB, 33.49 W
2026/08/29 06:32:03.766, 0 %, 0 %, 16045 MiB, 24400 MiB, 33.49 W
2026/08/29 06:32:08.766, 0 %, 0 %, 16045 MiB, 24400 MiB, 33.49 W
2026/08/29 06:32:13.766, 0 %, 0 %, 16045 MiB, 24400 MiB, 33.78 W
2026/08/29 06:32:18.767, 0 %, 0 %, 16045 MiB, 24400 MiB, 33.58 W
2026/08/29 06:32:23.767, 0 %, 0 %, 16045 MiB, 24400 MiB, 33.78 W
2026/08/29 06:32:28.768, 0 %, 0 %, 16045 MiB, 24400 MiB, 33.49 W
2026/08/29 06:32:33.768, 0 %, 0 %, 16045 MiB, 24400 MiB, 33.68 W
2026/08/29 06:32:38.768, 0 %, 0 %, 16045 MiB, 24400 MiB, 33.39 W
2026/08/29 06:32:43.769, 0 %, 0 %, 16045 MiB, 24400 MiB, 33.68 W
2026/08/29 06:32:48.769, 0 %, 0 %, 16045 MiB, 24400 MiB, 33.39 W
2026/08/29 06:32:53.770, 0 %, 0 %, 16045 MiB, 24400 MiB, 33.78 W
2026/08/29 06:32:58.770, 0 %, 0 %, 16045 MiB, 24400 MiB, 33.39 W
2026/08/29 06:33:03.771, 0 %, 0 %, 16045 MiB, 24400 MiB, 33.39 W
2026/08/29 06:33:08.771, 0 %, 0 %, 16045 MiB, 24400 MiB, 33.39 W
2026/08/29 06:33:13.771, 0 %, 0 %, 16045 MiB, 24400 MiB, 33.58 W
2026/08/29 06:33:18.772, 0 %, 0 %, 16045 MiB, 24400 MiB, 33.49 W
2026/08/29 06:33:23.772, 0 %, 0 %, 16045 MiB, 24400 MiB, 33.49 W
2026/08/29 06:33:28.773, 0 %, 0 %, 16045 MiB, 24400 MiB, 33.58 W
2026/08/29 06:33:33.773, 0 %, 0 %, 16045 MiB, 24400 MiB, 33.88 W
2026/08/29 06:33:38.774, 0 %, 0 %, 16045 MiB, 24400 MiB, 33.58 W
2026/08/29 06:33:43.774, 0 %, 0 %, 16045 MiB, 24400 MiB, 33.39 W
2026/08/29 06:33:48.775, 0 %, 0 %, 16045 MiB, 24400 MiB, 33.68 W
2026/08/29 06:33:53.775, 0 %, 0 %, 16045 MiB, 24400 MiB, 33.78 W
2026/08/29 06:33:58.775, 0 %, 0 %, 16045 MiB, 24400 MiB, 33.39 W
2026/08/29 06:34:03.851, 0 %, 0 %, 16045 MiB, 24400 MiB, 33.68 W
2026/08/29 06:34:08.951, 0 %, 0 %, 16045 MiB, 24400 MiB, 33.49 W
2026/08/29 06:34:13.952, 0 %, 0 %, 16045 MiB, 24400 MiB, 33.78 W
2026/08/29 06:34:18.952, 0 %, 0 %, 16045 MiB, 24400 MiB, 33.49 W
2026/08/29 06:34:23.952, 0 %, 0 %, 16045 MiB, 24400 MiB, 33.78 W
2026/08/29 06:34:28.953, 0 %, 0 %, 16045 MiB, 24400 MiB, 33.68 W
2026/08/29 06:34:33.953, 0 %, 0 %, 16045 MiB, 24400 MiB, 33.88 W
2026/08/29 06:34:38.954, 0 %, 0 %, 16045 MiB, 24400 MiB, 33.78 W
2026/08/29 06:34:43.954, 0 %, 0 %, 16045 MiB, 24400 MiB, 33.78 W
2026/08/29 06:34:48.954, 0 %, 0 %, 16045 MiB, 24400 MiB, 33.68 W
2026/08/29 06:34:53.955, 0 %, 0 %, 16045 MiB, 24400 MiB, 33.39 W
2026/08/29 06:34:58.955, 0 %, 0 %, 22561 MiB, 17884 MiB, 44.33 W
2026/08/29 06:35:03.956, 62 %, 12 %, 22561 MiB, 17884 MiB, 47.00 W
2026/08/29 06:35:08.956, 0 %, 0 %, 22581 MiB, 17864 MiB, 33.97 W
2026/08/29 06:35:13.957, 0 %, 0 %, 22581 MiB, 17864 MiB, 36.65 W
2026/08/29 06:35:18.957, 37 %, 2 %, 22581 MiB, 17864 MiB, 40.21 W
2026/08/29 06:35:23.957, 0 %, 0 %, 22601 MiB, 17844 MiB, 33.68 W
2026/08/29 06:35:28.958, 0 %, 0 %, 22601 MiB, 17844 MiB, 41.28 W
2026/08/29 06:35:33.958, 28 %, 2 %, 22601 MiB, 17844 MiB, 39.49 W
2026/08/29 06:35:38.959, 14 %, 2 %, 22601 MiB, 17844 MiB, 58.25 W
2026/08/29 06:35:43.959, 0 %, 0 %, 22601 MiB, 17844 MiB, 33.68 W
2026/08/29 06:35:48.959, 0 %, 0 %, 22601 MiB, 17844 MiB, 35.87 W
2026/08/29 06:35:53.960, 37 %, 2 %, 22601 MiB, 17844 MiB, 40.58 W
2026/08/29 06:35:58.960, 0 %, 0 %, 22621 MiB, 17824 MiB, 33.88 W
2026/08/29 06:36:03.961, 0 %, 0 %, 22621 MiB, 17824 MiB, 41.29 W
2026/08/29 06:36:08.961, 37 %, 2 %, 22621 MiB, 17824 MiB, 40.21 W
2026/08/29 06:36:13.961, 0 %, 0 %, 22621 MiB, 17824 MiB, 33.88 W
2026/08/29 06:36:18.962, 29 %, 2 %, 22621 MiB, 17824 MiB, 52.43 W
2026/08/29 06:36:23.962, 33 %, 2 %, 22621 MiB, 17824 MiB, 42.07 W
2026/08/29 06:36:28.963, 0 %, 0 %, 22621 MiB, 17824 MiB, 34.47 W
2026/08/29 06:36:33.963, 27 %, 2 %, 22621 MiB, 17824 MiB, 54.50 W
2026/08/29 06:36:38.964, 0 %, 0 %, 22621 MiB, 17824 MiB, 52.12 W
2026/08/29 06:36:43.964, 27 %, 2 %, 22621 MiB, 17824 MiB, 57.35 W
2026/08/29 06:36:48.964, 26 %, 2 %, 22621 MiB, 17824 MiB, 52.72 W
2026/08/29 06:36:53.965, 0 %, 0 %, 22621 MiB, 17824 MiB, 138.53 W
2026/08/29 06:36:58.965, 54 %, 14 %, 22621 MiB, 17824 MiB, 40.99 W
2026/08/29 06:37:03.966, 0 %, 0 %, 22621 MiB, 17824 MiB, 42.15 W
2026/08/29 06:37:08.966, 27 %, 2 %, 22641 MiB, 17804 MiB, 61.09 W
2026/08/29 06:37:13.967, 40 %, 3 %, 22641 MiB, 17804 MiB, 40.68 W
2026/08/29 06:37:18.967, 0 %, 0 %, 22641 MiB, 17804 MiB, 52.33 W
2026/08/29 06:37:23.967, 27 %, 2 %, 22641 MiB, 17804 MiB, 55.69 W
2026/08/29 06:37:28.968, 0 %, 0 %, 22641 MiB, 17804 MiB, 34.17 W
2026/08/29 06:37:33.968, 28 %, 2 %, 22641 MiB, 17804 MiB, 54.21 W
2026/08/29 06:37:38.969, 30 %, 2 %, 22641 MiB, 17804 MiB, 42.37 W
2026/08/29 06:37:43.969, 0 %, 0 %, 22641 MiB, 17804 MiB, 47.50 W
2026/08/29 06:37:48.970, 31 %, 2 %, 22641 MiB, 17804 MiB, 40.69 W
2026/08/29 06:37:53.970, 5 %, 0 %, 22641 MiB, 17804 MiB, 52.72 W
2026/08/29 06:37:58.970, 31 %, 13 %, 22641 MiB, 17804 MiB, 43.64 W
2026/08/29 06:38:03.971, 0 %, 0 %, 22641 MiB, 17804 MiB, 38.34 W
2026/08/29 06:38:08.971, 45 %, 14 %, 22641 MiB, 17804 MiB, 60.90 W
2026/08/29 06:38:13.972, 32 %, 2 %, 22641 MiB, 17804 MiB, 43.36 W
2026/08/29 06:38:18.972, 0 %, 0 %, 22641 MiB, 17804 MiB, 51.04 W
2026/08/29 06:38:23.973, 30 %, 2 %, 22641 MiB, 17804 MiB, 41.96 W
2026/08/29 06:38:28.973, 38 %, 2 %, 22641 MiB, 17804 MiB, 35.86 W
2026/08/29 06:38:33.973, 0 %, 0 %, 22641 MiB, 17804 MiB, 48.98 W
2026/08/29 06:38:38.974, 20 %, 1 %, 22641 MiB, 17804 MiB, 37.53 W
2026/08/29 06:38:43.974, 23 %, 8 %, 22641 MiB, 17804 MiB, 142.82 W
2026/08/29 06:38:48.975, 64 %, 13 %, 22641 MiB, 17804 MiB, 44.54 W
2026/08/29 06:38:53.975, 27 %, 2 %, 22641 MiB, 17804 MiB, 56.28 W
2026/08/29 06:38:58.976, 68 %, 15 %, 22641 MiB, 17804 MiB, 53.03 W
2026/08/29 06:39:03.976, 0 %, 0 %, 22641 MiB, 17804 MiB, 52.92 W
2026/08/29 06:39:09.051, 26 %, 2 %, 22641 MiB, 17804 MiB, 61.09 W
2026/08/29 06:39:14.051, 34 %, 2 %, 22641 MiB, 17804 MiB, 40.88 W
2026/08/29 06:39:19.052, 0 %, 0 %, 22641 MiB, 17804 MiB, 33.88 W
2026/08/29 06:39:24.052, 26 %, 2 %, 22641 MiB, 17804 MiB, 53.42 W
2026/08/29 06:39:29.052, 0 %, 0 %, 22641 MiB, 17804 MiB, 35.36 W
2026/08/29 06:39:34.053, 66 %, 14 %, 22641 MiB, 17804 MiB, 44.63 W
2026/08/29 06:39:39.053, 17 %, 1 %, 22641 MiB, 17804 MiB, 37.53 W
2026/08/29 06:39:44.054, 37 %, 15 %, 22641 MiB, 17804 MiB, 60.80 W
2026/08/29 06:39:49.054, 33 %, 3 %, 22641 MiB, 17804 MiB, 43.75 W
2026/08/29 06:39:54.055, 0 %, 0 %, 22641 MiB, 17804 MiB, 51.64 W
2026/08/29 06:39:59.055, 28 %, 2 %, 22641 MiB, 17804 MiB, 52.72 W
2026/08/29 06:40:04.055, 30 %, 2 %, 22641 MiB, 17804 MiB, 51.72 W
2026/08/29 06:40:09.056, 0 %, 0 %, 22641 MiB, 17804 MiB, 39.12 W
2026/08/29 06:40:14.056, 4 %, 0 %, 22641 MiB, 17804 MiB, 51.84 W
2026/08/29 06:40:19.057, 30 %, 2 %, 22641 MiB, 17804 MiB, 45.14 W
2026/08/29 06:40:24.057, 0 %, 0 %, 22641 MiB, 17804 MiB, 57.76 W
2026/08/29 06:40:29.058, 0 %, 0 %, 22641 MiB, 17804 MiB, 52.33 W
2026/08/29 06:40:34.058, 39 %, 7 %, 22641 MiB, 17804 MiB, 46.61 W
2026/08/29 06:40:39.058, 52 %, 6 %, 22641 MiB, 17804 MiB, 40.90 W
2026/08/29 06:40:44.059, 0 %, 0 %, 22641 MiB, 17804 MiB, 52.53 W
2026/08/29 06:40:49.059, 27 %, 2 %, 22641 MiB, 17804 MiB, 51.85 W
2026/08/29 06:40:54.060, 37 %, 2 %, 22641 MiB, 17804 MiB, 40.99 W
2026/08/29 06:40:59.060, 0 %, 0 %, 22641 MiB, 17804 MiB, 52.63 W
2026/08/29 06:41:04.061, 27 %, 2 %, 22641 MiB, 17804 MiB, 51.44 W
2026/08/29 06:41:09.061, 11 %, 1 %, 22641 MiB, 17804 MiB, 153.32 W
2026/08/29 06:41:14.061, 39 %, 15 %, 22641 MiB, 17804 MiB, 54.90 W
2026/08/29 06:41:19.062, 0 %, 0 %, 22641 MiB, 17804 MiB, 39.12 W
2026/08/29 06:41:24.062, 41 %, 11 %, 22641 MiB, 17804 MiB, 52.04 W
2026/08/29 06:41:29.063, 47 %, 14 %, 22641 MiB, 17804 MiB, 53.82 W
2026/08/29 06:41:34.063, 33 %, 9 %, 22641 MiB, 17804 MiB, 55.00 W
2026/08/29 06:41:39.064, 0 %, 0 %, 22641 MiB, 17804 MiB, 42.26 W
2026/08/29 06:41:44.064, 32 %, 2 %, 22641 MiB, 17804 MiB, 50.56 W
2026/08/29 06:41:49.065, 0 %, 0 %, 22641 MiB, 17804 MiB, 35.46 W
2026/08/29 06:41:54.065, 0 %, 0 %, 22641 MiB, 17804 MiB, 52.63 W
2026/08/29 06:41:59.065, 47 %, 11 %, 22641 MiB, 17804 MiB, 48.79 W
2026/08/29 06:42:04.066, 46 %, 15 %, 22641 MiB, 17804 MiB, 60.81 W
2026/08/29 06:42:09.066, 3 %, 1 %, 22641 MiB, 17804 MiB, 34.57 W
2026/08/29 06:42:14.067, 0 %, 0 %, 22641 MiB, 17804 MiB, 49.09 W
2026/08/29 06:42:19.067, 48 %, 7 %, 22641 MiB, 17804 MiB, 43.85 W
2026/08/29 06:42:24.067, 22 %, 5 %, 22641 MiB, 17804 MiB, 39.73 W
2026/08/29 06:42:29.068, 0 %, 0 %, 22641 MiB, 17804 MiB, 35.77 W
2026/08/29 06:42:34.068, 41 %, 9 %, 22641 MiB, 17804 MiB, 45.53 W
2026/08/29 06:42:39.069, 58 %, 9 %, 22641 MiB, 17804 MiB, 43.15 W
2026/08/29 06:42:44.069, 0 %, 0 %, 22641 MiB, 17804 MiB, 48.78 W
2026/08/29 06:42:49.070, 27 %, 2 %, 22641 MiB, 17804 MiB, 60.51 W
2026/08/29 06:42:54.070, 28 %, 2 %, 22641 MiB, 17804 MiB, 53.32 W
2026/08/29 06:42:59.070, 0 %, 0 %, 22641 MiB, 17804 MiB, 52.43 W
2026/08/29 06:43:04.071, 26 %, 2 %, 22641 MiB, 17804 MiB, 52.53 W
2026/08/29 06:43:09.071, 30 %, 2 %, 22641 MiB, 17804 MiB, 47.20 W
2026/08/29 06:43:14.072, 0 %, 0 %, 22641 MiB, 17804 MiB, 34.38 W
2026/08/29 06:43:19.072, 0 %, 0 %, 22641 MiB, 17804 MiB, 49.07 W
2026/08/29 06:43:24.073, 53 %, 15 %, 22641 MiB, 17804 MiB, 60.51 W
2026/08/29 06:43:29.073, 62 %, 12 %, 22641 MiB, 17804 MiB, 47.60 W
2026/08/29 06:43:34.073, 0 %, 0 %, 22641 MiB, 17804 MiB, 51.74 W
2026/08/29 06:43:39.074, 44 %, 15 %, 22641 MiB, 17804 MiB, 61.10 W
2026/08/29 06:43:44.074, 38 %, 2 %, 22641 MiB, 17804 MiB, 35.36 W
2026/08/29 06:43:49.075, 0 %, 0 %, 22641 MiB, 17804 MiB, 65.62 W
2026/08/29 06:43:54.075, 37 %, 2 %, 22641 MiB, 17804 MiB, 41.10 W
2026/08/29 06:43:59.076, 0 %, 0 %, 22641 MiB, 17804 MiB, 52.53 W
2026/08/29 06:44:04.151, 16 %, 1 %, 22641 MiB, 17804 MiB, 45.53 W
2026/08/29 06:44:09.152, 34 %, 3 %, 22641 MiB, 17804 MiB, 45.53 W
2026/08/29 06:44:14.152, 0 %, 0 %, 22641 MiB, 17804 MiB, 34.38 W
2026/08/29 06:44:19.153, 0 %, 0 %, 22641 MiB, 17804 MiB, 40.40 W
2026/08/29 06:44:24.153, 32 %, 2 %, 22641 MiB, 17804 MiB, 152.25 W
2026/08/29 06:44:29.154, 0 %, 0 %, 22641 MiB, 17804 MiB, 63.20 W
2026/08/29 06:44:34.154, 0 %, 0 %, 22641 MiB, 17804 MiB, 45.14 W
2026/08/29 06:44:39.155, 33 %, 4 %, 22641 MiB, 17804 MiB, 47.71 W
2026/08/29 06:44:44.155, 65 %, 14 %, 22641 MiB, 17804 MiB, 49.97 W
2026/08/29 06:44:49.155, 0 %, 0 %, 22641 MiB, 17804 MiB, 35.07 W
2026/08/29 06:44:54.156, 34 %, 2 %, 22641 MiB, 17804 MiB, 42.37 W
2026/08/29 06:44:59.156, 26 %, 2 %, 22641 MiB, 17804 MiB, 61.20 W
2026/08/29 06:45:04.157, 0 %, 0 %, 22641 MiB, 17804 MiB, 37.55 W
2026/08/29 06:45:09.157, 29 %, 2 %, 22641 MiB, 17804 MiB, 49.47 W
2026/08/29 06:45:14.158, 6 %, 0 %, 22641 MiB, 17804 MiB, 59.71 W
2026/08/29 06:45:19.158, 64 %, 14 %, 22641 MiB, 17804 MiB, 48.78 W
2026/08/29 06:45:24.159, 6 %, 0 %, 22641 MiB, 17804 MiB, 47.21 W
2026/08/29 06:45:29.159, 33 %, 13 %, 22641 MiB, 17804 MiB, 46.40 W
2026/08/29 06:45:34.159, 26 %, 2 %, 22641 MiB, 17804 MiB, 52.82 W
2026/08/29 06:45:39.160, 37 %, 13 %, 22641 MiB, 17804 MiB, 43.07 W
2026/08/29 06:45:44.160, 27 %, 2 %, 22641 MiB, 17804 MiB, 54.61 W
2026/08/29 06:45:49.161, 0 %, 0 %, 22641 MiB, 17804 MiB, 53.12 W
2026/08/29 06:45:54.161, 28 %, 2 %, 22641 MiB, 17804 MiB, 54.40 W
2026/08/29 06:45:59.162, 34 %, 2 %, 22641 MiB, 17804 MiB, 41.49 W
2026/08/29 06:46:04.162, 0 %, 0 %, 22641 MiB, 17804 MiB, 34.28 W
2026/08/29 06:46:09.162, 14 %, 1 %, 22641 MiB, 17804 MiB, 39.02 W
2026/08/29 06:46:14.163, 37 %, 15 %, 22641 MiB, 17804 MiB, 61.51 W
2026/08/29 06:46:19.163, 25 %, 2 %, 22641 MiB, 17804 MiB, 60.80 W
2026/08/29 06:46:24.164, 0 %, 0 %, 22641 MiB, 17804 MiB, 52.53 W
2026/08/29 06:46:29.164, 26 %, 2 %, 22641 MiB, 17804 MiB, 61.10 W
2026/08/29 06:46:34.165, 13 %, 1 %, 22641 MiB, 17804 MiB, 38.92 W
2026/08/29 06:46:39.165, 51 %, 11 %, 22641 MiB, 17804 MiB, 47.21 W
2026/08/29 06:46:44.165, 26 %, 2 %, 22641 MiB, 17804 MiB, 61.01 W
2026/08/29 06:46:49.166, 0 %, 0 %, 22641 MiB, 17804 MiB, 34.47 W
2026/08/29 06:46:54.166, 15 %, 1 %, 22641 MiB, 17804 MiB, 52.93 W
2026/08/29 06:46:59.167, 50 %, 10 %, 22641 MiB, 17804 MiB, 50.17 W
