task,head,quantile,threshold,reference_episodes,calibration_statistic,outcomes_used
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,lock,0.95,-0.022478059,400,trajectory_max_persistent_score,False
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,lock,0.96,-0.021918938,400,trajectory_max_persistent_score,False
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,lock,0.975,-0.020178378,400,trajectory_max_persistent_score,False
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,lock,0.98,-0.01925148,400,trajectory_max_persistent_score,False
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,lock,0.99,-0.016580775,400,trajectory_max_persistent_score,False
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,lock,0.995,-0.015398577,400,trajectory_max_persistent_score,False
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,lock,1.0,-0.015082099,400,trajectory_max_persistent_score,False
libero_goal/push_the_plate_to_the_front_of_the_stove,lock,0.5,-0.026564673,400,trajectory_max_persistent_score,False
libero_goal/push_the_plate_to_the_front_of_the_stove,lock,0.6,-0.026287457,400,trajectory_max_persistent_score,False
libero_goal/push_the_plate_to_the_front_of_the_stove,lock,0.7,-0.025670901,400,trajectory_max_persistent_score,False
libero_goal/push_the_plate_to_the_front_of_the_stove,lock,0.75,-0.025402594,400,trajectory_max_persistent_score,False
libero_goal/push_the_plate_to_the_front_of_the_stove,lock,0.8,-0.02520005,400,trajectory_max_persistent_score,False
libero_goal/push_the_plate_to_the_front_of_the_stove,lock,0.85,-0.02504291,400,trajectory_max_persistent_score,False
libero_goal/push_the_plate_to_the_front_of_the_stove,lock,0.9,-0.024694093,400,trajectory_max_persistent_score,False
libero_goal/push_the_plate_to_the_front_of_the_stove,lock,0.925,-0.024571236,400,trajectory_max_persistent_score,False
libero_goal/push_the_plate_to_the_front_of_the_stove,lock,0.95,-0.024213403,400,trajectory_max_persistent_score,False
libero_goal/push_the_plate_to_the_front_of_the_stove,lock,0.96,-0.024026789,400,trajectory_max_persistent_score,False
libero_goal/push_the_plate_to_the_front_of_the_stove,lock,0.975,-0.023810878,400,trajectory_max_persistent_score,False
libero_goal/push_the_plate_to_the_front_of_the_stove,lock,0.98,-0.023375753,400,trajectory_max_persistent_score,False
libero_goal/push_the_plate_to_the_front_of_the_stove,lock,0.99,-0.022961333,400,trajectory_max_persistent_score,False
libero_goal/push_the_plate_to_the_front_of_the_stove,lock,0.995,-0.021185495,400,trajectory_max_persistent_score,False
libero_goal/push_the_plate_to_the_front_of_the_stove,lock,1.0,-0.017681256,400,trajectory_max_persistent_score,False
libero_goal/put_the_bowl_on_the_plate,lock,0.5,-0.048881784,400,trajectory_max_persistent_score,False
libero_goal/put_the_bowl_on_the_plate,lock,0.6,-0.048508074,400,trajectory_max_persistent_score,False
libero_goal/put_the_bowl_on_the_plate,lock,0.7,-0.048075438,400,trajectory_max_persistent_score,False
libero_goal/put_the_bowl_on_the_plate,lock,0.75,-0.047787767,400,trajectory_max_persistent_score,False
libero_goal/put_the_bowl_on_the_plate,lock,0.8,-0.047453266,400,trajectory_max_persistent_score,False
libero_goal/put_the_bowl_on_the_plate,lock,0.85,-0.047219552,400,trajectory_max_persistent_score,False
libero_goal/put_the_bowl_on_the_plate,lock,0.9,-0.046887025,400,trajectory_max_persistent_score,False
libero_goal/put_the_bowl_on_the_plate,lock,0.925,-0.04672497,400,trajectory_max_persistent_score,False
libero_goal/put_the_bowl_on_the_plate,lock,0.95,-0.0465477,400,trajectory_max_persistent_score,False
libero_goal/put_the_bowl_on_the_plate,lock,0.96,-0.046117704,400,trajectory_max_persistent_score,False
libero_goal/put_the_bowl_on_the_plate,lock,0.975,-0.044026345,400,trajectory_max_persistent_score,False
libero_goal/put_the_bowl_on_the_plate,lock,0.98,-0.042734027,400,trajectory_max_persistent_score,False
libero_goal/put_the_bowl_on_the_plate,lock,0.99,-0.03933145,400,trajectory_max_persistent_score,False
libero_goal/put_the_bowl_on_the_plate,lock,0.995,-0.031821787,400,trajectory_max_persistent_score,False
libero_goal/put_the_bowl_on_the_plate,lock,1.0,-0.027184442,400,trajectory_max_persistent_score,False
libero_goal/put_the_bowl_on_the_stove,lock,0.5,-0.04439135,400,trajectory_max_persistent_score,False
libero_goal/put_the_bowl_on_the_stove,lock,0.6,-0.044013865,400,trajectory_max_persistent_score,False
libero_goal/put_the_bowl_on_the_stove,lock,0.7,-0.043610238,400,trajectory_max_persistent_score,False
libero_goal/put_the_bowl_on_the_stove,lock,0.75,-0.043432362,400,trajectory_max_persistent_score,False
libero_goal/put_the_bowl_on_the_stove,lock,0.8,-0.043177478,400,trajectory_max_persistent_score,False
libero_goal/put_the_bowl_on_the_stove,lock,0.85,-0.04290211,400,trajectory_max_persistent_score,False
libero_goal/put_the_bowl_on_the_stove,lock,0.9,-0.042504244,400,trajectory_max_persistent_score,False
libero_goal/put_the_bowl_on_the_stove,lock,0.925,-0.042298567,400,trajectory_max_persistent_score,False
libero_goal/put_the_bowl_on_the_stove,lock,0.95,-0.04212985,400,trajectory_max_persistent_score,False
libero_goal/put_the_bowl_on_the_stove,lock,0.96,-0.042060275,400,trajectory_max_persistent_score,False
libero_goal/put_the_bowl_on_the_stove,lock,0.975,-0.04169286,400,trajectory_max_persistent_score,False
libero_goal/put_the_bowl_on_the_stove,lock,0.98,-0.04151749,400,trajectory_max_persistent_score,False
libero_goal/put_the_bowl_on_the_stove,lock,0.99,-0.038416326,400,trajectory_max_persistent_score,False
libero_goal/put_the_bowl_on_the_stove,lock,0.995,-0.031669393,400,trajectory_max_persistent_score,False
libero_goal/put_the_bowl_on_the_stove,lock,1.0,-0.029075995,400,trajectory_max_persistent_score,False
libero_goal/put_the_bowl_on_top_of_the_cabinet,lock,0.5,-0.04382,400,trajectory_max_persistent_score,False
libero_goal/put_the_bowl_on_top_of_the_cabinet,lock,0.6,-0.04347781,400,trajectory_max_persistent_score,False
libero_goal/put_the_bowl_on_top_of_the_cabinet,lock,0.7,-0.043073606,400,trajectory_max_persistent_score,False
libero_goal/put_the_bowl_on_top_of_the_cabinet,lock,0.75,-0.04284188,400,trajectory_max_persistent_score,False
libero_goal/put_the_bowl_on_top_of_the_cabinet,lock,0.8,-0.04261046,400,trajectory_max_persistent_score,False
libero_goal/put_the_bowl_on_top_of_the_cabinet,lock,0.85,-0.04240904,400,trajectory_max_persistent_score,False
libero_goal/put_the_bowl_on_top_of_the_cabinet,lock,0.9,-0.042032387,400,trajectory_max_persistent_score,False
libero_goal/put_the_bowl_on_top_of_the_cabinet,lock,0.925,-0.04185235,400,trajectory_max_persistent_score,False
libero_goal/put_the_bowl_on_top_of_the_cabinet,lock,0.95,-0.04153396,400,trajectory_max_persistent_score,False
libero_goal/put_the_bowl_on_top_of_the_cabinet,lock,0.96,-0.041169073,400,trajectory_max_persistent_score,False
libero_goal/put_the_bowl_on_top_of_the_cabinet,lock,0.975,-0.016965866,400,trajectory_max_persistent_score,False
libero_goal/put_the_bowl_on_top_of_the_cabinet,lock,0.98,-0.016837895,400,trajectory_max_persistent_score,False
libero_goal/put_the_bowl_on_top_of_the_cabinet,lock,0.99,-0.01663731,400,trajectory_max_persistent_score,False
libero_goal/put_the_bowl_on_top_of_the_cabinet,lock,0.995,-0.016199693,400,trajectory_max_persistent_score,False
libero_goal/put_the_bowl_on_top_of_the_cabinet,lock,1.0,-0.015169859,400,trajectory_max_persistent_score,False
libero_goal/put_the_cream_cheese_in_the_bowl,lock,0.5,-0.0482599,400,trajectory_max_persistent_score,False
libero_goal/put_the_cream_cheese_in_the_bowl,lock,0.6,-0.04774309,400,trajectory_max_persistent_score,False
libero_goal/put_the_cream_cheese_in_the_bowl,lock,0.7,-0.047357656,400,trajectory_max_persistent_score,False
libero_goal/put_the_cream_cheese_in_the_bowl,lock,0.75,-0.047119625,400,trajectory_max_persistent_score,False
libero_goal/put_the_cream_cheese_in_the_bowl,lock,0.8,-0.046824694,400,trajectory_max_persistent_score,False
libero_goal/put_the_cream_cheese_in_the_bowl,lock,0.85,-0.04643575,400,trajectory_max_persistent_score,False
libero_goal/put_the_cream_cheese_in_the_bowl,lock,0.9,-0.046126626,400,trajectory_max_persistent_score,False
libero_goal/put_the_cream_cheese_in_the_bowl,lock,0.925,-0.04588173,400,trajectory_max_persistent_score,False
libero_goal/put_the_cream_cheese_in_the_bowl,lock,0.95,-0.0454998,400,trajectory_max_persistent_score,False
libero_goal/put_the_cream_cheese_in_the_bowl,lock,0.96,-0.04513113,400,trajectory_max_persistent_score,False
libero_goal/put_the_cream_cheese_in_the_bowl,lock,0.975,-0.044788565,400,trajectory_max_persistent_score,False
libero_goal/put_the_cream_cheese_in_the_bowl,lock,0.98,-0.0446644,400,trajectory_max_persistent_score,False
libero_goal/put_the_cream_cheese_in_the_bowl,lock,0.99,-0.03917736,400,trajectory_max_persistent_score,False
libero_goal/put_the_cream_cheese_in_the_bowl,lock,0.995,-0.035306722,400,trajectory_max_persistent_score,False
libero_goal/put_the_cream_cheese_in_the_bowl,lock,1.0,-0.02205617,400,trajectory_max_persistent_score,False
libero_goal/put_the_wine_bottle_on_the_rack,lock,0.5,-0.03612464,400,trajectory_max_persistent_score,False
libero_goal/put_the_wine_bottle_on_the_rack,lock,0.6,-0.035768088,400,trajectory_max_persistent_score,False
libero_goal/put_the_wine_bottle_on_the_rack,lock,0.7,-0.035408325,400,trajectory_max_persistent_score,False
libero_goal/put_the_wine_bottle_on_the_rack,lock,0.75,-0.035197187,400,trajectory_max_persistent_score,False
libero_goal/put_the_wine_bottle_on_the_rack,lock,0.8,-0.034847848,400,trajectory_max_persistent_score,False
libero_goal/put_the_wine_bottle_on_the_rack,lock,0.85,-0.03466127,400,trajectory_max_persistent_score,False
libero_goal/put_the_wine_bottle_on_the_rack,lock,0.9,-0.03433045,400,trajectory_max_persistent_score,False
libero_goal/put_the_wine_bottle_on_the_rack,lock,0.925,-0.03396716,400,trajectory_max_persistent_score,False
libero_goal/put_the_wine_bottle_on_the_rack,lock,0.95,-0.033375457,400,trajectory_max_persistent_score,False
libero_goal/put_the_wine_bottle_on_the_rack,lock,0.96,-0.033123095,400,trajectory_max_persistent_score,False
libero_goal/put_the_wine_bottle_on_the_rack,lock,0.975,-0.032209493,400,trajectory_max_persistent_score,False
libero_goal/put_the_wine_bottle_on_the_rack,lock,0.98,-0.03187089,400,trajectory_max_persistent_score,False
libero_goal/put_the_wine_bottle_on_the_rack,lock,0.99,-0.031260636,400,trajectory_max_persistent_score,False
libero_goal/put_the_wine_bottle_on_the_rack,lock,0.995,-0.02314651,400,trajectory_max_persistent_score,False
libero_goal/put_the_wine_bottle_on_the_rack,lock,1.0,-0.021555051,400,trajectory_max_persistent_score,False
libero_goal/put_the_wine_bottle_on_top_of_the_cabinet,lock,0.5,-0.044134863,400,trajectory_max_persistent_score,False
libero_goal/put_the_wine_bottle_on_top_of_the_cabinet,lock,0.6,-0.04369297,400,trajectory_max_persistent_score,False
libero_goal/put_the_wine_bottle_on_top_of_the_cabinet,lock,0.7,-0.04312857,400,trajectory_max_persistent_score,False
libero_goal/put_the_wine_bottle_on_top_of_the_cabinet,lock,0.75,-0.042819135,400,trajectory_max_persistent_score,False
libero_goal/put_the_wine_bottle_on_top_of_the_cabinet,lock,0.8,-0.04257977,400,trajectory_max_persistent_score,False
libero_goal/put_the_wine_bottle_on_top_of_the_cabinet,lock,0.85,-0.042178888,400,trajectory_max_persistent_score,False
libero_goal/put_the_wine_bottle_on_top_of_the_cabinet,lock,0.9,-0.041847385,400,trajectory_max_persistent_score,False
libero_goal/put_the_wine_bottle_on_top_of_the_cabinet,lock,0.925,-0.04171399,400,trajectory_max_persistent_score,False
libero_goal/put_the_wine_bottle_on_top_of_the_cabinet,lock,0.95,-0.04120581,400,trajectory_max_persistent_score,False
libero_goal/put_the_wine_bottle_on_top_of_the_cabinet,lock,0.96,-0.041149564,400,trajectory_max_persistent_score,False
libero_goal/put_the_wine_bottle_on_top_of_the_cabinet,lock,0.975,-0.040896107,400,trajectory_max_persistent_score,False
libero_goal/put_the_wine_bottle_on_top_of_the_cabinet,lock,0.98,-0.040847614,400,trajectory_max_persistent_score,False
libero_goal/put_the_wine_bottle_on_top_of_the_cabinet,lock,0.99,-0.040227585,400,trajectory_max_persistent_score,False
libero_goal/put_the_wine_bottle_on_top_of_the_cabinet,lock,0.995,-0.020075694,400,trajectory_max_persistent_score,False
libero_goal/put_the_wine_bottle_on_top_of_the_cabinet,lock,1.0,-0.017616048,400,trajectory_max_persistent_score,False
libero_goal/turn_on_the_stove,lock,0.5,-0.04816418,400,trajectory_max_persistent_score,False
libero_goal/turn_on_the_stove,lock,0.6,-0.04761356,400,trajectory_max_persistent_score,False
libero_goal/turn_on_the_stove,lock,0.7,-0.04702129,400,trajectory_max_persistent_score,False
libero_goal/turn_on_the_stove,lock,0.75,-0.046760507,400,trajectory_max_persistent_score,False
libero_goal/turn_on_the_stove,lock,0.8,-0.046296384,400,trajectory_max_persistent_score,False
libero_goal/turn_on_the_stove,lock,0.85,-0.04592554,400,trajectory_max_persistent_score,False
libero_goal/turn_on_the_stove,lock,0.9,-0.04539784,400,trajectory_max_persistent_score,False
libero_goal/turn_on_the_stove,lock,0.925,-0.045105897,400,trajectory_max_persistent_score,False
libero_goal/turn_on_the_stove,lock,0.95,-0.04490995,400,trajectory_max_persistent_score,False
libero_goal/turn_on_the_stove,lock,0.96,-0.044790376,400,trajectory_max_persistent_score,False
libero_goal/turn_on_the_stove,lock,0.975,-0.044437513,400,trajectory_max_persistent_score,False
libero_goal/turn_on_the_stove,lock,0.98,-0.044326037,400,trajectory_max_persistent_score,False
libero_goal/turn_on_the_stove,lock,0.99,-0.043652054,400,trajectory_max_persistent_score,False
libero_goal/turn_on_the_stove,lock,0.995,-0.043195486,400,trajectory_max_persistent_score,False
libero_goal/turn_on_the_stove,lock,1.0,-0.042941693,400,trajectory_max_persistent_score,False
libero_long/KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,lock,0.5,-0.042684346,400,trajectory_max_persistent_score,False
libero_long/KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,lock,0.6,-0.04198447,400,trajectory_max_persistent_score,False
libero_long/KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,lock,0.7,-0.041406944,400,trajectory_max_persistent_score,False
libero_long/KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,lock,0.75,-0.041030437,400,trajectory_max_persistent_score,False
libero_long/KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,lock,0.8,-0.040497676,400,trajectory_max_persistent_score,False
libero_long/KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,lock,0.85,-0.040011063,400,trajectory_max_persistent_score,False
libero_long/KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,lock,0.9,-0.03937857,400,trajectory_max_persistent_score,False
libero_long/KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,lock,0.925,-0.03910984,400,trajectory_max_persistent_score,False
libero_long/KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,lock,0.95,-0.038392425,400,trajectory_max_persistent_score,False
libero_long/KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,lock,0.96,-0.037632704,400,trajectory_max_persistent_score,False
libero_long/KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,lock,0.975,-0.035552412,400,trajectory_max_persistent_score,False
libero_long/KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,lock,0.98,-0.02918993,400,trajectory_max_persistent_score,False
libero_long/KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,lock,0.99,-0.020816863,400,trajectory_max_persistent_score,False
libero_long/KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,lock,0.995,-0.020597845,400,trajectory_max_persistent_score,False
libero_long/KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,lock,1.0,-0.020034969,400,trajectory_max_persistent_score,False
libero_long/KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,lock,0.5,-0.03948874,400,trajectory_max_persistent_score,False
libero_long/KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,lock,0.6,-0.038991705,400,trajectory_max_persistent_score,False
libero_long/KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,lock,0.7,-0.038567293,400,trajectory_max_persistent_score,False
libero_long/KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,lock,0.75,-0.038309887,400,trajectory_max_persistent_score,False
libero_long/KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,lock,0.8,-0.0378028,400,trajectory_max_persistent_score,False
libero_long/KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,lock,0.85,-0.03741111,400,trajectory_max_persistent_score,False
libero_long/KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,lock,0.9,-0.036840633,400,trajectory_max_persistent_score,False
libero_long/KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,lock,0.925,-0.036378175,400,trajectory_max_persistent_score,False
libero_long/KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,lock,0.95,-0.03582018,400,trajectory_max_persistent_score,False
libero_long/KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,lock,0.96,-0.0355189,400,trajectory_max_persistent_score,False
libero_long/KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,lock,0.975,-0.032296047,400,trajectory_max_persistent_score,False
libero_long/KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,lock,0.98,-0.030314252,400,trajectory_max_persistent_score,False
libero_long/KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,lock,0.99,-0.021252424,400,trajectory_max_persistent_score,False
libero_long/KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,lock,0.995,-0.019435883,400,trajectory_max_persistent_score,False
libero_long/KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,lock,1.0,-0.01755464,400,trajectory_max_persistent_score,False
libero_long/KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,lock,0.5,-0.04375846,400,trajectory_max_persistent_score,False
libero_long/KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,lock,0.6,-0.043245718,400,trajectory_max_persistent_score,False
libero_long/KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,lock,0.7,-0.04285268,400,trajectory_max_persistent_score,False
libero_long/KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,lock,0.75,-0.042610385,400,trajectory_max_persistent_score,False
libero_long/KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,lock,0.8,-0.04214764,400,trajectory_max_persistent_score,False
libero_long/KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,lock,0.85,-0.04181093,400,trajectory_max_persistent_score,False
libero_long/KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,lock,0.9,-0.041353483,400,trajectory_max_persistent_score,False
libero_long/KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,lock,0.925,-0.040853627,400,trajectory_max_persistent_score,False
libero_long/KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,lock,0.95,-0.03844337,400,trajectory_max_persistent_score,False
libero_long/KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,lock,0.96,-0.03777024,400,trajectory_max_persistent_score,False
libero_long/KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,lock,0.975,-0.034231797,400,trajectory_max_persistent_score,False
libero_long/KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,lock,0.98,-0.031528637,400,trajectory_max_persistent_score,False
libero_long/KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,lock,0.99,-0.025966197,400,trajectory_max_persistent_score,False
libero_long/KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,lock,0.995,-0.021281123,400,trajectory_max_persistent_score,False
libero_long/KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,lock,1.0,-0.019343495,400,trajectory_max_persistent_score,False
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,lock,0.5,-0.03074582,400,trajectory_max_persistent_score,False
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,lock,0.6,-0.030112073,400,trajectory_max_persistent_score,False
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,lock,0.7,-0.029118884,400,trajectory_max_persistent_score,False
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,lock,0.75,-0.028489172,400,trajectory_max_persistent_score,False
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,lock,0.8,-0.023722708,400,trajectory_max_persistent_score,False
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,lock,0.85,-0.02044192,400,trajectory_max_persistent_score,False
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,lock,0.9,-0.019652426,400,trajectory_max_persistent_score,False
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,lock,0.925,-0.019504279,400,trajectory_max_persistent_score,False
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,lock,0.95,-0.019243598,400,trajectory_max_persistent_score,False
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,lock,0.96,-0.019177943,400,trajectory_max_persistent_score,False
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,lock,0.975,-0.018820465,400,trajectory_max_persistent_score,False
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,lock,0.98,-0.018580586,400,trajectory_max_persistent_score,False
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,lock,0.99,-0.018241167,400,trajectory_max_persistent_score,False
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,lock,0.995,-0.01799497,400,trajectory_max_persistent_score,False
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,lock,1.0,-0.01794061,400,trajectory_max_persistent_score,False
libero_long/LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket,lock,0.5,-0.05117163,400,trajectory_max_persistent_score,False
libero_long/LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket,lock,0.6,-0.05037952,400,trajectory_max_persistent_score,False
libero_long/LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket,lock,0.7,-0.049832128,400,trajectory_max_persistent_score,False
libero_long/LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket,lock,0.75,-0.049387738,400,trajectory_max_persistent_score,False
libero_long/LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket,lock,0.8,-0.048777603,400,trajectory_max_persistent_score,False
libero_long/LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket,lock,0.85,-0.04805407,400,trajectory_max_persistent_score,False
libero_long/LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket,lock,0.9,-0.04651993,400,trajectory_max_persistent_score,False
libero_long/LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket,lock,0.925,-0.037695363,400,trajectory_max_persistent_score,False
libero_long/LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket,lock,0.95,-0.024879217,400,trajectory_max_persistent_score,False
libero_long/LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket,lock,0.96,-0.023627013,400,trajectory_max_persistent_score,False
libero_long/LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket,lock,0.975,-0.022258818,400,trajectory_max_persistent_score,False
libero_long/LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket,lock,0.98,-0.02173926,400,trajectory_max_persistent_score,False
