fold,suite,task,scope,method,episodes,failures,successes,tp,fp,recall,fpr,precision,balanced_accuracy,t_det,median_alarm_query,tp_lead0,recall_lead0,legacy_filtered_fp_lead0,tp_lead2,recall_lead2,legacy_filtered_fp_lead2,tp_lead4,recall_lead4,legacy_filtered_fp_lead4,tp_lead8,recall_lead8,legacy_filtered_fp_lead8,tp_lead12,recall_lead12,legacy_filtered_fp_lead12,tp_lead16,recall_lead16,legacy_filtered_fp_lead16,tp_lead20,recall_lead20,legacy_filtered_fp_lead20,recall_by_q7,fpr_by_q7,recall_by_q10,fpr_by_q10,recall_by_q14,fpr_by_q14,recall_by_q21,fpr_by_q21,recall_by_q29,fpr_by_q29,recall_by_q39,fpr_by_q39,recall_by_q51,fpr_by_q51
libero_goal_20260907,libero_goal,libero_goal/put_the_wine_bottle_on_the_rack,seen,v7_guard,80,0,80,0,0,,0.0,,,,,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
libero_goal_20260907,libero_goal,libero_goal/put_the_wine_bottle_on_top_of_the_cabinet,seen,v7_guard,80,0,80,0,0,,0.0,,,,,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
libero_goal_20260907,libero_goal,libero_goal/turn_on_the_stove,seen,v7_guard,80,0,80,0,0,,0.0,,,,,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
libero_goal_20260907,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,unseen,v7_guard,400,51,349,44,0,0.8627450980392157,0.0,1.0,0.9313725490196079,0.8594771241830066,24.0,44,0.8627450980392157,0,43,0.8431372549019608,0,39,0.7647058823529411,0,2,0.0392156862745098,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0196078431372549,0.0,0.8627450980392157,0.0,0.8627450980392157,0.0,0.8627450980392157,0.0
libero_goal_20260907,libero_goal,libero_goal/put_the_bowl_on_the_plate,unseen,v7_guard,400,18,382,1,0,0.05555555555555555,0.0,1.0,0.5277777777777778,0.9851851851851853,21.0,1,0.05555555555555555,0,1,0.05555555555555555,0,1,0.05555555555555555,0,1,0.05555555555555555,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.0,0.05555555555555555,0.0,0.05555555555555555,0.0,0.05555555555555555,0.0
libero_goal_20260907,libero_goal,libero_goal/put_the_bowl_on_the_stove,unseen,v7_guard,400,9,391,3,0,0.3333333333333333,0.0,1.0,0.6666666666666666,0.8518518518518517,16.0,3,0.3333333333333333,0,3,0.3333333333333333,0,3,0.3333333333333333,0,3,0.3333333333333333,0,3,0.3333333333333333,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0
libero_goal_20260907,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,seen,v8_guard,80,0,80,0,0,,0.0,,,,,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
libero_goal_20260907,libero_goal,libero_goal/push_the_plate_to_the_front_of_the_stove,seen,v8_guard,80,1,79,1,5,1.0,0.06329113924050633,0.16666666666666666,0.9683544303797469,0.5666666666666667,16.0,1,1.0,5,1,1.0,5,1,1.0,3,1,1.0,0,1,1.0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.06329113924050633,1.0,0.06329113924050633,1.0,0.06329113924050633,1.0,0.06329113924050633,1.0,0.06329113924050633
libero_goal_20260907,libero_goal,libero_goal/put_the_bowl_on_top_of_the_cabinet,seen,v8_guard,80,3,77,3,0,1.0,0.0,1.0,1.0,0.48888888888888893,14.0,3,1.0,0,3,1.0,0,3,1.0,0,3,1.0,0,3,1.0,0,3,1.0,0,0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
libero_goal_20260907,libero_goal,libero_goal/put_the_cream_cheese_in_the_bowl,seen,v8_guard,80,8,72,8,0,1.0,0.0,1.0,1.0,0.5791666666666666,18.5,8,1.0,0,8,1.0,0,8,1.0,0,8,1.0,0,4,0.5,0,3,0.375,0,2,0.25,0,0.0,0.0,0.25,0.0,0.375,0.0,0.875,0.0,1.0,0.0,1.0,0.0,1.0,0.0
libero_goal_20260907,libero_goal,libero_goal/put_the_wine_bottle_on_the_rack,seen,v8_guard,80,0,80,0,0,,0.0,,,,,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
libero_goal_20260907,libero_goal,libero_goal/put_the_wine_bottle_on_top_of_the_cabinet,seen,v8_guard,80,0,80,0,0,,0.0,,,,,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
libero_goal_20260907,libero_goal,libero_goal/turn_on_the_stove,seen,v8_guard,80,0,80,0,0,,0.0,,,,,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
libero_goal_20260907,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,unseen,v8_guard,400,51,349,44,1,0.8627450980392157,0.0028653295128939827,0.9777777777777777,0.9299398842631609,0.8496732026143792,24.0,44,0.8627450980392157,1,43,0.8431372549019608,1,38,0.7450980392156863,1,5,0.09803921568627451,1,3,0.058823529411764705,1,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0784313725490196,0.0028653295128939827,0.8627450980392157,0.0028653295128939827,0.8627450980392157,0.0028653295128939827,0.8627450980392157,0.0028653295128939827
libero_goal_20260907,libero_goal,libero_goal/put_the_bowl_on_the_plate,unseen,v8_guard,400,18,382,12,0,0.6666666666666666,0.0,1.0,0.8333333333333333,0.7944444444444445,17.5,12,0.6666666666666666,0,12,0.6666666666666666,0,10,0.5555555555555556,0,9,0.5,0,6,0.3333333333333333,0,1,0.05555555555555555,0,0,0.0,0,0.0,0.0,0.0,0.0,0.05555555555555555,0.0,0.4444444444444444,0.0,0.6666666666666666,0.0,0.6666666666666666,0.0,0.6666666666666666,0.0
libero_goal_20260907,libero_goal,libero_goal/put_the_bowl_on_the_stove,unseen,v8_guard,400,9,391,9,0,1.0,0.0,1.0,1.0,0.6148148148148148,18.0,9,1.0,0,9,1.0,0,9,1.0,0,9,1.0,0,7,0.7777777777777778,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
libero_goal_20260907,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,seen,v82_guard,80,0,80,0,0,,0.0,,,,,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
libero_goal_20260907,libero_goal,libero_goal/push_the_plate_to_the_front_of_the_stove,seen,v82_guard,80,1,79,1,3,1.0,0.0379746835443038,0.25,0.9810126582278481,0.5666666666666667,16.0,1,1.0,3,1,1.0,3,1,1.0,2,1,1.0,0,1,1.0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0379746835443038,1.0,0.0379746835443038,1.0,0.0379746835443038,1.0,0.0379746835443038,1.0,0.0379746835443038
libero_goal_20260907,libero_goal,libero_goal/put_the_bowl_on_top_of_the_cabinet,seen,v82_guard,80,3,77,3,0,1.0,0.0,1.0,1.0,0.5,14.0,3,1.0,0,3,1.0,0,3,1.0,0,3,1.0,0,3,1.0,0,3,1.0,0,0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
libero_goal_20260907,libero_goal,libero_goal/put_the_cream_cheese_in_the_bowl,seen,v82_guard,80,8,72,8,0,1.0,0.0,1.0,1.0,0.5541666666666667,17.5,8,1.0,0,8,1.0,0,8,1.0,0,8,1.0,0,6,0.75,0,3,0.375,0,2,0.25,0,0.0,0.0,0.25,0.0,0.375,0.0,0.875,0.0,1.0,0.0,1.0,0.0,1.0,0.0
libero_goal_20260907,libero_goal,libero_goal/put_the_wine_bottle_on_the_rack,seen,v82_guard,80,0,80,0,0,,0.0,,,,,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
libero_goal_20260907,libero_goal,libero_goal/put_the_wine_bottle_on_top_of_the_cabinet,seen,v82_guard,80,0,80,0,0,,0.0,,,,,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
libero_goal_20260907,libero_goal,libero_goal/turn_on_the_stove,seen,v82_guard,80,0,80,0,0,,0.0,,,,,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
libero_goal_20260907,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,unseen,v82_guard,400,51,349,44,1,0.8627450980392157,0.0028653295128939827,0.9777777777777777,0.9299398842631609,0.8457516339869281,24.0,44,0.8627450980392157,1,43,0.8431372549019608,1,39,0.7647058823529411,1,6,0.11764705882352941,1,4,0.0784313725490196,1,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.09803921568627451,0.0028653295128939827,0.8627450980392157,0.0028653295128939827,0.8627450980392157,0.0028653295128939827,0.8627450980392157,0.0028653295128939827
libero_goal_20260907,libero_goal,libero_goal/put_the_bowl_on_the_plate,unseen,v82_guard,400,18,382,17,1,0.9444444444444444,0.002617801047120419,0.9444444444444444,0.970913321698662,0.7166666666666666,19.0,17,0.9444444444444444,1,17,0.9444444444444444,1,13,0.7222222222222222,1,12,0.6666666666666666,1,8,0.4444444444444444,0,1,0.05555555555555555,0,0,0.0,0,0.0,0.0,0.0,0.0,0.05555555555555555,0.0,0.6666666666666666,0.002617801047120419,0.9444444444444444,0.002617801047120419,0.9444444444444444,0.002617801047120419,0.9444444444444444,0.002617801047120419
libero_goal_20260907,libero_goal,libero_goal/put_the_bowl_on_the_stove,unseen,v82_guard,400,9,391,9,0,1.0,0.0,1.0,1.0,0.6111111111111112,17.0,9,1.0,0,9,1.0,0,9,1.0,0,9,1.0,0,7,0.7777777777777778,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
libero_goal_20260907,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,seen,knn12_v8,80,0,80,0,1,,0.0125,0.0,,,,0,,1,0,,1,0,,1,0,,0,0,,0,0,,0,0,,0,,0.0,,0.0125,,0.0125,,0.0125,,0.0125,,0.0125,,0.0125
libero_goal_20260907,libero_goal,libero_goal/push_the_plate_to_the_front_of_the_stove,seen,knn12_v8,80,1,79,1,2,1.0,0.02531645569620253,0.3333333333333333,0.9873417721518988,0.5333333333333333,15.0,1,1.0,2,1,1.0,2,1,1.0,2,1,1.0,1,1,1.0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.02531645569620253,1.0,0.02531645569620253,1.0,0.02531645569620253,1.0,0.02531645569620253,1.0,0.02531645569620253
libero_goal_20260907,libero_goal,libero_goal/put_the_bowl_on_top_of_the_cabinet,seen,knn12_v8,80,3,77,3,0,1.0,0.0,1.0,1.0,0.4777777777777778,13.0,3,1.0,0,3,1.0,0,3,1.0,0,3,1.0,0,3,1.0,0,3,1.0,0,0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
libero_goal_20260907,libero_goal,libero_goal/put_the_cream_cheese_in_the_bowl,seen,knn12_v8,80,8,72,8,0,1.0,0.0,1.0,1.0,0.37083333333333335,9.5,8,1.0,0,8,1.0,0,8,1.0,0,8,1.0,0,8,1.0,0,8,1.0,0,6,0.75,0,0.0,0.0,0.75,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
