split,suite,model,rows,brier,log_loss,auroc,ece10,positives,positive_rate
test_unseen_init,libero_object,physical_moe_unseen_task_raw,11228,0.11532097443010851,0.3529306957181015,0.89688284986895,0.04320421183183762,8344,0.743142144638404
test_unseen_init,libero_spatial,prior,6226,0.15533656360002848,0.4976076660590813,0.5,0.20649114505203325,5420,0.8705428846771603
test_unseen_init,libero_spatial,task_clock,6226,0.0843915306560484,0.2856841143153204,0.8491549769716059,0.03088828774320921,5420,0.8705428846771603
test_unseen_init,libero_spatial,moe,6226,0.08021094687786488,0.2746439763166623,0.868403715674874,0.03952603582208632,5420,0.8705428846771603
test_unseen_init,libero_spatial,physical,6226,0.06728763092482079,0.24991227344441447,0.8297084596156135,0.017428262770224506,5420,0.8705428846771603
test_unseen_init,libero_spatial,physical_moe,6226,0.06116282306804045,0.22361512952357054,0.9030125763416442,0.035167810912531204,5420,0.8705428846771603
test_unseen_init,libero_spatial,physical_task_clock,6226,0.05287399003023343,0.19527848108022286,0.9193547242544386,0.02786734061832092,5420,0.8705428846771603
test_unseen_init,libero_spatial,physical_task_clock_moe,6226,0.05157723003431691,0.19047879822695898,0.9217419171710327,0.028930268809973923,5420,0.8705428846771603
test_unseen_init,libero_spatial,prior_unseen_task,6226,0.15647596356908888,0.5000589427361967,0.31903276166756706,0.20477136295653062,5420,0.8705428846771603
test_unseen_init,libero_spatial,moe_unseen_task,6226,0.10551736803629468,0.38004845069090254,0.6341180766026022,0.0553502904188399,5420,0.8705428846771603
test_unseen_init,libero_spatial,physical_unseen_task,6226,0.08297374856979585,0.3000393136136325,0.7824551564374205,0.03742139768723757,5420,0.8705428846771603
test_unseen_init,libero_spatial,physical_moe_unseen_task,6226,0.06825392346175696,0.2774307114286976,0.7794673024273666,0.03448561479241111,5420,0.8705428846771603
test_unseen_init,libero_spatial,task_clock_raw,6226,0.08705860996596705,0.3011906238737233,0.8491549769716059,0.07706530775379809,5420,0.8705428846771603
test_unseen_init,libero_spatial,moe_raw,6226,0.08003921841716377,0.2795865134943598,0.868403715674874,0.049812637873320145,5420,0.8705428846771603
test_unseen_init,libero_spatial,physical_raw,6226,0.0676168101717642,0.2501530815624403,0.8297084596156135,0.016865786831029968,5420,0.8705428846771603
test_unseen_init,libero_spatial,physical_moe_raw,6226,0.06021419004390738,0.2213209425783731,0.9030125763416442,0.0419925727680491,5420,0.8705428846771603
test_unseen_init,libero_spatial,physical_task_clock_raw,6226,0.054847875834982934,0.20579017418657772,0.9193547242544386,0.045629164527275466,5420,0.8705428846771603
test_unseen_init,libero_spatial,physical_task_clock_moe_raw,6226,0.05262514190523598,0.20007318793420817,0.9217419171710327,0.048920448564154125,5420,0.8705428846771603
test_unseen_init,libero_spatial,moe_unseen_task_raw,6226,0.10634342763109539,0.37029184091637657,0.6210981064525285,0.05422137493321331,5420,0.8705428846771603
test_unseen_init,libero_spatial,physical_unseen_task_raw,6226,0.08267151328874746,0.2939904230618647,0.7827712818071109,0.025281596857129447,5420,0.8705428846771603
test_unseen_init,libero_spatial,physical_moe_unseen_task_raw,6226,0.06893831364210425,0.26382095021293583,0.7783978326755973,0.025282676728156168,5420,0.8705428846771603
test_new_noise_seen_init,all,prior,111658,0.22334176001379494,0.6388403606803401,0.5,0.0007763809405725297,74060,0.6632753586845547
test_new_noise_seen_init,all,task_clock,111658,0.11496297296477376,0.37281687585168843,0.8978669492937472,0.019101814006649842,74060,0.6632753586845547
test_new_noise_seen_init,all,moe,111658,0.12936630775162702,0.4078580646985201,0.8778431596681278,0.01297916098713679,74060,0.6632753586845547
test_new_noise_seen_init,all,physical,111658,0.11889867349919814,0.3757093835382287,0.8900932436937474,0.013780888899820725,74060,0.6632753586845547
test_new_noise_seen_init,all,physical_moe,111658,0.07440801903782532,0.25128612184166527,0.9534227717825673,0.00793006141315902,74060,0.6632753586845547
test_new_noise_seen_init,all,physical_task_clock,111658,0.07202583389529552,0.2454740317857586,0.9540905310707901,0.009443590091370737,74060,0.6632753586845547
test_new_noise_seen_init,all,physical_task_clock_moe,111658,0.0640235224901431,0.2191777695949655,0.9642146586419428,0.007953658079168362,74060,0.6632753586845547
