snapshot_key,query,route_k,noise_k,route_stability
w02_s003,10,2,1,1.0
w02_s003,11,2,1,1.0
w02_s003,12,1,1,
w02_s003,13,1,1,
w02_s003,14,1,1,
w02_s003,15,4,1,1.0
w02_s003,16,3,1,1.0
w02_s003,17,1,1,
w02_s003,18,1,1,
w02_s003,19,1,1,
w02_s003,20,1,1,
w02_s003,21,1,1,
w02_s003,22,1,1,
w02_s003,23,1,1,
w02_s004,0,1,1,
w02_s004,1,1,1,
w02_s004,2,1,1,
w02_s004,3,1,1,
w02_s004,4,1,1,
w02_s004,5,2,1,1.0
w02_s004,6,1,1,
w02_s004,7,2,1,1.0
w02_s004,8,3,1,1.0
w02_s004,9,1,1,
w02_s004,10,1,1,
w02_s004,11,1,1,
w02_s004,12,1,1,
w02_s004,13,1,1,
w02_s004,14,1,1,
w02_s004,15,1,1,
w02_s004,16,2,1,1.0
w02_s004,17,4,1,1.0
w02_s004,18,1,1,
w02_s004,19,1,1,
w02_s004,20,1,1,
w02_s004,21,1,1,
w02_s004,22,1,1,
w02_s004,23,1,1,
w03_s000,0,1,1,
w03_s000,1,1,1,
w03_s000,2,1,1,
w03_s000,3,1,1,
w03_s000,4,1,1,
w03_s000,5,1,1,
w03_s000,6,1,1,
w03_s000,7,1,1,
w03_s000,8,1,1,
w03_s000,9,1,1,
w03_s000,10,1,1,
w03_s000,11,1,1,
w03_s000,12,1,1,
w03_s000,13,1,1,
w03_s000,14,1,1,
w03_s000,15,1,1,
w03_s000,16,1,1,
w03_s000,17,1,1,
w03_s000,18,1,1,
w03_s000,19,1,1,
w03_s000,20,1,1,
w03_s000,21,1,1,
w03_s000,22,1,1,
w03_s000,23,1,1,
w03_s001,0,1,1,
w03_s001,1,1,1,
w03_s001,2,1,1,
w03_s001,3,1,1,
w03_s001,4,1,1,
w03_s001,5,1,1,
w03_s001,6,1,1,
w03_s001,7,1,1,
w03_s001,8,1,1,
w03_s001,9,1,1,
w03_s001,10,1,1,
w03_s001,11,2,1,1.0
w03_s001,12,1,1,
w03_s001,13,1,1,
w03_s001,14,2,1,1.0
w03_s001,15,2,1,0.5970149253731343
w03_s001,16,1,1,
w03_s001,17,1,1,
w03_s001,18,1,1,
w03_s001,19,2,1,1.0
w03_s001,20,2,1,1.0
w03_s001,21,1,1,
w03_s001,22,2,1,1.0
w03_s001,23,2,1,1.0
w03_s002,0,1,1,
w03_s002,1,1,1,
w03_s002,2,1,1,
w03_s002,3,1,1,
w03_s002,4,1,1,
w03_s002,5,1,1,
w03_s002,6,1,1,
w03_s002,7,1,1,
w03_s002,8,1,1,
w03_s002,9,3,1,1.0
w03_s002,10,3,1,1.0
w03_s002,11,1,1,
w03_s002,12,1,1,
w03_s002,13,2,1,1.0
w03_s002,14,1,1,
w03_s002,15,1,1,
w03_s002,16,1,1,
w03_s002,17,1,1,
w03_s002,18,1,1,
w03_s002,19,1,1,
w03_s002,20,1,1,
w03_s002,21,1,1,
w03_s002,22,1,1,
w03_s002,23,1,1,
w03_s003,0,1,1,
w03_s003,1,1,1,
w03_s003,2,1,1,
w03_s003,3,1,1,
w03_s003,4,1,1,
w03_s003,5,1,1,
w03_s003,6,1,1,
w03_s003,7,1,1,
w03_s003,8,1,1,
w03_s003,9,1,1,
w03_s003,10,1,1,
w03_s003,11,1,1,
w03_s003,12,1,1,
w03_s003,13,1,1,
w03_s003,14,1,1,
w03_s003,15,1,1,
w03_s003,16,1,1,
w03_s003,17,2,1,1.0
w03_s003,18,3,1,1.0
w03_s003,19,1,1,
w03_s003,20,1,1,
w03_s003,21,1,1,
w03_s003,22,1,1,
w03_s003,23,1,1,
w03_s004,0,1,1,
w03_s004,1,3,1,1.0
w03_s004,2,1,1,
w03_s004,3,1,1,
w03_s004,4,1,1,
w03_s004,5,1,1,
w03_s004,6,1,1,
w03_s004,7,1,1,
w03_s004,8,1,1,
w03_s004,9,1,1,
w03_s004,10,1,1,
w03_s004,11,1,1,
w03_s004,12,1,1,
w03_s004,13,1,1,
w03_s004,14,1,1,
w03_s004,15,1,1,
w03_s004,16,1,1,
w03_s004,17,1,1,
w03_s004,18,1,1,
w03_s004,19,1,1,
w03_s004,20,1,1,
w03_s004,21,1,1,
w03_s004,22,1,1,
w03_s004,23,1,1,
w03_s005,0,1,1,
w03_s005,1,1,1,
w03_s005,2,1,1,
w03_s005,3,1,1,
w03_s005,4,1,1,
w03_s005,5,1,1,
w03_s005,6,2,1,1.0
w03_s005,7,1,1,
w03_s005,8,1,1,
w03_s005,9,1,1,
w03_s005,10,1,1,
w03_s005,11,1,1,
w03_s005,12,1,1,
w03_s005,13,1,1,
w03_s005,14,1,1,
w03_s005,15,1,1,
w03_s005,16,3,1,1.0
w03_s005,17,2,1,1.0
w03_s005,18,2,1,1.0
w03_s005,19,3,1,1.0
w03_s005,20,2,1,1.0
w03_s005,21,3,1,0.7227347273472735
w03_s005,22,2,1,1.0
w03_s005,23,4,1,0.5791933103787505
