corpus,suite,task,scene,K,n_fail,n_loop,n_static,n_anyloop,loop_valid,med_nq
grid50x8,libero_goal,put_the_bowl_on_the_plate,1,8,0,0,0,0,1,8.0
grid50x8,libero_goal,put_the_bowl_on_the_plate,2,8,0,0,0,0,1,8.0
grid50x8,libero_goal,put_the_bowl_on_the_plate,3,8,0,0,0,0,1,8.0
grid50x8,libero_goal,put_the_bowl_on_the_plate,4,8,0,0,0,0,1,8.0
grid50x8,libero_goal,put_the_bowl_on_the_plate,5,8,0,0,0,0,1,8.0
grid50x8,libero_goal,put_the_bowl_on_the_plate,6,8,0,0,0,0,1,8.0
grid50x8,libero_goal,put_the_bowl_on_the_plate,7,8,3,3,0,3,1,8.0
grid50x8,libero_goal,put_the_bowl_on_the_plate,8,8,0,0,0,0,1,8.0
grid50x8,libero_goal,put_the_bowl_on_the_plate,9,8,0,0,0,0,1,8.0
grid50x8,libero_goal,put_the_bowl_on_the_plate,10,8,0,0,0,0,1,8.0
grid50x8,libero_goal,put_the_bowl_on_the_plate,11,8,0,0,0,0,1,8.0
grid50x8,libero_goal,put_the_bowl_on_the_plate,12,8,0,0,0,0,1,8.0
grid50x8,libero_goal,put_the_bowl_on_the_plate,13,8,0,0,0,0,1,8.0
grid50x8,libero_goal,put_the_bowl_on_the_plate,14,8,0,0,0,0,1,8.0
grid50x8,libero_goal,put_the_bowl_on_the_plate,15,8,0,0,0,0,1,8.0
grid50x8,libero_goal,put_the_bowl_on_the_plate,16,8,0,0,0,0,1,8.0
grid50x8,libero_goal,put_the_bowl_on_the_plate,17,8,0,0,0,0,1,8.0
grid50x8,libero_goal,put_the_bowl_on_the_plate,18,8,0,0,0,0,1,8.0
grid50x8,libero_goal,put_the_bowl_on_the_plate,19,8,0,0,0,0,1,8.0
grid50x8,libero_goal,put_the_bowl_on_the_plate,20,8,0,0,0,0,1,8.0
grid50x8,libero_goal,put_the_bowl_on_the_plate,21,8,0,0,0,0,1,8.0
grid50x8,libero_goal,put_the_bowl_on_the_plate,22,8,0,0,0,0,1,8.0
grid50x8,libero_goal,put_the_bowl_on_the_plate,23,8,0,0,0,0,1,8.0
grid50x8,libero_goal,put_the_bowl_on_the_plate,24,8,0,0,0,0,1,8.0
grid50x8,libero_goal,put_the_bowl_on_the_plate,25,8,0,0,0,0,1,8.0
grid50x8,libero_goal,put_the_bowl_on_the_plate,26,8,0,0,0,0,1,8.0
grid50x8,libero_goal,put_the_bowl_on_the_plate,27,8,0,0,0,0,1,8.0
grid50x8,libero_goal,put_the_bowl_on_the_plate,28,8,0,0,0,0,1,8.0
grid50x8,libero_goal,put_the_bowl_on_the_plate,29,8,0,0,0,0,1,8.0
grid50x8,libero_goal,put_the_bowl_on_the_plate,30,8,0,0,0,0,1,8.0
grid50x8,libero_goal,put_the_bowl_on_the_plate,31,8,0,0,0,0,1,8.0
grid50x8,libero_goal,put_the_bowl_on_the_plate,32,8,5,5,0,5,1,30.0
grid50x8,libero_goal,put_the_bowl_on_the_plate,33,8,0,0,0,0,1,8.0
grid50x8,libero_goal,put_the_bowl_on_the_plate,34,8,1,1,0,1,1,8.0
grid50x8,libero_goal,put_the_bowl_on_the_plate,35,8,0,0,0,0,1,8.0
grid50x8,libero_goal,put_the_bowl_on_the_plate,36,8,2,2,0,3,1,8.0
