task,reference_episodes,lock_cutoff,early_lock_scale,lock_ratio,instability_cutoff,outcomes_used
libero_object/pick_up_the_orange_juice_and_place_it_in_the_basket,400,0.03561219573020935,0.05501047521829605,0.6473711704705473,0.060295358300209045,False
libero_object/pick_up_the_salad_dressing_and_place_it_in_the_basket,400,0.03830878436565399,0.05374574288725853,0.7127780231080559,0.0644587054848671,False
libero_object/pick_up_the_tomato_sauce_and_place_it_in_the_basket,400,0.04208993911743164,0.05530311539769173,0.7610771800965921,0.06499186158180237,False
libero_spatial/pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,400,0.07559014856815338,0.0764065757393837,0.9893147001638304,0.08119812607765198,False
libero_spatial/pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,400,0.05902126431465149,0.07060791552066803,0.8359015257627178,0.07171712070703506,False
libero_spatial/pick_up_the_black_bowl_in_the_top_drawer_of_the_wooden_cabinet_and_place_it_on_the_plate,400,0.051894426345825195,0.06193571165204048,0.8378756772404912,0.0691281333565712,False
libero_spatial/pick_up_the_black_bowl_next_to_the_cookie_box_and_place_it_on_the_plate,400,0.059266068041324615,0.059114400297403336,1.0025656649337258,0.07036460936069489,False
libero_spatial/pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate,400,0.0614393949508667,0.06112055853009224,1.0052165168061657,0.0761970579624176,False
libero_spatial/pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate,400,0.05732916295528412,0.05457039922475815,1.0505542156502008,0.07660863548517227,False
libero_spatial/pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate,400,0.07241296023130417,0.07063481956720352,1.0251737128373193,0.07743093371391296,False
libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,400,0.06807388365268707,0.08031923323869705,0.847541502922238,0.0775730311870575,False
libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,400,0.04868035763502121,0.06515851616859436,0.747106602444157,0.06901532411575317,False
libero_spatial/pick_up_the_black_bowl_on_the_wooden_cabinet_and_place_it_on_the_plate,400,0.04959063231945038,0.06911176443099976,0.7175425591826843,0.07870904356241226,False
libero_long/KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,400,0.03632579743862152,0.04153357818722725,0.8746127597018051,0.0659092590212822,False
libero_long/LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket,400,0.0401819683611393,0.047018442302942276,0.85460016098034,0.06939249485731125,False
libero_long/LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,400,0.034343015402555466,0.039911266416311264,0.8604842313026649,0.06577013432979584,False
