sample,fold,suite,scope,method,episodes,failures,successes,tp,fp,recall,fpr,precision,balanced_accuracy,t_det,median_alarm_query,tp_lead0,recall_lead0,legacy_filtered_fp_lead0,tp_lead2,recall_lead2,legacy_filtered_fp_lead2,tp_lead4,recall_lead4,legacy_filtered_fp_lead4,tp_lead8,recall_lead8,legacy_filtered_fp_lead8,tp_lead12,recall_lead12,legacy_filtered_fp_lead12,tp_lead16,recall_lead16,legacy_filtered_fp_lead16,tp_lead20,recall_lead20,legacy_filtered_fp_lead20,recall_by_q7,fpr_by_q7,recall_by_q10,fpr_by_q10,recall_by_q14,fpr_by_q14,recall_by_q21,fpr_by_q21,recall_by_q29,fpr_by_q29,recall_by_q39,fpr_by_q39,recall_by_q51,fpr_by_q51
historical_coverage,libero_goal_20260907,libero_goal,seen,knn12_cross_task,560,12,548,11,0,0.9166666666666666,0.0,1.0,0.9583333333333333,0.6555555555555556,16.0,11,0.9166666666666666,0,11,0.9166666666666666,0,11,0.9166666666666666,0,10,0.8333333333333334,0,7,0.5833333333333334,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,0.0,0.9166666666666666,0.0,0.9166666666666666,0.0,0.9166666666666666,0.0
historical_coverage,libero_goal_20260907,libero_goal,unseen,knn12_cross_task,1200,78,1122,33,2,0.4230769230769231,0.0017825311942959,0.9428571428571428,0.7106471959413136,0.9264957264957266,26.0,33,0.4230769230769231,2,27,0.34615384615384615,2,20,0.2564102564102564,2,12,0.15384615384615385,1,7,0.08974358974358974,0,1,0.01282051282051282,0,0,0.0,0,0.0,0.0,0.0,0.0,0.01282051282051282,0.0,0.14102564102564102,0.0017825311942959,0.4230769230769231,0.0017825311942959,0.4230769230769231,0.0017825311942959,0.4230769230769231,0.0017825311942959
historical_coverage,libero_goal_20260907,libero_goal,seen,knn10,560,12,548,12,3,1.0,0.005474452554744526,0.8,0.9972627737226277,0.488888888888889,13.0,12,1.0,3,12,1.0,3,12,1.0,3,12,1.0,1,11,0.9166666666666666,0,8,0.6666666666666666,0,0,0.0,0,0.0,0.0,0.0,0.0018248175182481751,0.6666666666666666,0.005474452554744526,1.0,0.005474452554744526,1.0,0.005474452554744526,1.0,0.005474452554744526,1.0,0.005474452554744526
historical_coverage,libero_goal_20260907,libero_goal,unseen,knn10,1200,78,1122,77,21,0.9871794871794872,0.01871657754010695,0.7857142857142857,0.9842314548196901,0.6457264957264959,17.0,77,0.9871794871794872,21,76,0.9743589743589743,12,72,0.9230769230769231,11,69,0.8846153846153846,4,47,0.6025641025641025,2,16,0.20512820512820512,1,1,0.01282051282051282,0,0.0,0.0,0.01282051282051282,0.0017825311942959,0.20512820512820512,0.00980392156862745,0.6923076923076923,0.01871657754010695,0.9871794871794872,0.01871657754010695,0.9871794871794872,0.01871657754010695,0.9871794871794872,0.01871657754010695
historical_coverage,libero_goal_20260907,libero_goal,seen,knn12_v8,560,12,548,12,3,1.0,0.005474452554744526,0.8,0.9972627737226277,0.41111111111111115,10.5,12,1.0,3,12,1.0,3,12,1.0,3,12,1.0,1,12,1.0,0,11,0.9166666666666666,0,6,0.5,0,0.0,0.0,0.5,0.0018248175182481751,0.9166666666666666,0.005474452554744526,1.0,0.005474452554744526,1.0,0.005474452554744526,1.0,0.005474452554744526,1.0,0.005474452554744526
historical_coverage,libero_goal_20260907,libero_goal,unseen,knn12_v8,1200,78,1122,77,21,0.9871794871794872,0.01871657754010695,0.7857142857142857,0.9842314548196901,0.6316239316239317,17.0,77,0.9871794871794872,21,75,0.9615384615384616,11,71,0.9102564102564102,4,60,0.7692307692307693,2,50,0.6410256410256411,2,21,0.2692307692307692,1,1,0.01282051282051282,0,0.0,0.0,0.01282051282051282,0.0,0.2692307692307692,0.00267379679144385,0.6666666666666666,0.01871657754010695,0.9871794871794872,0.01871657754010695,0.9871794871794872,0.01871657754010695,0.9871794871794872,0.01871657754010695
historical_coverage,libero_goal_20260907,libero_goal,seen,v8_frozen,560,12,548,12,1,1.0,0.0018248175182481751,0.9230769230769231,0.9990875912408759,0.6444444444444444,21.0,12,1.0,1,12,1.0,1,12,1.0,1,11,0.9166666666666666,0,5,0.4166666666666667,0,3,0.25,0,0,0.0,0,0.0,0.0,0.0,0.0,0.25,0.0018248175182481751,0.8333333333333334,0.0018248175182481751,1.0,0.0018248175182481751,1.0,0.0018248175182481751,1.0,0.0018248175182481751
historical_coverage,libero_goal_20260907,libero_goal,unseen,v8_frozen,1200,78,1122,55,1,0.7051282051282052,0.00089126559714795,0.9821428571428571,0.8521184697655286,0.8653846153846155,24.0,55,0.7051282051282052,1,48,0.6153846153846154,1,46,0.5897435897435898,1,17,0.21794871794871795,0,10,0.1282051282051282,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.19230769230769232,0.0,0.7051282051282052,0.00089126559714795,0.7051282051282052,0.00089126559714795,0.7051282051282052,0.00089126559714795
historical_coverage,libero_goal_20260907,libero_goal,seen,knn10_cross_task_or_v8_frozen,560,12,548,12,1,1.0,0.0018248175182481751,0.9230769230769231,0.9990875912408759,0.5833333333333333,16.0,12,1.0,1,12,1.0,1,12,1.0,1,11,0.9166666666666666,0,9,0.75,0,3,0.25,0,0,0.0,0,0.0,0.0,0.0,0.0,0.25,0.0018248175182481751,0.9166666666666666,0.0018248175182481751,1.0,0.0018248175182481751,1.0,0.0018248175182481751,1.0,0.0018248175182481751
historical_coverage,libero_goal_20260907,libero_goal,unseen,knn10_cross_task_or_v8_frozen,1200,78,1122,55,2,0.7051282051282052,0.0017825311942959,0.9649122807017544,0.8516728369669547,0.8632478632478635,24.0,55,0.7051282051282052,2,48,0.6153846153846154,2,46,0.5897435897435898,2,17,0.21794871794871795,1,10,0.1282051282051282,1,1,0.01282051282051282,1,0,0.0,0,0.0,0.0,0.0,0.0,0.01282051282051282,0.00089126559714795,0.20512820512820512,0.0017825311942959,0.7051282051282052,0.0017825311942959,0.7051282051282052,0.0017825311942959,0.7051282051282052,0.0017825311942959
historical_coverage,libero_goal_20260907,libero_goal,seen,knn12_cross_task_or_v8_frozen,560,12,548,12,1,1.0,0.0018248175182481751,0.9230769230769231,0.9990875912408759,0.5805555555555555,16.0,12,1.0,1,12,1.0,1,12,1.0,1,11,0.9166666666666666,0,9,0.75,0,3,0.25,0,0,0.0,0,0.0,0.0,0.0,0.0,0.25,0.0018248175182481751,0.9166666666666666,0.0018248175182481751,1.0,0.0018248175182481751,1.0,0.0018248175182481751,1.0,0.0018248175182481751
historical_coverage,libero_goal_20260907,libero_goal,unseen,knn12_cross_task_or_v8_frozen,1200,78,1122,56,2,0.717948717948718,0.0017825311942959,0.9655172413793104,0.8580830933772111,0.8559829059829059,24.0,56,0.717948717948718,2,49,0.6282051282051282,2,47,0.6025641025641025,2,18,0.23076923076923078,1,13,0.16666666666666666,0,1,0.01282051282051282,0,0,0.0,0,0.0,0.0,0.0,0.0,0.01282051282051282,0.0,0.21794871794871795,0.0017825311942959,0.717948717948718,0.0017825311942959,0.717948717948718,0.0017825311942959,0.717948717948718,0.0017825311942959
historical_coverage,libero_goal_20260907,libero_goal,seen,v82_frozen,560,12,548,12,1,1.0,0.0018248175182481751,0.9230769230769231,0.9990875912408759,0.6027777777777777,18.0,12,1.0,1,12,1.0,1,12,1.0,1,11,0.9166666666666666,0,6,0.5,0,4,0.3333333333333333,0,2,0.16666666666666666,0,0.0,0.0,0.16666666666666666,0.0,0.3333333333333333,0.0018248175182481751,0.9166666666666666,0.0018248175182481751,1.0,0.0018248175182481751,1.0,0.0018248175182481751,1.0,0.0018248175182481751
historical_coverage,libero_goal_20260907,libero_goal,unseen,v82_frozen,1200,78,1122,59,1,0.7564102564102564,0.00089126559714795,0.9833333333333333,0.8777594954065542,0.8444444444444443,24.0,59,0.7564102564102564,1,52,0.6666666666666666,1,48,0.6153846153846154,1,20,0.2564102564102564,1,16,0.20512820512820512,1,1,0.01282051282051282,0,0,0.0,0,0.0,0.0,0.0,0.0,0.01282051282051282,0.0,0.2564102564102564,0.00089126559714795,0.7564102564102564,0.00089126559714795,0.7564102564102564,0.00089126559714795,0.7564102564102564,0.00089126559714795
historical_coverage,libero_goal_20260907,libero_goal,seen,knn10_cross_task_or_v82_frozen,560,12,548,12,1,1.0,0.0018248175182481751,0.9230769230769231,0.9990875912408759,0.561111111111111,16.0,12,1.0,1,12,1.0,1,12,1.0,1,11,0.9166666666666666,0,9,0.75,0,4,0.3333333333333333,0,2,0.16666666666666666,0,0.0,0.0,0.16666666666666666,0.0,0.3333333333333333,0.0018248175182481751,0.9166666666666666,0.0018248175182481751,1.0,0.0018248175182481751,1.0,0.0018248175182481751,1.0,0.0018248175182481751
historical_coverage,libero_goal_20260907,libero_goal,unseen,knn10_cross_task_or_v82_frozen,1200,78,1122,59,2,0.7564102564102564,0.0017825311942959,0.9672131147540983,0.8773138626079803,0.8431623931623932,24.0,59,0.7564102564102564,2,52,0.6666666666666666,2,48,0.6153846153846154,2,20,0.2564102564102564,1,16,0.20512820512820512,1,2,0.02564102564102564,1,0,0.0,0,0.0,0.0,0.0,0.0,0.02564102564102564,0.00089126559714795,0.2564102564102564,0.0017825311942959,0.7564102564102564,0.0017825311942959,0.7564102564102564,0.0017825311942959,0.7564102564102564,0.0017825311942959
historical_coverage,libero_goal_20260907,libero_goal,seen,knn12_cross_task_or_v82_frozen,560,12,548,12,1,1.0,0.0018248175182481751,0.9230769230769231,0.9990875912408759,0.561111111111111,16.0,12,1.0,1,12,1.0,1,12,1.0,1,11,0.9166666666666666,0,9,0.75,0,4,0.3333333333333333,0,2,0.16666666666666666,0,0.0,0.0,0.16666666666666666,0.0,0.3333333333333333,0.0018248175182481751,0.9166666666666666,0.0018248175182481751,1.0,0.0018248175182481751,1.0,0.0018248175182481751,1.0,0.0018248175182481751
historical_coverage,libero_goal_20260907,libero_goal,unseen,knn12_cross_task_or_v82_frozen,1200,78,1122,60,2,0.7692307692307693,0.0017825311942959,0.967741935483871,0.8837241190182367,0.8397435897435898,24.0,60,0.7692307692307693,2,53,0.6794871794871795,2,49,0.6282051282051282,2,20,0.2564102564102564,1,16,0.20512820512820512,1,2,0.02564102564102564,0,0,0.0,0,0.0,0.0,0.0,0.0,0.02564102564102564,0.0,0.2564102564102564,0.0017825311942959,0.7692307692307693,0.0017825311942959,0.7692307692307693,0.0017825311942959,0.7692307692307693,0.0017825311942959
all_test_rows,libero_goal_20260908,libero_goal,seen,knn10_cross_task,560,22,538,11,0,0.5,0.0,1.0,0.75,0.8303030303030304,16.0,11,0.5,0,9,0.4090909090909091,0,9,0.4090909090909091,0,8,0.36363636363636365,0,8,0.36363636363636365,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.36363636363636365,0.0,0.5,0.0,0.5,0.0,0.5,0.0
all_test_rows,libero_goal_20260908,libero_goal,unseen,knn10_cross_task,1200,9,1191,9,0,1.0,0.0,1.0,1.0,0.762962962962963,21.0,9,1.0,0,9,1.0,0,7,0.7777777777777778,0,6,0.6666666666666666,0,1,0.1111111111111111,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.5555555555555556,0.0,1.0,0.0,1.0,0.0,1.0,0.0
all_test_rows,libero_goal_20260908,libero_goal,seen,knn12_cross_task,560,22,538,11,0,0.5,0.0,1.0,0.75,0.8257575757575758,16.0,11,0.5,0,10,0.45454545454545453,0,10,0.45454545454545453,0,8,0.36363636363636365,0,8,0.36363636363636365,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.36363636363636365,0.0,0.5,0.0,0.5,0.0,0.5,0.0
all_test_rows,libero_goal_20260908,libero_goal,unseen,knn12_cross_task,1200,9,1191,9,0,1.0,0.0,1.0,1.0,0.6592592592592593,19.0,9,1.0,0,9,1.0,0,9,1.0,0,8,0.8888888888888888,0,4,0.4444444444444444,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.7777777777777778,0.0,1.0,0.0,1.0,0.0,1.0,0.0
all_test_rows,libero_goal_20260908,libero_goal,seen,knn10,560,22,538,21,3,0.9545454545454546,0.0055762081784386614,0.875,0.9744846231835079,0.6878787878787879,21.0,21,0.9545454545454546,3,21,0.9545454545454546,1,20,0.9090909090909091,1,15,0.6818181818181818,0,10,0.45454545454545453,0,4,0.18181818181818182,0,0,0.0,0,0.0,0.0,0.0,0.0018587360594795538,0.18181818181818182,0.0037174721189591076,0.5,0.0055762081784386614,0.9545454545454546,0.0055762081784386614,0.9545454545454546,0.0055762081784386614,0.9545454545454546,0.0055762081784386614
all_test_rows,libero_goal_20260908,libero_goal,unseen,knn10,1200,9,1191,9,3,1.0,0.0025188916876574307,0.75,0.9987405541561712,0.5518518518518518,15.0,9,1.0,3,9,1.0,3,9,1.0,1,9,1.0,0,9,1.0,0,2,0.2222222222222222,0,0,0.0,0,0.0,0.0,0.0,0.0008396305625524769,0.2222222222222222,0.0025188916876574307,1.0,0.0025188916876574307,1.0,0.0025188916876574307,1.0,0.0025188916876574307,1.0,0.0025188916876574307
all_test_rows,libero_goal_20260908,libero_goal,seen,knn12_v8,560,22,538,21,3,0.9545454545454546,0.0055762081784386614,0.875,0.9744846231835079,0.7075757575757575,22.0,21,0.9545454545454546,3,20,0.9090909090909091,1,19,0.8636363636363636,1,12,0.5454545454545454,1,9,0.4090909090909091,0,4,0.18181818181818182,0,0,0.0,0,0.0,0.0,0.0,0.0018587360594795538,0.18181818181818182,0.0037174721189591076,0.45454545454545453,0.0055762081784386614,0.9545454545454546,0.0055762081784386614,0.9545454545454546,0.0055762081784386614,0.9545454545454546,0.0055762081784386614
all_test_rows,libero_goal_20260908,libero_goal,unseen,knn12_v8,1200,9,1191,9,2,1.0,0.0016792611251049538,0.8181818181818182,0.9991603694374476,0.5592592592592592,16.0,9,1.0,2,9,1.0,2,9,1.0,0,9,1.0,0,9,1.0,0,1,0.1111111111111111,0,0,0.0,0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0016792611251049538,1.0,0.0016792611251049538,1.0,0.0016792611251049538,1.0,0.0016792611251049538,1.0,0.0016792611251049538
historical_coverage,libero_goal_20260908,libero_goal,seen,knn10_cross_task,560,22,538,11,0,0.5,0.0,1.0,0.75,0.8303030303030304,16.0,11,0.5,0,9,0.4090909090909091,0,9,0.4090909090909091,0,8,0.36363636363636365,0,8,0.36363636363636365,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.36363636363636365,0.0,0.5,0.0,0.5,0.0,0.5,0.0
historical_coverage,libero_goal_20260908,libero_goal,unseen,knn10_cross_task,1200,9,1191,9,0,1.0,0.0,1.0,1.0,0.762962962962963,21.0,9,1.0,0,9,1.0,0,7,0.7777777777777778,0,6,0.6666666666666666,0,1,0.1111111111111111,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.5555555555555556,0.0,1.0,0.0,1.0,0.0,1.0,0.0
historical_coverage,libero_goal_20260908,libero_goal,seen,knn12_cross_task,560,22,538,11,0,0.5,0.0,1.0,0.75,0.8257575757575758,16.0,11,0.5,0,10,0.45454545454545453,0,10,0.45454545454545453,0,8,0.36363636363636365,0,8,0.36363636363636365,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.36363636363636365,0.0,0.5,0.0,0.5,0.0,0.5,0.0
historical_coverage,libero_goal_20260908,libero_goal,unseen,knn12_cross_task,1200,9,1191,9,0,1.0,0.0,1.0,1.0,0.6592592592592593,19.0,9,1.0,0,9,1.0,0,9,1.0,0,8,0.8888888888888888,0,4,0.4444444444444444,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.7777777777777778,0.0,1.0,0.0,1.0,0.0,1.0,0.0
historical_coverage,libero_goal_20260908,libero_goal,seen,knn10,560,22,538,21,3,0.9545454545454546,0.0055762081784386614,0.875,0.9744846231835079,0.6878787878787879,21.0,21,0.9545454545454546,3,21,0.9545454545454546,1,20,0.9090909090909091,1,15,0.6818181818181818,0,10,0.45454545454545453,0,4,0.18181818181818182,0,0,0.0,0,0.0,0.0,0.0,0.0018587360594795538,0.18181818181818182,0.0037174721189591076,0.5,0.0055762081784386614,0.9545454545454546,0.0055762081784386614,0.9545454545454546,0.0055762081784386614,0.9545454545454546,0.0055762081784386614
historical_coverage,libero_goal_20260908,libero_goal,unseen,knn10,1200,9,1191,9,3,1.0,0.0025188916876574307,0.75,0.9987405541561712,0.5518518518518518,15.0,9,1.0,3,9,1.0,3,9,1.0,1,9,1.0,0,9,1.0,0,2,0.2222222222222222,0,0,0.0,0,0.0,0.0,0.0,0.0008396305625524769,0.2222222222222222,0.0025188916876574307,1.0,0.0025188916876574307,1.0,0.0025188916876574307,1.0,0.0025188916876574307,1.0,0.0025188916876574307
historical_coverage,libero_goal_20260908,libero_goal,seen,knn12_v8,560,22,538,21,3,0.9545454545454546,0.0055762081784386614,0.875,0.9744846231835079,0.7075757575757575,22.0,21,0.9545454545454546,3,20,0.9090909090909091,1,19,0.8636363636363636,1,12,0.5454545454545454,1,9,0.4090909090909091,0,4,0.18181818181818182,0,0,0.0,0,0.0,0.0,0.0,0.0018587360594795538,0.18181818181818182,0.0037174721189591076,0.45454545454545453,0.0055762081784386614,0.9545454545454546,0.0055762081784386614,0.9545454545454546,0.0055762081784386614,0.9545454545454546,0.0055762081784386614
historical_coverage,libero_goal_20260908,libero_goal,unseen,knn12_v8,1200,9,1191,9,2,1.0,0.0016792611251049538,0.8181818181818182,0.9991603694374476,0.5592592592592592,16.0,9,1.0,2,9,1.0,2,9,1.0,0,9,1.0,0,9,1.0,0,1,0.1111111111111111,0,0,0.0,0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0016792611251049538,1.0,0.0016792611251049538,1.0,0.0016792611251049538,1.0,0.0016792611251049538,1.0,0.0016792611251049538
historical_coverage,libero_goal_20260908,libero_goal,seen,v8_frozen,560,22,538,18,1,0.8181818181818182,0.0018587360594795538,0.9473684210526315,0.9081615410611694,0.7803030303030305,20.0,18,0.8181818181818182,1,14,0.6363636363636364,1,13,0.5909090909090909,1,9,0.4090909090909091,0,9,0.4090909090909091,0,3,0.13636363636363635,0,0,0.0,0,0.0,0.0,0.0,0.0,0.13636363636363635,0.0018587360594795538,0.4090909090909091,0.0018587360594795538,0.8181818181818182,0.0018587360594795538,0.8181818181818182,0.0018587360594795538,0.8181818181818182,0.0018587360594795538
historical_coverage,libero_goal_20260908,libero_goal,unseen,v8_frozen,1200,9,1191,9,0,1.0,0.0,1.0,1.0,0.674074074074074,19.0,9,1.0,0,9,1.0,0,9,1.0,0,8,0.8888888888888888,0,4,0.4444444444444444,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.7777777777777778,0.0,1.0,0.0,1.0,0.0,1.0,0.0
historical_coverage,libero_goal_20260908,libero_goal,seen,knn10_cross_task_or_v8_frozen,560,22,538,18,1,0.8181818181818182,0.0018587360594795538,0.9473684210526315,0.9081615410611694,0.7803030303030305,20.0,18,0.8181818181818182,1,14,0.6363636363636364,1,13,0.5909090909090909,1,9,0.4090909090909091,0,9,0.4090909090909091,0,3,0.13636363636363635,0,0,0.0,0,0.0,0.0,0.0,0.0,0.13636363636363635,0.0018587360594795538,0.4090909090909091,0.0018587360594795538,0.8181818181818182,0.0018587360594795538,0.8181818181818182,0.0018587360594795538,0.8181818181818182,0.0018587360594795538
historical_coverage,libero_goal_20260908,libero_goal,unseen,knn10_cross_task_or_v8_frozen,1200,9,1191,9,0,1.0,0.0,1.0,1.0,0.662962962962963,19.0,9,1.0,0,9,1.0,0,9,1.0,0,8,0.8888888888888888,0,4,0.4444444444444444,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.8888888888888888,0.0,1.0,0.0,1.0,0.0,1.0,0.0
historical_coverage,libero_goal_20260908,libero_goal,seen,knn12_cross_task_or_v8_frozen,560,22,538,18,1,0.8181818181818182,0.0018587360594795538,0.9473684210526315,0.9081615410611694,0.7803030303030305,20.0,18,0.8181818181818182,1,14,0.6363636363636364,1,13,0.5909090909090909,1,9,0.4090909090909091,0,9,0.4090909090909091,0,3,0.13636363636363635,0,0,0.0,0,0.0,0.0,0.0,0.0,0.13636363636363635,0.0018587360594795538,0.4090909090909091,0.0018587360594795538,0.8181818181818182,0.0018587360594795538,0.8181818181818182,0.0018587360594795538,0.8181818181818182,0.0018587360594795538
historical_coverage,libero_goal_20260908,libero_goal,unseen,knn12_cross_task_or_v8_frozen,1200,9,1191,9,0,1.0,0.0,1.0,1.0,0.6185185185185185,18.0,9,1.0,0,9,1.0,0,9,1.0,0,9,1.0,0,7,0.7777777777777778,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
historical_coverage,libero_goal_20260908,libero_goal,seen,v82_frozen,560,22,538,19,1,0.8636363636363636,0.0018587360594795538,0.95,0.9308888137884421,0.7787878787878789,24.0,19,0.8636363636363636,1,15,0.6818181818181818,1,13,0.5909090909090909,1,9,0.4090909090909091,0,9,0.4090909090909091,0,3,0.13636363636363635,0,0,0.0,0,0.0,0.0,0.0,0.0,0.13636363636363635,0.0018587360594795538,0.4090909090909091,0.0018587360594795538,0.8636363636363636,0.0018587360594795538,0.8636363636363636,0.0018587360594795538,0.8636363636363636,0.0018587360594795538
