source,run_id,suite,task,episode,init_state_id,noise_seed,length,checkpoint,failure,global_row,cohort,actual_action_steps,fold,full_last_query,full_frozen_full_first_query,full_prefix_calibration_first_query,task_common_last_query,task_common_frozen_full_first_query,task_common_prefix_calibration_first_query,fixed_q13_last_query,fixed_q13_frozen_full_first_query,fixed_q13_prefix_calibration_first_query
cache_new/HiMoE-VLA/libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove/right-50x8-20260903,right-50x8-20260903,libero_long,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,149,18,1005,42,cdc2b21f9ef657ab31049cfd2b1e2086ceb193a1b8c16af0cd6688925491a256,False,10549,A,412,libero_long_full_1,41,12,12,34,12,12,13,12,12
cache_new/HiMoE-VLA/libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove/right-50x8-20260903,right-50x8-20260903,libero_long,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,152,19,1000,43,cdc2b21f9ef657ab31049cfd2b1e2086ceb193a1b8c16af0cd6688925491a256,False,10552,A,428,libero_long_full_1,42,36,36,34,-1,-1,13,-1,13
cache_new/HiMoE-VLA/libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove/right-50x8-20260903,right-50x8-20260903,libero_long,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,184,23,1000,40,cdc2b21f9ef657ab31049cfd2b1e2086ceb193a1b8c16af0cd6688925491a256,False,10584,A,394,libero_long_full_1,39,15,15,34,15,15,13,-1,11
cache_new/HiMoE-VLA/libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove/right-50x8-20260903,right-50x8-20260903,libero_long,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,189,23,1005,42,cdc2b21f9ef657ab31049cfd2b1e2086ceb193a1b8c16af0cd6688925491a256,False,10589,A,412,libero_long_full_1,41,16,16,34,16,16,13,-1,11
cache_new/HiMoE-VLA/libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove/right-50x8-20260903,right-50x8-20260903,libero_long,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,276,34,1004,39,cdc2b21f9ef657ab31049cfd2b1e2086ceb193a1b8c16af0cd6688925491a256,False,10676,A,388,libero_long_full_1,38,11,11,34,11,11,13,11,11
cache_new/HiMoE-VLA/libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove/right-50x8-20260903,right-50x8-20260903,libero_long,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,279,34,1007,40,cdc2b21f9ef657ab31049cfd2b1e2086ceb193a1b8c16af0cd6688925491a256,False,10679,A,393,libero_long_full_1,39,12,12,34,12,12,13,12,12
cache_new/HiMoE-VLA/libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove/right-50x8-20260903,right-50x8-20260903,libero_long,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,312,39,1000,50,cdc2b21f9ef657ab31049cfd2b1e2086ceb193a1b8c16af0cd6688925491a256,False,10712,A,499,libero_long_full_1,49,33,33,34,33,33,13,-1,13
cache_new/HiMoE-VLA/libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove/right-50x8-20260903,right-50x8-20260903,libero_long,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,383,47,1007,44,cdc2b21f9ef657ab31049cfd2b1e2086ceb193a1b8c16af0cd6688925491a256,False,10783,A,435,libero_long_full_1,43,35,35,34,-1,-1,13,-1,10
cache_new/HiMoE-VLA/libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove/right-50x8b-20260903,right-50x8b-20260903,libero_long,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,4,0,1012,47,cdc2b21f9ef657ab31049cfd2b1e2086ceb193a1b8c16af0cd6688925491a256,False,10804,B,463,libero_long_full_1,46,32,32,34,32,32,13,-1,-1
cache_new/HiMoE-VLA/libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove/right-50x8b-20260903,right-50x8b-20260903,libero_long,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,28,3,1012,44,cdc2b21f9ef657ab31049cfd2b1e2086ceb193a1b8c16af0cd6688925491a256,False,10828,B,432,libero_long_full_1,43,36,36,34,-1,-1,13,-1,12
cache_new/HiMoE-VLA/libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove/right-50x8b-20260903,right-50x8b-20260903,libero_long,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,34,4,1010,51,cdc2b21f9ef657ab31049cfd2b1e2086ceb193a1b8c16af0cd6688925491a256,False,10834,B,503,libero_long_full_1,50,34,34,34,34,34,13,-1,10
cache_new/HiMoE-VLA/libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove/right-50x8b-20260903,right-50x8b-20260903,libero_long,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,56,7,1008,44,cdc2b21f9ef657ab31049cfd2b1e2086ceb193a1b8c16af0cd6688925491a256,False,10856,B,431,libero_long_full_1,43,30,30,34,30,30,13,-1,-1
cache_new/HiMoE-VLA/libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove/right-50x8b-20260903,right-50x8b-20260903,libero_long,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,63,7,1015,48,cdc2b21f9ef657ab31049cfd2b1e2086ceb193a1b8c16af0cd6688925491a256,False,10863,B,478,libero_long_full_1,47,33,33,34,33,33,13,-1,10
cache_new/HiMoE-VLA/libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove/right-50x8b-20260903,right-50x8b-20260903,libero_long,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,83,10,1011,44,cdc2b21f9ef657ab31049cfd2b1e2086ceb193a1b8c16af0cd6688925491a256,False,10883,B,439,libero_long_full_1,43,32,32,34,32,32,13,-1,-1
cache_new/HiMoE-VLA/libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove/right-50x8b-20260903,right-50x8b-20260903,libero_long,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,126,15,1014,42,cdc2b21f9ef657ab31049cfd2b1e2086ceb193a1b8c16af0cd6688925491a256,False,10926,B,416,libero_long_full_1,41,34,34,34,34,34,13,-1,-1
cache_new/HiMoE-VLA/libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove/right-50x8b-20260903,right-50x8b-20260903,libero_long,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,144,18,1008,40,cdc2b21f9ef657ab31049cfd2b1e2086ceb193a1b8c16af0cd6688925491a256,False,10944,B,399,libero_long_full_1,39,12,12,34,12,12,13,12,12
cache_new/HiMoE-VLA/libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove/right-50x8b-20260903,right-50x8b-20260903,libero_long,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,146,18,1010,41,cdc2b21f9ef657ab31049cfd2b1e2086ceb193a1b8c16af0cd6688925491a256,False,10946,B,405,libero_long_full_1,40,12,12,34,12,12,13,12,12
cache_new/HiMoE-VLA/libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove/right-50x8b-20260903,right-50x8b-20260903,libero_long,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,168,21,1008,42,cdc2b21f9ef657ab31049cfd2b1e2086ceb193a1b8c16af0cd6688925491a256,False,10968,B,411,libero_long_full_1,41,16,16,34,16,16,13,-1,10
cache_new/HiMoE-VLA/libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove/right-50x8b-20260903,right-50x8b-20260903,libero_long,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,174,21,1014,45,cdc2b21f9ef657ab31049cfd2b1e2086ceb193a1b8c16af0cd6688925491a256,False,10974,B,447,libero_long_full_1,44,35,35,34,-1,-1,13,-1,11
cache_new/HiMoE-VLA/libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove/right-50x8b-20260903,right-50x8b-20260903,libero_long,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,185,23,1009,39,cdc2b21f9ef657ab31049cfd2b1e2086ceb193a1b8c16af0cd6688925491a256,False,10985,B,382,libero_long_full_1,38,16,16,34,16,16,13,-1,11
cache_new/HiMoE-VLA/libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove/right-50x8b-20260903,right-50x8b-20260903,libero_long,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,276,34,1012,39,cdc2b21f9ef657ab31049cfd2b1e2086ceb193a1b8c16af0cd6688925491a256,False,11076,B,388,libero_long_full_1,38,12,12,34,12,12,13,12,12
cache_new/HiMoE-VLA/libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove/right-50x8b-20260903,right-50x8b-20260903,libero_long,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,285,35,1013,43,cdc2b21f9ef657ab31049cfd2b1e2086ceb193a1b8c16af0cd6688925491a256,False,11085,B,430,libero_long_full_1,42,14,14,34,14,14,13,-1,10
