window,threshold_mode,method,alpha,level,group,episodes,failures,successes,tp,fp,fn,tn,recall,fpr,precision,auc_peak_ratio,ap_peak_ratio,auc_peak_raw,ap_peak_raw,auc_endpoint_ratio,auc_endpoint_raw
full,frozen_full,c32_centroid_distance,0.05,task,libero_long/KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,800,7,793,2,6,5,787,0.2857142857142857,0.007566204287515763,0.25,0.970275626013331,0.2767179910037053,0.970275626013331,0.2767179910037053,0.7861646550171141,0.7861646550171141
full,frozen_full,c4_centroid_distance,0.05,task,libero_long/KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,800,7,793,4,3,3,790,0.5714285714285714,0.0037831021437578815,0.5714285714285714,0.9913529093856962,0.44009826152683296,0.9913529093856962,0.44009826152683296,0.9960367501351108,0.9960367501351108
full,frozen_full,c4_assigned_radius,0.05,task,libero_long/KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,800,7,793,5,3,2,790,0.7142857142857143,0.0037831021437578815,0.625,0.9765807962529274,0.4370702334988049,0.9765807962529274,0.4370702334988049,0.9974779319041615,0.9974779319041615
full,prefix_calibration,knn20,0.05,task,libero_long/KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,800,7,793,4,3,3,790,0.5714285714285714,0.0037831021437578815,0.5714285714285714,0.9897315798955144,0.45357325725989317,0.9897315798955144,0.45357325725989317,0.894973878580436,0.894973878580436
full,prefix_calibration,c32_centroid_distance,0.05,task,libero_long/KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,800,7,793,2,6,5,787,0.2857142857142857,0.007566204287515763,0.25,0.970275626013331,0.2767179910037053,0.970275626013331,0.2767179910037053,0.7861646550171141,0.7861646550171141
full,prefix_calibration,c4_centroid_distance,0.05,task,libero_long/KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,800,7,793,4,3,3,790,0.5714285714285714,0.0037831021437578815,0.5714285714285714,0.9913529093856962,0.44009826152683296,0.9913529093856962,0.44009826152683296,0.9960367501351108,0.9960367501351108
full,prefix_calibration,c4_assigned_radius,0.05,task,libero_long/KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,800,7,793,5,3,2,790,0.7142857142857143,0.0037831021437578815,0.625,0.9765807962529274,0.4370702334988049,0.9765807962529274,0.4370702334988049,0.9974779319041615,0.9974779319041615
full,frozen_full,knn20,0.05,task,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,800,289,511,232,31,57,480,0.8027681660899654,0.060665362035225046,0.8821292775665399,0.9368969183160774,0.9118462480905621,0.9368969183160774,0.9118462480905621,0.6931249534463262,0.6931249534463262
full,frozen_full,c32_centroid_distance,0.05,task,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,800,289,511,258,68,31,443,0.8927335640138409,0.13307240704500978,0.7914110429447853,0.936355202838589,0.9118488746313315,0.936355202838589,0.9118488746313315,0.7773481673088252,0.7773481673088252
full,frozen_full,c4_centroid_distance,0.05,task,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,800,289,511,199,16,90,495,0.6885813148788927,0.03131115459882583,0.9255813953488372,0.9367073178989566,0.9123238733050796,0.9367073178989566,0.9123238733050796,0.7266097413985739,0.7266097413985739
full,frozen_full,c4_assigned_radius,0.05,task,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,800,289,511,228,36,61,475,0.7889273356401384,0.07045009784735812,0.8636363636363636,0.923780632317391,0.9008559157858399,0.923780632317391,0.9008559157858399,0.7304762356191469,0.7304762356191469
full,prefix_calibration,knn20,0.05,task,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,800,289,511,232,31,57,480,0.8027681660899654,0.060665362035225046,0.8821292775665399,0.9368969183160774,0.9118462480905621,0.9368969183160774,0.9118462480905621,0.6931249534463262,0.6931249534463262
full,prefix_calibration,c32_centroid_distance,0.05,task,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,800,289,511,258,68,31,443,0.8927335640138409,0.13307240704500978,0.7914110429447853,0.936355202838589,0.9118488746313315,0.936355202838589,0.9118488746313315,0.7773481673088252,0.7773481673088252
full,prefix_calibration,c4_centroid_distance,0.05,task,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,800,289,511,199,16,90,495,0.6885813148788927,0.03131115459882583,0.9255813953488372,0.9367073178989566,0.9123238733050796,0.9367073178989566,0.9123238733050796,0.7266097413985739,0.7266097413985739
full,prefix_calibration,c4_assigned_radius,0.05,task,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,800,289,511,228,36,61,475,0.7889273356401384,0.07045009784735812,0.8636363636363636,0.923780632317391,0.9008559157858399,0.923780632317391,0.9008559157858399,0.7304762356191469,0.7304762356191469
full,frozen_full,knn20,0.05,task,libero_long/LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket,800,56,744,45,5,11,739,0.8035714285714286,0.006720430107526882,0.9,0.9969998079877113,0.9564736574255319,0.9969998079877113,0.9564736574255319,0.9075220814132104,0.9075220814132104
full,frozen_full,c32_centroid_distance,0.05,task,libero_long/LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket,800,56,744,51,8,5,736,0.9107142857142857,0.010752688172043012,0.864406779661017,0.9961837557603687,0.9436839316887735,0.9961837557603687,0.9436839316887735,0.8827764976958525,0.8827764976958525
full,frozen_full,c4_centroid_distance,0.05,task,libero_long/LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket,800,56,744,45,3,11,741,0.8035714285714286,0.004032258064516129,0.9375,0.9967357910906298,0.955980203873154,0.9967357910906298,0.955980203873154,0.9398281490015361,0.9398281490015361
full,frozen_full,c4_assigned_radius,0.05,task,libero_long/LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket,800,56,744,47,4,9,740,0.8392857142857143,0.005376344086021506,0.9215686274509803,0.9953437019969278,0.942316955956485,0.9953437019969278,0.942316955956485,0.9285234254992321,0.9285234254992321
full,prefix_calibration,knn20,0.05,task,libero_long/LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket,800,56,744,45,5,11,739,0.8035714285714286,0.006720430107526882,0.9,0.9969998079877113,0.9564736574255319,0.9969998079877113,0.9564736574255319,0.9075220814132104,0.9075220814132104
full,prefix_calibration,c32_centroid_distance,0.05,task,libero_long/LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket,800,56,744,51,8,5,736,0.9107142857142857,0.010752688172043012,0.864406779661017,0.9961837557603687,0.9436839316887735,0.9961837557603687,0.9436839316887735,0.8827764976958525,0.8827764976958525
full,prefix_calibration,c4_centroid_distance,0.05,task,libero_long/LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket,800,56,744,45,3,11,741,0.8035714285714286,0.004032258064516129,0.9375,0.9967357910906298,0.955980203873154,0.9967357910906298,0.955980203873154,0.9398281490015361,0.9398281490015361
full,prefix_calibration,c4_assigned_radius,0.05,task,libero_long/LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket,800,56,744,47,4,9,740,0.8392857142857143,0.005376344086021506,0.9215686274509803,0.9953437019969278,0.942316955956485,0.9953437019969278,0.942316955956485,0.9285234254992321,0.9285234254992321
full,frozen_full,knn20,0.05,task,libero_long/LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,800,23,777,18,3,5,774,0.782608695652174,0.003861003861003861,0.8571428571428571,0.9637401376531811,0.8135670041073957,0.9637401376531811,0.8135670041073957,0.3764758547367243,0.3764758547367243
full,frozen_full,c32_centroid_distance,0.05,task,libero_long/LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,800,23,777,18,14,5,763,0.782608695652174,0.018018018018018018,0.5625,0.962621006099267,0.7372834183925456,0.962621006099267,0.7372834183925456,0.4074757987801466,0.4074757987801466
full,frozen_full,c4_centroid_distance,0.05,task,libero_long/LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,800,23,777,15,1,8,776,0.6521739130434783,0.001287001287001287,0.9375,0.93559397907224,0.788312462029476,0.93559397907224,0.788312462029476,0.3663477141738011,0.3663477141738011
full,frozen_full,c4_assigned_radius,0.05,task,libero_long/LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,800,23,777,18,7,5,770,0.782608695652174,0.009009009009009009,0.72,0.9322925409881931,0.7960883583950813,0.9322925409881931,0.7960883583950813,0.347770130378826,0.347770130378826
full,prefix_calibration,knn20,0.05,task,libero_long/LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,800,23,777,18,3,5,774,0.782608695652174,0.003861003861003861,0.8571428571428571,0.9637401376531811,0.8135670041073957,0.9637401376531811,0.8135670041073957,0.3764758547367243,0.3764758547367243
full,prefix_calibration,c32_centroid_distance,0.05,task,libero_long/LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,800,23,777,18,14,5,763,0.782608695652174,0.018018018018018018,0.5625,0.962621006099267,0.7372834183925456,0.962621006099267,0.7372834183925456,0.4074757987801466,0.4074757987801466
full,prefix_calibration,c4_centroid_distance,0.05,task,libero_long/LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,800,23,777,15,1,8,776,0.6521739130434783,0.001287001287001287,0.9375,0.93559397907224,0.788312462029476,0.93559397907224,0.788312462029476,0.3663477141738011,0.3663477141738011
full,prefix_calibration,c4_assigned_radius,0.05,task,libero_long/LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,800,23,777,18,7,5,770,0.782608695652174,0.009009009009009009,0.72,0.9322925409881931,0.7960883583950813,0.9322925409881931,0.7960883583950813,0.347770130378826,0.347770130378826
full,frozen_full,knn20,0.05,task,libero_long/LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket,800,10,790,9,3,1,787,0.9,0.0037974683544303796,0.75,0.9981012658227849,0.889734753550543,0.9981012658227849,0.889734753550543,0.9244303797468354,0.9244303797468354
full,frozen_full,c32_centroid_distance,0.05,task,libero_long/LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket,800,10,790,10,10,0,780,1.0,0.012658227848101266,0.5,0.9956962025316456,0.7517628205128205,0.9956962025316456,0.7517628205128205,0.9227848101265823,0.9227848101265823
full,frozen_full,c4_centroid_distance,0.05,task,libero_long/LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket,800,10,790,7,1,3,789,0.7,0.0012658227848101266,0.875,0.9979746835443039,0.8893623481781376,0.9979746835443039,0.8893623481781376,0.9556962025316457,0.9556962025316457
full,frozen_full,c4_assigned_radius,0.05,task,libero_long/LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket,800,10,790,8,4,2,786,0.8,0.005063291139240506,0.6666666666666666,0.9969620253164557,0.8601190476190477,0.9969620253164557,0.8601190476190477,0.9624050632911392,0.9624050632911392
full,prefix_calibration,knn20,0.05,task,libero_long/LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket,800,10,790,9,3,1,787,0.9,0.0037974683544303796,0.75,0.9981012658227849,0.889734753550543,0.9981012658227849,0.889734753550543,0.9244303797468354,0.9244303797468354
full,prefix_calibration,c32_centroid_distance,0.05,task,libero_long/LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket,800,10,790,10,10,0,780,1.0,0.012658227848101266,0.5,0.9956962025316456,0.7517628205128205,0.9956962025316456,0.7517628205128205,0.9227848101265823,0.9227848101265823
full,prefix_calibration,c4_centroid_distance,0.05,task,libero_long/LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket,800,10,790,7,1,3,789,0.7,0.0012658227848101266,0.875,0.9979746835443039,0.8893623481781376,0.9979746835443039,0.8893623481781376,0.9556962025316457,0.9556962025316457
full,prefix_calibration,c4_assigned_radius,0.05,task,libero_long/LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket,800,10,790,8,4,2,786,0.8,0.005063291139240506,0.6666666666666666,0.9969620253164557,0.8601190476190477,0.9969620253164557,0.8601190476190477,0.9624050632911392,0.9624050632911392
full,frozen_full,knn20,0.05,task,libero_long/LIVING_ROOM_SCENE5_put_the_white_mug_on_the_left_plate_and_put_the_yellow_and_white_mug_on_the_right_plate,800,37,763,35,4,2,759,0.9459459459459459,0.005242463958060288,0.8974358974358975,0.9965286387304736,0.932974854268964,0.9965286387304736,0.932974854268964,0.9965286387304737,0.9965286387304737
full,frozen_full,c32_centroid_distance,0.05,task,libero_long/LIVING_ROOM_SCENE5_put_the_white_mug_on_the_left_plate_and_put_the_yellow_and_white_mug_on_the_right_plate,800,37,763,35,11,2,752,0.9459459459459459,0.014416775884665793,0.7608695652173914,0.9944387375580036,0.9219077149012306,0.9944387375580036,0.9219077149012306,0.9810846232864582,0.9810846232864582
full,frozen_full,c4_centroid_distance,0.05,task,libero_long/LIVING_ROOM_SCENE5_put_the_white_mug_on_the_left_plate_and_put_the_yellow_and_white_mug_on_the_right_plate,800,37,763,21,2,16,761,0.5675675675675675,0.002621231979030144,0.9130434782608695,0.9965640607842443,0.941247695398512,0.9965640607842443,0.941247695398512,0.953845063936807,0.953845063936807
full,frozen_full,c4_assigned_radius,0.05,task,libero_long/LIVING_ROOM_SCENE5_put_the_white_mug_on_the_left_plate_and_put_the_yellow_and_white_mug_on_the_right_plate,800,37,763,21,2,16,761,0.5675675675675675,0.002621231979030144,0.9130434782608695,0.9969537033757218,0.9428322531628451,0.9969537033757218,0.9428322531628451,0.7949771527753179,0.7949771527753179
full,prefix_calibration,knn20,0.05,task,libero_long/LIVING_ROOM_SCENE5_put_the_white_mug_on_the_left_plate_and_put_the_yellow_and_white_mug_on_the_right_plate,800,37,763,35,4,2,759,0.9459459459459459,0.005242463958060288,0.8974358974358975,0.9965286387304736,0.932974854268964,0.9965286387304736,0.932974854268964,0.9965286387304737,0.9965286387304737
full,prefix_calibration,c32_centroid_distance,0.05,task,libero_long/LIVING_ROOM_SCENE5_put_the_white_mug_on_the_left_plate_and_put_the_yellow_and_white_mug_on_the_right_plate,800,37,763,35,11,2,752,0.9459459459459459,0.014416775884665793,0.7608695652173914,0.9944387375580036,0.9219077149012306,0.9944387375580036,0.9219077149012306,0.9810846232864582,0.9810846232864582
full,prefix_calibration,c4_centroid_distance,0.05,task,libero_long/LIVING_ROOM_SCENE5_put_the_white_mug_on_the_left_plate_and_put_the_yellow_and_white_mug_on_the_right_plate,800,37,763,21,2,16,761,0.5675675675675675,0.002621231979030144,0.9130434782608695,0.9965640607842443,0.941247695398512,0.9965640607842443,0.941247695398512,0.953845063936807,0.953845063936807
full,prefix_calibration,c4_assigned_radius,0.05,task,libero_long/LIVING_ROOM_SCENE5_put_the_white_mug_on_the_left_plate_and_put_the_yellow_and_white_mug_on_the_right_plate,800,37,763,21,2,16,761,0.5675675675675675,0.002621231979030144,0.9130434782608695,0.9969537033757218,0.9428322531628451,0.9969537033757218,0.9428322531628451,0.7949771527753179,0.7949771527753179
full,frozen_full,knn20,0.05,task,libero_long/LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate,800,90,710,60,14,30,696,0.6666666666666666,0.01971830985915493,0.8108108108108109,0.9828325508607199,0.8568759960334797,0.9828325508607199,0.8568759960334797,0.9685289514866979,0.9685289514866979
full,frozen_full,c32_centroid_distance,0.05,task,libero_long/LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate,800,90,710,48,8,42,702,0.5333333333333333,0.011267605633802818,0.8571428571428571,0.9818153364632238,0.8668373559110256,0.9818153364632238,0.8668373559110256,0.9477777777777778,0.9477777777777778
full,frozen_full,c4_centroid_distance,0.05,task,libero_long/LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate,800,90,710,70,19,20,691,0.7777777777777778,0.02676056338028169,0.7865168539325843,0.9809233176838811,0.8329340410478168,0.9809233176838811,0.8329340410478168,0.963114241001565,0.963114241001565
full,frozen_full,c4_assigned_radius,0.05,task,libero_long/LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate,800,90,710,50,6,40,704,0.5555555555555556,0.008450704225352112,0.8928571428571429,0.9844444444444445,0.8732009952563842,0.9844444444444445,0.8732009952563842,0.9263536776212833,0.9263536776212833
full,prefix_calibration,knn20,0.05,task,libero_long/LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate,800,90,710,60,14,30,696,0.6666666666666666,0.01971830985915493,0.8108108108108109,0.9828325508607199,0.8568759960334797,0.9828325508607199,0.8568759960334797,0.9685289514866979,0.9685289514866979
full,prefix_calibration,c32_centroid_distance,0.05,task,libero_long/LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate,800,90,710,48,8,42,702,0.5333333333333333,0.011267605633802818,0.8571428571428571,0.9818153364632238,0.8668373559110256,0.9818153364632238,0.8668373559110256,0.9477777777777778,0.9477777777777778
full,prefix_calibration,c4_centroid_distance,0.05,task,libero_long/LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate,800,90,710,70,19,20,691,0.7777777777777778,0.02676056338028169,0.7865168539325843,0.9809233176838811,0.8329340410478168,0.9809233176838811,0.8329340410478168,0.963114241001565,0.963114241001565
full,prefix_calibration,c4_assigned_radius,0.05,task,libero_long/LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate,800,90,710,50,6,40,704,0.5555555555555556,0.008450704225352112,0.8928571428571429,0.9844444444444445,0.8732009952563842,0.9844444444444445,0.8732009952563842,0.9263536776212833,0.9263536776212833
full,frozen_full,knn20,0.05,task,libero_long/STUDY_SCENE1_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy,800,14,786,12,91,2,695,0.8571428571428571,0.11577608142493638,0.11650485436893204,0.9626499454743729,0.5339657420533345,0.9626499454743729,0.5339657420533345,0.9389312977099237,0.9389312977099237
full,frozen_full,c32_centroid_distance,0.05,task,libero_long/STUDY_SCENE1_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy,800,14,786,13,164,1,622,0.9285714285714286,0.20865139949109415,0.07344632768361582,0.918302435478008,0.21218127753859287,0.918302435478008,0.21218127753859287,0.5912395492548164,0.5912395492548164
full,frozen_full,c4_centroid_distance,0.05,task,libero_long/STUDY_SCENE1_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy,800,14,786,14,12,0,774,1.0,0.015267175572519083,0.5384615384615384,0.9970919665576155,0.8252842604346363,0.9970919665576155,0.8252842604346363,0.9896401308615048,0.9896401308615048
full,frozen_full,c4_assigned_radius,0.05,task,libero_long/STUDY_SCENE1_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy,800,14,786,14,12,0,774,1.0,0.015267175572519083,0.5384615384615384,0.9970919665576155,0.8252842604346363,0.9970919665576155,0.8252842604346363,0.9896401308615048,0.9896401308615048
full,prefix_calibration,knn20,0.05,task,libero_long/STUDY_SCENE1_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy,800,14,786,12,91,2,695,0.8571428571428571,0.11577608142493638,0.11650485436893204,0.9626499454743729,0.5339657420533345,0.9626499454743729,0.5339657420533345,0.9389312977099237,0.9389312977099237
full,prefix_calibration,c32_centroid_distance,0.05,task,libero_long/STUDY_SCENE1_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy,800,14,786,13,164,1,622,0.9285714285714286,0.20865139949109415,0.07344632768361582,0.918302435478008,0.21218127753859287,0.918302435478008,0.21218127753859287,0.5912395492548164,0.5912395492548164
full,prefix_calibration,c4_centroid_distance,0.05,task,libero_long/STUDY_SCENE1_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy,800,14,786,14,12,0,774,1.0,0.015267175572519083,0.5384615384615384,0.9970919665576155,0.8252842604346363,0.9970919665576155,0.8252842604346363,0.9896401308615048,0.9896401308615048
full,prefix_calibration,c4_assigned_radius,0.05,task,libero_long/STUDY_SCENE1_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy,800,14,786,14,12,0,774,1.0,0.015267175572519083,0.5384615384615384,0.9970919665576155,0.8252842604346363,0.9970919665576155,0.8252842604346363,0.9896401308615048,0.9896401308615048
